Frame, eSSIM, SSIM
0,0.470683,0.564243
1,0.548157,0.735296
2,0.864927,0.923579
3,0.613213,0.753891
4,0.470623,0.564382
5,0.547561,0.734783
6,0.864935,0.923607
7,0.613052,0.754112
8,0.469848,0.563341
9,0.547889,0.734936
10,0.864974,0.9233
11,0.612046,0.753309
12,0.470227,0.564377
13,0.546626,0.734476
14,0.864852,0.923405
15,0.612682,0.75365
16,0.47798,0.570335
17,0.554498,0.739358
18,0.867703,0.924332
19,0.617217,0.756243
20,0.479213,0.571919
21,0.571943,0.749383
22,0.86918,0.925158
23,0.632083,0.765286
24,0.498155,0.588181
25,0.573145,0.75063
26,0.869016,0.925027
27,0.636579,0.768193
28,0.515852,0.60345
29,0.592115,0.761655
30,0.870649,0.9258
31,0.636245,0.767902
32,0.532215,0.616463
33,0.615306,0.775083
34,0.877801,0.928267
35,0.64462,0.774972
36,0.549592,0.63227
37,0.635325,0.786834
38,0.879159,0.928948
39,0.646013,0.77596
40,0.561214,0.642445
41,0.650949,0.795223
42,0.879575,0.929221
43,0.650042,0.778604
44,0.56285,0.644067
45,0.661133,0.800651
46,0.880259,0.929688
47,0.655092,0.781953
48,0.571242,0.651023
49,0.662234,0.801289
50,0.880209,0.929634
51,0.659439,0.784229
52,0.578967,0.657633
53,0.666226,0.803285
54,0.881349,0.929937
55,0.659806,0.784568
56,0.584861,0.662282
57,0.676622,0.808924
58,0.883741,0.930488
59,0.66127,0.785721
60,0.585616,0.663486
61,0.681075,0.810954
62,0.886424,0.932025
63,0.663582,0.787915
64,0.588926,0.665998
65,0.682216,0.812042
66,0.887924,0.932297
67,0.671554,0.791854
68,0.603528,0.677082
69,0.692637,0.817331
70,0.887163,0.932758
71,0.673887,0.793059
72,0.609936,0.682733
73,0.701205,0.82223
74,0.888188,0.933035
75,0.676957,0.794893
76,0.611478,0.684362
77,0.704947,0.824204
78,0.88836,0.933204
79,0.68138,0.797455
80,0.615359,0.686712
81,0.706672,0.825146
82,0.889771,0.933427
83,0.680339,0.79668
84,0.618068,0.689848
85,0.707601,0.825847
86,0.888513,0.933303
87,0.68218,0.798021
88,0.619432,0.690617
89,0.709619,0.826672
90,0.889442,0.933395
91,0.68235,0.797961
92,0.620042,0.691357
93,0.711648,0.827697
94,0.888765,0.933034
95,0.684203,0.799076
96,0.620755,0.691769
97,0.71209,0.828071
98,0.889456,0.933475
99,0.684299,0.799179
100,0.62304,0.693828
101,0.712468,0.828292
102,0.88937,0.933466
103,0.685689,0.799855
104,0.623225,0.693903
105,0.713286,0.828903
106,0.890428,0.933804
107,0.685816,0.800148
108,0.624063,0.694981
109,0.713544,0.828918
110,0.889704,0.933662
111,0.686168,0.800461
112,0.622986,0.693523
113,0.714094,0.829424
114,0.889602,0.933534
115,0.685675,0.799862
116,0.624346,0.695055
117,0.713117,0.828768
118,0.89031,0.933673
119,0.68613,0.800299
120,0.623887,0.694784
121,0.713913,0.82925
122,0.890488,0.933815
123,0.685041,0.799622
124,0.623779,0.694636
125,0.712368,0.82843
126,0.889858,0.933553
127,0.685898,0.800332
128,0.622246,0.693124
129,0.712853,0.828425
130,0.889769,0.933357
131,0.685364,0.799493
132,0.623481,0.694191
133,0.711995,0.828114
134,0.889639,0.933438
135,0.68586,0.800044
136,0.621473,0.692234
137,0.721933,0.833846
138,0.897182,0.937852
139,0.706119,0.814258
140,0.651993,0.714498
141,0.743653,0.847482
142,0.914055,0.947791
143,0.715159,0.820321
144,0.661202,0.718393
145,0.755207,0.853283
146,0.925889,0.954055
147,0.68705,0.8058
148,0.636464,0.697824
149,0.758262,0.853671
150,0.923518,0.956514
151,0.644847,0.784327
152,0.589539,0.661651
153,0.735994,0.842422
154,0.917937,0.956112
155,0.60212,0.75764
156,0.543401,0.619725
157,0.707473,0.826465
158,0.911793,0.95184
159,0.55118,0.722357
160,0.47971,0.560704
161,0.659627,0.798314
162,0.901595,0.943744
163,0.51011,0.691137
164,0.449242,0.533133
165,0.640009,0.784789
166,0.89274,0.937425
167,0.521381,0.697675
168,0.464463,0.546813
169,0.646667,0.788581
170,0.89415,0.937638
171,0.521553,0.698638
172,0.465943,0.548509
173,0.645841,0.788232
174,0.900246,0.938676
175,0.524299,0.70087
176,0.467842,0.550669
177,0.650353,0.790551
178,0.901105,0.938858
179,0.525403,0.70318
180,0.469929,0.553695
181,0.64975,0.790499
182,0.902131,0.939211
183,0.536621,0.710322
184,0.476832,0.559193
185,0.650599,0.791112
186,0.901831,0.938859
187,0.545082,0.715991
188,0.490831,0.572122
189,0.656754,0.79459
190,0.903725,0.939935
191,0.549364,0.718402
192,0.509551,0.587787
193,0.662796,0.798013
194,0.90571,0.940306
195,0.570026,0.731948
196,0.512935,0.591427
197,0.673265,0.804298
198,0.906306,0.941055
199,0.577506,0.736324
200,0.521005,0.599737
201,0.676786,0.80687
202,0.906441,0.941087
203,0.579906,0.73847
204,0.526177,0.604757
205,0.674352,0.805777
206,0.906515,0.941409
207,0.583528,0.74079
208,0.528168,0.60618
209,0.6788,0.808594
210,0.907489,0.941713
211,0.58542,0.74199
212,0.531594,0.609718
213,0.680138,0.809065
214,0.910472,0.942544
215,0.587488,0.743433
216,0.530729,0.607987
217,0.677974,0.807894
218,0.911487,0.942766
219,0.589382,0.744947
220,0.534631,0.612086
221,0.680593,0.809902
222,0.909067,0.942881
223,0.591294,0.746368
224,0.536944,0.614794
225,0.683962,0.81162
226,0.911158,0.942895
227,0.592716,0.747326
228,0.539496,0.616807
229,0.685273,0.812112
230,0.911548,0.943077
231,0.59787,0.750008
232,0.53933,0.615577
233,0.684799,0.811833
234,0.912023,0.943134
235,0.597195,0.749661
236,0.543196,0.619335
237,0.689508,0.814713
238,0.912511,0.943285
239,0.59949,0.751247
240,0.546568,0.622373
241,0.690171,0.815152
242,0.911861,0.94337
243,0.601337,0.752362
244,0.547104,0.622878
245,0.686931,0.812911
246,0.913127,0.943455
247,0.603795,0.753825
248,0.54888,0.623948
249,0.690571,0.815255
250,0.913391,0.943445
251,0.602863,0.753459
252,0.549018,0.624839
253,0.687443,0.813441
254,0.912967,0.943608
