Frame, eSSIM, SSIM
0,0.514271,0.664168
1,0.679897,0.833821
2,0.833795,0.913852
3,0.55955,0.746018
4,0.515303,0.664847
5,0.679511,0.833629
6,0.833836,0.914019
7,0.591871,0.771139
8,0.565724,0.71563
9,0.738756,0.863285
10,0.8376,0.916708
11,0.591486,0.770912
12,0.664429,0.778036
13,0.782147,0.878049
14,0.872531,0.926749
15,0.689376,0.825799
16,0.667756,0.780671
17,0.785675,0.880151
18,0.872937,0.926721
19,0.692414,0.827854
20,0.666944,0.780719
21,0.785262,0.879631
22,0.872857,0.926726
23,0.721588,0.843392
24,0.710172,0.813389
25,0.832365,0.898665
26,0.874787,0.927866
27,0.720855,0.84337
28,0.751988,0.832992
29,0.833856,0.899155
30,0.876648,0.928769
31,0.768522,0.863066
32,0.752584,0.833084
33,0.833691,0.89937
34,0.878265,0.929432
35,0.789796,0.874593
36,0.770166,0.844064
37,0.833845,0.89948
38,0.878166,0.929377
39,0.814548,0.885066
40,0.796281,0.858558
41,0.843872,0.903726
42,0.879434,0.929682
43,0.816349,0.886103
44,0.799824,0.860456
45,0.84571,0.904705
46,0.880757,0.930471
47,0.818088,0.886633
48,0.800792,0.860823
49,0.856848,0.911021
50,0.882987,0.931742
51,0.825395,0.891479
52,0.812216,0.870649
53,0.857959,0.91174
54,0.882376,0.931586
55,0.838648,0.899686
56,0.827541,0.881971
57,0.868763,0.916741
58,0.888315,0.933701
59,0.838883,0.900197
60,0.827938,0.882614
61,0.86848,0.916488
62,0.888102,0.933706
63,0.837634,0.899333
64,0.826585,0.881821
65,0.869705,0.917151
66,0.890091,0.9344
67,0.847346,0.904695
68,0.836036,0.887289
69,0.868887,0.916991
70,0.890009,0.934481
71,0.855246,0.908942
72,0.846457,0.89467
73,0.879059,0.921916
74,0.890392,0.935025
75,0.850163,0.908145
76,0.855281,0.900675
77,0.87945,0.922171
78,0.892697,0.935943
79,0.866085,0.914896
80,0.859218,0.901955
81,0.880133,0.922229
82,0.892549,0.936072
83,0.872204,0.917048
84,0.861997,0.90253
85,0.87958,0.922002
86,0.892736,0.936143
87,0.879228,0.920488
88,0.869604,0.90643
89,0.883359,0.923957
90,0.894679,0.937189
91,0.879844,0.920926
92,0.872464,0.908423
93,0.883916,0.924146
94,0.896756,0.937923
95,0.882396,0.922446
96,0.872406,0.908782
97,0.887357,0.926301
98,0.897407,0.938407
99,0.88163,0.92279
100,0.873857,0.910428
101,0.88776,0.927078
102,0.896428,0.938089
103,0.885327,0.924129
104,0.878315,0.91249
105,0.88922,0.927499
106,0.8976,0.938718
107,0.887103,0.925066
108,0.883705,0.916441
109,0.895697,0.930353
110,0.900611,0.940161
111,0.887668,0.926217
112,0.884294,0.917257
113,0.895925,0.930474
114,0.902082,0.940609
115,0.889395,0.927572
