Frame, eSSIM, SSIM
0,0.732052,0.855071
1,0.781224,0.896767
2,0.853719,0.937155
3,0.778541,0.899571
4,0.735347,0.857886
5,0.778313,0.896901
6,0.854904,0.938319
7,0.775964,0.899258
8,0.729938,0.853542
9,0.774652,0.893873
10,0.851388,0.937251
11,0.770474,0.897429
12,0.726868,0.853605
13,0.76983,0.893555
14,0.853064,0.938334
15,0.768165,0.896127
16,0.726633,0.851155
17,0.775045,0.893744
18,0.854604,0.938407
19,0.779578,0.902021
20,0.747319,0.863785
21,0.784122,0.899679
22,0.857075,0.941019
23,0.789512,0.904774
24,0.748343,0.862166
25,0.786977,0.899006
26,0.856543,0.940212
27,0.794614,0.908284
28,0.753513,0.868988
29,0.79753,0.905411
30,0.861529,0.943493
31,0.798647,0.91048
32,0.760551,0.873456
33,0.800439,0.907135
34,0.861228,0.942553
35,0.800817,0.912179
36,0.766864,0.876536
37,0.806521,0.909048
38,0.86141,0.94398
39,0.807342,0.91237
40,0.77062,0.874875
41,0.808018,0.908392
42,0.859086,0.943544
43,0.809171,0.915075
44,0.779962,0.879853
45,0.811608,0.910752
46,0.864028,0.945185
47,0.811816,0.914748
48,0.776817,0.877612
49,0.814109,0.909995
50,0.861258,0.943356
51,0.813129,0.915811
52,0.786152,0.884173
53,0.818351,0.913251
54,0.86222,0.945187
55,0.820688,0.91699
56,0.787441,0.881418
57,0.816588,0.912316
58,0.864157,0.945461
59,0.823082,0.917478
60,0.800243,0.888319
61,0.824911,0.915175
62,0.865477,0.946604
63,0.824917,0.920465
64,0.796447,0.884988
65,0.826207,0.913465
66,0.862895,0.944583
67,0.832524,0.923229
68,0.809019,0.894289
69,0.834886,0.91914
70,0.86858,0.947977
71,0.832131,0.92411
72,0.816102,0.897163
73,0.838364,0.920872
74,0.86709,0.947486
75,0.83755,0.923787
76,0.815413,0.896373
77,0.839281,0.92093
78,0.87012,0.948284
79,0.836955,0.9247
80,0.811632,0.892894
81,0.836985,0.918462
82,0.865818,0.946775
83,0.836802,0.92581
84,0.816899,0.898022
85,0.840304,0.920432
86,0.870454,0.948354
87,0.840491,0.926374
88,0.816859,0.894793
89,0.838605,0.918511
90,0.865736,0.94632
91,0.842765,0.926435
92,0.825442,0.90042
93,0.844382,0.921991
94,0.869149,0.948472
95,0.843742,0.927165
96,0.822178,0.896482
97,0.841095,0.919213
98,0.868358,0.947733
99,0.840763,0.926217
100,0.82531,0.90125
101,0.84045,0.921736
102,0.871217,0.949333
103,0.845698,0.929005
104,0.8229,0.89794
105,0.840773,0.920783
106,0.862644,0.946776
107,0.846338,0.929027
108,0.829827,0.903826
109,0.853092,0.926461
110,0.867594,0.949734
111,0.840848,0.927917
112,0.833062,0.904979
113,0.851576,0.925899
114,0.872994,0.950236
115,0.84571,0.929021
116,0.831064,0.90488
117,0.846245,0.925346
118,0.875367,0.9508
119,0.85223,0.931472
120,0.830033,0.901922
121,0.84467,0.924433
122,0.860431,0.947747
123,0.850651,0.929509
124,0.835536,0.905913
125,0.855639,0.927517
126,0.867637,0.94949
127,0.84753,0.929059
128,0.831154,0.902233
129,0.849362,0.9235
130,0.871069,0.948838
131,0.846415,0.92795
132,0.833943,0.90626
133,0.845322,0.92542
134,0.874421,0.950219
135,0.85139,0.930744
136,0.828976,0.902249
137,0.847026,0.925117
138,0.863563,0.94789
139,0.851387,0.930601
140,0.835016,0.906348
141,0.857868,0.928648
142,0.867506,0.949654
143,0.848471,0.930205
144,0.833316,0.90431
145,0.852265,0.924732
146,0.870533,0.948854
147,0.848278,0.930996
148,0.845022,0.912712
149,0.853132,0.929312
150,0.875931,0.952438
151,0.854835,0.933393
152,0.843877,0.912335
153,0.860015,0.93236
154,0.870198,0.950924
155,0.857844,0.934112
156,0.844853,0.911373
157,0.864665,0.931806
158,0.872512,0.951647
159,0.853946,0.932799
160,0.841078,0.906876
161,0.858018,0.927202
162,0.877853,0.951899
163,0.854369,0.932256
164,0.846495,0.911438
165,0.859182,0.929426
166,0.881514,0.9531
167,0.86108,0.935458
168,0.842886,0.907033
169,0.858878,0.927992
170,0.87276,0.950774
171,0.861826,0.934925
172,0.850965,0.912797
173,0.867419,0.931889
174,0.878203,0.95268
175,0.859625,0.933476
176,0.846259,0.90864
177,0.863136,0.928853
178,0.879709,0.952393
179,0.861327,0.934119
180,0.849854,0.912639
181,0.860356,0.930161
182,0.882849,0.953227
183,0.865046,0.936349
184,0.846807,0.909277
185,0.859764,0.928779
186,0.871056,0.951075
187,0.866071,0.937399
188,0.855995,0.916619
189,0.868804,0.934217
190,0.875245,0.953479
191,0.860844,0.935794
192,0.857655,0.917206
193,0.87102,0.933985
194,0.879613,0.953332
195,0.861097,0.936248
196,0.854659,0.916958
197,0.861565,0.932607
198,0.881497,0.953977
199,0.866656,0.938211
200,0.850704,0.913884
201,0.859829,0.931223
202,0.869625,0.951207
203,0.867337,0.937771
204,0.857643,0.917619
205,0.869268,0.934041
206,0.873724,0.952865
207,0.860716,0.935448
208,0.852195,0.913145
209,0.865023,0.930541
210,0.878215,0.952324
211,0.861127,0.935644
212,0.852488,0.915571
213,0.860216,0.931985
214,0.87997,0.953783
215,0.867469,0.938028
216,0.851081,0.912983
217,0.86031,0.930568
218,0.870185,0.951057
219,0.866143,0.937419
220,0.856221,0.916667
221,0.869219,0.934118
222,0.872803,0.952493
223,0.86124,0.93535
224,0.850654,0.912472
225,0.862638,0.929761
226,0.878725,0.952157
227,0.864294,0.93713
228,0.854512,0.916968
229,0.861551,0.933733
230,0.880905,0.954694
231,0.867527,0.939084
232,0.854622,0.918675
233,0.861846,0.934779
234,0.870092,0.952123
235,0.86636,0.938514
236,0.856983,0.918889
237,0.86928,0.935421
238,0.871562,0.952771
239,0.86181,0.936018
240,0.851432,0.913586
241,0.863142,0.930467
242,0.877954,0.952007
243,0.859993,0.935688
244,0.850639,0.914955
245,0.860132,0.931354
246,0.878118,0.95291
247,0.862838,0.936961
248,0.846558,0.911393
249,0.859195,0.929347
250,0.86943,0.950218
251,0.863963,0.937185
252,0.856007,0.91627
253,0.870093,0.933359
254,0.870031,0.952134
255,0.85795,0.934809
256,0.846843,0.909646
257,0.861704,0.928072
258,0.874125,0.951439
259,0.855374,0.93399
260,0.847222,0.91201
261,0.85466,0.92848
262,0.875821,0.95215
263,0.858008,0.934956
264,0.840327,0.906348
265,0.849562,0.923437
266,0.878116,0.952319
267,0.858101,0.932488
268,0.82017,0.892658
269,0.832129,0.914874
270,0.897429,0.952744
271,0.815148,0.91064
272,0.761845,0.859797
273,0.781745,0.890761
274,0.894252,0.946482
275,0.778502,0.893017
276,0.676088,0.80305
277,0.726956,0.860659
278,0.876045,0.936865
279,0.750098,0.879555
280,0.642294,0.779451
281,0.663618,0.823872
282,0.843758,0.919905
283,0.718148,0.860488
284,0.612779,0.758662
285,0.655368,0.815426
286,0.839062,0.91523
287,0.713359,0.858044
288,0.590123,0.742358
289,0.648608,0.808727
290,0.828436,0.909474
291,0.69936,0.843872
292,0.618486,0.761982
293,0.671535,0.822993
294,0.839521,0.914936
295,0.733713,0.865441
296,0.637159,0.777966
297,0.682346,0.829863
298,0.841356,0.915514
299,0.737892,0.865162
300,0.641295,0.778747
301,0.694293,0.83586
302,0.84758,0.918134
303,0.742504,0.871628
304,0.652019,0.790749
305,0.698199,0.841401
306,0.852328,0.92162
307,0.743688,0.867101
308,0.649976,0.784947
309,0.705009,0.843247
310,0.85356,0.922575
311,0.750907,0.87529
312,0.659277,0.794061
313,0.70387,0.844861
314,0.856835,0.923712
315,0.75523,0.873477
316,0.663257,0.793704
317,0.709754,0.847747
318,0.858516,0.925892
319,0.769582,0.885204
320,0.682019,0.810328
321,0.713674,0.853445
322,0.860584,0.9279
323,0.765307,0.882493
324,0.691335,0.815741
325,0.728107,0.857799
326,0.865934,0.929763
327,0.770343,0.887206
328,0.683758,0.812825
329,0.729128,0.85951
330,0.867303,0.930044
331,0.767724,0.881765
332,0.684504,0.808725
333,0.811916,0.89769
334,0.883773,0.938856
335,0.834884,0.916695
336,0.768808,0.87053
337,0.791538,0.894786
338,0.881804,0.93795
339,0.815188,0.905641
340,0.759295,0.861275
341,0.79719,0.895859
342,0.883644,0.93911
343,0.821698,0.912783
344,0.748777,0.86314
345,0.788204,0.895015
346,0.88254,0.938384
347,0.812386,0.905857
348,0.744129,0.855971
349,0.784751,0.890366
350,0.881865,0.938063
351,0.803668,0.907755
352,0.77178,0.871011
353,0.800303,0.898507
354,0.879736,0.937606
355,0.801446,0.902233
356,0.760273,0.860233
357,0.804599,0.899395
358,0.883927,0.940792
359,0.816938,0.911556
360,0.764333,0.867564
361,0.79755,0.898494
362,0.879488,0.939233
363,0.822037,0.910862
364,0.777629,0.875575
365,0.802809,0.901761
366,0.881418,0.940603
367,0.826783,0.915269
368,0.782921,0.878447
369,0.802087,0.9024
370,0.88016,0.939872
