Frame, eSSIM, SSIM
0,0.628016,0.756399
1,0.625821,0.795414
2,0.825003,0.89058
3,0.672459,0.813474
4,0.583978,0.726477
5,0.577434,0.76655
6,0.791231,0.876039
7,0.67789,0.815539
8,0.567868,0.712727
9,0.585717,0.764046
10,0.798735,0.88044
11,0.645138,0.80037
12,0.557384,0.704696
13,0.606089,0.772039
14,0.794776,0.877864
15,0.671623,0.811848
16,0.54805,0.696874
17,0.599498,0.765912
18,0.788177,0.875267
19,0.670728,0.809844
20,0.557506,0.704271
21,0.601174,0.76852
22,0.788413,0.876303
23,0.666942,0.807411
24,0.556755,0.702683
25,0.610991,0.77362
26,0.801113,0.88275
27,0.676487,0.813308
28,0.553206,0.699967
29,0.61432,0.775479
30,0.8074,0.884957
31,0.68249,0.818414
32,0.565817,0.707593
33,0.618541,0.778997
34,0.807509,0.885624
35,0.685518,0.818234
36,0.575993,0.717372
37,0.61882,0.781287
38,0.807262,0.886712
39,0.683941,0.817887
40,0.574142,0.714448
41,0.627673,0.785352
42,0.812443,0.890349
43,0.68374,0.818999
44,0.57322,0.713128
45,0.630992,0.785924
46,0.81617,0.890289
47,0.690327,0.823658
48,0.576009,0.715053
49,0.626569,0.784231
50,0.814608,0.889772
51,0.688541,0.821229
52,0.582521,0.720465
53,0.63522,0.789749
54,0.819702,0.891284
55,0.695508,0.826011
56,0.578069,0.716963
57,0.627185,0.785345
58,0.816816,0.889815
59,0.689223,0.822386
60,0.582545,0.721464
61,0.629116,0.787922
62,0.817595,0.890126
63,0.686766,0.820097
64,0.58065,0.718144
65,0.637917,0.790939
66,0.819689,0.892191
67,0.688425,0.82075
68,0.581968,0.717325
69,0.638835,0.789618
70,0.818981,0.890749
71,0.694593,0.824855
72,0.592419,0.724342
73,0.649906,0.796073
74,0.822267,0.893424
75,0.690952,0.821551
76,0.587029,0.721064
77,0.643812,0.7923
78,0.820306,0.891453
79,0.693633,0.824154
80,0.589678,0.721216
81,0.642806,0.791426
82,0.817004,0.890308
83,0.688097,0.819003
84,0.590392,0.720461
85,0.646427,0.792796
86,0.815099,0.889104
87,0.690463,0.820806
88,0.587963,0.719219
89,0.642189,0.790833
90,0.817312,0.889802
91,0.685752,0.816611
92,0.585532,0.716712
93,0.646321,0.792744
94,0.81932,0.889471
95,0.689276,0.818841
96,0.589837,0.719591
97,0.647825,0.793279
98,0.817571,0.889196
99,0.686038,0.816738
100,0.595,0.723602
101,0.649722,0.795885
102,0.818828,0.88994
103,0.682546,0.813384
104,0.594056,0.721246
105,0.653908,0.797652
106,0.823356,0.892945
107,0.685612,0.816321
108,0.587454,0.717534
109,0.656219,0.79887
110,0.82466,0.892807
111,0.691755,0.821476
112,0.592488,0.721851
113,0.654293,0.798713
114,0.823683,0.891719
115,0.684844,0.817232
116,0.601811,0.728925
117,0.656036,0.801709
118,0.823721,0.893821
119,0.686493,0.817577
120,0.598597,0.726768
121,0.660974,0.804113
122,0.829115,0.89657
123,0.686186,0.819085
124,0.597095,0.726197
125,0.659875,0.80462
126,0.828277,0.895557
127,0.688583,0.819003
128,0.604303,0.731985
129,0.668013,0.809243
130,0.83064,0.898467
131,0.691035,0.821661
132,0.602043,0.730046
133,0.662526,0.806555
134,0.830193,0.897517
135,0.692974,0.821793
136,0.601231,0.730344
137,0.662638,0.807087
138,0.831248,0.897615
139,0.69882,0.826609
140,0.61434,0.741168
141,0.664715,0.810381
142,0.834585,0.900036
143,0.699205,0.826373
144,0.615795,0.74165
145,0.673642,0.814746
146,0.837222,0.902398
147,0.703143,0.829188
148,0.614124,0.739784
149,0.676504,0.814219
150,0.839689,0.902193
151,0.708644,0.833074
152,0.612727,0.738071
153,0.668697,0.810967
154,0.835938,0.901053
155,0.703462,0.83055
156,0.6234,0.745785
157,0.682219,0.817995
158,0.840377,0.903603
159,0.710777,0.836199
160,0.620902,0.745162
161,0.67835,0.816468
162,0.840346,0.903274
163,0.712844,0.835666
164,0.629816,0.751955
165,0.680618,0.818449
166,0.838569,0.904164
167,0.711573,0.83491
168,0.625073,0.748254
169,0.683307,0.820149
170,0.843854,0.906789
171,0.714922,0.837777
172,0.62907,0.751082
173,0.686342,0.820521
174,0.840779,0.904307
175,0.717158,0.838729
176,0.631568,0.751617
177,0.684465,0.819371
178,0.840908,0.904596
179,0.714462,0.836029
180,0.636128,0.755427
181,0.683935,0.821189
182,0.840941,0.904228
183,0.710113,0.833188
184,0.63567,0.754314
185,0.693292,0.824704
186,0.842666,0.906011
187,0.714674,0.837494
188,0.630614,0.752803
189,0.691865,0.823952
190,0.845561,0.906308
191,0.718765,0.840068
192,0.635105,0.753726
193,0.693693,0.823863
194,0.843423,0.90541
195,0.712517,0.834877
196,0.631843,0.751475
197,0.698181,0.824654
198,0.844943,0.904861
199,0.719809,0.839411
200,0.636917,0.753904
201,0.694399,0.823053
202,0.844003,0.904777
203,0.711442,0.834212
204,0.631278,0.750206
205,0.693516,0.822748
206,0.84739,0.905767
207,0.719563,0.840065
208,0.639007,0.757098
209,0.69568,0.825075
210,0.848803,0.906754
211,0.722134,0.840992
212,0.641423,0.758109
213,0.699655,0.826344
214,0.851441,0.908454
215,0.725839,0.844052
216,0.646062,0.761367
217,0.704668,0.829834
218,0.853468,0.909056
219,0.728285,0.844126
220,0.653522,0.76784
221,0.705062,0.832373
222,0.853328,0.910052
223,0.72282,0.842521
224,0.651164,0.766165
225,0.711848,0.835967
226,0.854074,0.911815
227,0.725455,0.843575
228,0.649412,0.764676
229,0.710041,0.83291
230,0.855291,0.910436
231,0.728986,0.846129
232,0.64402,0.762056
233,0.703529,0.831346
234,0.855543,0.910105
235,0.726788,0.843524
236,0.653075,0.766871
237,0.705304,0.830383
238,0.852099,0.908242
239,0.730128,0.84641
240,0.64535,0.761796
241,0.70195,0.826897
242,0.85204,0.907997
243,0.72598,0.84457
244,0.649136,0.766113
245,0.699862,0.827369
246,0.853684,0.909072
247,0.723074,0.842851
248,0.652217,0.765794
249,0.711655,0.833096
250,0.856813,0.911603
251,0.721864,0.842622
252,0.644803,0.760607
253,0.705401,0.828606
254,0.85228,0.908573
255,0.719545,0.840476
256,0.645741,0.760182
257,0.709019,0.831274
258,0.856506,0.911814
259,0.719328,0.842535
260,0.644778,0.76078
261,0.708199,0.830557
262,0.85394,0.908461
263,0.72483,0.84521
