Frame, eSSIM, SSIM
0,0.68394,0.800157
1,0.721943,0.838044
2,0.803483,0.885369
3,0.721281,0.837647
4,0.646812,0.776951
5,0.711534,0.830275
6,0.807319,0.885229
7,0.737104,0.84549
8,0.722043,0.82436
9,0.75556,0.854867
10,0.820053,0.891361
11,0.760351,0.857666
12,0.711716,0.816495
13,0.767636,0.859358
14,0.827199,0.89427
15,0.774904,0.865824
16,0.738172,0.83297
17,0.773224,0.863623
18,0.828371,0.89526
19,0.779984,0.867814
20,0.743123,0.836951
21,0.766489,0.861891
22,0.829685,0.895867
23,0.778253,0.866565
24,0.734011,0.831366
25,0.768011,0.86233
26,0.8317,0.897145
27,0.785045,0.870313
28,0.752613,0.842241
29,0.776282,0.867255
30,0.833609,0.898208
31,0.785783,0.870715
32,0.746276,0.839
33,0.78077,0.869212
34,0.837014,0.899566
35,0.786797,0.871773
36,0.745579,0.840061
37,0.781824,0.870313
38,0.838046,0.900082
39,0.791085,0.874332
40,0.743964,0.839371
41,0.774096,0.867218
42,0.838495,0.900535
43,0.796179,0.876328
44,0.752449,0.845315
45,0.784493,0.87092
46,0.839427,0.899876
47,0.795238,0.875551
48,0.749104,0.841433
49,0.778179,0.86824
50,0.839753,0.900401
51,0.800261,0.877982
52,0.762203,0.850451
53,0.784484,0.872271
54,0.842901,0.901593
55,0.799683,0.878555
56,0.751502,0.84361
57,0.779434,0.869211
58,0.839545,0.900067
59,0.791871,0.874277
60,0.749887,0.842634
61,0.786664,0.872561
62,0.840173,0.900473
63,0.794816,0.875659
64,0.7551,0.845144
65,0.785833,0.871353
66,0.838001,0.899387
67,0.789915,0.873165
68,0.747556,0.840641
69,0.782183,0.868968
70,0.840672,0.899556
71,0.800378,0.877164
72,0.757186,0.84534
73,0.786846,0.871112
74,0.84148,0.900867
75,0.790499,0.872551
76,0.75026,0.840381
77,0.778512,0.866804
78,0.840193,0.898918
79,0.793258,0.873263
80,0.750954,0.839781
81,0.784149,0.86817
82,0.840469,0.899454
83,0.792732,0.872821
84,0.755043,0.843143
85,0.779221,0.867023
86,0.841638,0.898876
87,0.794488,0.873802
88,0.753423,0.842599
89,0.786623,0.869635
90,0.842959,0.899891
91,0.792462,0.873424
92,0.753818,0.842318
93,0.78252,0.868777
94,0.842783,0.89948
95,0.792077,0.873019
96,0.747836,0.838588
97,0.781113,0.866976
98,0.840838,0.899287
99,0.787753,0.871859
100,0.748521,0.839308
101,0.778754,0.865414
102,0.84154,0.898797
103,0.788734,0.872343
104,0.746569,0.838332
105,0.780092,0.866421
106,0.84255,0.900486
107,0.792241,0.874501
108,0.750395,0.841099
109,0.780935,0.868705
110,0.843646,0.900979
111,0.794068,0.87582
112,0.740353,0.835161
113,0.773193,0.863997
114,0.842757,0.90037
115,0.786413,0.872888
116,0.742803,0.837414
117,0.775705,0.865385
118,0.844546,0.901398
119,0.78864,0.874219
120,0.746678,0.840642
121,0.773961,0.865314
122,0.846085,0.902899
123,0.802118,0.879799
124,0.753115,0.843121
125,0.783427,0.870213
126,0.848988,0.904588
127,0.803819,0.881389
128,0.763142,0.849586
129,0.79137,0.874182
130,0.851068,0.905538
131,0.803011,0.880959
132,0.757563,0.84624
133,0.78621,0.871601
134,0.849713,0.90463
135,0.80181,0.879658
136,0.757903,0.847368
137,0.792064,0.874759
138,0.852809,0.906773
139,0.79845,0.880221
140,0.756569,0.847687
141,0.788815,0.873028
142,0.852203,0.906337
143,0.802118,0.881475
144,0.75854,0.848921
145,0.789288,0.875008
146,0.853008,0.907522
147,0.805662,0.884269
148,0.762328,0.851342
149,0.799334,0.880512
150,0.857432,0.909552
151,0.808755,0.885808
152,0.758522,0.849027
153,0.788989,0.875582
154,0.855506,0.909067
155,0.805524,0.884171
156,0.765014,0.852494
157,0.794281,0.877734
158,0.857889,0.910171
159,0.814961,0.888765
160,0.76555,0.852005
161,0.794924,0.877943
162,0.856901,0.910237
163,0.814038,0.888888
164,0.774855,0.858024
165,0.795063,0.879106
166,0.860134,0.910981
167,0.81888,0.889924
168,0.775809,0.85781
169,0.804074,0.881322
170,0.862135,0.912532
171,0.82104,0.891109
172,0.775416,0.858412
173,0.782507,0.874743
174,0.858442,0.912861
175,0.808559,0.887128
