Frame, eSSIM, SSIM
0,0.463983,0.622435
1,0.510192,0.682728
2,0.679473,0.803464
3,0.566478,0.732086
4,0.431012,0.596834
5,0.484283,0.661359
6,0.658513,0.793086
7,0.572617,0.733729
8,0.467583,0.625883
9,0.507103,0.679248
10,0.670176,0.800371
11,0.59485,0.747582
12,0.468157,0.625646
13,0.527499,0.692536
14,0.678641,0.806639
15,0.604603,0.756086
16,0.500126,0.653645
17,0.546762,0.709875
18,0.682217,0.809337
19,0.603895,0.755839
20,0.501661,0.656799
21,0.547013,0.712027
22,0.685825,0.811491
23,0.605861,0.756376
24,0.501163,0.655951
25,0.546325,0.711161
26,0.686539,0.812744
27,0.615952,0.763873
28,0.509969,0.663018
29,0.55271,0.718068
30,0.695123,0.818899
31,0.61859,0.765546
32,0.515461,0.666884
33,0.55761,0.721252
34,0.704129,0.821626
35,0.623037,0.768166
36,0.511484,0.66497
37,0.558751,0.721772
38,0.708465,0.823791
39,0.627323,0.770271
40,0.519751,0.670312
41,0.563623,0.724892
42,0.711505,0.825734
43,0.631835,0.774342
44,0.521658,0.670773
45,0.563779,0.722072
46,0.714843,0.828311
47,0.635148,0.775858
48,0.535596,0.67933
49,0.582066,0.735448
50,0.727003,0.83322
51,0.638387,0.777769
52,0.535623,0.681754
53,0.572111,0.731816
54,0.726567,0.831983
55,0.644638,0.782611
56,0.530422,0.678442
57,0.576448,0.733411
58,0.729218,0.832838
59,0.637706,0.77928
60,0.526466,0.676618
61,0.575945,0.73382
62,0.731615,0.834106
63,0.640038,0.781117
64,0.538007,0.682618
65,0.59441,0.744985
66,0.739526,0.838128
67,0.635601,0.777817
68,0.533729,0.67956
69,0.588252,0.739845
70,0.737059,0.836432
71,0.641447,0.780952
72,0.541825,0.684315
73,0.595586,0.744417
74,0.741435,0.839617
75,0.634767,0.776963
76,0.528295,0.675024
77,0.593717,0.741654
78,0.739739,0.83809
79,0.635672,0.7776
80,0.539777,0.67954
81,0.599863,0.745407
82,0.745164,0.840243
83,0.63636,0.77663
84,0.540685,0.68131
85,0.595457,0.743111
86,0.737883,0.836148
87,0.636975,0.776649
