Frame, eSSIM, SSIM
0,0.761805,0.848166
1,0.771731,0.868736
2,0.856145,0.910118
3,0.753607,0.859333
4,0.705199,0.818031
5,0.712989,0.844007
6,0.836657,0.90194
7,0.762403,0.863365
8,0.690617,0.8065
9,0.71701,0.842752
10,0.837621,0.903976
11,0.730215,0.848162
12,0.677543,0.798364
13,0.719814,0.844766
14,0.836881,0.904018
15,0.755957,0.861128
16,0.678899,0.798512
17,0.71295,0.841322
18,0.833934,0.903123
19,0.7742,0.868223
20,0.700653,0.810794
21,0.727923,0.847762
22,0.837517,0.905864
23,0.773217,0.867385
24,0.708101,0.815183
25,0.738456,0.853858
26,0.845807,0.909517
27,0.781421,0.87217
28,0.708515,0.816544
29,0.751465,0.858896
30,0.848605,0.910932
31,0.790684,0.877195
32,0.725259,0.824659
33,0.752496,0.86028
34,0.848429,0.911425
35,0.799221,0.881392
36,0.743709,0.836908
37,0.763292,0.864887
38,0.848027,0.912023
39,0.79791,0.880309
40,0.744829,0.838039
41,0.771955,0.869234
42,0.853505,0.913877
43,0.80085,0.88193
44,0.743713,0.835907
45,0.77396,0.869167
46,0.853711,0.913578
47,0.804993,0.88398
48,0.743966,0.836212
49,0.769156,0.867439
50,0.852982,0.914061
51,0.808306,0.885463
52,0.755568,0.843035
53,0.778428,0.873044
54,0.858634,0.916033
55,0.81228,0.88745
56,0.748706,0.840858
57,0.773061,0.87108
58,0.855905,0.915051
59,0.810149,0.886278
60,0.757331,0.844854
61,0.775664,0.871933
62,0.85381,0.913643
63,0.806406,0.884241
64,0.759133,0.84445
65,0.78477,0.874652
66,0.852963,0.91393
67,0.806363,0.884275
68,0.755603,0.843021
69,0.785931,0.874971
70,0.855118,0.913901
71,0.808222,0.884892
72,0.761364,0.846065
73,0.78726,0.875348
74,0.85447,0.914079
75,0.804946,0.883716
76,0.752704,0.841792
77,0.785204,0.874936
78,0.856396,0.914982
79,0.80843,0.884987
80,0.754101,0.841729
81,0.780652,0.873723
82,0.855665,0.915169
83,0.804783,0.882948
84,0.754397,0.841898
85,0.787683,0.875458
86,0.851796,0.913396
87,0.806515,0.883692
88,0.755238,0.840692
89,0.783684,0.872782
90,0.853191,0.913571
91,0.80361,0.882468
92,0.755738,0.8411
93,0.793876,0.877359
94,0.855664,0.914112
95,0.809448,0.885142
96,0.758332,0.843357
97,0.788032,0.874879
98,0.853647,0.913616
99,0.809031,0.885395
100,0.76419,0.846133
101,0.786694,0.874268
102,0.852715,0.913274
103,0.802015,0.882045
104,0.765938,0.846988
105,0.793816,0.877042
106,0.857013,0.915648
107,0.807441,0.884933
108,0.758416,0.84362
109,0.796738,0.878576
110,0.858416,0.9165
111,0.814438,0.888412
112,0.759503,0.84394
113,0.788023,0.875326
114,0.856494,0.915622
115,0.810183,0.887387
116,0.766292,0.84806
117,0.782914,0.873915
118,0.858711,0.917214
119,0.808568,0.886726
120,0.772448,0.852603
121,0.796627,0.880102
122,0.863163,0.919423
123,0.815417,0.890201
124,0.764066,0.848068
125,0.788059,0.876801
126,0.861719,0.91903
127,0.809026,0.888901
128,0.771901,0.851915
129,0.798498,0.88112
130,0.864073,0.91985
131,0.816112,0.891249
132,0.7673,0.850818
133,0.787179,0.878206
134,0.864124,0.920038
135,0.817407,0.891147
136,0.761992,0.847418
137,0.790437,0.878435
138,0.864873,0.920505
139,0.820364,0.893039
140,0.773616,0.8539
141,0.792954,0.880455
142,0.865599,0.921504
143,0.819448,0.892389
144,0.773885,0.855068
145,0.79908,0.883675
146,0.867315,0.922696
147,0.817204,0.892997
148,0.769083,0.852787
149,0.801367,0.885204
150,0.869119,0.922967
151,0.824285,0.894667
152,0.764643,0.849324
153,0.789917,0.880257
154,0.867826,0.922423
155,0.82433,0.895231
156,0.776893,0.855853
157,0.802795,0.885127
158,0.871884,0.924712
159,0.828908,0.897278
160,0.774188,0.854353
161,0.799313,0.884558
162,0.873032,0.92525
163,0.832589,0.899329
164,0.784827,0.860658
165,0.797603,0.885105
166,0.872536,0.925191
167,0.83116,0.898619
168,0.784463,0.860863
169,0.804737,0.886904
170,0.873615,0.925879
171,0.830436,0.899389
172,0.781004,0.859388
173,0.804826,0.88706
174,0.873252,0.925816
175,0.831869,0.900078
176,0.777032,0.856544
177,0.801029,0.885231
178,0.872265,0.925805
179,0.832484,0.899977
180,0.78399,0.860511
181,0.801697,0.885564
182,0.871739,0.925134
183,0.824956,0.897205
184,0.783721,0.860923
185,0.807454,0.888342
186,0.872971,0.925884
187,0.827161,0.898601
188,0.778337,0.858962
189,0.808953,0.88902
190,0.87515,0.927004
191,0.828639,0.899205
192,0.77945,0.85844
193,0.805529,0.888521
194,0.872694,0.926707
195,0.825078,0.897112
196,0.779186,0.858027
197,0.810687,0.890285
198,0.87535,0.926892
199,0.832611,0.900566
200,0.783892,0.860906
201,0.807322,0.888871
202,0.874332,0.926585
203,0.827341,0.898111
204,0.779254,0.85903
205,0.809346,0.888953
206,0.877885,0.927817
207,0.83401,0.901667
