Frame, eSSIM, SSIM
0,0.620611,0.761312
1,0.664459,0.79819
2,0.734924,0.843847
3,0.736387,0.837484
4,0.691909,0.80084
5,0.704463,0.817289
6,0.764603,0.860225
7,0.743012,0.844229
8,0.695117,0.803109
9,0.709158,0.819257
10,0.759355,0.855869
11,0.729549,0.838014
12,0.676685,0.79538
13,0.686833,0.808629
14,0.748019,0.854345
15,0.729945,0.839683
16,0.647675,0.777816
17,0.666472,0.796056
18,0.724432,0.841827
19,0.712127,0.829939
20,0.627927,0.771225
21,0.652468,0.78739
22,0.731288,0.84699
23,0.70715,0.826644
24,0.536027,0.694312
25,0.601154,0.750247
26,0.690952,0.820675
27,0.679865,0.806769
28,0.612547,0.74628
29,0.645414,0.777522
30,0.720679,0.838188
31,0.695059,0.818343
32,0.612252,0.749962
33,0.638589,0.776206
34,0.714712,0.833683
35,0.699725,0.820495
36,0.640339,0.769447
37,0.658081,0.788952
38,0.729905,0.844293
39,0.706199,0.82608
40,0.630127,0.76342
41,0.649771,0.784399
42,0.718288,0.836638
43,0.697554,0.82111
44,0.619217,0.760271
45,0.642263,0.777044
46,0.72831,0.84083
47,0.688672,0.81464
48,0.492621,0.658776
49,0.587239,0.736151
50,0.682699,0.814028
51,0.662288,0.794999
52,0.594587,0.728615
53,0.633883,0.765114
54,0.717457,0.832986
55,0.683268,0.809626
56,0.604675,0.739264
57,0.636742,0.769189
58,0.710924,0.827617
59,0.682798,0.809731
60,0.630632,0.757275
61,0.659083,0.782463
62,0.728639,0.839102
63,0.691103,0.815759
64,0.614015,0.748678
65,0.648732,0.778268
66,0.715335,0.830769
67,0.684097,0.811701
68,0.615157,0.752973
69,0.640894,0.771438
70,0.733109,0.841943
71,0.681767,0.809913
72,0.489698,0.653653
73,0.59582,0.738194
74,0.688834,0.814956
75,0.653566,0.790193
76,0.590915,0.724443
77,0.644804,0.769018
78,0.726145,0.836739
79,0.678788,0.805978
80,0.604199,0.735054
81,0.646344,0.772719
82,0.720437,0.832417
83,0.685551,0.808692
84,0.636016,0.757285
85,0.667297,0.786372
86,0.73069,0.840451
87,0.692977,0.813512
88,0.626241,0.751241
89,0.658087,0.781892
90,0.720872,0.832828
91,0.684485,0.807965
92,0.612215,0.747493
93,0.647675,0.774991
94,0.738401,0.843887
95,0.67148,0.802908
96,0.477916,0.641717
97,0.601979,0.741818
98,0.693415,0.817448
99,0.645837,0.78406
100,0.587635,0.718759
101,0.65107,0.772825
102,0.72736,0.836743
103,0.670871,0.79921
104,0.605467,0.732518
105,0.657049,0.777749
106,0.723911,0.833614
107,0.673628,0.801772
108,0.624395,0.747961
109,0.667785,0.787142
110,0.733259,0.842108
111,0.685795,0.80951
112,0.610252,0.740844
113,0.658225,0.782456
114,0.723553,0.835578
115,0.674648,0.803578
116,0.605028,0.741076
117,0.655847,0.779898
118,0.736311,0.844248
119,0.66991,0.800613
120,0.481084,0.645093
121,0.606666,0.746731
122,0.693349,0.819848
123,0.645323,0.784172
124,0.592426,0.722127
125,0.654118,0.77775
126,0.730343,0.840237
127,0.673155,0.801786
128,0.604336,0.732708
129,0.656,0.778854
130,0.724884,0.834612
131,0.678259,0.803314
132,0.629329,0.751842
133,0.6672,0.790247
134,0.737828,0.845366
135,0.690161,0.811903
136,0.618847,0.747419
137,0.665479,0.7885
138,0.732408,0.839964
139,0.681425,0.806504
140,0.617903,0.750614
141,0.663926,0.786892
142,0.742892,0.848686
143,0.676932,0.806307
144,0.496675,0.659783
145,0.618553,0.756377
146,0.701804,0.825508
147,0.652559,0.790313
148,0.603958,0.732394
149,0.666748,0.785383
150,0.740004,0.846365
151,0.681667,0.807433
152,0.615557,0.740547
153,0.664421,0.78456
154,0.732068,0.839834
155,0.68479,0.809084
156,0.635524,0.755103
157,0.674109,0.792783
158,0.746853,0.851511
159,0.697313,0.818697
160,0.630767,0.754574
161,0.673496,0.792827
162,0.739456,0.845726
163,0.688189,0.814044
164,0.624081,0.755472
165,0.664939,0.788097
166,0.75355,0.855837
167,0.688751,0.815483
168,0.518867,0.676083
169,0.624211,0.759685
170,0.705048,0.828189
171,0.666953,0.799169
172,0.614525,0.739494
173,0.670101,0.787149
174,0.742785,0.848483
175,0.688337,0.81319
176,0.625157,0.746583
177,0.67164,0.787779
178,0.739166,0.843867
179,0.693443,0.813907
180,0.643806,0.761361
181,0.679861,0.79717
182,0.749616,0.852519
183,0.700505,0.81947
184,0.637729,0.758826
185,0.67915,0.79558
186,0.738454,0.844807
187,0.694143,0.816922
188,0.639407,0.76461
189,0.679908,0.796489
190,0.750512,0.854556
191,0.68504,0.813563
192,0.510425,0.669085
193,0.627397,0.762208
194,0.706644,0.82918
195,0.660353,0.793386
196,0.609516,0.73386
197,0.667589,0.786315
198,0.738751,0.84678
199,0.687239,0.810524
200,0.625831,0.745913
201,0.670811,0.788016
202,0.733577,0.841473
203,0.690181,0.811421
204,0.642023,0.758672
205,0.6777,0.794372
206,0.747555,0.851569
207,0.700592,0.819358
208,0.62977,0.755021
209,0.677292,0.79418
210,0.740529,0.845431
211,0.694873,0.815254
212,0.637358,0.762308
213,0.677439,0.795096
214,0.756064,0.856267
215,0.692243,0.815725
216,0.530454,0.681949
217,0.63198,0.765442
218,0.711297,0.830802
219,0.666305,0.796839
220,0.61707,0.739068
221,0.677773,0.792814
222,0.750805,0.852112
223,0.689678,0.813685
224,0.631156,0.750769
225,0.680618,0.794295
226,0.742967,0.845709
227,0.69277,0.81471
228,0.648466,0.765442
229,0.691846,0.804283
230,0.753111,0.855276
231,0.702172,0.821985
232,0.644484,0.763018
233,0.684636,0.800236
234,0.744298,0.849517
235,0.693009,0.815974
236,0.63666,0.761905
237,0.682567,0.79787
238,0.755414,0.856869
239,0.687889,0.814166
240,0.527694,0.681273
241,0.637723,0.76844
242,0.715906,0.834095
243,0.665646,0.798031
244,0.620203,0.742228
245,0.676626,0.792253
246,0.751473,0.85327
247,0.68846,0.814293
248,0.631375,0.751686
249,0.683826,0.795529
250,0.74409,0.846528
251,0.687582,0.81237
252,0.647471,0.764482
253,0.694423,0.804447
254,0.755977,0.856389
255,0.696139,0.820283
256,0.638386,0.759093
257,0.687607,0.800407
258,0.746804,0.84954
259,0.69112,0.816005
260,0.642886,0.76654
261,0.690428,0.803184
262,0.759019,0.860345
263,0.692793,0.817795
264,0.536184,0.690277
265,0.643418,0.776265
266,0.716274,0.836502
267,0.670119,0.799991
268,0.626474,0.746881
269,0.683545,0.799413
270,0.747321,0.854073
271,0.690134,0.815452
272,0.630382,0.753593
273,0.68453,0.796652
274,0.739614,0.845709
275,0.694542,0.816252
276,0.651251,0.766655
277,0.690486,0.801469
278,0.754552,0.855987
279,0.704643,0.825173
280,0.645261,0.76701
281,0.693335,0.803835
282,0.744219,0.849334
283,0.699601,0.821792
284,0.654713,0.774264
285,0.688034,0.801999
286,0.760274,0.859946
287,0.699246,0.82266
288,0.546158,0.69567
289,0.643964,0.772458
290,0.71532,0.834977
291,0.673877,0.804697
292,0.628986,0.750194
293,0.68245,0.796914
294,0.750571,0.854728
295,0.692602,0.819304
296,0.630704,0.757213
297,0.685153,0.798551
298,0.743581,0.847821
299,0.697603,0.822101
300,0.654726,0.7727
301,0.696552,0.806947
302,0.761397,0.860354
303,0.707353,0.8305
304,0.63315,0.765071
305,0.690922,0.803601
306,0.746298,0.852039
307,0.703953,0.827317
308,0.6591,0.778945
309,0.691525,0.804334
310,0.76821,0.86567
311,0.711286,0.833963
312,0.577148,0.719597
313,0.652305,0.778179
314,0.721147,0.840331
315,0.692928,0.820971
316,0.646875,0.766888
317,0.689118,0.801755
318,0.753545,0.85846
319,0.708573,0.833764
320,0.645336,0.77021
321,0.687867,0.800832
322,0.744073,0.85185
323,0.711233,0.834211
324,0.669296,0.786466
325,0.696944,0.808739
326,0.755875,0.861462
327,0.71727,0.840982
328,0.654969,0.779638
329,0.69265,0.805757
330,0.747213,0.854615
331,0.71125,0.836167
332,0.668264,0.787714
333,0.691514,0.805023
334,0.764427,0.866243
335,0.711677,0.837603
336,0.569566,0.717597
337,0.647456,0.777469
338,0.71409,0.840009
339,0.690721,0.820617
340,0.645998,0.767398
341,0.68687,0.803886
342,0.750831,0.859599
343,0.709289,0.834389
344,0.644068,0.769877
345,0.689714,0.804276
346,0.745251,0.854328
347,0.706651,0.83208
348,0.665223,0.784734
349,0.698476,0.811931
350,0.756536,0.863136
351,0.712798,0.83841
352,0.655837,0.780488
353,0.697609,0.810915
354,0.747941,0.855884
355,0.702602,0.831272
356,0.664307,0.787549
357,0.69375,0.810005
358,0.75998,0.864175
359,0.706747,0.83312
360,0.563628,0.71773
361,0.647575,0.782517
362,0.712943,0.83987
363,0.681586,0.814409
364,0.641934,0.767843
365,0.686955,0.805781
366,0.742265,0.856412
367,0.701153,0.828847
368,0.646517,0.772653
369,0.690128,0.805604
370,0.735851,0.849271
371,0.703911,0.830186
372,0.665715,0.786062
373,0.69685,0.812609
374,0.747156,0.859471
375,0.713993,0.838517
376,0.659656,0.786615
377,0.695461,0.81254
378,0.737238,0.852381
379,0.706882,0.834108
380,0.672641,0.794341
381,0.696571,0.814529
382,0.761853,0.867411
383,0.709543,0.83847
384,0.580265,0.730475
385,0.659011,0.789515
386,0.718615,0.844749
387,0.689524,0.824475
388,0.651459,0.776783
389,0.695587,0.811467
390,0.756272,0.864616
391,0.707424,0.837002
392,0.654137,0.782319
393,0.695018,0.813092
394,0.746021,0.858168
395,0.711723,0.839253
396,0.673503,0.796892
397,0.710451,0.823331
398,0.760171,0.867078
399,0.718263,0.845331
