Frame, eSSIM, SSIM
0,0.522228,0.677734
1,0.560037,0.729605
2,0.710425,0.829977
3,0.618342,0.768643
4,0.496822,0.65832
5,0.557394,0.724615
6,0.707251,0.829612
7,0.633675,0.777536
8,0.611266,0.740553
9,0.645535,0.780721
10,0.752716,0.851095
11,0.677892,0.804154
12,0.588308,0.724861
13,0.642695,0.77834
14,0.756419,0.853214
15,0.690942,0.813123
16,0.617282,0.745905
17,0.656799,0.788853
18,0.764129,0.857827
19,0.702732,0.81968
20,0.630314,0.755349
21,0.65927,0.793135
22,0.76889,0.860889
23,0.702453,0.819067
24,0.62187,0.748074
25,0.660989,0.792985
26,0.772204,0.862455
27,0.703046,0.819094
28,0.63266,0.756072
29,0.66663,0.798924
30,0.774999,0.864549
31,0.700741,0.81928
32,0.641756,0.760397
33,0.687152,0.807536
34,0.786388,0.869672
35,0.705931,0.822586
36,0.628411,0.754028
37,0.67669,0.803057
38,0.782662,0.869108
39,0.705524,0.822785
40,0.628561,0.752671
41,0.672735,0.80224
42,0.785029,0.869531
43,0.714989,0.826841
44,0.639176,0.760616
45,0.680027,0.805527
46,0.793763,0.872065
47,0.715057,0.827606
48,0.640357,0.760833
49,0.684645,0.80814
50,0.7958,0.87314
51,0.716386,0.828327
52,0.648873,0.767538
53,0.688874,0.812386
54,0.797615,0.874248
55,0.720656,0.831056
56,0.641451,0.762192
57,0.684575,0.808777
58,0.795526,0.872726
59,0.711154,0.82651
60,0.64212,0.761985
61,0.686735,0.809505
62,0.796525,0.873463
63,0.714467,0.829153
64,0.639161,0.760543
65,0.688614,0.810554
66,0.798318,0.875042
67,0.714953,0.828725
68,0.63873,0.760606
69,0.696415,0.812927
70,0.802391,0.874925
71,0.719088,0.831481
72,0.649885,0.766855
73,0.69863,0.814658
74,0.803984,0.876868
75,0.715479,0.828555
76,0.642395,0.761489
77,0.69042,0.809569
78,0.803071,0.875611
79,0.720134,0.830723
80,0.651494,0.765966
81,0.699765,0.813615
82,0.805005,0.877283
83,0.719319,0.830008
84,0.652473,0.767432
85,0.693859,0.811583
86,0.79949,0.874259
87,0.718439,0.828837
88,0.649162,0.763945
89,0.69884,0.812637
90,0.804794,0.876171
91,0.718154,0.827415
92,0.64913,0.763556
93,0.69109,0.809143
94,0.800883,0.874136
95,0.71666,0.827189
96,0.651825,0.764496
97,0.704663,0.815328
98,0.806686,0.876114
99,0.716853,0.827278
100,0.652111,0.764893
101,0.698174,0.813793
102,0.80249,0.874624
103,0.713841,0.825877
104,0.645141,0.760213
105,0.698693,0.813133
106,0.808492,0.878126
107,0.718088,0.828413
108,0.655932,0.767992
109,0.699793,0.815765
110,0.806158,0.877199
111,0.720497,0.829915
112,0.647059,0.762355
113,0.696,0.814475
114,0.802902,0.876648
115,0.713718,0.825986
116,0.647432,0.761991
117,0.697038,0.813999
118,0.806143,0.878112
119,0.717858,0.82868
120,0.651336,0.765398
121,0.697316,0.815041
122,0.809183,0.8799
123,0.721858,0.830377
124,0.649216,0.763747
125,0.711201,0.821715
126,0.81686,0.883124
127,0.72458,0.833004
128,0.662133,0.773113
129,0.717674,0.826534
130,0.816956,0.884161
131,0.719974,0.83125
132,0.655351,0.769018
133,0.702773,0.819412
134,0.812253,0.881845
135,0.720792,0.831087
136,0.660473,0.77226
137,0.717008,0.82632
138,0.81972,0.885039
139,0.721517,0.832978
140,0.657235,0.771207
141,0.704698,0.821342
142,0.815254,0.883911
143,0.722627,0.833885
144,0.660437,0.774436
145,0.716232,0.827342
146,0.820184,0.885621
147,0.722881,0.835555
148,0.658879,0.774342
149,0.723262,0.831122
150,0.82456,0.888013
151,0.730497,0.840052
152,0.663438,0.776152
153,0.716848,0.828043
154,0.821208,0.887048
155,0.727872,0.838322
156,0.670255,0.781485
157,0.720635,0.831007
158,0.826469,0.889082
159,0.734479,0.84125
160,0.664124,0.776614
161,0.714043,0.827365
162,0.821661,0.888372
163,0.73653,0.843205
164,0.676588,0.785897
165,0.729801,0.837246
166,0.83069,0.892537
167,0.739131,0.846446
168,0.677621,0.787661
169,0.730919,0.837809
170,0.833123,0.894855
171,0.738701,0.845673
172,0.679939,0.789055
173,0.717863,0.832786
174,0.829155,0.894849
175,0.728187,0.842224
176,0.670936,0.783457
177,0.723985,0.834723
178,0.829338,0.893214
179,0.728442,0.839643
180,0.664304,0.778677
181,0.722396,0.833181
182,0.826411,0.890778
183,0.727048,0.838592
184,0.67661,0.786565
185,0.723813,0.833832
186,0.826854,0.891236
187,0.745756,0.847722
188,0.680297,0.78926
189,0.73117,0.83774
190,0.832821,0.893744
191,0.752344,0.852541
192,0.685055,0.7917
193,0.730522,0.838093
194,0.829909,0.89287
195,0.742342,0.846333
196,0.679051,0.788347
197,0.733415,0.839414
198,0.830632,0.893109
199,0.74835,0.850866
200,0.684324,0.790899
201,0.732924,0.838825
202,0.830706,0.892831
203,0.741329,0.84681
204,0.684651,0.79291
205,0.722339,0.835156
206,0.832881,0.896415
207,0.737104,0.846029
208,0.680241,0.789824
209,0.731439,0.8388
210,0.833446,0.893895
211,0.741442,0.845935
212,0.678071,0.788656
213,0.728468,0.836654
214,0.832894,0.893825
215,0.744264,0.847158
216,0.669835,0.784653
217,0.719887,0.837161
218,0.835813,0.897814
219,0.740102,0.846135
220,0.680213,0.789495
221,0.72083,0.837515
222,0.836722,0.898877
223,0.730989,0.845081
224,0.677023,0.787414
225,0.729178,0.838298
226,0.834909,0.895499
227,0.736404,0.845004
228,0.670202,0.783275
229,0.724428,0.833715
230,0.834045,0.893784
231,0.741296,0.846113
232,0.680017,0.78997
233,0.731251,0.839058
234,0.839456,0.897529
235,0.743313,0.846885
236,0.678257,0.785849
237,0.720102,0.831416
238,0.835614,0.894542
239,0.748676,0.851231
240,0.677633,0.785634
241,0.719219,0.830075
242,0.83699,0.894685
243,0.751506,0.8518
244,0.684533,0.789976
245,0.727684,0.834937
246,0.839664,0.897285
247,0.755977,0.855998
248,0.685477,0.791905
249,0.729673,0.836817
250,0.839954,0.897519
251,0.751005,0.852735
252,0.682624,0.789439
253,0.730548,0.837673
254,0.841318,0.898185
255,0.756121,0.856878
256,0.677648,0.787647
257,0.724961,0.835102
258,0.841695,0.898532
259,0.751222,0.854113
260,0.685634,0.792835
261,0.730941,0.838548
262,0.842783,0.899752
263,0.750714,0.854575
264,0.687654,0.796057
265,0.738362,0.844219
266,0.845361,0.902814
267,0.758996,0.859743
268,0.693677,0.800517
269,0.734659,0.842509
270,0.844551,0.900812
271,0.766937,0.862918
272,0.699447,0.803207
273,0.741151,0.843902
274,0.845719,0.902022
275,0.766556,0.862617
276,0.700657,0.804078
277,0.738467,0.842407
278,0.843962,0.900712
279,0.765693,0.863989
280,0.705835,0.807132
281,0.745654,0.846416
282,0.848411,0.903433
283,0.760801,0.861243
284,0.697692,0.801453
285,0.728305,0.838615
286,0.84497,0.903986
287,0.753422,0.860587
288,0.691958,0.797462
289,0.733186,0.839115
290,0.843511,0.900622
291,0.754036,0.858416
292,0.688038,0.795999
293,0.724403,0.83513
294,0.83742,0.897298
295,0.746495,0.854854
296,0.678107,0.788771
297,0.725993,0.832905
298,0.836976,0.896648
299,0.743596,0.85433
300,0.676402,0.788441
301,0.722589,0.831212
302,0.836477,0.896884
303,0.744308,0.853974
304,0.678149,0.788992
305,0.724189,0.83282
306,0.837509,0.897377
307,0.744351,0.857725
308,0.673826,0.78936
309,0.727505,0.837248
310,0.841668,0.899987
311,0.756794,0.861237
312,0.680134,0.790557
313,0.721496,0.832308
314,0.839553,0.899002
315,0.750821,0.859142
316,0.679943,0.791853
317,0.717522,0.831165
318,0.840078,0.901507
319,0.745159,0.859814
320,0.681333,0.79395
321,0.725492,0.833728
322,0.840295,0.899448
323,0.748554,0.858442
324,0.681634,0.794251
325,0.716549,0.830678
326,0.836075,0.897737
327,0.748628,0.859255
328,0.674856,0.78836
329,0.718109,0.830641
330,0.838454,0.898757
331,0.75264,0.86015
332,0.725906,0.827377
333,0.777529,0.870415
334,0.861145,0.916313
335,0.80467,0.892803
336,0.73431,0.83462
337,0.766827,0.862756
338,0.860713,0.915462
339,0.795175,0.887812
340,0.738349,0.836571
341,0.764511,0.862872
342,0.858738,0.9144
343,0.79543,0.887937
344,0.726696,0.829148
345,0.760603,0.859788
346,0.858533,0.914116
347,0.787942,0.884643
348,0.729812,0.830472
349,0.754386,0.857377
350,0.854438,0.913249
351,0.773766,0.878889
352,0.722601,0.825612
353,0.763081,0.859648
354,0.853493,0.911955
355,0.772036,0.876087
356,0.716845,0.823039
357,0.753187,0.855243
358,0.849187,0.908988
359,0.768833,0.87228
360,0.708692,0.81619
361,0.752868,0.854508
362,0.850333,0.90936
363,0.767672,0.872118
364,0.715281,0.81971
365,0.75421,0.854658
366,0.848026,0.908728
367,0.769301,0.873441
368,0.713882,0.820246
369,0.753645,0.854651
370,0.848731,0.909046
371,0.779972,0.878493
372,0.722632,0.825981
373,0.756809,0.857822
374,0.848964,0.910406
375,0.785915,0.881028
376,0.725456,0.828077
377,0.761044,0.859686
378,0.853076,0.912093
379,0.78126,0.879143
380,0.724171,0.826822
381,0.753572,0.857741
382,0.849906,0.912717
383,0.765609,0.875299
384,0.720351,0.824692
385,0.759471,0.858774
386,0.851472,0.910765
387,0.762993,0.872121
388,0.706113,0.816596
389,0.751258,0.85408
390,0.847039,0.908544
391,0.763014,0.871666
392,0.710889,0.818796
393,0.75282,0.855391
394,0.850442,0.909158
395,0.77483,0.876328
396,0.713868,0.821448
397,0.757982,0.857988
398,0.854803,0.91054
399,0.780677,0.878129
400,0.705067,0.817942
401,0.745893,0.855305
402,0.851932,0.912065
403,0.780172,0.877651
404,0.719284,0.824281
405,0.752809,0.856979
406,0.852609,0.910536
407,0.774035,0.875595
408,0.705636,0.815819
409,0.746333,0.853357
410,0.850426,0.90894
411,0.767473,0.870864
412,0.709759,0.8193
413,0.744804,0.853793
414,0.847635,0.907563
415,0.767923,0.871844
416,0.706257,0.817687
417,0.748885,0.855125
418,0.853701,0.908936
419,0.776243,0.875731
420,0.712109,0.821636
421,0.750683,0.856717
422,0.857346,0.910822
423,0.780362,0.877476
424,0.71357,0.820996
425,0.754237,0.858265
426,0.859113,0.912022
427,0.776955,0.87655
428,0.716971,0.82475
429,0.74807,0.856021
430,0.855835,0.910832
431,0.771841,0.874349
432,0.70404,0.815421
433,0.748547,0.855363
434,0.855895,0.91118
435,0.761051,0.869823
436,0.700128,0.81382
437,0.747587,0.854456
438,0.854169,0.909389
439,0.769048,0.87579
440,0.711022,0.820232
441,0.751163,0.855807
442,0.855416,0.91122
443,0.770075,0.874232
444,0.705779,0.817376
445,0.742513,0.851066
446,0.849536,0.90831
447,0.769112,0.873136
448,0.696633,0.811673
449,0.739877,0.852402
450,0.851314,0.911117
451,0.76857,0.873549
452,0.707125,0.818728
453,0.742588,0.853197
454,0.848007,0.907368
455,0.757492,0.867764
456,0.698057,0.81075
457,0.747871,0.854859
458,0.852901,0.911047
459,0.756846,0.866767
460,0.698886,0.811236
461,0.746783,0.853204
462,0.847636,0.908203
463,0.762513,0.870489
464,0.702822,0.813034
465,0.748261,0.853743
466,0.852004,0.910147
467,0.762881,0.870084
468,0.701476,0.811756
469,0.755019,0.854945
470,0.850652,0.90944
471,0.773106,0.87654
472,0.716633,0.823471
473,0.755166,0.856573
474,0.852697,0.910404
475,0.765174,0.874606
476,0.700617,0.814554
477,0.749218,0.855107
478,0.850257,0.909699
479,0.773089,0.876427
480,0.698124,0.812629
481,0.739884,0.848489
482,0.845058,0.906571
483,0.761919,0.87193
484,0.706931,0.819234
485,0.750132,0.855122
486,0.847917,0.908446
487,0.762369,0.870682
488,0.697766,0.81032
489,0.744114,0.850696
490,0.841742,0.905763
491,0.755956,0.866736
492,0.698355,0.810401
493,0.744069,0.849475
494,0.845305,0.907111
495,0.765166,0.871378
496,0.701944,0.812248
497,0.742776,0.84918
498,0.848331,0.908264
499,0.763345,0.8716
500,0.705797,0.814917
501,0.752108,0.852514
502,0.850907,0.909171
503,0.767274,0.873504
504,0.707994,0.815726
505,0.754579,0.853635
506,0.851741,0.90984
507,0.763601,0.874794
508,0.702725,0.815971
509,0.753228,0.856148
510,0.853113,0.91056
511,0.777127,0.877916
512,0.706583,0.815151
513,0.744824,0.850282
514,0.848026,0.90834
515,0.770936,0.875912
516,0.704356,0.814512
517,0.756098,0.857965
518,0.852167,0.910167
519,0.775588,0.876889
520,0.70675,0.814346
521,0.749133,0.85232
522,0.849848,0.909133
523,0.768924,0.874064
524,0.708657,0.815544
525,0.755758,0.855654
526,0.854051,0.911021
527,0.777764,0.878238
528,0.711129,0.817951
529,0.751756,0.855309
530,0.854375,0.912244
531,0.771286,0.874776
532,0.713477,0.821274
533,0.746732,0.853177
534,0.851752,0.910549
535,0.769901,0.874715
536,0.708575,0.817983
537,0.749746,0.854829
538,0.855975,0.912529
539,0.769213,0.874467
540,0.709333,0.819391
541,0.747378,0.853074
542,0.852726,0.910357
543,0.77247,0.877174
544,0.704901,0.815797
545,0.748184,0.852442
546,0.856242,0.911791
547,0.776703,0.87844
548,0.71222,0.819765
549,0.747725,0.852943
550,0.854822,0.911032
551,0.784635,0.881885
552,0.705957,0.816467
553,0.742902,0.849869
554,0.852988,0.910243
555,0.773462,0.876332
556,0.706567,0.814617
557,0.744684,0.849019
558,0.853622,0.910575
559,0.777256,0.879298
560,0.70473,0.812884
561,0.746652,0.850009
562,0.85485,0.911238
563,0.772502,0.876821
564,0.708125,0.816535
565,0.742923,0.849447
566,0.856281,0.910455
567,0.779235,0.879069
568,0.707974,0.815179
569,0.74617,0.85103
570,0.859059,0.913509
571,0.775977,0.877077
572,0.70497,0.812732
573,0.744453,0.84883
574,0.856253,0.91064
575,0.779209,0.879527
576,0.703366,0.812579
577,0.742055,0.847821
578,0.854807,0.910031
579,0.778211,0.877889
580,0.711087,0.816912
581,0.745729,0.850199
582,0.854815,0.909896
583,0.778697,0.87922
584,0.70872,0.815354
585,0.74641,0.850288
586,0.856219,0.911266
587,0.773178,0.876105
588,0.704873,0.813787
589,0.746001,0.850666
590,0.856102,0.910174
591,0.775503,0.876719
592,0.709448,0.815274
593,0.746184,0.849985
594,0.855785,0.910944
595,0.774735,0.87594
596,0.708426,0.816962
597,0.73718,0.846695
598,0.853006,0.908401
599,0.777577,0.87606
600,0.696742,0.808974
601,0.733877,0.844331
602,0.851316,0.90745
603,0.773047,0.874161
604,0.70142,0.81193
605,0.733649,0.844729
606,0.850665,0.907365
607,0.768363,0.871781
608,0.693751,0.806579
609,0.731302,0.842508
610,0.851217,0.906264
611,0.768958,0.872408
612,0.703053,0.813293
613,0.735488,0.845841
614,0.848287,0.906052
615,0.768051,0.870066
616,0.703352,0.810622
617,0.740547,0.846512
618,0.850183,0.90678
619,0.773639,0.872513
620,0.702051,0.809704
621,0.743793,0.848418
622,0.851751,0.907211
623,0.775367,0.87488
624,0.709093,0.814871
625,0.744239,0.848531
626,0.852462,0.909075
627,0.77714,0.87435
628,0.709943,0.815036
629,0.747549,0.849128
630,0.853146,0.907726
631,0.781416,0.875096
632,0.720886,0.821764
633,0.755948,0.854142
634,0.854155,0.909484
635,0.777856,0.875203
636,0.716477,0.819192
637,0.742166,0.847201
638,0.84867,0.906024
639,0.767376,0.870261
