Frame, eSSIM, SSIM
0,0.828494,0.889674
1,0.833994,0.893713
2,0.844452,0.903925
3,0.858205,0.910084
4,0.848714,0.902529
5,0.82122,0.893888
6,0.845877,0.908496
7,0.834488,0.90353
8,0.849906,0.903158
9,0.848239,0.903656
10,0.857834,0.911965
11,0.861558,0.911771
12,0.849351,0.902796
13,0.8215,0.893987
14,0.842958,0.907404
15,0.835661,0.903697
16,0.849609,0.902808
17,0.844681,0.901808
18,0.856386,0.910387
19,0.85694,0.909898
20,0.843038,0.899132
21,0.824745,0.894677
22,0.846182,0.914042
23,0.842653,0.911042
24,0.85218,0.904108
25,0.852987,0.906218
26,0.863523,0.914938
27,0.869983,0.91733
28,0.862809,0.91082
29,0.838731,0.902649
30,0.856085,0.915779
31,0.853737,0.91342
32,0.861835,0.910754
33,0.858162,0.910567
34,0.867036,0.918226
35,0.875564,0.920154
36,0.867799,0.914259
37,0.840128,0.904446
38,0.860918,0.918077
39,0.855692,0.914921
40,0.864352,0.912017
41,0.859375,0.910996
42,0.87062,0.919061
43,0.870944,0.917899
44,0.857436,0.908638
45,0.823817,0.899901
46,0.857717,0.918563
47,0.853727,0.914688
48,0.849408,0.902599
49,0.853754,0.905883
50,0.866372,0.915121
51,0.868938,0.915887
52,0.859273,0.90873
53,0.836915,0.902161
54,0.866256,0.916967
55,0.855969,0.912096
56,0.858247,0.909457
57,0.85817,0.910044
58,0.870711,0.918259
59,0.873219,0.917975
60,0.861298,0.91051
61,0.834995,0.901918
62,0.861725,0.916192
63,0.855731,0.912368
64,0.855354,0.906889
65,0.852191,0.906644
66,0.865589,0.915451
67,0.869238,0.915468
68,0.852014,0.905256
69,0.830669,0.89841
70,0.8575,0.917576
71,0.856466,0.91463
72,0.849094,0.901352
73,0.853962,0.905647
74,0.866331,0.914837
75,0.868549,0.914905
76,0.855447,0.906246
77,0.836884,0.900865
78,0.864825,0.917173
79,0.861076,0.913458
80,0.856757,0.906909
81,0.857503,0.908348
82,0.870941,0.917843
83,0.874492,0.918406
84,0.860951,0.910004
85,0.839779,0.902546
86,0.860981,0.91548
87,0.854251,0.911584
88,0.857046,0.907155
89,0.855209,0.906278
90,0.869516,0.916551
91,0.869548,0.915509
92,0.8522,0.903798
93,0.832733,0.899714
94,0.85997,0.916339
95,0.843983,0.909284
96,0.847361,0.897924
97,0.85177,0.902276
98,0.86332,0.912308
99,0.863329,0.911366
100,0.852328,0.902046
101,0.838423,0.89948
102,0.858273,0.913099
103,0.846135,0.906213
104,0.852627,0.902607
105,0.855122,0.905596
106,0.868448,0.915737
107,0.866056,0.912894
108,0.853163,0.90315
109,0.832698,0.896977
110,0.850511,0.910942
111,0.843601,0.906174
112,0.850156,0.901367
113,0.850781,0.903623
114,0.865126,0.914712
115,0.861444,0.910586
116,0.845369,0.89795
117,0.832752,0.898028
118,0.857288,0.917565
119,0.846429,0.909133
120,0.844461,0.89698
121,0.851501,0.903468
122,0.866393,0.915451
123,0.863048,0.911816
124,0.850819,0.901129
125,0.833432,0.898206
126,0.856147,0.915265
127,0.845188,0.908066
128,0.85368,0.903026
129,0.857303,0.907694
130,0.870532,0.918753
131,0.868619,0.915279
132,0.852771,0.9034
133,0.830489,0.898933
134,0.859668,0.916234
135,0.850551,0.910082
136,0.850116,0.902313
137,0.8528,0.905746
138,0.870357,0.918345
139,0.865677,0.913576
140,0.845832,0.899367
141,0.833129,0.90053
142,0.858341,0.921396
143,0.852937,0.913223
144,0.850776,0.902326
145,0.860411,0.909294
146,0.87654,0.920921
147,0.871822,0.917629
148,0.858525,0.907285
149,0.838767,0.903358
150,0.863872,0.919654
151,0.848224,0.911188
152,0.858295,0.906723
153,0.861064,0.910743
154,0.87864,0.922689
155,0.87328,0.918287
156,0.857379,0.905992
157,0.839979,0.901856
158,0.866518,0.92045
159,0.856096,0.913399
160,0.857599,0.906399
161,0.860088,0.909525
