Frame, eSSIM, SSIM
0,0.399853,0.493312
1,0.530737,0.666367
2,0.640328,0.773301
3,0.458938,0.602693
4,0.399432,0.493175
5,0.527854,0.664054
6,0.637979,0.772106
7,0.471972,0.615643
8,0.418343,0.51603
9,0.552856,0.685911
10,0.649924,0.779789
11,0.473253,0.616845
12,0.478564,0.580199
13,0.59845,0.722925
14,0.678333,0.794529
15,0.508758,0.64068
16,0.478691,0.579952
17,0.611638,0.733082
18,0.691357,0.802791
19,0.531811,0.660235
20,0.492736,0.591364
21,0.615724,0.736073
22,0.694175,0.804949
23,0.578979,0.700618
24,0.530739,0.628145
25,0.633918,0.751855
26,0.715991,0.819046
27,0.578873,0.700993
28,0.534079,0.631842
29,0.636774,0.754391
30,0.718754,0.821111
31,0.580035,0.701567
32,0.534078,0.632734
33,0.671194,0.784226
34,0.725374,0.825663
35,0.583767,0.704169
36,0.558231,0.663923
37,0.674419,0.787966
38,0.724819,0.825144
39,0.612924,0.724675
40,0.592658,0.691522
41,0.694425,0.798016
42,0.738168,0.832135
43,0.6158,0.727723
44,0.61055,0.704057
45,0.701238,0.802084
46,0.748746,0.837359
47,0.63888,0.742214
48,0.613439,0.706704
49,0.708777,0.806125
50,0.755683,0.841104
51,0.656301,0.755237
52,0.632156,0.722786
53,0.712236,0.809545
54,0.75701,0.842291
55,0.679231,0.770269
56,0.662511,0.747006
57,0.735744,0.823927
58,0.762138,0.845002
59,0.678802,0.770144
60,0.664441,0.750092
61,0.736491,0.825114
62,0.762279,0.845147
63,0.68014,0.770785
64,0.662753,0.748814
65,0.742943,0.831099
66,0.766319,0.847598
67,0.689266,0.776385
68,0.674934,0.759999
69,0.741484,0.831165
70,0.765477,0.847284
71,0.701267,0.787562
72,0.686934,0.772286
73,0.747302,0.835745
74,0.768618,0.84931
75,0.700581,0.787573
76,0.687641,0.774469
77,0.748981,0.837575
78,0.76884,0.849223
79,0.699914,0.786486
80,0.686027,0.772539
81,0.768089,0.847656
82,0.771328,0.850922
83,0.703398,0.789171
84,0.701159,0.786096
85,0.769252,0.848989
86,0.771467,0.851326
87,0.717169,0.798739
88,0.722381,0.80016
89,0.788864,0.857679
90,0.776376,0.853555
91,0.715919,0.798868
92,0.723278,0.801174
93,0.787833,0.856651
94,0.776722,0.853965
95,0.716767,0.798665
96,0.723317,0.800784
97,0.790459,0.858233
98,0.779361,0.855624
99,0.728874,0.808643
100,0.734242,0.809266
101,0.78872,0.857218
102,0.780289,0.856069
103,0.745383,0.818718
104,0.751599,0.81961
105,0.790097,0.858485
106,0.782181,0.857324
107,0.746071,0.819528
108,0.752059,0.819965
109,0.791291,0.858622
110,0.782918,0.857699
111,0.745316,0.81916
112,0.75034,0.818789
113,0.793432,0.859949
114,0.784014,0.858616
115,0.749854,0.822328
116,0.755637,0.822823
117,0.792053,0.859516
118,0.783955,0.85854
119,0.756643,0.828213
120,0.76284,0.830007
121,0.797937,0.864362
122,0.787092,0.860773
123,0.754745,0.827236
