Frame, eSSIM, SSIM
0,0.809521,0.861866
1,0.847345,0.896006
2,0.853738,0.901145
3,0.807347,0.862777
4,0.800828,0.854672
5,0.841838,0.891844
6,0.849833,0.898626
7,0.802711,0.860215
8,0.797666,0.852605
9,0.841343,0.891884
10,0.848329,0.897541
11,0.801766,0.859339
12,0.794935,0.852522
13,0.83861,0.890171
14,0.848242,0.897561
15,0.797614,0.857243
16,0.793796,0.850375
17,0.840126,0.89079
18,0.848116,0.897403
19,0.804426,0.861017
20,0.801052,0.854299
21,0.839425,0.890486
22,0.849954,0.898948
23,0.811291,0.866258
24,0.805575,0.8579
25,0.843547,0.893636
26,0.851503,0.900171
27,0.815389,0.869081
28,0.810977,0.863972
29,0.847892,0.896957
30,0.853108,0.900992
31,0.820227,0.872036
32,0.819845,0.870507
33,0.850838,0.899318
34,0.852663,0.900893
35,0.82502,0.875398
36,0.825648,0.875163
37,0.855443,0.902803
38,0.85643,0.903588
39,0.83048,0.880621
40,0.840797,0.887021
41,0.865914,0.909474
42,0.860073,0.905574
43,0.841605,0.887453
44,0.849759,0.894706
45,0.872842,0.914297
46,0.865191,0.909163
47,0.848653,0.893292
48,0.858651,0.900873
49,0.878569,0.917816
50,0.866129,0.909667
51,0.851559,0.894611
52,0.864798,0.90551
53,0.882314,0.920345
54,0.868265,0.911053
55,0.856023,0.89852
56,0.868,0.906638
57,0.884646,0.921724
58,0.869273,0.911933
59,0.859127,0.900746
60,0.873974,0.911855
61,0.887646,0.92315
62,0.869905,0.912132
63,0.862314,0.903008
64,0.877494,0.913458
65,0.8898,0.924779
66,0.87372,0.914548
67,0.865449,0.905596
68,0.882921,0.918127
69,0.8944,0.927907
70,0.874889,0.915539
71,0.868817,0.90784
72,0.885297,0.91969
73,0.894868,0.928436
74,0.87612,0.916266
75,0.871567,0.910396
76,0.88807,0.922022
77,0.89763,0.930044
78,0.877848,0.917176
79,0.870689,0.909153
80,0.89096,0.923979
81,0.899177,0.931054
82,0.878904,0.918054
83,0.874065,0.911942
84,0.890991,0.923979
85,0.90112,0.932386
86,0.881039,0.919424
87,0.876128,0.913328
88,0.89459,0.926926
89,0.902321,0.933099
90,0.881012,0.918895
91,0.877926,0.915197
92,0.896606,0.927824
93,0.904011,0.934019
94,0.882801,0.920343
95,0.876425,0.913848
96,0.901128,0.93079
97,0.906093,0.935649
98,0.883495,0.920893
99,0.880185,0.916298
100,0.898518,0.928794
101,0.905708,0.935671
102,0.884469,0.921599
103,0.880362,0.916133
104,0.901735,0.931504
105,0.906238,0.935944
106,0.88351,0.920892
107,0.881854,0.917966
108,0.902593,0.931776
109,0.908285,0.93706
110,0.886072,0.922587
111,0.881869,0.917313
112,0.906035,0.934741
113,0.909919,0.938438
114,0.886947,0.923341
115,0.883618,0.919234
116,0.903706,0.932778
117,0.91107,0.939191
118,0.887744,0.924004
119,0.884455,0.919315
120,0.906924,0.934963
121,0.911209,0.938945
122,0.886576,0.923039
123,0.885783,0.920887
124,0.906913,0.934953
125,0.911618,0.939494
126,0.888564,0.924152
127,0.885194,0.919752
128,0.910958,0.937962
129,0.913731,0.940748
130,0.889545,0.924701
131,0.887504,0.921856
132,0.908339,0.935933
133,0.913682,0.940795
134,0.890055,0.924922
135,0.888281,0.922034
136,0.912169,0.938535
137,0.914057,0.940867
138,0.889913,0.924652
139,0.890458,0.924362
140,0.91138,0.938071
141,0.915095,0.941541
142,0.891317,0.925872
143,0.888984,0.922393
144,0.915946,0.941116
145,0.91661,0.942594
146,0.892916,0.926636
147,0.892322,0.925144
148,0.917421,0.942077
149,0.917409,0.943161
150,0.893838,0.927421
151,0.894777,0.927384
152,0.915126,0.940405
153,0.918162,0.943621
154,0.894173,0.927448
155,0.893444,0.925739
156,0.919427,0.943722
157,0.918094,0.943548
158,0.894304,0.92768
159,0.894597,0.92677
160,0.917805,0.941946
161,0.919285,0.94473
162,0.894494,0.927791
163,0.893972,0.925949
164,0.919472,0.943438
165,0.918815,0.944166
166,0.895361,0.928271
167,0.897508,0.929356
168,0.917045,0.942061
169,0.920293,0.944955
170,0.896332,0.928476
171,0.895049,0.926833
172,0.92357,0.946259
173,0.92106,0.945087
174,0.896619,0.928898
175,0.896554,0.928795
176,0.919676,0.943704
177,0.922894,0.946638
178,0.898071,0.929982
179,0.895515,0.927295
180,0.922301,0.945513
181,0.921728,0.945544
