Frame, eSSIM, SSIM
0,0.433134,0.536197
1,0.595613,0.734974
2,0.767599,0.847954
3,0.495667,0.650979
4,0.433713,0.536833
5,0.593196,0.73243
6,0.764212,0.845787
7,0.495481,0.650735
8,0.43391,0.536913
9,0.597246,0.734928
10,0.7653,0.846781
11,0.4951,0.650494
12,0.431999,0.535447
13,0.592334,0.731127
14,0.762568,0.844703
15,0.493155,0.649141
16,0.431516,0.534553
17,0.595904,0.733152
18,0.763478,0.845374
19,0.506427,0.657895
20,0.444688,0.545803
21,0.598415,0.734722
22,0.768167,0.848238
23,0.506821,0.65857
24,0.450496,0.550231
25,0.603395,0.738617
26,0.771366,0.850088
27,0.514699,0.664101
28,0.451531,0.551271
29,0.608258,0.741871
30,0.774589,0.852168
31,0.530686,0.67532
32,0.463843,0.561676
33,0.608181,0.742093
34,0.773191,0.851161
35,0.53792,0.680657
36,0.476694,0.574448
37,0.617202,0.748763
38,0.780265,0.855261
39,0.53949,0.682341
40,0.502112,0.597485
41,0.636672,0.761282
42,0.783066,0.857525
43,0.562279,0.697471
44,0.504956,0.601199
45,0.64684,0.76698
46,0.783436,0.857565
47,0.571926,0.704388
48,0.533254,0.626951
49,0.657925,0.774232
50,0.787095,0.859487
51,0.587865,0.715353
52,0.535685,0.629996
53,0.665169,0.778184
54,0.789463,0.861504
55,0.602235,0.725688
56,0.548247,0.640279
57,0.666368,0.779416
58,0.789403,0.861272
59,0.610791,0.731383
60,0.55919,0.64985
61,0.670629,0.781476
62,0.792831,0.863253
63,0.618694,0.736999
64,0.565625,0.654528
65,0.675524,0.785287
66,0.79654,0.865675
67,0.619744,0.737361
68,0.576704,0.66455
69,0.679226,0.787499
70,0.79653,0.865869
71,0.637525,0.749996
72,0.584821,0.671204
73,0.685431,0.79138
74,0.799123,0.866997
75,0.63666,0.749662
76,0.592513,0.678748
77,0.687997,0.792406
78,0.800131,0.867371
79,0.644411,0.754689
80,0.591173,0.677213
81,0.692307,0.795048
82,0.802507,0.868852
83,0.652706,0.760074
84,0.600964,0.686446
85,0.69158,0.79534
86,0.803324,0.86949
87,0.660439,0.765616
88,0.608683,0.692882
89,0.698569,0.799881
90,0.802739,0.869171
91,0.659625,0.764759
92,0.615344,0.698841
93,0.702664,0.801452
94,0.805062,0.870285
95,0.662609,0.766994
96,0.613966,0.696667
97,0.708418,0.805028
98,0.807124,0.871677
99,0.669847,0.772384
100,0.623105,0.705099
101,0.709119,0.805139
102,0.807614,0.871903
103,0.67454,0.775165
104,0.628458,0.709329
105,0.714467,0.808738
106,0.807628,0.872051
107,0.673808,0.774622
108,0.634062,0.71422
109,0.716664,0.80953
110,0.808716,0.872293
111,0.678167,0.77745
112,0.633899,0.714105
113,0.719913,0.811282
114,0.810286,0.873389
115,0.681775,0.779807
116,0.637731,0.717406
117,0.720322,0.812
118,0.810307,0.873401
119,0.685274,0.78231
120,0.64218,0.721069
121,0.725625,0.814877
122,0.810017,0.873051
123,0.684452,0.781395
124,0.644247,0.723465
125,0.72595,0.815496
126,0.812607,0.874439
127,0.687567,0.784074
128,0.644426,0.724114
129,0.728572,0.817469
130,0.812251,0.874415
131,0.689487,0.785314
132,0.647332,0.726395
133,0.725853,0.815452
134,0.811284,0.873809
135,0.692554,0.787109
136,0.649877,0.728461
137,0.728846,0.817564
138,0.81028,0.873394
139,0.691689,0.786459
140,0.652446,0.730951
141,0.728769,0.817723
142,0.813034,0.874756
143,0.693055,0.788109
144,0.650513,0.729073
145,0.731758,0.818924
146,0.815467,0.875924
147,0.6966,0.790078
148,0.655561,0.732883
149,0.732134,0.819471
150,0.815444,0.875995
151,0.696428,0.789905
152,0.655817,0.73325
153,0.733305,0.820452
154,0.81451,0.87578
155,0.695939,0.78988
156,0.655937,0.734019
157,0.733891,0.820546
158,0.814548,0.876051
159,0.69801,0.791336
160,0.656879,0.734311
161,0.733665,0.82024
162,0.813504,0.875262
163,0.698923,0.792093
164,0.659163,0.736594
165,0.735349,0.821013
166,0.815532,0.876677
167,0.698548,0.792724
168,0.659888,0.737323
169,0.737013,0.822314
170,0.815523,0.876548
171,0.698847,0.792988
172,0.660149,0.738067
173,0.738932,0.823691
174,0.81666,0.877534
175,0.702405,0.795409
176,0.662642,0.740131
177,0.739814,0.824644
178,0.817007,0.877557
179,0.70216,0.794874
180,0.665635,0.742959
181,0.740962,0.825227
182,0.816181,0.877021
183,0.703765,0.796052
184,0.667394,0.743209
185,0.743436,0.826072
186,0.815889,0.876926
187,0.705305,0.796732
188,0.668685,0.744806
189,0.743629,0.825954
190,0.817022,0.877162
191,0.707545,0.798227
192,0.66976,0.745133
193,0.744743,0.826944
194,0.816008,0.877038
195,0.708511,0.798526
196,0.673718,0.748877
