Frame, eSSIM, SSIM
0,0.302493,0.393121
1,0.368175,0.609478
2,0.906979,0.964239
3,0.483952,0.720989
4,0.270363,0.36589
5,0.370612,0.611064
6,0.906373,0.964094
7,0.483495,0.720549
8,0.270435,0.365447
9,0.368755,0.60985
10,0.90426,0.96409
11,0.482122,0.720179
12,0.298411,0.392784
13,0.398356,0.629387
14,0.906153,0.964925
15,0.494177,0.726885
16,0.331851,0.426708
17,0.402827,0.635565
18,0.904436,0.963815
19,0.502052,0.733214
20,0.309133,0.407666
21,0.431477,0.656456
22,0.906236,0.963971
23,0.511511,0.739681
24,0.320016,0.420511
25,0.411905,0.642715
26,0.908416,0.964281
27,0.525758,0.747199
28,0.322057,0.425079
29,0.42349,0.651113
30,0.907663,0.962536
31,0.508075,0.737979
32,0.349343,0.452107
33,0.424474,0.653037
34,0.9042,0.96213
35,0.516457,0.743672
36,0.329821,0.433155
37,0.450074,0.671139
38,0.904827,0.962231
39,0.520063,0.74581
40,0.33272,0.436763
41,0.429146,0.656482
42,0.901124,0.961595
43,0.527717,0.749055
44,0.330506,0.435643
45,0.433817,0.658587
46,0.906351,0.962586
47,0.517081,0.744204
48,0.355521,0.460349
49,0.43459,0.658616
50,0.904358,0.961718
51,0.520902,0.747052
52,0.339482,0.44464
53,0.452413,0.673587
54,0.902927,0.961167
55,0.525719,0.750622
56,0.341177,0.44797
57,0.436076,0.661361
58,0.908236,0.962239
59,0.548164,0.760935
60,0.343408,0.449913
61,0.440794,0.663782
62,0.904293,0.961593
63,0.523964,0.750105
64,0.363906,0.470001
65,0.440565,0.663641
66,0.903833,0.961552
67,0.527479,0.751927
68,0.340642,0.448109
69,0.45817,0.676765
70,0.902695,0.961556
71,0.530042,0.752469
72,0.3459,0.454172
73,0.437207,0.662525
74,0.909295,0.962088
75,0.545194,0.760598
76,0.345439,0.454384
77,0.437616,0.662901
78,0.906117,0.962996
79,0.547495,0.763071
80,0.346664,0.454
81,0.439796,0.664241
82,0.904564,0.962448
83,0.542897,0.760031
84,0.34866,0.457216
85,0.4407,0.664405
86,0.906493,0.96243
87,0.546606,0.761668
88,0.350764,0.458315
89,0.441516,0.665373
90,0.905731,0.962521
91,0.54421,0.76148
92,0.350029,0.458299
93,0.443408,0.665935
94,0.908514,0.963232
95,0.547333,0.763026
96,0.348141,0.456854
97,0.445531,0.667596
98,0.908254,0.962255
99,0.548667,0.763905
100,0.348873,0.458321
101,0.444137,0.666808
102,0.909697,0.962218
103,0.54798,0.76283
