Frame, eSSIM, SSIM
0,0.343149,0.43899
1,0.384561,0.624691
2,0.926158,0.964757
3,0.493038,0.731556
4,0.28685,0.39063
5,0.396442,0.631824
6,0.925117,0.964498
7,0.49507,0.732271
8,0.290141,0.393433
9,0.388766,0.626983
10,0.921513,0.964201
11,0.507661,0.738168
12,0.29433,0.397584
13,0.393714,0.629108
14,0.921183,0.965117
15,0.495523,0.732592
16,0.30837,0.409176
17,0.408505,0.64164
18,0.925497,0.964918
19,0.499202,0.737438
20,0.305471,0.411199
21,0.448711,0.666665
22,0.929334,0.965283
23,0.525971,0.755367
24,0.362798,0.475327
25,0.463158,0.684951
26,0.93269,0.965542
27,0.57896,0.780241
28,0.405044,0.519534
29,0.509854,0.716329
30,0.931055,0.964458
31,0.542729,0.767043
32,0.498175,0.598194
33,0.534813,0.733708
34,0.930368,0.964745
35,0.575414,0.783618
36,0.438101,0.550427
37,0.588982,0.764015
38,0.931963,0.964945
39,0.577711,0.786303
40,0.447349,0.558567
41,0.541112,0.737248
42,0.928538,0.964348
43,0.610272,0.798759
44,0.449628,0.561449
45,0.545754,0.739627
46,0.932054,0.965268
47,0.577075,0.785094
48,0.486493,0.589325
49,0.541986,0.737934
50,0.929952,0.964323
51,0.582626,0.788252
52,0.44633,0.560043
53,0.585998,0.763231
54,0.931799,0.964466
55,0.586127,0.791685
56,0.461611,0.574032
57,0.555699,0.746067
58,0.934553,0.965026
59,0.620215,0.805285
60,0.464278,0.576614
61,0.561759,0.748984
62,0.930936,0.964312
63,0.591566,0.794592
64,0.517134,0.618373
65,0.561721,0.751053
66,0.92899,0.964361
67,0.603893,0.800646
68,0.470263,0.581941
69,0.60131,0.77265
70,0.931674,0.964735
71,0.600241,0.799008
72,0.474361,0.587218
73,0.608274,0.776225
74,0.933819,0.964967
75,0.596056,0.79815
76,0.477156,0.591096
77,0.56684,0.753878
78,0.933687,0.965655
79,0.630125,0.812164
80,0.475861,0.590049
81,0.572939,0.75797
82,0.931082,0.965164
83,0.599206,0.800456
84,0.524963,0.628287
85,0.573376,0.758901
86,0.934098,0.965214
87,0.602316,0.80088
88,0.476051,0.591148
89,0.612016,0.780136
90,0.932547,0.965189
91,0.604934,0.802852
92,0.479814,0.594112
93,0.603512,0.77433
94,0.935006,0.965769
95,0.602708,0.802846
96,0.484695,0.597913
97,0.604072,0.774905
98,0.933052,0.964996
99,0.608086,0.805293
100,0.482545,0.596477
101,0.606094,0.776548
102,0.934191,0.965002
103,0.605246,0.802908
104,0.484054,0.597796
105,0.604879,0.775919
106,0.933993,0.96507
107,0.612152,0.805937
108,0.485829,0.601129
109,0.61815,0.783923
110,0.933415,0.965201
111,0.602287,0.803127
112,0.488583,0.60236
113,0.614861,0.782655
114,0.934568,0.965458
115,0.605519,0.803682
116,0.485659,0.599889
117,0.607329,0.777677
118,0.934083,0.964984
119,0.610169,0.80647
120,0.487924,0.601714
121,0.60573,0.776833
122,0.934122,0.965284
123,0.614062,0.807663
124,0.489896,0.603676
125,0.608298,0.778879
126,0.935738,0.965825
127,0.610881,0.80653
128,0.486865,0.601924
129,0.614625,0.782242
130,0.935313,0.965759
131,0.610828,0.80708
132,0.488668,0.60355
133,0.611088,0.778901
134,0.935225,0.96519
135,0.611192,0.807234
136,0.488751,0.603048
137,0.607929,0.778465
138,0.933539,0.964886
139,0.61144,0.807838
140,0.489885,0.605373
141,0.617722,0.784098
142,0.934511,0.964929
143,0.612833,0.808245
144,0.490806,0.605729
145,0.620337,0.785499
146,0.933101,0.964454
147,0.609171,0.807037
148,0.491384,0.606802
149,0.607437,0.778134
150,0.933638,0.965063
151,0.610469,0.807341
152,0.494394,0.608592
153,0.607301,0.777412
154,0.933083,0.964688
155,0.61679,0.809754
156,0.486518,0.602947
157,0.607669,0.778013
158,0.934059,0.964664
159,0.61115,0.80708
160,0.492323,0.606236
161,0.608728,0.778718
162,0.935431,0.964867
163,0.61425,0.808664
164,0.493707,0.60953
165,0.618456,0.7844
166,0.934667,0.965161
167,0.613784,0.809631
168,0.490522,0.607218
169,0.618163,0.7847
170,0.933973,0.965055
171,0.61724,0.810299
172,0.492146,0.60835
173,0.612577,0.781259
174,0.934705,0.965268
175,0.614191,0.809063
176,0.489352,0.604929
177,0.611344,0.780446
178,0.934731,0.965119
179,0.612158,0.808093
180,0.494494,0.610178
181,0.615882,0.783271
182,0.933741,0.964461
183,0.611877,0.808402
184,0.48991,0.607025
185,0.626445,0.789137
186,0.933717,0.964823
187,0.605153,0.806288
188,0.488617,0.605873
189,0.614354,0.782356
190,0.934102,0.965084
191,0.614749,0.809497
192,0.493705,0.607894
193,0.613614,0.781221
194,0.932875,0.964631
195,0.61798,0.811327
196,0.493206,0.608738
197,0.615913,0.783689
198,0.934377,0.965123
199,0.61192,0.808903
200,0.492684,0.609259
201,0.61265,0.781489
202,0.93284,0.96463
203,0.612173,0.808197
204,0.496276,0.611423
205,0.61801,0.784911
206,0.933834,0.964654
207,0.616685,0.809817
208,0.490677,0.608667
209,0.621284,0.786568
210,0.935482,0.965562
211,0.611506,0.808664
212,0.495357,0.611174
213,0.613021,0.782189
214,0.933864,0.964211
215,0.613622,0.808929
216,0.489651,0.606056
217,0.612524,0.780953
218,0.931544,0.963869
219,0.611288,0.809002
220,0.490862,0.607929
221,0.61046,0.780287
222,0.934488,0.964678
223,0.615588,0.810512
224,0.49058,0.608239
225,0.623958,0.788676
226,0.932853,0.964411
227,0.611275,0.808511
228,0.491681,0.608298
229,0.612568,0.781599
230,0.934996,0.96485
231,0.606536,0.806544
232,0.492605,0.609755
233,0.614202,0.782136
234,0.933927,0.96501
235,0.614909,0.809334
236,0.491576,0.608566
237,0.617121,0.785347
238,0.934425,0.965002
239,0.614289,0.810362
240,0.492206,0.610397
241,0.622306,0.787727
242,0.934207,0.965506
243,0.60643,0.807196
244,0.492091,0.608306
245,0.612407,0.781665
246,0.933871,0.96457
247,0.610942,0.808228
248,0.488802,0.607073
249,0.611462,0.780998
250,0.934405,0.96503
251,0.614905,0.81041
252,0.491488,0.60954
253,0.610637,0.781379
254,0.934176,0.964791
255,0.606634,0.806609
256,0.482664,0.601929
257,0.609449,0.779737
258,0.932999,0.964623
259,0.607998,0.806817
260,0.486068,0.604951
261,0.607971,0.78028
262,0.933454,0.965078
263,0.601219,0.805012
264,0.483576,0.603792
265,0.617846,0.784601
266,0.934321,0.964632
267,0.604552,0.80614
268,0.484053,0.603539
269,0.608347,0.77852
270,0.934877,0.965731
271,0.602508,0.805111
272,0.484394,0.604206
273,0.603882,0.777049
274,0.934411,0.965059
275,0.604011,0.804207
276,0.481421,0.600935
277,0.606087,0.778008
278,0.931228,0.963626
279,0.601881,0.80436
280,0.486734,0.605498
281,0.607999,0.779488
282,0.933035,0.965014
283,0.603815,0.805609
284,0.487113,0.606194
285,0.607925,0.777902
286,0.93478,0.965587
287,0.602637,0.806247
288,0.486943,0.604124
289,0.606662,0.777687
290,0.934506,0.965511
291,0.606048,0.806004
292,0.484765,0.602682
293,0.606226,0.777743
294,0.934445,0.964744
295,0.605168,0.804855
296,0.480174,0.599614
297,0.604432,0.776192
298,0.932618,0.964779
299,0.604552,0.805502
300,0.482409,0.601248
301,0.609096,0.779109
302,0.933413,0.965073
303,0.601867,0.803932
304,0.485505,0.603467
305,0.61827,0.784586
306,0.934391,0.965539
307,0.602466,0.80387
308,0.481867,0.600973
309,0.601983,0.776016
310,0.931654,0.964596
311,0.606308,0.805771
312,0.481723,0.601254
313,0.604189,0.776854
314,0.935511,0.965362
315,0.601918,0.803939
316,0.482635,0.6021
317,0.610352,0.780616
318,0.934259,0.964988
319,0.604914,0.805364
320,0.485397,0.603563
321,0.613468,0.782622
322,0.935255,0.964975
323,0.60795,0.806942
324,0.490229,0.607593
325,0.61031,0.781585
326,0.935221,0.964886
327,0.60865,0.806974
328,0.481785,0.600736
329,0.605251,0.777257
330,0.934481,0.965146
331,0.629319,0.814381
332,0.677881,0.758262
333,0.563234,0.757435
334,0.933702,0.965812
335,0.597591,0.80655
336,0.52949,0.638593
337,0.566509,0.758357
338,0.933094,0.964793
339,0.604327,0.80772
340,0.472992,0.597565
341,0.612115,0.782843
342,0.932989,0.965351
343,0.596964,0.805398
344,0.477182,0.600918
345,0.564124,0.757728
346,0.933756,0.965285
347,0.638501,0.82081
348,0.474073,0.598126
349,0.571529,0.761448
350,0.933343,0.964979
351,0.597909,0.805433
352,0.522868,0.633547
353,0.569079,0.760178
354,0.935209,0.965801
355,0.606557,0.809219
356,0.528224,0.637506
357,0.571167,0.761542
358,0.934052,0.965077
359,0.603286,0.807217
360,0.473826,0.598984
361,0.607182,0.780873
362,0.935223,0.965409
363,0.601878,0.80746
364,0.483413,0.605413
365,0.573508,0.763406
366,0.93482,0.96536
367,0.636825,0.820168
368,0.47828,0.601993
369,0.577263,0.765214
370,0.933658,0.965264
371,0.602792,0.808007
372,0.528021,0.638139
373,0.581151,0.766886
374,0.934297,0.964931
375,0.609775,0.810556
376,0.481364,0.60416
377,0.614349,0.784205
378,0.936519,0.965579
379,0.609047,0.809708
380,0.487098,0.608464
381,0.619148,0.787174
382,0.935928,0.96574
383,0.603833,0.80769
384,0.492282,0.610744
385,0.578564,0.766133
386,0.93804,0.966485
387,0.640779,0.820999
388,0.489774,0.610407
389,0.581411,0.766653
390,0.936686,0.966157
391,0.606977,0.808583
392,0.536055,0.644432
393,0.585698,0.769777
394,0.932773,0.965007
395,0.613558,0.811728
396,0.491633,0.612845
397,0.625398,0.791308
398,0.936257,0.966166
399,0.61125,0.811574
400,0.497023,0.615437
401,0.586085,0.771242
402,0.936957,0.966231
403,0.645214,0.824201
404,0.495138,0.615368
405,0.589317,0.771717
406,0.937201,0.966528
407,0.61145,0.812128
408,0.539234,0.648733
409,0.584741,0.769904
410,0.937138,0.966196
411,0.618095,0.814094
412,0.497289,0.617948
413,0.62864,0.792807
414,0.935803,0.966117
415,0.611435,0.811817
416,0.497698,0.617458
417,0.617888,0.786345
418,0.938872,0.966203
419,0.613675,0.811595
420,0.494265,0.61488
421,0.632693,0.794797
422,0.937311,0.966168
423,0.614111,0.813045
424,0.497862,0.618587
425,0.624565,0.791362
426,0.937009,0.966602
427,0.612427,0.812174
428,0.497758,0.616784
429,0.618055,0.786959
430,0.937089,0.966463
431,0.615807,0.81239
432,0.497349,0.617115
433,0.617787,0.786314
434,0.935908,0.966211
435,0.61387,0.811331
436,0.501805,0.619971
437,0.618606,0.787167
438,0.934448,0.965418
439,0.616569,0.813636
440,0.500802,0.619136
441,0.626258,0.79207
442,0.936696,0.966464
443,0.612363,0.812011
444,0.494855,0.616099
445,0.618598,0.786529
446,0.936233,0.966135
447,0.614001,0.812121
448,0.493644,0.614575
449,0.621596,0.787663
450,0.936869,0.966649
451,0.612438,0.811794
452,0.495441,0.617166
453,0.620261,0.787499
454,0.93694,0.966669
455,0.61108,0.810763
456,0.49429,0.61365
457,0.6159,0.785615
458,0.935997,0.965875
459,0.614803,0.812223
460,0.498471,0.616822
461,0.624062,0.791126
462,0.934895,0.965529
463,0.612964,0.811165
464,0.490906,0.612403
465,0.625718,0.791165
466,0.936139,0.966456
467,0.617411,0.813331
468,0.491533,0.612153
469,0.619429,0.787352
470,0.936037,0.966241
471,0.610959,0.811126
472,0.493888,0.613738
473,0.61651,0.786089
474,0.934455,0.965312
475,0.608859,0.809671
476,0.494329,0.612873
477,0.620519,0.787163
478,0.934619,0.965348
479,0.611531,0.809779
480,0.495599,0.613952
481,0.624987,0.790594
482,0.935327,0.965757
483,0.608487,0.809012
484,0.49387,0.614242
485,0.614927,0.786098
486,0.93531,0.965671
487,0.60363,0.806772
488,0.493314,0.612678
489,0.616993,0.78599
490,0.936134,0.9657
491,0.609934,0.80906
492,0.492015,0.612221
493,0.626822,0.790868
494,0.933996,0.965217
495,0.615479,0.811466
496,0.495555,0.615672
497,0.628484,0.792763
498,0.934169,0.965634
499,0.606311,0.807393
500,0.495987,0.614993
501,0.615629,0.784841
502,0.937757,0.966357
503,0.607477,0.808415
504,0.490873,0.611682
505,0.618768,0.786931
506,0.934564,0.965283
507,0.611334,0.808965
508,0.492455,0.613041
509,0.624419,0.790996
510,0.936198,0.966287
511,0.608415,0.80884
512,0.490437,0.611264
513,0.621717,0.788244
514,0.934306,0.96523
515,0.612581,0.81006
516,0.493273,0.612985
517,0.625672,0.791456
