Frame, eSSIM, SSIM
0,0.201251,0.265598
1,0.316466,0.572346
2,0.975916,0.99106
3,0.402745,0.673429
4,0.186494,0.251296
5,0.315922,0.571941
6,0.974993,0.990459
7,0.403578,0.673648
8,0.191426,0.256741
9,0.31728,0.572804
10,0.975417,0.990324
11,0.403348,0.673773
12,0.307859,0.400066
13,0.41928,0.662194
14,0.971558,0.988791
15,0.447129,0.704642
16,0.33905,0.444519
17,0.448729,0.686045
18,0.972092,0.989047
19,0.47501,0.725384
20,0.327716,0.427808
21,0.508167,0.724324
22,0.971327,0.988489
23,0.487119,0.736279
24,0.345945,0.446921
25,0.467118,0.697768
26,0.971896,0.988667
27,0.52805,0.756916
28,0.358711,0.461338
29,0.475455,0.703711
30,0.973057,0.988854
31,0.497724,0.743596
32,0.425118,0.523377
33,0.487374,0.711014
34,0.972697,0.988783
35,0.51459,0.753227
36,0.365838,0.472087
37,0.528837,0.736921
38,0.972044,0.988667
39,0.52637,0.761909
40,0.375444,0.482052
41,0.48696,0.711941
42,0.973269,0.989138
43,0.588494,0.793648
44,0.377206,0.48582
45,0.493567,0.716
46,0.972931,0.989029
47,0.526121,0.76282
48,0.439673,0.5421
49,0.495613,0.719345
50,0.972259,0.988872
51,0.530003,0.765048
52,0.3851,0.494149
53,0.537637,0.743899
54,0.972256,0.98891
55,0.537339,0.770429
56,0.389854,0.497832
57,0.497519,0.720269
58,0.972784,0.988759
59,0.595686,0.79769
60,0.3929,0.501832
61,0.499809,0.721009
62,0.972633,0.988966
63,0.535529,0.768892
64,0.451885,0.552067
65,0.50263,0.723274
66,0.973279,0.988915
67,0.535785,0.76953
68,0.391739,0.500674
69,0.543029,0.747237
70,0.972711,0.989168
71,0.537285,0.770712
72,0.397307,0.505265
73,0.505756,0.724196
74,0.972546,0.988896
75,0.600767,0.799498
76,0.395811,0.506227
77,0.511376,0.728155
78,0.973212,0.989541
79,0.538008,0.770673
80,0.458338,0.559093
81,0.513189,0.729185
82,0.972809,0.988889
83,0.539416,0.77174
84,0.39833,0.508235
85,0.548015,0.749513
86,0.972865,0.98842
87,0.539419,0.771076
88,0.402723,0.511437
89,0.513497,0.729444
90,0.972736,0.989149
91,0.580958,0.789417
92,0.399333,0.508563
93,0.512397,0.728433
94,0.972626,0.98895
95,0.539248,0.770947
96,0.457115,0.557863
97,0.512669,0.730226
98,0.973542,0.989185
99,0.543399,0.774003
100,0.403703,0.513697
101,0.554472,0.754491
102,0.972768,0.988742
103,0.541887,0.773767
104,0.407076,0.516007
105,0.518413,0.732026
106,0.972611,0.988733
107,0.592166,0.797358
108,0.40823,0.51813
109,0.520959,0.73448
110,0.972646,0.988869
111,0.541142,0.772636
112,0.461272,0.563797
113,0.514831,0.731507
114,0.972152,0.988823
115,0.539119,0.772554
116,0.414324,0.524289
117,0.559717,0.757379
118,0.972204,0.988485
119,0.536341,0.77169
120,0.407655,0.519166
121,0.517497,0.732915
122,0.972364,0.988695
123,0.605906,0.803656
124,0.407398,0.51882
125,0.523265,0.736012
126,0.972171,0.988785
127,0.540756,0.773646
128,0.466732,0.566563
129,0.518977,0.734057
130,0.973154,0.989104
131,0.545663,0.776125
