Frame, eSSIM, SSIM
0,0.522414,0.613341
1,0.620496,0.792682
2,0.929813,0.989133
3,0.523885,0.761383
4,0.494458,0.592487
5,0.620978,0.793421
6,0.929562,0.989115
7,0.523352,0.760936
8,0.454956,0.567323
9,0.624976,0.794813
10,0.931739,0.989352
11,0.524732,0.763178
12,0.45549,0.566996
13,0.624222,0.794877
14,0.928924,0.988984
15,0.528825,0.763493
16,0.452669,0.56549
17,0.616066,0.791415
18,0.929623,0.989212
19,0.566418,0.780896
20,0.458468,0.570409
21,0.617449,0.792137
22,0.93099,0.988948
23,0.526224,0.763199
24,0.497072,0.595274
25,0.616502,0.793229
26,0.933402,0.988498
27,0.544419,0.7752
28,0.555345,0.645227
29,0.626629,0.800194
30,0.936474,0.988356
31,0.590419,0.798975
32,0.549788,0.643133
33,0.628724,0.80133
34,0.935451,0.988168
35,0.59134,0.800468
36,0.544924,0.639903
37,0.628565,0.800742
38,0.933712,0.98812
39,0.603826,0.807167
40,0.54645,0.641798
41,0.630927,0.803187
42,0.934717,0.98797
43,0.596161,0.803455
44,0.549477,0.64313
45,0.633626,0.804642
46,0.9355,0.988091
47,0.593644,0.802341
48,0.555902,0.649841
49,0.629732,0.802684
50,0.933499,0.987828
51,0.59355,0.801477
52,0.545094,0.641432
53,0.635099,0.806529
54,0.935971,0.987843
55,0.605507,0.809256
56,0.54462,0.6405
57,0.631934,0.804321
58,0.939856,0.988155
59,0.597731,0.804907
60,0.545375,0.642683
61,0.635031,0.805391
62,0.938659,0.988098
63,0.602658,0.808107
64,0.542296,0.640428
65,0.632445,0.803282
66,0.938903,0.988201
67,0.598863,0.805644
68,0.545757,0.644159
69,0.638077,0.808135
70,0.937532,0.987928
71,0.60047,0.80672
72,0.55035,0.646556
73,0.63349,0.804473
74,0.939864,0.988371
75,0.595303,0.804358
76,0.545108,0.642289
77,0.626254,0.801207
78,0.940525,0.988289
79,0.604236,0.808381
80,0.549343,0.646896
81,0.631894,0.804275
82,0.941491,0.988478
83,0.598308,0.807007
84,0.541245,0.640579
85,0.628085,0.801363
86,0.94034,0.988354
87,0.599908,0.809123
88,0.542653,0.640808
89,0.63207,0.803457
90,0.941071,0.988322
91,0.596998,0.806026
92,0.542154,0.641292
93,0.629592,0.802547
94,0.94331,0.988495
95,0.596226,0.805824
96,0.543566,0.641354
97,0.627633,0.802183
