Frame, eSSIM, SSIM
0,0.533595,0.630299
1,0.614441,0.792383
2,0.904145,0.988961
3,0.537749,0.771249
4,0.523795,0.622768
5,0.62731,0.798914
6,0.90484,0.988919
7,0.628129,0.819487
8,0.568578,0.667101
9,0.671584,0.826076
10,0.910765,0.989437
11,0.643018,0.828504
12,0.585691,0.680763
13,0.677178,0.830873
14,0.922162,0.989387
15,0.670618,0.842342
16,0.698648,0.770952
17,0.693328,0.840215
18,0.926545,0.989897
19,0.673479,0.844401
20,0.651529,0.733559
21,0.671818,0.827221
22,0.926424,0.989459
23,0.64618,0.831856
24,0.633455,0.719111
25,0.666652,0.825907
26,0.925092,0.989517
27,0.644633,0.830634
28,0.624995,0.713271
29,0.673951,0.829215
30,0.927144,0.98962
31,0.64543,0.831211
32,0.625369,0.71463
33,0.671003,0.8286
34,0.928282,0.989449
35,0.643233,0.830516
36,0.618873,0.70881
37,0.667658,0.825935
38,0.923696,0.989371
39,0.659818,0.839562
40,0.617319,0.706581
41,0.681294,0.832859
42,0.925209,0.989211
43,0.654077,0.836654
44,0.618913,0.707345
45,0.670388,0.82739
46,0.927817,0.989468
47,0.653457,0.835002
48,0.616948,0.706421
49,0.665046,0.825771
50,0.926571,0.989303
51,0.656694,0.836197
52,0.624131,0.711719
53,0.674261,0.830433
54,0.927699,0.989392
55,0.657554,0.836636
56,0.623006,0.712555
57,0.672295,0.829216
58,0.9311,0.989662
59,0.654705,0.835734
60,0.618143,0.708887
61,0.671205,0.827887
62,0.927587,0.989354
63,0.653604,0.834672
64,0.617201,0.709172
65,0.669955,0.826675
66,0.926447,0.989361
67,0.650044,0.833471
68,0.614646,0.704475
69,0.668614,0.827017
70,0.925369,0.988943
71,0.639971,0.827787
72,0.615179,0.70475
73,0.670796,0.827086
74,0.926564,0.989378
75,0.656032,0.835896
76,0.61433,0.705108
77,0.666065,0.82522
78,0.928468,0.989493
79,0.651904,0.835016
80,0.622363,0.710669
81,0.668941,0.826316
82,0.927869,0.98937
83,0.651654,0.833843
84,0.613802,0.703763
85,0.667263,0.825927
86,0.924988,0.989293
87,0.656804,0.837278
88,0.616808,0.706793
89,0.665262,0.824673
90,0.927629,0.98933
91,0.655177,0.835168
92,0.610986,0.701267
93,0.666371,0.825436
94,0.932394,0.989568
95,0.650458,0.833418
96,0.614808,0.704523
97,0.667794,0.825604
98,0.931305,0.98972
99,0.643391,0.830942
100,0.614931,0.705054
101,0.670151,0.827707
102,0.930062,0.98938
103,0.651386,0.833267
104,0.615062,0.705037
105,0.671243,0.827403
106,0.934053,0.989914
107,0.642777,0.830494
108,0.615668,0.706994
109,0.672837,0.82987
110,0.937191,0.990235
111,0.648141,0.833075
112,0.615787,0.706754
113,0.671461,0.828951
114,0.93795,0.990186
115,0.65617,0.837028
116,0.615769,0.70545
117,0.666859,0.825658
118,0.939321,0.990252
119,0.654336,0.836591
120,0.615435,0.705691
121,0.667895,0.826203
122,0.936043,0.990033
123,0.655594,0.837162
124,0.609363,0.702818
125,0.673542,0.830793
126,0.932913,0.989974
127,0.652261,0.83573
128,0.616933,0.707667
129,0.668718,0.828017
130,0.932693,0.989794
131,0.660358,0.837537
132,0.610498,0.703662
133,0.663793,0.8252
134,0.934263,0.989971
135,0.650429,0.835871
136,0.610082,0.702806
137,0.66914,0.827499
138,0.93101,0.989754
139,0.649716,0.834194
140,0.613576,0.705212
141,0.664106,0.824238
142,0.934512,0.989728
143,0.649418,0.833888
144,0.612615,0.705246
145,0.66575,0.825896
146,0.936883,0.989946
147,0.650205,0.834862
148,0.614506,0.706603
149,0.664347,0.82522
150,0.940289,0.99007
151,0.651872,0.835563
152,0.613339,0.705805
153,0.666739,0.825924
154,0.937022,0.990043
155,0.64593,0.832612
156,0.609076,0.701112
157,0.662799,0.822497
158,0.936372,0.989875
159,0.653857,0.8362
160,0.610797,0.704204
161,0.664,0.823882
162,0.934335,0.989949
163,0.658068,0.837617
164,0.604003,0.697289
165,0.653505,0.818652
166,0.935239,0.989824
167,0.649705,0.833498
168,0.605202,0.698961
169,0.660413,0.822865
170,0.936717,0.989897
171,0.643647,0.831614
172,0.611611,0.704044
173,0.653928,0.819506
174,0.931959,0.989702
175,0.654336,0.836221
176,0.608183,0.701652
177,0.656472,0.820798
178,0.932772,0.989717
179,0.645892,0.833074
180,0.61844,0.708973
181,0.663765,0.824246
182,0.930465,0.989548
183,0.639915,0.829864
184,0.618662,0.710104
185,0.658704,0.821592
186,0.929005,0.989773
187,0.653034,0.836895
188,0.603369,0.696407
189,0.65562,0.819969
190,0.933089,0.989695
191,0.640255,0.831752
192,0.610265,0.703959
193,0.65634,0.820946
194,0.93653,0.989741
195,0.655513,0.837307
196,0.609478,0.704394
197,0.657578,0.822278
198,0.936289,0.989727
199,0.641817,0.831477
200,0.609873,0.703642
201,0.660176,0.821792
202,0.936362,0.989819
203,0.642868,0.832872
204,0.60397,0.699572
205,0.656139,0.821864
206,0.933102,0.989522
207,0.638863,0.828808
208,0.60461,0.69945
209,0.657938,0.822204
210,0.934104,0.989712
211,0.639363,0.830126
212,0.601169,0.698467
213,0.656855,0.82171
214,0.935428,0.989611
215,0.646331,0.834347
216,0.602159,0.698749
217,0.655729,0.820899
218,0.937172,0.989723
219,0.632663,0.827595
220,0.602917,0.69963
221,0.655051,0.820895
222,0.935034,0.989554
223,0.633504,0.827031
224,0.600515,0.697814
225,0.651486,0.819044
226,0.933437,0.989647
227,0.644673,0.832505
228,0.612607,0.705697
229,0.658986,0.822382
230,0.933585,0.989667
231,0.639582,0.831067
232,0.602785,0.69976
233,0.652754,0.818969
234,0.935708,0.989946
235,0.636058,0.828832
236,0.607273,0.70177
237,0.657835,0.822845
238,0.933667,0.989637
239,0.637258,0.829165
240,0.606006,0.700904
241,0.649975,0.817029
242,0.936878,0.989922
243,0.640495,0.831624
244,0.608974,0.703696
245,0.654349,0.820765
246,0.931406,0.989406
247,0.63376,0.827856
248,0.60652,0.700465
249,0.648818,0.817848
250,0.931959,0.989365
251,0.642915,0.830435
252,0.603487,0.698974
253,0.658181,0.822045
254,0.932109,0.98935
255,0.641273,0.829557
256,0.599601,0.695504
257,0.648608,0.816685
258,0.937371,0.989595
259,0.625988,0.821776
260,0.599855,0.695183
261,0.655226,0.819839
262,0.939098,0.989616
263,0.634983,0.827318
264,0.605677,0.699562
265,0.654197,0.819954
266,0.939824,0.989754
267,0.641287,0.830076
268,0.600915,0.6963
269,0.659222,0.822871
270,0.941121,0.989902
271,0.633096,0.82568
272,0.599751,0.695859
273,0.655315,0.820359
274,0.941023,0.98995
275,0.63799,0.827946
276,0.604573,0.700588
277,0.652416,0.818779
278,0.939923,0.989979
279,0.635664,0.827933
280,0.604868,0.699399
281,0.652688,0.819224
282,0.939287,0.989805
283,0.637753,0.828788
284,0.610482,0.702571
285,0.649856,0.817392
286,0.938016,0.989937
287,0.636362,0.827243
288,0.606005,0.700029
289,0.656095,0.820258
290,0.940031,0.99026
291,0.634312,0.827571
292,0.602655,0.697419
293,0.65377,0.818759
294,0.941151,0.990388
295,0.630486,0.825735
296,0.602352,0.6968
297,0.647054,0.816067
298,0.943053,0.990482
299,0.639639,0.830222
300,0.605036,0.696959
301,0.65271,0.818666
302,0.94284,0.990821
303,0.632473,0.825531
304,0.603417,0.696299
305,0.658941,0.822197
306,0.941177,0.990899
307,0.631117,0.825705
308,0.608243,0.70173
309,0.661964,0.823747
310,0.944092,0.991366
311,0.630793,0.826034
312,0.605787,0.700482
313,0.661052,0.823349
314,0.957635,0.992079
315,0.621802,0.821096
316,0.603678,0.698527
317,0.659777,0.821749
318,0.959753,0.992309
319,0.636874,0.827958
320,0.615542,0.707481
321,0.660545,0.823488
322,0.957012,0.992043
323,0.628876,0.824116
324,0.615532,0.705872
325,0.662749,0.823384
326,0.949207,0.991932
327,0.630881,0.826243
328,0.616841,0.70725
329,0.659109,0.821032
330,0.958564,0.99212
331,0.693981,0.855793
332,0.701922,0.774673
333,0.660677,0.823278
334,0.947227,0.992081
335,0.633593,0.826152
336,0.557888,0.660822
337,0.70803,0.84836
338,0.945233,0.99205
339,0.631156,0.825072
340,0.553214,0.657215
341,0.664643,0.824338
342,0.946116,0.991915
343,0.702195,0.861162
344,0.552495,0.657478
345,0.662271,0.825181
346,0.949617,0.992366
347,0.638608,0.831733
348,0.624948,0.715822
349,0.66268,0.824659
350,0.947268,0.992058
351,0.640361,0.83088
352,0.615884,0.706525
353,0.6575,0.822175
354,0.94865,0.992157
355,0.632496,0.826883
356,0.610031,0.701779
357,0.659878,0.822737
