Frame, eSSIM, SSIM
0,0.485432,0.583948
1,0.605845,0.786216
2,0.901326,0.988844
3,0.50732,0.751383
4,0.440951,0.553659
5,0.609038,0.788261
6,0.903044,0.988914
7,0.525469,0.758034
8,0.466836,0.570543
9,0.610287,0.787492
10,0.907799,0.989276
11,0.543885,0.769528
12,0.484666,0.584822
13,0.620226,0.794405
14,0.90358,0.988741
15,0.562675,0.779802
16,0.500218,0.599806
17,0.617418,0.793189
18,0.903902,0.988416
19,0.561573,0.778897
20,0.511099,0.608957
21,0.621367,0.795191
22,0.902731,0.988039
23,0.562167,0.778866
24,0.505977,0.603818
25,0.623479,0.795869
26,0.900958,0.988022
27,0.558577,0.778207
28,0.508148,0.607666
29,0.624336,0.79712
30,0.906179,0.988172
31,0.572201,0.784731
32,0.507673,0.607657
33,0.622717,0.796002
34,0.904661,0.987973
35,0.56446,0.781566
36,0.511188,0.60919
37,0.622294,0.795216
38,0.901375,0.987835
39,0.574945,0.787936
40,0.516656,0.614188
41,0.621498,0.795133
42,0.900516,0.987603
43,0.565564,0.782813
44,0.513377,0.611879
45,0.624401,0.79799
46,0.906061,0.988052
47,0.569051,0.783667
48,0.514722,0.613578
49,0.623621,0.797379
50,0.90138,0.987656
51,0.571507,0.785522
52,0.513985,0.613062
53,0.624891,0.798682
54,0.902108,0.987743
55,0.569704,0.785421
56,0.504465,0.605378
57,0.626189,0.798763
58,0.903701,0.988003
59,0.566207,0.783718
60,0.500915,0.604035
61,0.620391,0.796467
62,0.900969,0.98776
63,0.569962,0.785152
64,0.501813,0.603635
65,0.620014,0.794251
66,0.901353,0.987826
67,0.561819,0.78114
68,0.501722,0.604872
69,0.625067,0.797842
70,0.898511,0.987313
71,0.566804,0.78227
72,0.504311,0.604952
73,0.622811,0.796132
74,0.902229,0.987717
75,0.567034,0.783274
76,0.507118,0.607791
77,0.622316,0.796571
78,0.901585,0.987732
79,0.570002,0.786213
80,0.508574,0.609557
81,0.620537,0.795385
82,0.903119,0.987825
83,0.564917,0.783043
84,0.501558,0.604158
85,0.622468,0.79584
86,0.901973,0.987609
87,0.567594,0.785737
88,0.510215,0.609525
89,0.61898,0.794905
90,0.900991,0.987625
91,0.560503,0.781307
92,0.505381,0.606177
93,0.621305,0.796018
94,0.906398,0.988001
95,0.572972,0.787607
96,0.506877,0.606701
97,0.618985,0.794454
98,0.907264,0.988299
99,0.564316,0.783483
100,0.50833,0.609032
101,0.619966,0.794582
102,0.90637,0.987989
103,0.565819,0.783346
104,0.506737,0.607057
105,0.617837,0.793878
106,0.908657,0.988406
107,0.565756,0.783925
108,0.502756,0.604875
109,0.622803,0.797725
110,0.912331,0.988843
111,0.568779,0.786049
112,0.50018,0.604406
113,0.623849,0.797433
114,0.910094,0.988688
115,0.574845,0.789074
116,0.509085,0.609614
117,0.621686,0.795346
118,0.912679,0.988869
119,0.570395,0.787849
120,0.504282,0.605644
121,0.619099,0.794131
122,0.912815,0.988689
123,0.569781,0.787413
124,0.503223,0.606989
125,0.623652,0.797448
126,0.90769,0.988488
127,0.559044,0.780267
128,0.506425,0.608697
129,0.62242,0.796529
130,0.907896,0.988342
131,0.57188,0.787262
132,0.507682,0.608791
133,0.619633,0.79547
134,0.91071,0.988426
135,0.573392,0.788043
136,0.501901,0.604546
137,0.617425,0.794634
138,0.908581,0.988238
139,0.565537,0.785614
140,0.500254,0.60508
141,0.614712,0.79361
142,0.908531,0.988202
143,0.558369,0.78065
144,0.499578,0.604378
145,0.619245,0.794953
146,0.911785,0.988327
147,0.565112,0.784059
148,0.499748,0.604808
149,0.619853,0.795784
150,0.909512,0.988424
151,0.570984,0.787717
152,0.497722,0.602306
153,0.614993,0.792884
154,0.912932,0.988689
155,0.563057,0.784581
156,0.501549,0.602623
157,0.610626,0.78984
158,0.91334,0.988573
159,0.565344,0.785179
160,0.49474,0.601142
161,0.617482,0.793123
162,0.910603,0.988651
163,0.569507,0.787417
164,0.496433,0.598827
165,0.615891,0.792906
166,0.912133,0.988604
167,0.567601,0.785879
168,0.497003,0.600792
169,0.616892,0.79305
170,0.910029,0.988364
171,0.562153,0.784061
172,0.493858,0.598616
173,0.612171,0.791106
174,0.908473,0.988258
175,0.564981,0.784076
176,0.493569,0.598268
177,0.613645,0.791384
178,0.908828,0.988215
179,0.562326,0.783521
180,0.492243,0.59796
181,0.609156,0.789221
182,0.910522,0.988126
183,0.565976,0.785811
184,0.495562,0.600605
185,0.614711,0.791936
186,0.908,0.988284
187,0.560038,0.784196
188,0.496472,0.601732
189,0.612464,0.791211
190,0.911629,0.988277
191,0.561338,0.783568
192,0.496699,0.602034
193,0.614542,0.792613
194,0.910371,0.988254
195,0.558209,0.781473
196,0.495939,0.601214
197,0.612904,0.792217
198,0.90857,0.988086
199,0.554845,0.78063
200,0.495009,0.60161
201,0.610095,0.788542
202,0.909848,0.988226
203,0.550262,0.779885
204,0.490447,0.597133
205,0.606053,0.788703
206,0.907489,0.988064
207,0.548935,0.77745
208,0.485596,0.594179
209,0.613133,0.791496
210,0.90814,0.988167
211,0.561062,0.784519
212,0.493891,0.600754
213,0.611083,0.790759
214,0.909463,0.988046
215,0.552395,0.779656
216,0.489393,0.596895
217,0.610242,0.790727
218,0.909117,0.987985
219,0.553858,0.781088
220,0.489341,0.596785
221,0.607277,0.789305
222,0.909927,0.988005
223,0.553391,0.778263
224,0.484325,0.591933
225,0.607714,0.788909
226,0.911324,0.988286
227,0.55548,0.780183
228,0.485476,0.593777
229,0.611534,0.792469
230,0.907429,0.988116
231,0.549394,0.776877
232,0.483081,0.592238
233,0.60765,0.789377
234,0.914722,0.988675
235,0.547807,0.777161
236,0.490002,0.598188
237,0.612818,0.792506
238,0.913196,0.98836
239,0.548932,0.776408
240,0.481498,0.590773
241,0.6085,0.788708
242,0.913168,0.988473
243,0.55202,0.779361
244,0.482717,0.591727
245,0.609222,0.790468
246,0.90955,0.987996
247,0.541575,0.77297
248,0.484496,0.592198
249,0.606959,0.78831
250,0.905186,0.987754
251,0.550503,0.776484
252,0.480735,0.588856
253,0.609119,0.789976
254,0.906472,0.987757
255,0.547769,0.774296
256,0.482891,0.590191
257,0.607786,0.789211
258,0.908471,0.988068
259,0.548608,0.776017
260,0.479807,0.587274
261,0.604032,0.787167
262,0.908946,0.98812
263,0.547365,0.774766
264,0.483301,0.589631
265,0.607718,0.79025
266,0.91141,0.988468
267,0.551921,0.778277
268,0.483098,0.589813
269,0.60955,0.789562
270,0.910965,0.988474
271,0.557215,0.778759
272,0.481304,0.58988
273,0.608574,0.788956
274,0.916555,0.988848
275,0.549791,0.776397
276,0.490347,0.597306
277,0.607377,0.788574
278,0.91773,0.989116
279,0.555775,0.780168
280,0.48437,0.591531
281,0.607808,0.789744
282,0.911968,0.988695
283,0.545614,0.774922
284,0.492825,0.596161
285,0.60967,0.790075
286,0.913652,0.988832
287,0.542085,0.773208
288,0.485342,0.591722
289,0.61062,0.790671
290,0.922103,0.989341
291,0.540154,0.772076
292,0.491838,0.596141
293,0.608446,0.788872
294,0.923971,0.989561
295,0.545833,0.774809
296,0.4878,0.592604
297,0.605635,0.788048
298,0.924437,0.989603
299,0.541156,0.773303
300,0.489224,0.592707
301,0.609983,0.790001
302,0.923677,0.989863
303,0.538993,0.770255
304,0.486582,0.591593
305,0.613679,0.792723
306,0.923481,0.989989
307,0.54294,0.773672
308,0.500064,0.603249
309,0.616858,0.794425
310,0.9324,0.990744
311,0.542415,0.773017
312,0.489411,0.595191
313,0.616265,0.793672
314,0.948089,0.991475
315,0.542148,0.772912
316,0.493218,0.596665
317,0.611975,0.791326
318,0.94926,0.991649
319,0.540332,0.770712
320,0.494194,0.599056
321,0.616778,0.794437
322,0.945129,0.991356
323,0.54353,0.772248
324,0.4915,0.595046
325,0.61391,0.79281
326,0.938371,0.991181
327,0.548027,0.775294
328,0.493333,0.597362
329,0.614893,0.792299
330,0.944592,0.991442
331,0.580289,0.791853
332,0.533946,0.631459
333,0.616674,0.794908
334,0.941609,0.991772
335,0.548014,0.775765
336,0.474782,0.58425
337,0.636412,0.805189
338,0.937022,0.991641
339,0.549443,0.776186
340,0.464839,0.577056
341,0.619897,0.795967
342,0.939642,0.991523
343,0.586951,0.796524
344,0.471685,0.585079
345,0.61933,0.797755
346,0.944305,0.992019
347,0.548733,0.778358
348,0.501798,0.606162
349,0.616982,0.795054
350,0.942391,0.991743
351,0.540348,0.774543
352,0.49534,0.598544
353,0.614835,0.793374
354,0.944311,0.991903
355,0.544016,0.775238
356,0.491003,0.595063
357,0.61632,0.795305
358,0.940764,0.991639
359,0.544896,0.774341
360,0.492465,0.596919
361,0.6161,0.794564
362,0.9218,0.99042
363,0.548994,0.774812
364,0.492748,0.596105
365,0.619211,0.795615
366,0.922454,0.990706
367,0.54568,0.774637
368,0.494353,0.596921
369,0.610886,0.792042
370,0.924996,0.990695
371,0.551395,0.775785
372,0.495447,0.59758
373,0.611487,0.792118
374,0.924495,0.991033
375,0.546766,0.773949
376,0.496694,0.598597
377,0.613046,0.791683
378,0.923567,0.99134
379,0.555036,0.77725
380,0.489808,0.590856
381,0.606628,0.787169
382,0.925058,0.991298
383,0.548023,0.772761
384,0.492043,0.590945
385,0.608615,0.788593
386,0.912246,0.990173
387,0.558736,0.777698
388,0.492993,0.591625
389,0.612763,0.790565
390,0.916301,0.98964
391,0.5725,0.785558
392,0.526818,0.622023
393,0.656842,0.815602
394,0.936095,0.991419
395,0.601784,0.79481
396,0.548782,0.6348
397,0.631252,0.805289
398,0.959137,0.991627
399,0.607628,0.799515
400,0.52393,0.621896
401,0.577924,0.776378
402,0.975651,0.990037
403,0.58155,0.794156
404,0.497051,0.604789
405,0.489331,0.720971
406,0.953301,0.984516
407,0.50898,0.757978
408,0.457814,0.572528
409,0.48586,0.719066
410,0.953879,0.984657
411,0.526391,0.768627
412,0.423697,0.54338
413,0.481672,0.716125
414,0.949811,0.985031
415,0.524498,0.770711
416,0.433147,0.554512
417,0.490695,0.72379
418,0.945544,0.984691
419,0.523506,0.767385
420,0.447596,0.564303
421,0.489445,0.722176
422,0.955115,0.984703
423,0.517785,0.76518
424,0.425706,0.546235
425,0.485645,0.720752
426,0.955017,0.985033
427,0.515524,0.762369
428,0.426824,0.544514
429,0.490176,0.721481
430,0.950737,0.984917
431,0.534051,0.774356
432,0.436639,0.556778
433,0.484533,0.720207
434,0.952519,0.984988
435,0.51763,0.765775
436,0.430177,0.549828
437,0.481735,0.716714
438,0.94451,0.984628
439,0.510088,0.76287
440,0.415243,0.537116
441,0.472142,0.710604
442,0.951479,0.984847
443,0.507677,0.761403
444,0.421771,0.540989
445,0.47523,0.713523
446,0.958947,0.984762
447,0.510944,0.764337
448,0.429808,0.548591
449,0.480146,0.717155
450,0.956642,0.984875
451,0.514503,0.764145
452,0.429724,0.549185
453,0.48253,0.717681
454,0.953424,0.984937
455,0.508482,0.761824
456,0.419901,0.543349
457,0.485042,0.720765
458,0.951921,0.98543
459,0.526097,0.773425
460,0.432445,0.554493
461,0.491216,0.723319
462,0.951718,0.985621
463,0.520213,0.770313
464,0.428523,0.550808
465,0.480768,0.715061
466,0.951174,0.985087
467,0.515052,0.764379
468,0.413168,0.537631
469,0.48157,0.717035
470,0.952742,0.985092
471,0.514725,0.765437
472,0.429514,0.549221
473,0.488454,0.72438
474,0.95161,0.985017
475,0.512076,0.765197
476,0.434363,0.553953
477,0.487937,0.7243
478,0.948345,0.984994
479,0.511458,0.764493
480,0.429081,0.552567
481,0.497243,0.730212
482,0.951326,0.985527
483,0.526423,0.772214
484,0.435485,0.559566
485,0.488511,0.724428
486,0.953935,0.985362
487,0.520194,0.771639
488,0.41856,0.540549
489,0.477253,0.713871
490,0.961311,0.985682
491,0.509879,0.762664
492,0.421858,0.545463
493,0.487047,0.722104
494,0.949135,0.985306
495,0.507481,0.765381
496,0.43124,0.551075
497,0.49033,0.722699
