Frame, eSSIM, SSIM
0,0.568779,0.663945
1,0.611399,0.793839
2,0.941392,0.989997
3,0.531328,0.771634
4,0.50158,0.606884
5,0.617586,0.796614
6,0.940615,0.989905
7,0.537129,0.773525
8,0.459305,0.579601
9,0.623055,0.797664
10,0.941278,0.990168
11,0.540847,0.776396
12,0.460175,0.578797
13,0.623463,0.79837
14,0.938487,0.989774
15,0.533127,0.772293
16,0.460007,0.57796
17,0.615716,0.794868
18,0.940104,0.989999
19,0.592812,0.800469
20,0.490226,0.605473
21,0.624864,0.801228
22,0.940116,0.989727
23,0.559708,0.787378
24,0.591243,0.680137
25,0.653168,0.82082
26,0.940727,0.989406
27,0.61352,0.819426
28,0.728977,0.791563
29,0.708525,0.851984
30,0.944061,0.989481
31,0.715899,0.867025
32,0.707523,0.777323
33,0.708525,0.851322
34,0.946075,0.989446
35,0.705687,0.863359
36,0.685681,0.760539
37,0.698952,0.845226
38,0.942188,0.989329
39,0.700969,0.861978
40,0.675265,0.751036
41,0.704653,0.847427
42,0.943945,0.98927
43,0.693169,0.858136
44,0.666724,0.745379
45,0.696052,0.843466
46,0.943538,0.989408
47,0.681184,0.851566
48,0.662818,0.742904
49,0.691779,0.84113
50,0.941648,0.989241
51,0.686299,0.853326
52,0.655576,0.737087
53,0.695503,0.842883
54,0.942554,0.989218
55,0.685827,0.853491
56,0.658553,0.73934
57,0.7006,0.845716
58,0.947539,0.989411
59,0.696515,0.858667
60,0.661585,0.742607
61,0.693488,0.842287
62,0.94483,0.989339
63,0.696205,0.858723
64,0.656768,0.738212
65,0.698213,0.84406
66,0.944686,0.989401
67,0.686643,0.854272
68,0.653523,0.735968
69,0.696886,0.843704
70,0.945844,0.989262
71,0.685431,0.853418
72,0.660999,0.740262
73,0.69444,0.842047
74,0.945274,0.989585
75,0.683421,0.852227
76,0.646612,0.729041
77,0.693256,0.841488
78,0.945586,0.989575
79,0.682933,0.852642
80,0.646,0.729811
81,0.691686,0.840621
82,0.947008,0.989563
83,0.681748,0.852471
84,0.636529,0.722457
85,0.687456,0.837322
86,0.945149,0.989459
87,0.680556,0.851201
88,0.637823,0.723201
89,0.683562,0.836742
90,0.947325,0.989629
91,0.669368,0.845428
92,0.640184,0.724668
93,0.682378,0.835306
94,0.950422,0.989831
95,0.669989,0.846865
96,0.636434,0.721885
97,0.684587,0.837305
98,0.949103,0.989973
99,0.676734,0.848654
100,0.635518,0.721747
101,0.684183,0.836393
102,0.948612,0.989667
103,0.668471,0.845579
104,0.639942,0.723652
105,0.682636,0.836548
106,0.948807,0.990007
107,0.66649,0.843906
108,0.633035,0.720119
109,0.68389,0.837025
110,0.951333,0.990278
111,0.671615,0.847172
112,0.639445,0.723106
113,0.687917,0.83943
114,0.953998,0.990325
115,0.674294,0.847397
116,0.633378,0.719082
117,0.680987,0.834217
118,0.950135,0.990322
119,0.673811,0.849389
120,0.633197,0.719056
121,0.68179,0.835132
122,0.949364,0.990111
123,0.678176,0.849373
124,0.636196,0.722096
125,0.685907,0.837132
126,0.94792,0.990086
127,0.674042,0.848611
128,0.641676,0.725917
129,0.683874,0.836489
130,0.947366,0.990007
131,0.675931,0.848542
132,0.629429,0.716133
133,0.681467,0.835254
134,0.952001,0.99028
135,0.675704,0.848493
136,0.629974,0.716558
137,0.67761,0.832604
138,0.946993,0.990034
139,0.675724,0.848912
140,0.632759,0.719857
141,0.677876,0.833692
142,0.949806,0.990097
143,0.673402,0.849228
144,0.640518,0.727238
145,0.680021,0.835064
146,0.950303,0.990188
147,0.671847,0.846996
148,0.630769,0.719702
149,0.678556,0.834058
150,0.955113,0.990304
151,0.667843,0.846313
152,0.636499,0.723893
153,0.672251,0.830937
154,0.95153,0.990355
155,0.672832,0.847584
156,0.621448,0.710112
157,0.67466,0.830875
158,0.950137,0.990267
159,0.677452,0.849159
160,0.630378,0.716951
161,0.676799,0.832234
162,0.948476,0.990349
163,0.671141,0.847196
164,0.618981,0.706925
165,0.67772,0.832153
166,0.95007,0.990285
167,0.665492,0.844064
168,0.623757,0.71137
169,0.677758,0.833076
170,0.948677,0.990145
171,0.665921,0.844685
172,0.627762,0.714928
173,0.671082,0.829394
174,0.946543,0.990159
175,0.66351,0.844521
176,0.624052,0.712591
177,0.676444,0.831977
178,0.945167,0.99003
179,0.668889,0.846509
180,0.628939,0.716156
181,0.673818,0.830986
182,0.946313,0.989977
183,0.662448,0.84473
184,0.635729,0.722492
185,0.670049,0.829097
186,0.945151,0.990233
187,0.667633,0.846313
188,0.620016,0.710772
189,0.674896,0.832145
190,0.946693,0.989937
191,0.657709,0.842647
192,0.624125,0.713799
193,0.67931,0.833372
194,0.947766,0.990054
195,0.666951,0.847118
196,0.627566,0.717326
197,0.678543,0.833915
198,0.946137,0.989967
199,0.673998,0.849286
200,0.626687,0.716323
201,0.68036,0.834081
202,0.947701,0.990159
203,0.656035,0.842782
204,0.621029,0.712925
205,0.67162,0.830991
206,0.94714,0.990103
207,0.653565,0.840029
208,0.621102,0.712529
209,0.673645,0.831584
210,0.949028,0.990223
211,0.66198,0.84514
212,0.622172,0.712975
213,0.674962,0.83122
214,0.949183,0.99016
215,0.669247,0.847512
216,0.620742,0.712667
217,0.672284,0.830503
218,0.950828,0.990194
219,0.662174,0.844583
220,0.628998,0.718444
221,0.670937,0.830338
222,0.947382,0.989981
223,0.657594,0.841622
224,0.621461,0.712973
225,0.675645,0.832372
226,0.945896,0.990211
227,0.660808,0.842834
228,0.619835,0.712301
229,0.674319,0.831876
230,0.948532,0.990336
231,0.662628,0.845225
232,0.624284,0.715685
233,0.674109,0.831845
234,0.950823,0.990605
235,0.663783,0.844762
236,0.621766,0.713775
237,0.67318,0.831484
238,0.948736,0.990163
239,0.666945,0.846981
240,0.624775,0.714807
241,0.671819,0.8315
242,0.951947,0.99042
243,0.662038,0.844317
244,0.619096,0.711975
245,0.672101,0.831773
246,0.952847,0.990235
