Frame, eSSIM, SSIM
0,0.530286,0.632888
1,0.682957,0.832407
2,0.909814,0.98935
3,0.620411,0.810553
4,0.549977,0.646964
5,0.683799,0.833105
6,0.911477,0.989405
7,0.621065,0.810718
8,0.555637,0.652399
9,0.684406,0.832866
10,0.916212,0.989812
11,0.627636,0.815685
12,0.555571,0.652835
13,0.686883,0.835121
14,0.911076,0.989418
15,0.624825,0.813859
16,0.554588,0.65212
17,0.682856,0.833055
18,0.909964,0.989305
19,0.622872,0.812999
20,0.555072,0.653736
21,0.68173,0.831179
22,0.909553,0.989028
23,0.618049,0.809289
24,0.525427,0.627337
25,0.676255,0.828332
26,0.908352,0.988998
27,0.616435,0.807324
28,0.546412,0.642101
29,0.680467,0.830574
30,0.914196,0.989274
31,0.620542,0.810318
32,0.549215,0.646826
33,0.680022,0.830069
34,0.91209,0.988985
35,0.617474,0.809633
36,0.549314,0.646617
37,0.679254,0.829247
38,0.908212,0.988892
39,0.625353,0.814016
40,0.551883,0.64933
41,0.681522,0.83107
42,0.909314,0.988786
43,0.622888,0.812747
44,0.550382,0.647969
45,0.679339,0.83006
46,0.913482,0.989098
47,0.61897,0.808569
48,0.526361,0.627114
49,0.67828,0.82931
50,0.909502,0.988827
51,0.618256,0.808094
52,0.548566,0.644333
53,0.681475,0.831493
54,0.909139,0.988745
55,0.620251,0.810318
56,0.548839,0.645343
57,0.682636,0.831712
58,0.909898,0.989068
59,0.619534,0.810596
60,0.546003,0.644905
61,0.678259,0.829751
62,0.906547,0.988784
63,0.619638,0.810796
64,0.546291,0.644922
65,0.677423,0.828165
66,0.905396,0.988835
67,0.616202,0.809797
68,0.547189,0.64674
69,0.678855,0.829305
70,0.90477,0.988298
71,0.616644,0.808088
72,0.522333,0.623925
73,0.676708,0.827703
74,0.908509,0.988679
75,0.616479,0.807317
76,0.545953,0.641705
77,0.677254,0.828292
78,0.907815,0.988717
79,0.616464,0.809053
80,0.547577,0.645269
81,0.679896,0.829493
82,0.910118,0.988915
83,0.620064,0.811337
84,0.546444,0.644505
85,0.677408,0.828981
86,0.907939,0.988636
87,0.619936,0.811735
88,0.545232,0.645537
89,0.677347,0.829126
90,0.907786,0.988724
91,0.619642,0.811448
92,0.547477,0.646921
93,0.676193,0.827982
94,0.916555,0.989053
95,0.618656,0.809236
96,0.519961,0.62105
97,0.674166,0.826178
98,0.912727,0.989093
99,0.613901,0.806518
100,0.544533,0.639967
101,0.677876,0.828718
102,0.915218,0.989011
103,0.618617,0.809129
104,0.545262,0.642504
105,0.678416,0.829183
106,0.917373,0.989508
107,0.618471,0.811032
108,0.544841,0.644529
109,0.679069,0.83021
110,0.921602,0.989925
111,0.621447,0.812518
112,0.551367,0.650277
113,0.678203,0.830325
114,0.92193,0.989894
115,0.622851,0.814062
116,0.551576,0.649691
117,0.677745,0.828487
118,0.922383,0.989993
119,0.623802,0.814112
120,0.524484,0.626071
121,0.673101,0.826086
122,0.915603,0.989384
123,0.617477,0.8086
124,0.546981,0.643514
125,0.679322,0.830377
126,0.916133,0.98939
127,0.617354,0.809556
128,0.54749,0.646456
129,0.678617,0.830002
130,0.916676,0.989388
131,0.622439,0.813132
132,0.551158,0.649703
133,0.678716,0.830194
134,0.921007,0.98967
135,0.620171,0.812803
136,0.548439,0.648246
137,0.67714,0.829263
138,0.918106,0.989357
139,0.619688,0.813073
140,0.547264,0.647378
141,0.676809,0.828496
142,0.915494,0.989237
143,0.621053,0.811444
144,0.521937,0.624874
145,0.675103,0.82713
146,0.916602,0.989381
147,0.617055,0.808347
148,0.544309,0.643326
149,0.677468,0.829491
150,0.915947,0.989432
