Frame, eSSIM, SSIM
0,0.516899,0.60628
1,0.619945,0.792067
2,0.927756,0.989313
3,0.526604,0.760333
4,0.476809,0.576718
5,0.620489,0.793126
6,0.928097,0.989305
7,0.526371,0.758539
8,0.459516,0.565701
9,0.620543,0.791661
10,0.930783,0.989589
11,0.528427,0.761706
12,0.458907,0.563223
13,0.613987,0.789519
14,0.927738,0.989222
15,0.529022,0.759948
16,0.457239,0.561909
17,0.611843,0.788789
18,0.929244,0.989454
19,0.55883,0.774845
20,0.456121,0.564197
21,0.614475,0.789641
22,0.925956,0.989024
23,0.524651,0.758244
24,0.477939,0.575915
25,0.614287,0.789092
26,0.925254,0.988995
27,0.529093,0.761055
28,0.478293,0.576605
29,0.611762,0.787631
30,0.928455,0.988802
31,0.532059,0.761943
32,0.4774,0.575465
33,0.611084,0.787244
34,0.927585,0.988511
35,0.529165,0.760864
36,0.476577,0.575434
37,0.612365,0.787104
38,0.924611,0.988464
39,0.538898,0.7666
40,0.484194,0.581408
41,0.611359,0.787554
42,0.925985,0.988235
43,0.534214,0.763858
44,0.480307,0.578722
45,0.613843,0.789519
46,0.928976,0.988464
47,0.532185,0.762526
48,0.480563,0.579681
49,0.613666,0.789098
50,0.92685,0.988268
51,0.534034,0.764029
52,0.483518,0.582527
53,0.614426,0.790631
54,0.925855,0.98821
55,0.536823,0.766821
56,0.479769,0.57883
57,0.616803,0.790611
58,0.930318,0.988516
59,0.534074,0.76438
60,0.475422,0.575693
61,0.61101,0.787867
62,0.927933,0.988248
63,0.52938,0.763261
64,0.475029,0.575348
65,0.60878,0.785095
66,0.92877,0.988238
67,0.530247,0.763142
68,0.474025,0.574216
69,0.614274,0.788584
70,0.930072,0.987982
71,0.532832,0.762711
72,0.476057,0.575976
73,0.611544,0.78708
74,0.93131,0.988344
75,0.532205,0.76402
76,0.474372,0.575041
77,0.611331,0.787054
78,0.931372,0.988277
79,0.531739,0.764205
80,0.474588,0.576055
81,0.610724,0.786874
82,0.931981,0.988267
83,0.531067,0.764459
84,0.473157,0.574275
85,0.60815,0.786003
86,0.926789,0.987902
87,0.527403,0.762196
88,0.471058,0.57291
89,0.607586,0.785674
90,0.929024,0.98801
91,0.526896,0.76202
92,0.471277,0.572419
93,0.608869,0.785998
94,0.932772,0.988108
95,0.531269,0.763805
96,0.473781,0.573235
97,0.610374,0.786882
98,0.931139,0.988195
99,0.526483,0.761545
100,0.473181,0.574498
101,0.606684,0.78476
102,0.930496,0.987777
103,0.529514,0.762588
104,0.473289,0.573808
105,0.606562,0.784628
106,0.931601,0.988221
107,0.530274,0.763819
108,0.470118,0.573148
109,0.609739,0.78771
110,0.935405,0.988505
111,0.53165,0.764114
112,0.472151,0.576197
113,0.610678,0.78724
114,0.936974,0.988553
115,0.534478,0.766769
116,0.476867,0.578062
117,0.606818,0.784899
118,0.934748,0.988628
119,0.534415,0.767371
120,0.472577,0.574621
121,0.607231,0.785126
122,0.934707,0.988342
123,0.533367,0.76609
124,0.477548,0.579638
125,0.610271,0.787909
126,0.932782,0.988287
127,0.526651,0.762891
128,0.478302,0.579289
129,0.611738,0.787141
130,0.931435,0.988168
131,0.535949,0.76713
132,0.474649,0.57783
133,0.608404,0.786204
134,0.935745,0.988415
135,0.530903,0.764605
136,0.469325,0.572959
137,0.604429,0.784678
138,0.932463,0.988096
139,0.532022,0.766089
140,0.466486,0.571374
141,0.607699,0.786256
142,0.932798,0.988053
143,0.527057,0.763252
144,0.473635,0.578393
145,0.605012,0.784268
146,0.935172,0.988123
147,0.531296,0.765847
148,0.47334,0.577482
149,0.607208,0.786248
150,0.937949,0.988298
151,0.52991,0.765276
152,0.472477,0.576439
153,0.602076,0.783092
154,0.935255,0.988273
155,0.526835,0.764095
156,0.467711,0.570194
157,0.598017,0.780522
158,0.93542,0.988253
159,0.529402,0.765204
160,0.468389,0.573137
161,0.601186,0.782125
162,0.93256,0.988192
163,0.526271,0.763277
164,0.466452,0.569018
165,0.599092,0.781002
166,0.934861,0.988208
167,0.521092,0.76043
168,0.465219,0.568105
169,0.600435,0.781638
170,0.929971,0.987847
171,0.520933,0.760604
172,0.461943,0.565634
173,0.598841,0.780142
174,0.928806,0.987829
175,0.524236,0.761578
176,0.464044,0.568464
177,0.598303,0.78057
178,0.92717,0.987669
179,0.523003,0.761665
180,0.460573,0.566655
181,0.5983,0.78032
182,0.929048,0.987601
183,0.520847,0.760775
184,0.46713,0.571308
185,0.597564,0.779794
186,0.926952,0.98788
187,0.526762,0.762542
188,0.466854,0.570393
189,0.59852,0.780662
190,0.929825,0.987819
191,0.525035,0.761586
192,0.465031,0.569304
193,0.596834,0.779956
194,0.928956,0.987772
195,0.52222,0.761756
196,0.464548,0.569016
197,0.594352,0.779826
198,0.930975,0.987773
199,0.518349,0.759245
200,0.463172,0.569107
201,0.594327,0.777634
202,0.931186,0.987874
203,0.519167,0.760185
204,0.461008,0.565954
205,0.594016,0.779361
206,0.92982,0.987804
207,0.516725,0.756339
208,0.45805,0.563879
209,0.596852,0.780436
210,0.931026,0.987776
211,0.517268,0.75868
212,0.461388,0.565971
213,0.592226,0.777589
214,0.931013,0.987746
215,0.513436,0.756801
216,0.458401,0.564554
217,0.594878,0.779272
218,0.932028,0.98765
219,0.51736,0.758177
220,0.464944,0.57022
221,0.594721,0.779781
222,0.929177,0.987537
223,0.513704,0.755015
224,0.458438,0.564349
225,0.595363,0.779653
226,0.930817,0.98782
227,0.517872,0.757377
228,0.461548,0.566866
229,0.59735,0.781758
230,0.927023,0.987627
231,0.50686,0.752741
232,0.461675,0.568675
233,0.593648,0.77884
234,0.930109,0.987964
235,0.514629,0.756692
236,0.456854,0.564468
237,0.597795,0.781588
238,0.931156,0.987751
239,0.510661,0.753925
240,0.458637,0.56506
241,0.594243,0.778047
242,0.924514,0.987726
243,0.507487,0.753307
244,0.459537,0.566522
245,0.595737,0.779948
246,0.920783,0.987218
247,0.509399,0.752892
248,0.460325,0.566214
249,0.594054,0.778602
250,0.928463,0.987253
251,0.505676,0.751299
252,0.45624,0.562172
253,0.591831,0.778081
254,0.927306,0.987276
255,0.506913,0.75097
256,0.459608,0.565605
257,0.592159,0.777521
258,0.928462,0.98745
259,0.499925,0.747469
260,0.453442,0.560381
261,0.592724,0.777519
262,0.932988,0.987682
263,0.506366,0.751432
264,0.453493,0.559558
265,0.592786,0.778304
266,0.938743,0.988036
267,0.512692,0.754226
268,0.459655,0.563302
269,0.589032,0.77629
270,0.926664,0.987583
271,0.511811,0.752728
272,0.456096,0.561547
273,0.589015,0.775897
274,0.921023,0.987408
275,0.504113,0.749683
276,0.459081,0.56543
277,0.590656,0.777169
278,0.931582,0.987993
279,0.515133,0.755871
280,0.461112,0.566872
281,0.591801,0.777913
282,0.93339,0.987964
283,0.512999,0.756668
284,0.459528,0.563651
285,0.594454,0.778463
286,0.931408,0.987978
287,0.506187,0.752632
288,0.464338,0.567674
289,0.592714,0.777939
290,0.939237,0.988569
291,0.508978,0.754027
292,0.461896,0.565059
293,0.591974,0.776524
294,0.935884,0.988677
295,0.507817,0.75358
296,0.45989,0.563703
297,0.59008,0.776027
298,0.937733,0.988854
299,0.513291,0.755618
300,0.463043,0.566421
301,0.592277,0.777827
302,0.93917,0.989169
303,0.501387,0.748255
304,0.46014,0.564466
305,0.597372,0.781241
306,0.930418,0.988988
307,0.506025,0.752655
308,0.466524,0.569532
309,0.599366,0.782457
310,0.938328,0.989665
311,0.504571,0.752467
312,0.465679,0.569628
313,0.596522,0.780458
314,0.945532,0.990189
315,0.510061,0.754885
316,0.461112,0.567257
317,0.594509,0.779211
318,0.944959,0.990318
319,0.509468,0.752663
320,0.466029,0.570066
321,0.595243,0.780425
322,0.949501,0.990324
323,0.504682,0.750878
324,0.466961,0.569068
325,0.595288,0.779287
326,0.940906,0.99014
327,0.508703,0.753195
328,0.465046,0.56843
329,0.599169,0.78084
330,0.948478,0.990468
331,0.547048,0.772793
332,0.551181,0.644686
333,0.596182,0.785103
334,0.956077,0.991641
335,0.50442,0.755068
336,0.426706,0.548904
337,0.621419,0.797019
338,0.958022,0.991631
339,0.505678,0.756608
340,0.433304,0.552855
341,0.601274,0.787096
342,0.95494,0.99129
343,0.556364,0.780106
344,0.435009,0.556762
345,0.597634,0.786505
346,0.959906,0.991875
347,0.514171,0.762232
348,0.483326,0.588627
349,0.596362,0.7849
350,0.956286,0.991523
351,0.514953,0.762477
352,0.480273,0.584255
353,0.594729,0.783139
354,0.954238,0.991607
355,0.523126,0.764921
356,0.473869,0.580559
357,0.59953,0.785308
358,0.950719,0.991342
359,0.509222,0.757575
360,0.473865,0.581369
361,0.598776,0.785283
362,0.942209,0.990459
363,0.516961,0.76141
364,0.473273,0.580226
365,0.599386,0.785649
366,0.939575,0.990615
367,0.520361,0.763293
368,0.47166,0.577885
369,0.593076,0.782632
370,0.941703,0.990584
371,0.515783,0.759176
372,0.473318,0.578414
373,0.595835,0.783059
374,0.94201,0.990874
375,0.515038,0.759379
376,0.474814,0.579664
377,0.593236,0.780943
378,0.940487,0.991103
379,0.521976,0.762095
380,0.471401,0.574583
381,0.588657,0.777315
382,0.941778,0.991104
383,0.521872,0.761123
384,0.469269,0.571526
385,0.594095,0.779567
386,0.932428,0.990254
387,0.518741,0.759234
388,0.47049,0.571395
389,0.599337,0.782841
390,0.936152,0.989871
391,0.538726,0.771655
392,0.510033,0.606807
393,0.636563,0.805972
394,0.95271,0.990766
395,0.60482,0.795499
396,0.49825,0.59475
397,0.60655,0.793129
398,0.96705,0.990775
399,0.60452,0.795618
400,0.451325,0.560919
401,0.545018,0.757398
402,0.976904,0.989117
403,0.588937,0.794253
404,0.402997,0.527153
405,0.45946,0.701579
406,0.954472,0.983533
407,0.571763,0.784829
408,0.347316,0.474149
409,0.474639,0.713048
410,0.961088,0.983967
411,0.578877,0.792197
412,0.362154,0.491873
413,0.474268,0.71277
414,0.950795,0.983912
415,0.580789,0.794795
416,0.355072,0.487661
417,0.472206,0.714232
418,0.954635,0.983827
419,0.571577,0.788147
420,0.351282,0.482511
421,0.469157,0.710019
422,0.959097,0.983754
423,0.570367,0.787621
424,0.351611,0.485547
425,0.471321,0.713441
426,0.961075,0.98409
427,0.568451,0.787515
428,0.351936,0.48481
429,0.467688,0.711042
430,0.959414,0.983982
431,0.574263,0.791421
432,0.346933,0.484489
433,0.47044,0.712506
434,0.959832,0.983984
435,0.568443,0.788364
436,0.350623,0.486272
437,0.468302,0.710294
438,0.952933,0.983659
439,0.57129,0.790162
440,0.344149,0.480133
441,0.459653,0.706263
442,0.96365,0.984089
443,0.572594,0.79223
444,0.341462,0.479162
445,0.459224,0.706547
446,0.961116,0.98358
447,0.569499,0.789592
448,0.350939,0.485165
449,0.465587,0.710543
450,0.956486,0.983704
451,0.571934,0.791072
452,0.348235,0.485334
453,0.466281,0.710631
454,0.958529,0.983977
455,0.569819,0.791104
456,0.355283,0.493581
457,0.480835,0.719096
458,0.9524,0.984357
459,0.580305,0.797386
460,0.351931,0.490963
461,0.478176,0.71654
462,0.955643,0.98474
463,0.579951,0.795748
464,0.351441,0.491589
465,0.465049,0.709323
466,0.96022,0.984228
467,0.573377,0.79249
468,0.347544,0.487108
469,0.465927,0.710661
470,0.954103,0.983967
471,0.579986,0.796012
472,0.357966,0.494982
473,0.474084,0.716644
474,0.955257,0.983819
475,0.575406,0.793868
476,0.355653,0.493656
477,0.477186,0.719332
478,0.960767,0.984265
479,0.57542,0.793063
480,0.350824,0.489585
481,0.482238,0.72398
482,0.959843,0.98455
483,0.579129,0.797173
484,0.364335,0.503832
485,0.470949,0.716941
486,0.96336,0.984612
487,0.578857,0.796829
488,0.359452,0.496303
489,0.465663,0.71025
490,0.966252,0.984789
491,0.573591,0.793086
492,0.357174,0.49582
493,0.472515,0.715496
494,0.958369,0.984361
495,0.572084,0.793227
496,0.35202,0.491964
497,0.469047,0.712517
