Frame, eSSIM, SSIM
0,0.492422,0.590147
1,0.605809,0.787373
2,0.902357,0.988722
3,0.512008,0.754191
4,0.459616,0.565921
5,0.611411,0.789856
6,0.904455,0.988817
7,0.573052,0.784422
8,0.516542,0.618721
9,0.633449,0.802135
10,0.910934,0.989126
11,0.570161,0.785016
12,0.520645,0.624167
13,0.64129,0.809078
14,0.922469,0.98921
15,0.602673,0.804901
16,0.625934,0.712101
17,0.648502,0.81372
18,0.923398,0.989289
19,0.608533,0.808837
20,0.571514,0.666744
21,0.636393,0.80582
22,0.923192,0.988863
23,0.590253,0.799506
24,0.556633,0.652993
25,0.63751,0.807391
26,0.922231,0.988889
27,0.593484,0.800515
28,0.552001,0.650406
29,0.642449,0.809924
30,0.923619,0.988999
31,0.604082,0.805644
32,0.560305,0.657882
33,0.632766,0.805469
34,0.923147,0.988789
35,0.599387,0.805134
36,0.547669,0.646021
37,0.636487,0.806182
38,0.920912,0.988573
39,0.605782,0.80843
40,0.555055,0.65232
41,0.639502,0.807448
42,0.919017,0.988337
43,0.604126,0.807295
44,0.549718,0.647528
45,0.638625,0.808526
46,0.919899,0.988516
47,0.600674,0.804428
48,0.552402,0.650802
49,0.636521,0.807413
50,0.918375,0.988542
51,0.604079,0.806735
52,0.551465,0.650174
53,0.641352,0.810463
54,0.91774,0.988563
55,0.606114,0.807805
56,0.548523,0.647427
57,0.641659,0.809902
58,0.918884,0.988729
59,0.602879,0.805514
60,0.5527,0.65157
61,0.634676,0.80608
62,0.917523,0.988332
63,0.601664,0.805733
64,0.547533,0.648051
65,0.633838,0.804821
66,0.917417,0.988411
67,0.598762,0.804107
68,0.547002,0.647086
69,0.63636,0.806849
70,0.915401,0.988074
71,0.601317,0.804007
72,0.546524,0.644512
73,0.635387,0.804942
74,0.919103,0.988462
75,0.606209,0.806962
76,0.543507,0.643099
77,0.63483,0.805677
78,0.919475,0.988603
79,0.596609,0.803266
80,0.553233,0.65146
81,0.637843,0.807038
82,0.920585,0.988709
83,0.604793,0.808273
84,0.547262,0.645691
85,0.633056,0.80508
86,0.918668,0.988423
87,0.597826,0.805095
88,0.550234,0.648593
89,0.635552,0.805957
90,0.920173,0.988472
91,0.602575,0.806191
92,0.544375,0.643609
93,0.632627,0.803944
94,0.924525,0.988735
95,0.602651,0.807159
96,0.551315,0.649914
97,0.632094,0.803806
98,0.925851,0.989004
99,0.600913,0.805594
100,0.559083,0.655996
101,0.632428,0.80456
102,0.924791,0.988792
103,0.598941,0.804016
104,0.540358,0.64203
105,0.633594,0.80429
106,0.925248,0.989121
107,0.603097,0.807067
108,0.539362,0.641354
109,0.638824,0.807846
110,0.928407,0.989401
111,0.598995,0.804301
112,0.542679,0.644625
113,0.636268,0.806743
114,0.927997,0.989384
115,0.608172,0.809135
116,0.548136,0.647161
117,0.6336,0.804503
118,0.930065,0.989652
119,0.607847,0.810382
120,0.540588,0.640434
121,0.633582,0.804375
122,0.928279,0.989383
123,0.609323,0.811524
124,0.539173,0.641241
125,0.636342,0.806998
126,0.925371,0.989292
127,0.60009,0.805447
128,0.546157,0.646498
129,0.634156,0.805227
130,0.925039,0.989118
131,0.605245,0.80828
132,0.544628,0.645895
133,0.636213,0.806738
134,0.928911,0.989358
135,0.60629,0.809267
136,0.545455,0.644923
137,0.635571,0.805513
138,0.925591,0.989134
139,0.601684,0.807858
140,0.538823,0.640696
141,0.6358,0.80599
142,0.925996,0.989069
143,0.594216,0.803506
144,0.541581,0.643713
145,0.633502,0.804578
146,0.927302,0.989189
147,0.601067,0.806278
148,0.549921,0.651129
149,0.633717,0.80596
150,0.927034,0.989281
151,0.605969,0.808689
