Frame, eSSIM, SSIM
0,0.68672,0.782857
1,0.612879,0.732445
2,0.594523,0.715165
3,0.574165,0.698111
4,0.561335,0.687574
5,0.55017,0.675138
6,0.50792,0.643305
7,0.542203,0.673113
8,0.53551,0.667068
9,0.497168,0.63806
10,0.535613,0.666862
11,0.521448,0.654009
12,0.511905,0.645913
13,0.456882,0.602816
14,0.497329,0.632313
15,0.454372,0.597985
16,0.48144,0.619054
17,0.469849,0.609147
18,0.458571,0.600291
19,0.454452,0.595582
20,0.419742,0.56562
21,0.442382,0.583353
22,0.405167,0.551633
23,0.384564,0.534146
24,0.405939,0.557043
25,0.420897,0.567357
26,0.431574,0.576636
27,0.438307,0.582775
28,0.44666,0.589203
29,0.464427,0.603979
30,0.45204,0.593678
31,0.48961,0.622704
32,0.493782,0.626368
33,0.509522,0.639723
34,0.511622,0.641541
35,0.512216,0.643223
36,0.514294,0.645448
37,0.477966,0.615678
38,0.518088,0.649065
39,0.520726,0.650686
40,0.531167,0.658885
41,0.542662,0.668099
42,0.555641,0.67846
43,0.556699,0.680915
44,0.565777,0.689537
45,0.571128,0.694888
46,0.579771,0.703778
47,0.584501,0.709408
48,0.591132,0.716677
49,0.596566,0.722517
50,0.567283,0.701026
51,0.601825,0.7291
52,0.561574,0.697932
53,0.596894,0.72451
54,0.594704,0.722671
55,0.602881,0.72892
56,0.612475,0.733982
57,0.57558,0.70693
58,0.623096,0.740576
59,0.63014,0.746576
60,0.761333,0.840495
61,0.625047,0.759294
62,0.71385,0.811814
63,0.634355,0.760809
64,0.711151,0.808595
65,0.633564,0.769542
66,0.713434,0.805886
67,0.737145,0.822875
68,0.679846,0.790346
69,0.738034,0.822602
70,0.753356,0.831957
71,0.745661,0.828129
72,0.749627,0.83024
73,0.712644,0.808761
74,0.766216,0.840817
75,0.768332,0.843775
76,0.773408,0.845907
77,0.777251,0.847819
78,0.780097,0.849938
79,0.755082,0.833826
80,0.748841,0.830715
81,0.756304,0.833005
82,0.7904,0.856554
83,0.783201,0.851521
84,0.791228,0.857619
85,0.791166,0.857675
86,0.745346,0.831003
87,0.790715,0.857907
88,0.757247,0.838073
89,0.750977,0.834482
90,0.79131,0.858543
91,0.769528,0.845048
92,0.795483,0.862105
93,0.76335,0.843823
94,0.802414,0.866863
95,0.787812,0.859989
96,0.809251,0.871058
97,0.799443,0.865748
98,0.804068,0.867877
99,0.805676,0.869656
100,0.814087,0.874092
101,0.819149,0.877725
102,0.810453,0.873132
103,0.807202,0.870449
104,0.79832,0.863425
105,0.820637,0.878532
106,0.783069,0.855395
107,0.80337,0.867448
108,0.793519,0.86079
109,0.826397,0.881889
110,0.826472,0.882122
111,0.830276,0.88428
112,0.831901,0.885521
113,0.832367,0.885918
114,0.835328,0.887914
115,0.832715,0.886327
116,0.819462,0.876429
117,0.82199,0.878038
118,0.822644,0.878546
119,0.829297,0.883204
120,0.887877,0.926822
121,0.887592,0.926556
122,0.886757,0.926041
