Frame, eSSIM, SSIM
0,0.859073,0.907965
1,0.823723,0.884742
2,0.807162,0.872264
3,0.797389,0.863516
4,0.788466,0.856458
5,0.781982,0.850341
6,0.750996,0.82986
7,0.770471,0.842888
8,0.763278,0.837336
9,0.73432,0.817281
10,0.757386,0.83256
11,0.749107,0.826133
12,0.698098,0.792193
13,0.678864,0.778788
14,0.621043,0.735437
15,0.663308,0.764624
16,0.615581,0.728625
17,0.65397,0.757083
18,0.658621,0.759054
19,0.660334,0.759708
20,0.626743,0.732599
21,0.649437,0.750712
22,0.658126,0.756518
23,0.632869,0.738524
24,0.658569,0.75937
25,0.654203,0.757713
26,0.652174,0.756997
27,0.655929,0.760087
28,0.631741,0.740838
29,0.663719,0.764253
30,0.678894,0.775103
31,0.64849,0.751824
32,0.675743,0.773314
33,0.675912,0.773311
34,0.67497,0.773284
35,0.638911,0.746992
36,0.674337,0.774043
37,0.639879,0.748804
38,0.676817,0.776136
39,0.680834,0.778673
40,0.654475,0.757633
41,0.691395,0.784817
42,0.700373,0.790731
43,0.708162,0.796805
44,0.71875,0.804929
45,0.724328,0.810338
46,0.729992,0.814821
47,0.73859,0.822543
48,0.746556,0.828836
49,0.753414,0.834658
50,0.764311,0.842424
51,0.758472,0.840126
52,0.726511,0.819391
53,0.750612,0.835742
54,0.716004,0.811483
55,0.748922,0.834338
56,0.723587,0.81576
57,0.763722,0.841319
58,0.774049,0.848399
59,0.770609,0.842588
60,0.882734,0.925158
61,0.844054,0.900373
62,0.871695,0.918795
63,0.845037,0.901076
64,0.875471,0.920114
65,0.853634,0.904865
66,0.866808,0.912267
67,0.878437,0.922053
68,0.855084,0.906148
69,0.871647,0.917191
70,0.88841,0.928393
71,0.885352,0.926694
72,0.883753,0.925032
73,0.871591,0.918229
74,0.894217,0.933041
75,0.897231,0.936177
76,0.900387,0.937903
77,0.899738,0.937738
78,0.902113,0.9389
79,0.900387,0.937757
80,0.890535,0.931411
81,0.891337,0.931293
82,0.903589,0.939918
83,0.891916,0.931793
84,0.900755,0.938315
85,0.90153,0.93916
86,0.881281,0.925746
87,0.903102,0.939518
