Frame, eSSIM, SSIM
0,0.564121,0.687463
1,0.483563,0.629042
2,0.462428,0.608264
3,0.449148,0.594129
4,0.43999,0.584494
5,0.431609,0.572949
6,0.404363,0.551277
7,0.431492,0.578928
8,0.426072,0.572485
9,0.408252,0.556923
10,0.424641,0.57166
11,0.413314,0.561948
12,0.388644,0.538596
13,0.383768,0.531943
14,0.371233,0.516855
15,0.379501,0.525143
16,0.37006,0.515137
17,0.375632,0.522225
18,0.384171,0.528968
19,0.394016,0.537033
20,0.373641,0.519207
21,0.396238,0.53581
22,0.409188,0.549591
23,0.393677,0.538357
24,0.414726,0.560402
25,0.41912,0.562842
26,0.421066,0.564921
27,0.421998,0.5664
28,0.403136,0.549977
29,0.436605,0.577878
30,0.441448,0.581022
31,0.405019,0.552674
32,0.438782,0.579278
33,0.432153,0.572791
34,0.43109,0.571616
35,0.402926,0.548665
36,0.430426,0.571698
37,0.396668,0.54326
38,0.431839,0.572858
39,0.431755,0.571458
40,0.400503,0.543184
41,0.438022,0.576319
42,0.446045,0.583788
43,0.451158,0.590822
44,0.457786,0.597814
45,0.465133,0.605494
46,0.46821,0.610445
47,0.479781,0.622314
48,0.488556,0.632503
49,0.498765,0.643123
50,0.50919,0.652552
51,0.498933,0.646276
52,0.452505,0.608805
53,0.499327,0.645483
54,0.455396,0.608989
55,0.505879,0.650014
56,0.475148,0.627928
57,0.522739,0.66212
58,0.526659,0.665596
59,0.498661,0.643254
60,0.671129,0.777104
61,0.577437,0.715423
62,0.658045,0.768519
63,0.591279,0.725132
64,0.653462,0.764362
65,0.590494,0.729451
66,0.634068,0.751203
67,0.658179,0.76762
68,0.584295,0.720437
69,0.649457,0.761503
70,0.667167,0.773428
71,0.645085,0.763643
72,0.659172,0.768998
73,0.619903,0.743939
74,0.681945,0.782404
75,0.680268,0.780173
76,0.682463,0.781599
77,0.692079,0.788522
78,0.696274,0.792234
79,0.67483,0.77808
80,0.660422,0.770752
81,0.679243,0.778886
82,0.704146,0.796779
83,0.702102,0.794665
84,0.703399,0.796261
85,0.703457,0.796186
86,0.644905,0.760384
87,0.69639,0.794546
88,0.629583,0.753498
89,0.637702,0.756375
90,0.695135,0.79225
91,0.65193,0.770761
92,0.699706,0.795597
93,0.645314,0.765471
94,0.708054,0.801437
95,0.696084,0.795438
96,0.71016,0.803005
97,0.701941,0.7991
98,0.710435,0.803118
99,0.705847,0.801902
100,0.715164,0.806263
101,0.72276,0.811426
102,0.714464,0.806711
103,0.714047,0.805642
104,0.711503,0.80338
105,0.730147,0.816246
106,0.680581,0.787637
107,0.708126,0.803159
108,0.713303,0.804259
109,0.742205,0.823706
110,0.742959,0.823971
111,0.748589,0.82733
112,0.751129,0.829274
113,0.752046,0.829964
114,0.757919,0.834116
115,0.75695,0.833382
116,0.749711,0.827782
117,0.751226,0.828721
118,0.751599,0.828964
119,0.757046,0.832555
120,0.833659,0.887388
121,0.833347,0.887112
122,0.832503,0.886556
123,0.830563,0.885783
124,0.829916,0.885399
125,0.827847,0.884704
126,0.826445,0.884097
127,0.825198,0.883583
128,0.82395,0.883124
129,0.820402,0.882194
130,0.630986,0.764661
131,0.715422,0.822925
132,0.635228,0.772143
133,0.715259,0.823684
134,0.681286,0.802067
135,0.695136,0.807534
136,0.688759,0.803008
137,0.704198,0.811262
138,0.694817,0.806735
139,0.70209,0.809398
140,0.712647,0.814597
141,0.72283,0.819803
142,0.724673,0.820138
143,0.713606,0.815139
144,0.715465,0.815179
145,0.713433,0.812718
146,0.716851,0.814039
147,0.61467,0.755036
148,0.717944,0.817375
149,0.736324,0.827422
150,0.73011,0.823872
151,0.723812,0.819105
152,0.700666,0.803763
153,0.72306,0.819854
154,0.642611,0.76962
155,0.698572,0.80555
156,0.627826,0.755878
157,0.673472,0.785547
158,0.663578,0.777308
159,0.653504,0.768814
160,0.648897,0.76523
161,0.645571,0.762324
162,0.642094,0.758817
163,0.639531,0.755152
164,0.635552,0.75352
165,0.635786,0.755796
166,0.642844,0.764007
167,0.640605,0.76593
168,0.607747,0.751551
169,0.651065,0.778976
170,0.643393,0.774328
171,0.608513,0.759338
172,0.652572,0.782713
173,0.609286,0.760563
174,0.654752,0.786003
175,0.644432,0.782369
176,0.640124,0.778718
177,0.624664,0.766969
178,0.620966,0.762986
179,0.610912,0.754745
180,0.689158,0.805084
181,0.615472,0.764079
182,0.608427,0.756764
183,0.605508,0.752231
184,0.59944,0.745688
185,0.598809,0.744235
186,0.591543,0.73738
187,0.588084,0.732883
188,0.5757,0.722811
189,0.583424,0.725811
190,0.577534,0.722132
191,0.579711,0.72192
192,0.580611,0.721177
193,0.572889,0.715936
194,0.541556,0.694894
195,0.577286,0.718101
196,0.575154,0.714133
197,0.584491,0.720448
198,0.586022,0.72219
199,0.590784,0.72596
200,0.594038,0.727889
201,0.595187,0.728627
202,0.593803,0.728139
203,0.589344,0.725896
204,0.598531,0.731438
205,0.599985,0.733354
206,0.601487,0.734597
207,0.599352,0.733805
208,0.599519,0.735476
209,0.595896,0.733488
210,0.597983,0.734925
211,0.592074,0.731439
212,0.584931,0.726853
213,0.580723,0.724858
214,0.580889,0.723501
215,0.58076,0.722249
216,0.556677,0.71005
217,0.594909,0.731568
218,0.573551,0.72191
219,0.594264,0.73617
220,0.594358,0.73594
221,0.601078,0.743915
222,0.601644,0.746223
223,0.588511,0.740988
224,0.618832,0.760976
225,0.620799,0.763552
226,0.614034,0.762294
227,0.642578,0.779902
228,0.62376,0.774466
229,0.652803,0.793018
230,0.664723,0.802348
231,0.670226,0.808401
232,0.677728,0.815211
233,0.684198,0.820573
234,0.690818,0.825894
235,0.700244,0.832516
236,0.708314,0.836819
237,0.707706,0.835795
238,0.682948,0.825002
239,0.702345,0.836512
240,0.780975,0.881424
241,0.741167,0.86236
242,0.733372,0.858991
243,0.68196,0.837912
244,0.705686,0.84459
245,0.743598,0.866122
246,0.741085,0.864498
247,0.730767,0.858661
248,0.703328,0.845753
249,0.736751,0.862322
250,0.734169,0.861062
251,0.722731,0.855474
252,0.712048,0.847538
253,0.719587,0.851582
254,0.684141,0.835702
255,0.716727,0.854695
256,0.667668,0.832177
257,0.67085,0.832684
258,0.69724,0.843889
259,0.692555,0.841088
260,0.684404,0.835407
261,0.675957,0.832789
262,0.670757,0.830822
263,0.670964,0.8304
264,0.668552,0.829967
265,0.665007,0.827887
266,0.666902,0.827068
267,0.63842,0.811223
268,0.667293,0.822379
269,0.664698,0.819886
270,0.662046,0.817658
271,0.664334,0.819477
