Frame, eSSIM, SSIM
0,0.702321,0.797475
1,0.60148,0.730334
2,0.584688,0.71008
3,0.557695,0.687822
4,0.54479,0.675673
5,0.538055,0.667004
6,0.489462,0.628959
7,0.524559,0.660858
8,0.518582,0.654425
9,0.478341,0.621575
10,0.520551,0.655957
11,0.500601,0.640096
12,0.492065,0.631126
13,0.482494,0.621645
14,0.438081,0.583159
15,0.469526,0.609119
16,0.427691,0.573119
17,0.449729,0.591479
18,0.431395,0.576928
19,0.432087,0.574949
20,0.423882,0.567275
21,0.416403,0.559279
22,0.422301,0.563202
23,0.401969,0.544743
24,0.422722,0.568777
25,0.41491,0.561976
26,0.393256,0.541098
27,0.413999,0.561084
28,0.391394,0.54014
29,0.428769,0.571476
30,0.437054,0.577684
31,0.397515,0.545245
32,0.430386,0.572197
33,0.421294,0.563108
34,0.392348,0.53463
35,0.411743,0.555483
36,0.43144,0.571119
37,0.446889,0.585082
38,0.453941,0.591373
39,0.411242,0.554051
40,0.478267,0.61262
41,0.489375,0.621705
42,0.510407,0.640668
43,0.524693,0.6542
44,0.542743,0.670366
45,0.558372,0.684849
46,0.571589,0.697531
47,0.588801,0.713803
48,0.604545,0.728343
49,0.626358,0.745916
50,0.635949,0.754566
51,0.588071,0.718083
52,0.62659,0.748296
53,0.621397,0.743946
54,0.618505,0.741916
55,0.623453,0.745647
56,0.638033,0.754055
57,0.645232,0.756257
58,0.639168,0.752718
59,0.642611,0.755603
60,0.804289,0.870091
61,0.742017,0.836437
62,0.652646,0.776199
63,0.744195,0.833612
64,0.640884,0.772124
65,0.702308,0.805288
66,0.761592,0.841557
67,0.713784,0.809776
68,0.711839,0.812021
69,0.769892,0.845753
70,0.728913,0.818574
71,0.758043,0.837088
72,0.735989,0.82473
73,0.786225,0.855372
74,0.694887,0.80548
75,0.801923,0.864637
76,0.802644,0.864353
77,0.80633,0.867037
78,0.802171,0.862881
79,0.786865,0.854144
80,0.760477,0.839749
81,0.819097,0.874638
82,0.801203,0.862997
83,0.803635,0.86434
84,0.812373,0.869691
85,0.821825,0.877016
86,0.771128,0.848088
87,0.820485,0.877948
88,0.767188,0.848558
89,0.764775,0.844954
90,0.817888,0.876139
91,0.768576,0.848471
92,0.788055,0.85857
93,0.819317,0.878528
94,0.779586,0.857264
95,0.83229,0.885963
96,0.82142,0.881701
97,0.827923,0.884506
98,0.843406,0.892889
99,0.838937,0.890787
100,0.841983,0.892464
101,0.842708,0.893594
102,0.851291,0.898027
103,0.840909,0.892404
104,0.838105,0.890249
105,0.816875,0.880098
106,0.857827,0.902664
107,0.819703,0.88237
108,0.842381,0.893665
109,0.860462,0.904757
110,0.866082,0.907293
111,0.870861,0.909738
112,0.870207,0.909174
113,0.869356,0.908522
114,0.868565,0.907943
115,0.864953,0.905894
116,0.842651,0.892557
117,0.846895,0.894753
118,0.848232,0.895624
119,0.853025,0.898001
120,0.921438,0.944342
121,0.921037,0.943997
122,0.919523,0.943355
123,0.916663,0.942536
124,0.916111,0.942218
125,0.914628,0.941613
126,0.913581,0.941178
127,0.912758,0.940943
128,0.911996,0.940653
129,0.907932,0.940032
130,0.734535,0.837211
131,0.80282,0.883809
132,0.725245,0.832375
133,0.816943,0.894741
134,0.788481,0.871377
135,0.821469,0.893304
136,0.802901,0.881515
137,0.81864,0.887961
138,0.831478,0.895635
139,0.829942,0.896821
140,0.842042,0.90156
141,0.841018,0.902113
142,0.851012,0.905727
143,0.84704,0.905892
144,0.859728,0.91031
145,0.856525,0.910045
146,0.868881,0.914028
147,0.785949,0.870558
148,0.861272,0.909029
149,0.863927,0.910524
150,0.869856,0.913107
151,0.853839,0.903335
152,0.821455,0.884632
153,0.849777,0.902324
154,0.782251,0.863607
155,0.820664,0.885931
156,0.748998,0.839241
157,0.796454,0.869656
158,0.785799,0.86147
159,0.779806,0.85653
160,0.778191,0.853773
161,0.770623,0.848774
162,0.769041,0.846669
163,0.762839,0.841307
164,0.766124,0.842237
165,0.764079,0.842778
166,0.77034,0.849046
167,0.771237,0.851198
168,0.772135,0.853345
169,0.774887,0.856663
170,0.733731,0.836115
171,0.773529,0.859171
172,0.779401,0.860734
173,0.781956,0.863356
174,0.781285,0.863532
175,0.776767,0.862031
176,0.76889,0.857315
177,0.760642,0.850505
178,0.756978,0.84811
179,0.750732,0.84358
180,0.839401,0.896326
181,0.778405,0.863247
182,0.7561,0.849477
183,0.751047,0.844306
184,0.738329,0.836383
185,0.736201,0.834331
186,0.73158,0.830055
187,0.721826,0.823236
188,0.674222,0.792639
189,0.709944,0.814129
190,0.706438,0.810128
191,0.704071,0.808272
192,0.706907,0.809254
193,0.685367,0.796276
194,0.670821,0.787363
195,0.683393,0.793461
