Frame, eSSIM, SSIM
0,0.838529,0.892173
1,0.755223,0.842859
2,0.744434,0.829861
3,0.722068,0.813395
4,0.710663,0.80364
5,0.702566,0.796864
6,0.650918,0.758902
7,0.686617,0.786507
8,0.67491,0.777799
9,0.631671,0.74468
10,0.678784,0.777979
11,0.656963,0.762082
12,0.647407,0.754544
13,0.634694,0.745589
14,0.584511,0.706304
15,0.627097,0.737964
16,0.572993,0.695165
17,0.60249,0.720007
18,0.581085,0.703594
19,0.58231,0.702329
20,0.570834,0.692264
21,0.558127,0.681791
22,0.566637,0.68811
23,0.534312,0.663454
24,0.566287,0.692696
25,0.551999,0.682483
26,0.516462,0.652433
27,0.546184,0.678288
28,0.519149,0.654488
29,0.565905,0.69024
30,0.5764,0.697843
31,0.534704,0.663692
32,0.576184,0.697061
33,0.574352,0.695186
34,0.471597,0.613485
35,0.521423,0.655155
36,0.536009,0.665674
37,0.546613,0.674086
38,0.554653,0.680586
39,0.507645,0.641073
40,0.560314,0.68579
41,0.575589,0.697619
42,0.601054,0.71761
43,0.620187,0.734108
44,0.64597,0.754526
45,0.663807,0.767803
46,0.670006,0.774842
47,0.685213,0.787884
48,0.704133,0.802374
49,0.719155,0.813603
50,0.728742,0.820877
51,0.682679,0.789111
52,0.72078,0.815534
53,0.716874,0.813367
54,0.719361,0.814923
55,0.728731,0.820359
56,0.73713,0.824209
57,0.745947,0.82833
58,0.749236,0.830587
59,0.755158,0.834846
60,0.908195,0.937698
61,0.876862,0.919876
62,0.807207,0.879174
63,0.873117,0.916202
64,0.798767,0.874729
65,0.843087,0.896828
66,0.882057,0.919754
67,0.847806,0.898888
68,0.847996,0.900028
69,0.886469,0.922222
70,0.870537,0.914267
71,0.880275,0.917709
72,0.859396,0.90564
73,0.89379,0.92721
74,0.810073,0.888019
75,0.903496,0.932108
76,0.901926,0.931549
77,0.906177,0.933611
78,0.905045,0.932708
79,0.904498,0.9326
80,0.881711,0.920579
81,0.913145,0.938179
82,0.898119,0.929381
83,0.903889,0.932869
84,0.909316,0.936275
85,0.913178,0.938765
86,0.864496,0.912749
87,0.900489,0.933581
88,0.866943,0.914777
89,0.856218,0.907051
90,0.898648,0.931477
91,0.868272,0.912838
92,0.876794,0.918734
93,0.900637,0.933746
94,0.870647,0.917824
95,0.908464,0.939019
96,0.893153,0.932212
97,0.899846,0.934841
98,0.917703,0.94401
99,0.91002,0.940713
100,0.912135,0.94108
101,0.914018,0.942711
102,0.923054,0.946724
103,0.911828,0.940205
104,0.912506,0.940737
105,0.899655,0.934508
106,0.928288,0.95019
107,0.910009,0.940087
108,0.919833,0.94489
109,0.92894,0.950983
110,0.934808,0.953933
111,0.938146,0.956133
112,0.937045,0.955374
113,0.935594,0.954314
114,0.934788,0.953842
115,0.925169,0.948249
116,0.907331,0.937529
117,0.9179,0.942967
118,0.921111,0.944778
119,0.924342,0.94656
120,0.967907,0.975563
121,0.967301,0.97513
122,0.965168,0.974436
123,0.962807,0.973749
124,0.96193,0.973461
125,0.959442,0.972876
126,0.957,0.972452
127,0.956788,0.972334
128,0.955904,0.972053
129,0.951329,0.971584
130,0.835777,0.901473
131,0.879657,0.932024
132,0.852564,0.912733
133,0.884282,0.936653
134,0.861722,0.917233
135,0.893323,0.939117
136,0.87079,0.923789
137,0.886459,0.931138
138,0.903005,0.940775
139,0.901821,0.941856
140,0.91053,0.945241
141,0.909094,0.94567
142,0.920185,0.949038
143,0.916483,0.948658
144,0.922985,0.951034
145,0.921933,0.951125
146,0.929932,0.953812
147,0.905889,0.943629
148,0.924772,0.949847
149,0.925433,0.950788
150,0.929776,0.952509
151,0.915033,0.942871
152,0.906291,0.938738
153,0.921381,0.948395
154,0.8787,0.924911
155,0.903666,0.938458
156,0.857473,0.911033
157,0.879424,0.9253
158,0.875873,0.921838
159,0.87017,0.917333
160,0.866738,0.914127
161,0.864832,0.911041
162,0.859163,0.907171
163,0.855069,0.903028
164,0.847834,0.897816
165,0.848603,0.899092
166,0.854948,0.902606
167,0.862393,0.907075
168,0.864107,0.908999
169,0.86448,0.910353
170,0.842472,0.898556
171,0.859721,0.909336
172,0.868015,0.913249
173,0.869616,0.914563
174,0.869047,0.914614
175,0.868658,0.915334
176,0.861182,0.910949
177,0.858763,0.908753
178,0.854443,0.905628
179,0.849543,0.90243
180,0.909408,0.938494
181,0.867822,0.915674
182,0.848649,0.905251
183,0.844265,0.901028
184,0.838211,0.896305
185,0.836448,0.895845
186,0.83243,0.893401
187,0.821644,0.887749
188,0.788622,0.86635
189,0.809034,0.878784
190,0.808937,0.87757
191,0.813318,0.879245
192,0.81287,0.878515
