Frame, eSSIM, SSIM
0,0.528967,0.659587
1,0.458767,0.603422
2,0.435037,0.579517
3,0.420772,0.563268
4,0.414112,0.556713
5,0.408633,0.547945
6,0.397896,0.537268
7,0.406907,0.551535
8,0.404734,0.546547
9,0.393869,0.534805
10,0.398066,0.541892
11,0.388999,0.533909
12,0.383094,0.525889
13,0.37907,0.520571
14,0.367105,0.507079
15,0.374956,0.513894
16,0.361093,0.500156
17,0.367977,0.505087
18,0.363071,0.499386
19,0.359529,0.495835
20,0.356634,0.491677
21,0.351278,0.486608
22,0.3564,0.486532
23,0.351228,0.479357
24,0.357062,0.485885
25,0.355139,0.484894
26,0.34774,0.477926
27,0.354437,0.484018
28,0.345292,0.475046
29,0.357844,0.487836
30,0.356877,0.487954
31,0.345616,0.476831
32,0.352137,0.483018
33,0.352429,0.48107
34,0.34551,0.474009
35,0.352396,0.485104
36,0.345944,0.477721
37,0.348428,0.479206
38,0.345858,0.47594
39,0.338674,0.466394
40,0.345177,0.472576
41,0.354017,0.480238
42,0.357793,0.487391
43,0.365477,0.496462
44,0.370414,0.503574
45,0.378125,0.512075
46,0.384316,0.521027
47,0.395763,0.535661
48,0.407937,0.549166
49,0.422881,0.566464
50,0.432022,0.576331
51,0.413137,0.556106
52,0.425278,0.570033
53,0.418222,0.563244
54,0.418372,0.560509
55,0.425803,0.565445
56,0.433298,0.573086
57,0.446211,0.583183
58,0.446694,0.583044
59,0.453482,0.58789
60,0.603854,0.725733
61,0.541775,0.684374
62,0.49594,0.647715
63,0.543261,0.682716
64,0.502896,0.653994
65,0.528213,0.669997
66,0.553934,0.687619
67,0.531941,0.670995
68,0.51258,0.660747
69,0.571632,0.697807
70,0.560912,0.689368
71,0.558089,0.690332
72,0.567418,0.695005
73,0.579534,0.704046
74,0.562871,0.695051
75,0.579598,0.704609
76,0.587511,0.709453
77,0.589779,0.711193
78,0.589675,0.711059
79,0.5877,0.710424
80,0.572823,0.701693
81,0.597095,0.718239
82,0.597705,0.71789
83,0.599172,0.718763
84,0.600381,0.719865
85,0.603645,0.722652
86,0.532564,0.673274
87,0.615998,0.733247
88,0.553078,0.693574
89,0.557364,0.69055
90,0.610735,0.730205
91,0.561607,0.70251
92,0.575955,0.711422
93,0.617275,0.734085
94,0.554974,0.698738
95,0.647091,0.755864
96,0.631378,0.749341
97,0.637797,0.751971
98,0.659868,0.765457
99,0.649235,0.760764
100,0.659137,0.766124
101,0.658767,0.766824
102,0.670478,0.773058
103,0.657595,0.76537
104,0.648297,0.760474
105,0.644318,0.758348
106,0.681709,0.780881
107,0.647237,0.760651
108,0.658384,0.764751
109,0.680705,0.778265
110,0.697832,0.790443
111,0.700281,0.791892
112,0.700056,0.791539
113,0.699901,0.791335
114,0.69976,0.791081
115,0.699728,0.791073
116,0.690599,0.784908
117,0.690825,0.784971
118,0.690606,0.784764
119,0.691394,0.785061
120,0.78755,0.854782
121,0.787174,0.854468
