Frame, eSSIM, SSIM
0,0.751139,0.83461
1,0.731898,0.818073
2,0.703483,0.794728
3,0.718973,0.804668
4,0.683514,0.777976
5,0.701495,0.788436
6,0.675115,0.770743
7,0.692273,0.782158
8,0.682708,0.775381
9,0.654621,0.756668
10,0.677938,0.771557
11,0.644754,0.747288
12,0.665985,0.760847
13,0.600429,0.714085
14,0.622574,0.729198
15,0.585463,0.70093
16,0.610835,0.71868
17,0.607306,0.715508
18,0.600049,0.708863
19,0.561391,0.679785
20,0.588616,0.698916
21,0.555703,0.672564
22,0.585068,0.694649
23,0.565721,0.682016
24,0.589023,0.700424
25,0.589443,0.70099
26,0.588785,0.701682
27,0.590913,0.703557
28,0.593822,0.705501
29,0.595317,0.706392
30,0.572498,0.688895
31,0.595389,0.705543
32,0.591998,0.703789
33,0.592185,0.703979
34,0.589388,0.701883
35,0.55851,0.678788
36,0.587307,0.700732
37,0.595573,0.707719
38,0.570372,0.688073
39,0.599118,0.709233
40,0.574566,0.690226
41,0.607366,0.715316
42,0.588132,0.700971
43,0.619142,0.725553
44,0.632262,0.736741
45,0.610258,0.72132
46,0.640543,0.745967
47,0.650708,0.756061
48,0.636012,0.748146
49,0.66558,0.769702
50,0.644985,0.756723
51,0.677855,0.780339
52,0.648057,0.759945
53,0.676201,0.778871
54,0.647777,0.759932
55,0.683048,0.784015
56,0.662156,0.77055
57,0.702448,0.795453
58,0.682993,0.78363
59,0.714252,0.8049
60,0.793636,0.866654
61,0.753989,0.838851
62,0.780895,0.857324
63,0.754844,0.839729
64,0.783407,0.858214
65,0.759532,0.841987
66,0.771326,0.849015
67,0.785233,0.860505
68,0.770947,0.85098
69,0.798141,0.869106
70,0.78614,0.862005
71,0.789852,0.864036
72,0.786823,0.862739
73,0.803527,0.873505
74,0.788894,0.865329
75,0.809282,0.878444
76,0.811113,0.879374
77,0.808647,0.878114
78,0.809139,0.878266
79,0.808772,0.878021
80,0.81571,0.884289
81,0.799891,0.872546
82,0.806776,0.877537
83,0.804921,0.876236
84,0.815559,0.883943
85,0.815551,0.883838
