Frame, eSSIM, SSIM
0,0.518117,0.646555
1,0.487897,0.622081
2,0.447563,0.588191
3,0.468372,0.604721
4,0.431772,0.575519
5,0.451267,0.586943
6,0.416191,0.563471
7,0.444231,0.588559
8,0.438759,0.583303
9,0.411491,0.563308
10,0.436823,0.58236
11,0.4112,0.559099
12,0.42287,0.568615
13,0.387702,0.539725
14,0.408872,0.55467
15,0.372641,0.524213
16,0.379515,0.528661
17,0.368963,0.519623
18,0.368502,0.516709
19,0.353002,0.501464
20,0.365582,0.510934
21,0.35531,0.500476
22,0.372717,0.51822
23,0.367898,0.514781
24,0.384653,0.53045
25,0.386261,0.532059
26,0.390365,0.536533
27,0.39544,0.540631
28,0.400431,0.545274
29,0.407842,0.551529
30,0.391997,0.540876
31,0.414847,0.557561
32,0.416095,0.558157
33,0.413362,0.556495
34,0.412945,0.556584
35,0.392009,0.540714
36,0.416915,0.559891
37,0.417755,0.560661
38,0.39014,0.536803
39,0.417644,0.558115
40,0.39262,0.535171
41,0.420992,0.559692
42,0.399947,0.542588
43,0.431973,0.571863
44,0.438507,0.578871
45,0.411463,0.560289
46,0.445454,0.58975
47,0.455017,0.600708
48,0.439562,0.589878
49,0.468994,0.617308
50,0.454821,0.605588
51,0.482054,0.630351
52,0.442185,0.600773
53,0.478988,0.627881
54,0.444371,0.600145
55,0.487017,0.633299
56,0.46969,0.623362
57,0.507551,0.650591
58,0.480601,0.629499
59,0.51596,0.658562
60,0.630837,0.745505
61,0.51902,0.673974
62,0.586207,0.719028
63,0.525665,0.676947
64,0.588174,0.718782
65,0.536309,0.691459
66,0.566577,0.703681
67,0.602235,0.727784
68,0.566224,0.704142
69,0.6145,0.734439
70,0.598717,0.724093
71,0.596308,0.725293
72,0.604141,0.727681
73,0.623804,0.740732
74,0.607304,0.731374
75,0.636633,0.74916
76,0.637455,0.749893
77,0.634706,0.747415
78,0.62524,0.742053
79,0.598997,0.728679
80,0.64604,0.755939
81,0.632126,0.746628
82,0.636561,0.749088
83,0.645651,0.754705
84,0.650388,0.758189
85,0.650466,0.75817
86,0.639117,0.752347
87,0.612504,0.736488
88,0.651707,0.761507
89,0.591143,0.722418
90,0.624079,0.745192
91,0.655691,0.764104
92,0.626986,0.746984
93,0.656825,0.764632
94,0.618683,0.743595
95,0.660953,0.767905
96,0.654817,0.7654
97,0.65886,0.767395
98,0.665738,0.771633
99,0.670427,0.774464
100,0.67441,0.777213
101,0.668055,0.774714
102,0.672564,0.776573
103,0.67231,0.776305
104,0.679264,0.780654
105,0.65888,0.767426
106,0.66222,0.770395
107,0.686221,0.785112
108,0.673855,0.777926
109,0.68908,0.788293
110,0.691249,0.789202
111,0.693934,0.790634
112,0.69442,0.79089
113,0.694615,0.790982
114,0.69465,0.790864
115,0.694532,0.790709
116,0.687624,0.785469
117,0.688213,0.785763
118,0.688326,0.785747
119,0.688226,0.785557
120,0.762072,0.840526
121,0.761817,0.840244
122,0.761118,0.83967
123,0.759744,0.838917
124,0.759237,0.838538
125,0.757139,0.837681
126,0.756084,0.837001
127,0.755413,0.836616
128,0.753995,0.835935
129,0.752865,0.835324
130,0.607266,0.743812
131,0.66759,0.787568
132,0.609183,0.7491
133,0.660829,0.781509
134,0.634944,0.765911
135,0.642507,0.766613
136,0.634807,0.762321
137,0.646731,0.767209
138,0.655334,0.772504
139,0.665971,0.778233
140,0.651498,0.773411
141,0.6651,0.778403
142,0.662892,0.778003
143,0.669073,0.780069
144,0.663612,0.778843
145,0.669305,0.781109
146,0.675926,0.784137
147,0.603067,0.738065
148,0.667157,0.777293
149,0.676933,0.783322
150,0.675245,0.782364
151,0.669551,0.779341
152,0.658175,0.770511
153,0.672043,0.78156
154,0.61496,0.745831
155,0.64925,0.766042
156,0.587024,0.72372
157,0.622465,0.746581
158,0.574543,0.712608
159,0.609031,0.735606
160,0.602569,0.729478
161,0.603342,0.730275
162,0.602545,0.729464
163,0.596036,0.724044
164,0.596138,0.724982
165,0.594178,0.726307
166,0.580516,0.723038
167,0.60539,0.742672
168,0.579891,0.731317
169,0.613887,0.756214
170,0.61035,0.755107
171,0.586054,0.742932
172,0.605934,0.754227
173,0.579275,0.740896
174,0.604839,0.756541
175,0.580624,0.746582
176,0.604549,0.758753
177,0.583098,0.742416
178,0.596769,0.748879
179,0.57592,0.735539
180,0.662956,0.788548
181,0.604311,0.755543
182,0.596924,0.747513
183,0.585111,0.739198
184,0.559829,0.721897
185,0.577637,0.731756
186,0.569746,0.724665
187,0.57392,0.724714
188,0.565701,0.717093
189,0.564978,0.715482
190,0.556926,0.709754
191,0.553837,0.70644
192,0.554257,0.705998
193,0.554619,0.705519
194,0.530964,0.688176
195,0.552903,0.704685
196,0.54658,0.696316
197,0.547766,0.697341
198,0.549591,0.698206
199,0.521268,0.681452
200,0.550369,0.69816
201,0.519004,0.678748
202,0.547851,0.696101
203,0.551569,0.699904
204,0.557452,0.70508
205,0.55898,0.706244
206,0.559731,0.707496
207,0.55967,0.708188
208,0.560535,0.710439
209,0.531973,0.692938
210,0.557605,0.708788
211,0.557122,0.709219
212,0.558217,0.710079
213,0.557458,0.709935
214,0.544377,0.701076
215,0.565342,0.713424
216,0.569035,0.716214
217,0.563556,0.715368
218,0.586518,0.730618
219,0.589343,0.733693
220,0.569822,0.722943
221,0.58635,0.736087
222,0.573155,0.73064
223,0.591239,0.743111
224,0.583252,0.740419
225,0.606039,0.755433
226,0.599101,0.754529
227,0.624839,0.770816
228,0.617498,0.770211
229,0.638002,0.785201
230,0.638493,0.789863
231,0.656587,0.802247
232,0.644926,0.801092
233,0.667124,0.813434
234,0.656504,0.811866
235,0.683827,0.825799
236,0.672852,0.821785
237,0.690475,0.83141
238,0.670406,0.820702
239,0.685008,0.828598
240,0.753209,0.866664
241,0.686157,0.835726
242,0.722623,0.853325
243,0.717093,0.850997
244,0.680948,0.835296
245,0.709672,0.846832
246,0.721829,0.854933
247,0.718323,0.8527
248,0.707011,0.847034
249,0.708298,0.847495
250,0.714294,0.851198
251,0.706431,0.846677
252,0.700285,0.84202
253,0.708267,0.846621
254,0.67998,0.832576
255,0.694371,0.844231
256,0.654836,0.825793
257,0.670222,0.831403
258,0.678594,0.834266
259,0.647801,0.819556
260,0.665907,0.827253
261,0.658911,0.82358
262,0.651212,0.820218
263,0.645143,0.817472
264,0.618793,0.805036
265,0.637142,0.813521
266,0.61623,0.801499
267,0.632712,0.806996
268,0.629933,0.802771
269,0.61504,0.793221
270,0.625319,0.798083
271,0.630806,0.801574
272,0.633559,0.803352
273,0.621462,0.800078
274,0.641273,0.809018
275,0.623359,0.800977
276,0.64674,0.810358
277,0.649864,0.811949
278,0.652078,0.81289
279,0.653902,0.81353
280,0.650207,0.810775
281,0.644199,0.806539
282,0.640007,0.804839
283,0.640471,0.803489
284,0.635859,0.801199
285,0.618307,0.794079
286,0.628798,0.798129
287,0.62886,0.798536
288,0.63291,0.802513
289,0.629228,0.801943
290,0.618753,0.798136
291,0.632333,0.806946
292,0.631798,0.808591
293,0.64829,0.817154
294,0.649474,0.819075
295,0.653884,0.82484
296,0.672839,0.836306
297,0.667185,0.837241
298,0.686913,0.849101
299,0.679091,0.847924
300,0.761359,0.889991
301,0.738489,0.883199
302,0.728402,0.880819
303,0.753413,0.891062
304,0.73,0.885116
305,0.745515,0.889846
306,0.737196,0.888528
307,0.752429,0.892427
308,0.74896,0.889865
309,0.749027,0.889932
310,0.751032,0.891999
311,0.760204,0.898191
312,0.749228,0.900664
313,0.773309,0.91017
314,0.777639,0.913984
