Frame, eSSIM, SSIM
0,0.617863,0.726612
1,0.591096,0.704822
2,0.548091,0.671449
3,0.571229,0.687216
4,0.527846,0.654029
5,0.553978,0.670857
6,0.516276,0.645572
7,0.540825,0.665315
8,0.536642,0.661891
9,0.50966,0.642099
10,0.533424,0.659711
11,0.492727,0.627698
12,0.517977,0.646298
13,0.470944,0.610558
14,0.499962,0.630946
15,0.418326,0.572367
16,0.44942,0.593648
17,0.436311,0.581111
18,0.432095,0.576694
19,0.391256,0.542497
20,0.424188,0.566801
21,0.391337,0.537619
22,0.427579,0.568758
23,0.404248,0.552234
24,0.435099,0.57731
25,0.436911,0.578818
26,0.442982,0.583669
27,0.450188,0.590153
28,0.455454,0.593561
29,0.459107,0.596877
30,0.445068,0.585846
31,0.470603,0.604819
32,0.470202,0.604558
33,0.472742,0.606679
34,0.472258,0.606833
35,0.44563,0.586564
36,0.474263,0.609533
37,0.477845,0.612215
38,0.449655,0.588778
39,0.480695,0.61327
40,0.458885,0.594315
41,0.489005,0.618966
42,0.471258,0.604598
43,0.504287,0.63316
44,0.514945,0.643186
45,0.488233,0.62474
46,0.519695,0.651614
47,0.529546,0.661673
48,0.515392,0.652823
49,0.545364,0.677769
50,0.526302,0.66489
51,0.556648,0.689523
52,0.526095,0.666143
53,0.552748,0.68643
54,0.521558,0.661875
55,0.558413,0.690368
56,0.539017,0.677674
57,0.580448,0.705479
58,0.545055,0.682014
59,0.587021,0.71172
60,0.69949,0.795588
61,0.604984,0.737506
62,0.669808,0.777796
63,0.614255,0.742768
64,0.673322,0.778347
65,0.61463,0.74849
66,0.662008,0.770794
67,0.685429,0.786338
68,0.665628,0.773672
69,0.699171,0.794824
70,0.677328,0.780009
71,0.690494,0.788892
72,0.688446,0.787059
73,0.707858,0.800846
74,0.668452,0.777921
75,0.719074,0.808284
76,0.721035,0.809686
77,0.718796,0.808013
78,0.716665,0.806803
79,0.69179,0.7907
80,0.728996,0.8153
81,0.707486,0.801238
82,0.719615,0.809123
83,0.723914,0.811638
84,0.731321,0.816984
85,0.731284,0.816866
86,0.723392,0.812853
87,0.703307,0.799487
88,0.734146,0.820183
89,0.683479,0.789868
90,0.716629,0.809084
91,0.738438,0.822941
92,0.716127,0.808562
93,0.738005,0.823334
94,0.717202,0.810532
95,0.742018,0.825898
96,0.736315,0.823749
97,0.739101,0.825292
98,0.743695,0.828213
99,0.748336,0.831201
100,0.75137,0.833095
101,0.744658,0.830158
102,0.746864,0.830786
103,0.74263,0.828215
104,0.752899,0.835146
105,0.729839,0.820004
106,0.737916,0.825551
107,0.759069,0.838864
108,0.740683,0.827289
109,0.759153,0.840154
110,0.762224,0.841382
111,0.764746,0.842739
112,0.765185,0.843069
113,0.765435,0.843206
114,0.76554,0.843172
115,0.765488,0.84306
116,0.754389,0.834928
117,0.756298,0.835856
118,0.756913,0.836213
119,0.756982,0.836226
120,0.812595,0.880209
121,0.812363,0.879958
122,0.811791,0.879429
123,0.810234,0.878544
124,0.809804,0.878231
125,0.808229,0.877463
126,0.807582,0.876902
127,0.806985,0.876575
128,0.805829,0.876018
129,0.804972,0.875596
130,0.687416,0.799615
131,0.735381,0.833488
132,0.680557,0.793366
133,0.731292,0.83237
134,0.709381,0.818596
135,0.721846,0.825353
136,0.722986,0.824927
137,0.728878,0.827312
138,0.736463,0.831333
139,0.746585,0.836956
140,0.740548,0.835067
141,0.745133,0.836707
142,0.74199,0.83524
143,0.748201,0.837577
144,0.745675,0.837086
145,0.747627,0.837879
146,0.750734,0.839478
147,0.68924,0.800193
148,0.740489,0.832882
149,0.749319,0.837776
150,0.744618,0.835599
151,0.743513,0.833583
152,0.731103,0.824197
153,0.741287,0.832975
154,0.688293,0.797783
155,0.719055,0.81628
156,0.666889,0.780701
157,0.699257,0.801964
158,0.657309,0.772504
159,0.685128,0.791091
160,0.681295,0.787334
161,0.67938,0.785735
162,0.678779,0.785231
163,0.673248,0.780832
164,0.676315,0.782701
165,0.674692,0.784236
166,0.65528,0.776935
167,0.680977,0.794195
168,0.663064,0.786844
169,0.684902,0.802272
170,0.684447,0.802366
171,0.658131,0.789791
172,0.67601,0.798824
173,0.652509,0.787379
174,0.675904,0.801089
175,0.652369,0.790519
176,0.674542,0.801822
177,0.648105,0.784956
178,0.667649,0.794103
179,0.645904,0.779738
180,0.739533,0.83771
181,0.697351,0.812205
182,0.680467,0.800285
183,0.663827,0.789785
184,0.626702,0.767576
185,0.643922,0.776512
186,0.645153,0.775059
187,0.641288,0.770862
188,0.6355,0.765346
189,0.630808,0.761554
190,0.63033,0.760057
191,0.62237,0.754804
192,0.624889,0.755511
193,0.620775,0.752217
194,0.599962,0.737802
195,0.619578,0.751448
196,0.617348,0.746754
197,0.620603,0.748455
198,0.619931,0.74805
199,0.585468,0.727826
200,0.617207,0.746301
201,0.585252,0.725597
202,0.611302,0.742025
203,0.614111,0.74419
204,0.620531,0.749013
205,0.621901,0.74992
206,0.624117,0.751962
207,0.629846,0.75611
208,0.63087,0.757256
209,0.607578,0.743165
210,0.631986,0.759053
211,0.633635,0.760899
212,0.632051,0.760561
213,0.630987,0.759842
214,0.61252,0.746931
215,0.631268,0.758672
216,0.627548,0.757182
217,0.615608,0.750058
218,0.639599,0.76666
219,0.639426,0.768261
220,0.623777,0.758267
221,0.640512,0.771433
222,0.621232,0.761832
223,0.646385,0.777844
224,0.631442,0.772032
225,0.658699,0.788201
226,0.64034,0.781147
227,0.672093,0.800017
228,0.656631,0.794496
229,0.686831,0.81475
230,0.676036,0.812532
231,0.7037,0.830273
232,0.695507,0.827922
233,0.714284,0.840377
234,0.700262,0.836363
235,0.731899,0.852168
236,0.718075,0.847034
237,0.742011,0.858466
238,0.725245,0.849441
239,0.74021,0.857086
240,0.800373,0.893328
241,0.7417,0.863894
242,0.771578,0.880555
243,0.767062,0.876933
244,0.745331,0.865563
245,0.751833,0.868435
246,0.766613,0.877898
247,0.765188,0.877012
248,0.760959,0.875009
249,0.738698,0.863323
250,0.757347,0.87327
251,0.745925,0.867043
252,0.739933,0.862644
253,0.751266,0.868816
254,0.72318,0.856435
255,0.73963,0.865955
256,0.711048,0.851682
257,0.720298,0.855407
258,0.7264,0.858471
259,0.699616,0.846273
260,0.715678,0.852652
261,0.708717,0.850083
262,0.704288,0.848519
263,0.702416,0.847733
264,0.681922,0.839064
265,0.695381,0.844992
266,0.676589,0.834471
267,0.689763,0.838128
268,0.693142,0.836605
269,0.678029,0.828673
270,0.69258,0.834898
271,0.695603,0.836758
272,0.697162,0.837806
273,0.686556,0.834431
274,0.698708,0.841564
275,0.68207,0.833152
276,0.700366,0.840476
277,0.705644,0.842332
278,0.709896,0.844728
279,0.711355,0.845579
280,0.711062,0.844634
281,0.707954,0.842213
282,0.705454,0.841346
283,0.699834,0.837847
284,0.696203,0.835929
285,0.68132,0.828993
286,0.693894,0.834532
287,0.692752,0.833447
288,0.696564,0.836957
289,0.693129,0.836681
290,0.682408,0.832268
291,0.696765,0.840963
292,0.690273,0.839028
293,0.704635,0.847095
294,0.706527,0.848876
295,0.705487,0.851866
296,0.721718,0.86158
297,0.715382,0.862481
298,0.735815,0.873311
299,0.728596,0.871943
300,0.810606,0.912895
301,0.788894,0.904903
302,0.774508,0.900348
303,0.79232,0.909586
304,0.775087,0.90325
305,0.790728,0.909217
306,0.78525,0.906814
307,0.793558,0.910589
308,0.794712,0.910431
309,0.798259,0.911171
310,0.796514,0.912601
311,0.803759,0.916723
312,0.805224,0.918177
313,0.81315,0.925536
314,0.817759,0.929843
315,0.819911,0.933961
316,0.82228,0.93696
317,0.825275,0.940306
318,0.824789,0.940455
319,0.82742,0.941487
320,0.82808,0.941395
321,0.830223,0.94198
322,0.832025,0.942682
