Frame, eSSIM, SSIM
0,0.781977,0.894204
1,0.756542,0.881808
2,0.753268,0.881674
3,0.772958,0.890079
4,0.757206,0.879605
5,0.763698,0.882125
6,0.783228,0.891527
7,0.764653,0.880432
8,0.77277,0.884596
9,0.784295,0.891187
10,0.767651,0.8802
11,0.7716,0.883943
12,0.781447,0.889298
13,0.752137,0.876082
14,0.764183,0.881081
15,0.773046,0.885607
16,0.751974,0.875893
17,0.755291,0.878369
18,0.770147,0.885295
19,0.750229,0.874931
20,0.757445,0.878002
21,0.771075,0.884846
22,0.746411,0.872414
23,0.757921,0.874594
24,0.767816,0.879754
25,0.702578,0.861255
26,0.764314,0.877932
27,0.76946,0.882097
28,0.752595,0.877828
29,0.766956,0.882312
30,0.779191,0.888275
31,0.766316,0.882541
32,0.768983,0.885142
33,0.771987,0.890347
34,0.757535,0.883733
35,0.761421,0.886266
36,0.777368,0.893323
37,0.765878,0.886896
38,0.77225,0.889398
39,0.787312,0.895815
40,0.786874,0.892724
41,0.798664,0.898773
42,0.774685,0.889908
43,0.778417,0.891558
44,0.788767,0.897444
45,0.774218,0.890656
46,0.776411,0.892073
47,0.787064,0.897065
48,0.77089,0.89127
49,0.775888,0.893939
50,0.785231,0.897854
51,0.770529,0.892963
52,0.774417,0.89491
53,0.775919,0.894122
54,0.782612,0.897175
55,0.782248,0.895441
56,0.785786,0.896142
57,0.790326,0.896857
58,0.799931,0.900472
59,0.807879,0.901026
60,0.835209,0.918589
61,0.823879,0.912114
62,0.831463,0.913981
63,0.834238,0.913911
64,0.795048,0.899065
65,0.796306,0.900694
66,0.800348,0.900034
67,0.821349,0.909321
68,0.800026,0.902637
69,0.804705,0.904138
70,0.795022,0.9049
71,0.769552,0.895384
72,0.776319,0.898072
73,0.801752,0.904588
74,0.779896,0.892998
75,0.783988,0.895868
76,0.794122,0.901812
77,0.779114,0.892707
78,0.780928,0.895281
79,0.792583,0.900872
80,0.770806,0.889757
81,0.776317,0.893077
82,0.777371,0.899729
83,0.750283,0.886349
84,0.76025,0.889576
85,0.775363,0.896117
86,0.753452,0.883677
87,0.759293,0.886564
88,0.768967,0.893067
89,0.75498,0.883011
90,0.764411,0.887637
91,0.780634,0.895348
92,0.76545,0.886835
93,0.774436,0.891231
94,0.789805,0.898834
95,0.775007,0.89147
96,0.782956,0.89531
97,0.791149,0.901
98,0.770563,0.892208
99,0.768949,0.893287
100,0.771625,0.898945
101,0.782474,0.892796
102,0.789465,0.895716
103,0.812083,0.902606
104,0.801615,0.895621
105,0.805881,0.898408
106,0.812257,0.90233
107,0.793324,0.894124
108,0.798914,0.896342
109,0.807489,0.901086
110,0.790482,0.894301
111,0.80329,0.898751
112,0.817073,0.904741
113,0.802379,0.898307
114,0.805049,0.899922
115,0.816656,0.904904
116,0.8005,0.89828
117,0.806383,0.90077
118,0.816198,0.905138
119,0.819212,0.904633
120,0.818944,0.913502
121,0.8056,0.906125
122,0.804215,0.905374
123,0.814992,0.909052
124,0.798268,0.899687
125,0.804732,0.903107
126,0.815776,0.907707
127,0.798977,0.897094
128,0.803638,0.900363
129,0.806823,0.904515
130,0.788687,0.897457
131,0.778185,0.901075
132,0.756766,0.892229
133,0.782134,0.898681
134,0.773781,0.890364
135,0.776392,0.895205
136,0.767738,0.890985
137,0.787708,0.897801
138,0.783869,0.892342
139,0.79055,0.897496
140,0.77779,0.889885
141,0.780819,0.892765
142,0.795417,0.898799
143,0.779084,0.889815
144,0.783218,0.891778
145,0.791536,0.895566
146,0.771449,0.885928
147,0.779472,0.889796
148,0.79343,0.895794
149,0.77404,0.887449
150,0.783914,0.890853
151,0.784875,0.891475
152,0.794864,0.895809
153,0.780797,0.889929
154,0.786422,0.892061
155,0.796618,0.896713
156,0.777871,0.888958
157,0.783079,0.89142
158,0.785167,0.894513
159,0.774979,0.891275
160,0.786739,0.89515
161,0.803663,0.900934
162,0.797682,0.897248
163,0.800218,0.899028
164,0.80613,0.902579
165,0.794555,0.896536
