Frame, eSSIM, SSIM
0,0.847041,0.918942
1,0.818288,0.907242
2,0.817957,0.90714
3,0.830188,0.912987
4,0.810349,0.903588
5,0.813853,0.904842
6,0.831679,0.913096
7,0.814442,0.903765
8,0.815963,0.90558
9,0.832293,0.912168
10,0.809016,0.901376
11,0.811345,0.90391
12,0.819204,0.908424
13,0.798591,0.898691
14,0.802007,0.901196
15,0.809738,0.905333
16,0.794212,0.897921
17,0.799881,0.900486
18,0.807273,0.905099
19,0.795023,0.89725
20,0.80034,0.899193
21,0.811383,0.905606
22,0.797189,0.894907
23,0.80654,0.896523
24,0.81733,0.90114
25,0.8018,0.895805
26,0.81303,0.899297
27,0.817496,0.902717
28,0.808437,0.900288
29,0.818197,0.903483
30,0.826323,0.908202
31,0.814424,0.903235
32,0.814116,0.904645
33,0.818218,0.909673
34,0.801983,0.902942
35,0.805516,0.904825
36,0.820567,0.912274
37,0.806239,0.905146
38,0.80898,0.907799
39,0.835612,0.915584
40,0.828003,0.911271
41,0.84021,0.917089
42,0.818435,0.908536
43,0.820179,0.909495
44,0.836564,0.916591
45,0.820087,0.909723
46,0.818313,0.910651
47,0.825889,0.91571
48,0.813973,0.910729
49,0.816645,0.912023
50,0.827134,0.916926
51,0.816803,0.912069
52,0.821885,0.913883
53,0.823946,0.9136
54,0.831957,0.916837
55,0.828466,0.9147
56,0.829541,0.915043
57,0.831717,0.915055
58,0.842649,0.918424
59,0.846523,0.918717
60,0.882666,0.937629
61,0.868308,0.930339
62,0.873985,0.930954
63,0.876006,0.931283
64,0.852504,0.919963
65,0.850322,0.920236
66,0.844834,0.91796
67,0.862621,0.927366
68,0.846254,0.921379
69,0.845504,0.921372
70,0.84203,0.922927
71,0.821838,0.912648
72,0.835555,0.916417
73,0.847386,0.922621
74,0.820842,0.911001
75,0.823116,0.912844
76,0.831696,0.919116
77,0.814785,0.909255
78,0.818771,0.91213
79,0.83527,0.918771
80,0.812487,0.908428
81,0.815696,0.91062
82,0.826843,0.91829
83,0.788945,0.903332
84,0.801247,0.907282
85,0.82273,0.915247
86,0.800834,0.904113
87,0.807603,0.907261
88,0.820562,0.913899
89,0.801356,0.905177
90,0.812996,0.908821
91,0.826384,0.914291
92,0.814632,0.9076
93,0.815722,0.910235
94,0.82906,0.916226
95,0.812829,0.909408
96,0.816194,0.912488
97,0.823583,0.918094
98,0.805596,0.909644
99,0.798044,0.909734
100,0.79937,0.915036
101,0.816036,0.90902
102,0.823507,0.912299
103,0.849124,0.919683
104,0.839009,0.91264
105,0.843347,0.915201
106,0.854681,0.920483
107,0.837956,0.912341
108,0.835685,0.913956
109,0.846533,0.91916
110,0.830394,0.912668
111,0.838364,0.916067
112,0.855266,0.922141
113,0.841452,0.914834
114,0.845941,0.91756
115,0.853458,0.921377
116,0.842091,0.915213
117,0.847027,0.91814
118,0.855771,0.922131
119,0.856465,0.920797
120,0.875672,0.934847
121,0.860781,0.925909
122,0.858854,0.925564
123,0.865231,0.928813
124,0.852066,0.920874
125,0.854163,0.923358
126,0.866316,0.927498
127,0.847443,0.91732
128,0.85082,0.919176
129,0.85881,0.924461
130,0.841102,0.916722
131,0.834024,0.920925
132,0.81192,0.912789
133,0.831061,0.91828
134,0.816673,0.909906
135,0.822038,0.915761
136,0.809296,0.909826
137,0.830472,0.916556
138,0.821069,0.910545
139,0.826877,0.915169
140,0.81645,0.907334
141,0.816735,0.910155
142,0.833057,0.916444
143,0.815757,0.906458
144,0.818661,0.908698
145,0.827159,0.912443
146,0.808085,0.903868
147,0.819109,0.907348
148,0.834434,0.913547
149,0.81821,0.905366
150,0.828579,0.908958
151,0.825963,0.908623
152,0.838832,0.914308
153,0.826439,0.90747
154,0.830633,0.909817
155,0.845404,0.915854
156,0.829326,0.908963
157,0.835385,0.91151
158,0.841084,0.916386
159,0.837865,0.912331
160,0.842651,0.915347
161,0.859491,0.922511
162,0.851277,0.91783
163,0.85371,0.91931
164,0.863609,0.924105
165,0.849929,0.91605
166,0.852842,0.917785
167,0.861615,0.922596
168,0.849755,0.915759
169,0.85196,0.917682
170,0.86208,0.92258
171,0.853076,0.915857
172,0.854932,0.917545
173,0.861987,0.920786
174,0.853282,0.915812
175,0.851213,0.916819
176,0.857809,0.920236
177,0.834966,0.910524
178,0.83614,0.912155
179,0.845219,0.91679
180,0.846741,0.921446
181,0.822545,0.907282
182,0.838274,0.914104
183,0.820363,0.904771
184,0.839875,0.913335
185,0.821745,0.904245
186,0.840109,0.912041
187,0.824233,0.903614
188,0.839855,0.911622
189,0.822884,0.902497
190,0.838264,0.910538
191,0.816853,0.901162
192,0.837407,0.909913
193,0.80985,0.899165
194,0.831221,0.908133
195,0.808964,0.898695
196,0.829914,0.907305
197,0.805107,0.896816
198,0.822277,0.904826
199,0.802614,0.896091
200,0.823189,0.904504
201,0.802972,0.895497
202,0.822362,0.903922
203,0.802622,0.895405
204,0.816943,0.903048
205,0.794458,0.893699
206,0.818625,0.903587
207,0.793614,0.891523
208,0.798068,0.894254
209,0.817886,0.903729
210,0.799904,0.893465
211,0.806781,0.89741
212,0.825931,0.905373
213,0.80937,0.89611
214,0.814641,0.898648
215,0.830898,0.906825
216,0.816125,0.89819
217,0.818068,0.901006
218,0.832066,0.90801
219,0.814298,0.898491
220,0.819395,0.901955
221,0.833053,0.908758
222,0.816524,0.899991
223,0.823236,0.903782
224,0.838387,0.910982
225,0.822712,0.901802
226,0.826037,0.904623
227,0.839429,0.911115
228,0.820357,0.901043
229,0.825006,0.904342
230,0.836901,0.910886
231,0.827193,0.904671
232,0.836399,0.909274
233,0.817246,0.900188
234,0.830825,0.907502
235,0.81051,0.89733
236,0.820673,0.904198
237,0.803769,0.894894
238,0.818871,0.902676
239,0.816127,0.898202
240,0.844364,0.916836
241,0.812759,0.900206
242,0.83357,0.909275
243,0.814396,0.89892
244,0.833019,0.907061
245,0.813568,0.897903
246,0.830965,0.905699
247,0.808943,0.896807
248,0.823936,0.905087
249,0.805948,0.896357
250,0.825841,0.904903
251,0.809842,0.897782
252,0.829014,0.906994
253,0.809637,0.8965
254,0.81061,0.898688
255,0.834038,0.90862
256,0.81417,0.898143
257,0.818892,0.90156
258,0.832554,0.907838
259,0.817032,0.898945
260,0.820157,0.900943
261,0.834485,0.908227
262,0.809719,0.896828
263,0.818143,0.900258
264,0.835856,0.907665
265,0.820506,0.900163
266,0.823688,0.902945
267,0.828841,0.907445
268,0.812797,0.900872
269,0.822933,0.905076
270,0.832004,0.909491
271,0.811499,0.902416
272,0.83201,0.907684
273,0.845233,0.913897
274,0.837945,0.909881
275,0.846054,0.913888
276,0.85675,0.920122
277,0.848607,0.914627
278,0.854199,0.91718
279,0.851558,0.915949
280,0.865133,0.92291
281,0.856883,0.91725
282,0.860928,0.919713
283,0.856191,0.91816
284,0.867892,0.923528
285,0.857188,0.917354
286,0.862604,0.919385
287,0.858946,0.918097
288,0.866608,0.920886
289,0.850849,0.913002
290,0.854859,0.914791
291,0.864963,0.919602
292,0.847596,0.912232
293,0.848025,0.912763
294,0.858097,0.917284
295,0.844085,0.910445
296,0.844303,0.912247
297,0.860315,0.918162
298,0.849778,0.913846
299,0.857574,0.914719
300,0.886737,0.936436
301,0.86028,0.921225
302,0.868271,0.923738
303,0.871601,0.92643
304,0.852494,0.915565
305,0.861205,0.920579
306,0.870853,0.925127
307,0.853446,0.915406
308,0.858259,0.919343
309,0.867953,0.923899
310,0.849961,0.91493
311,0.858943,0.918562
312,0.867659,0.923394
313,0.847582,0.913755
314,0.858528,0.917853
315,0.851352,0.915865
316,0.863609,0.921796
317,0.847444,0.91364
318,0.852877,0.916094
319,0.844615,0.913497
320,0.860279,0.920385
321,0.843415,0.911719
322,0.848361,0.914172
323,0.844206,0.912554
324,0.856249,0.918565
325,0.83924,0.910294
326,0.849568,0.914424
327,0.842974,0.912866
328,0.858433,0.91935
329,0.839972,0.911101
330,0.847351,0.914189
331,0.862969,0.922031
332,0.846736,0.913913
333,0.856669,0.917398
334,0.849108,0.915882
335,0.865294,0.923008
336,0.850683,0.91639
337,0.856833,0.917909
338,0.848348,0.916027
339,0.864021,0.922601
340,0.848785,0.915202
341,0.854478,0.917827
342,0.862881,0.922494
