Frame, eSSIM, SSIM
0,0.897242,0.944689
1,0.874455,0.933034
2,0.871418,0.932476
3,0.880447,0.938527
4,0.866723,0.929814
5,0.871402,0.932212
6,0.890054,0.940192
7,0.873035,0.929834
8,0.874,0.930927
9,0.890098,0.938991
10,0.873469,0.929664
11,0.876912,0.931086
12,0.888124,0.937831
13,0.858037,0.920209
14,0.860185,0.922575
15,0.869546,0.928352
16,0.848862,0.917587
17,0.850651,0.920669
18,0.862269,0.928742
19,0.84905,0.920089
20,0.852798,0.922533
21,0.864858,0.930876
22,0.856111,0.924175
23,0.869938,0.927781
24,0.888195,0.936003
25,0.88033,0.931377
26,0.887319,0.935256
27,0.892197,0.939027
28,0.885825,0.935133
29,0.888463,0.936031
30,0.89537,0.940534
31,0.882498,0.933258
32,0.880272,0.934464
33,0.885158,0.939675
34,0.869301,0.931818
35,0.868741,0.933887
36,0.875756,0.939699
37,0.863877,0.931265
38,0.869216,0.93522
39,0.889872,0.940696
40,0.87931,0.932493
41,0.884642,0.937249
42,0.894402,0.9421
43,0.880741,0.93457
44,0.885652,0.937237
45,0.895533,0.943614
46,0.886782,0.937601
47,0.887017,0.939211
48,0.891778,0.944078
49,0.884292,0.940248
50,0.885875,0.942256
51,0.883715,0.940555
52,0.89054,0.945965
53,0.880753,0.938904
54,0.884505,0.941383
55,0.883259,0.941391
56,0.889651,0.943957
57,0.882445,0.940502
58,0.88541,0.94103
59,0.891094,0.941436
60,0.909868,0.957115
61,0.898963,0.946172
62,0.897725,0.944292
63,0.906595,0.948567
64,0.894514,0.937172
65,0.897128,0.939865
66,0.890317,0.937376
67,0.902923,0.947197
68,0.888376,0.939009
69,0.881681,0.936348
70,0.876732,0.943001
71,0.863258,0.932428
72,0.878783,0.933982
73,0.892386,0.942802
74,0.872349,0.932018
75,0.87387,0.932563
76,0.879758,0.940023
77,0.870201,0.93188
78,0.877849,0.934004
79,0.886791,0.940027
80,0.873275,0.931109
81,0.874456,0.933258
82,0.875692,0.939153
83,0.860244,0.93
84,0.87905,0.934855
85,0.895594,0.942064
86,0.882503,0.933768
87,0.885705,0.936329
88,0.895622,0.942563
89,0.883895,0.934869
90,0.887127,0.93742
91,0.892769,0.942269
92,0.886717,0.93596
93,0.890074,0.938834
94,0.901329,0.944489
95,0.892567,0.938655
96,0.898096,0.940891
97,0.900925,0.9447
98,0.885183,0.937009
99,0.865987,0.936621
100,0.879571,0.942566
101,0.885606,0.936834
102,0.890944,0.939519
103,0.9063,0.945881
104,0.890952,0.934869
105,0.897922,0.941754
106,0.904532,0.945534
107,0.886447,0.933543
108,0.88602,0.939661
109,0.889518,0.943956
110,0.879137,0.934174
111,0.888069,0.94126
112,0.899402,0.946012
113,0.88734,0.936001
114,0.894378,0.939804
115,0.901792,0.944673
116,0.888293,0.935486
117,0.892014,0.939754
118,0.900107,0.94426
119,0.897474,0.942244
120,0.917042,0.958618
121,0.903006,0.946231
122,0.900852,0.945913
123,0.904372,0.949572
124,0.892298,0.940421
125,0.894145,0.941756
126,0.903671,0.947042
127,0.885878,0.933523
128,0.891115,0.938772
129,0.900708,0.944437
130,0.880128,0.932852
131,0.877707,0.935126
132,0.876904,0.940844
133,0.862065,0.927707
134,0.870644,0.934409
135,0.842617,0.923715
136,0.867264,0.933076
137,0.863521,0.923919
138,0.867096,0.925721
139,0.877754,0.932431
140,0.867188,0.924122
141,0.868583,0.927004
142,0.887538,0.935231
143,0.874415,0.927846
144,0.876236,0.929761
145,0.888584,0.936766
146,0.877721,0.93024
147,0.8843,0.93362
148,0.896418,0.939052
149,0.887474,0.933097
150,0.892078,0.936367
151,0.888422,0.933842
152,0.899727,0.940605
153,0.890222,0.934672
154,0.892184,0.93584
155,0.898973,0.941069
156,0.89057,0.934479
157,0.896119,0.937158
158,0.905699,0.943375
159,0.896431,0.937868
160,0.901041,0.940074
161,0.909976,0.946298
162,0.900876,0.940398
163,0.902387,0.941519
164,0.909234,0.946565
165,0.896379,0.938647
166,0.89736,0.940076
167,0.903719,0.944994
168,0.896455,0.939435
169,0.898738,0.941165
170,0.904765,0.945331
171,0.895993,0.936627
172,0.899518,0.939457
173,0.905417,0.94373
174,0.895557,0.93649
175,0.89383,0.937893
176,0.896814,0.942471
177,0.882281,0.933443
178,0.882835,0.935199
179,0.887214,0.939724
180,0.908685,0.954128
181,0.892739,0.938629
182,0.896885,0.944168
183,0.886192,0.936161
184,0.897046,0.942502
185,0.886598,0.934987
186,0.895243,0.941081
187,0.885781,0.93347
188,0.894764,0.939395
189,0.882397,0.931101
190,0.889942,0.93722
191,0.874707,0.928395
192,0.887877,0.935557
193,0.873226,0.92647
194,0.885644,0.933088
195,0.868612,0.924232
196,0.88365,0.931457
197,0.868786,0.923766
198,0.881415,0.930749
199,0.867377,0.923798
200,0.879497,0.930152
201,0.864712,0.922945
202,0.878094,0.929942
203,0.864848,0.922402
204,0.880264,0.930825
205,0.866016,0.923441
206,0.881515,0.930983
207,0.864633,0.921014
208,0.867473,0.923176
209,0.881134,0.931279
210,0.864394,0.920994
211,0.870336,0.925035
212,0.881065,0.931253
213,0.867846,0.922449
214,0.871596,0.924744
215,0.88533,0.932293
216,0.869943,0.923744
217,0.874829,0.926895
218,0.88588,0.932666
219,0.870453,0.923205
220,0.87399,0.926353
221,0.884132,0.932478
222,0.868163,0.922595
223,0.873324,0.926486
224,0.886517,0.933613
225,0.875091,0.925746
226,0.878635,0.928901
227,0.888355,0.934019
228,0.87283,0.925168
229,0.880301,0.92937
230,0.887541,0.934106
231,0.878707,0.928373
232,0.887409,0.933261
233,0.87619,0.927186
234,0.888332,0.93309
235,0.876038,0.926751
236,0.884838,0.932433
237,0.874064,0.926083
238,0.882871,0.932048
239,0.878017,0.927582
240,0.913207,0.949977
241,0.887282,0.933654
242,0.893506,0.939513
243,0.882379,0.930116
244,0.89514,0.938036
245,0.883133,0.930128
246,0.892596,0.936593
247,0.881096,0.929349
248,0.890338,0.935789
249,0.878047,0.928531
250,0.888744,0.93473
251,0.866799,0.922037
252,0.869776,0.924417
253,0.886494,0.933392
254,0.870703,0.921046
255,0.874905,0.923571
256,0.887627,0.930668
257,0.869263,0.920165
258,0.870562,0.921433
259,0.886725,0.930202
260,0.874413,0.922343
261,0.876488,0.924928
262,0.883875,0.931421
263,0.872461,0.923264
264,0.881549,0.927731
265,0.894056,0.934564
266,0.885937,0.928978
267,0.887514,0.931488
268,0.895391,0.936619
269,0.884922,0.930591
270,0.889452,0.933371
271,0.896556,0.938714
272,0.886545,0.932221
273,0.894239,0.936014
274,0.905545,0.942939
275,0.895291,0.935779
276,0.897762,0.938534
277,0.894989,0.936068
278,0.906418,0.944248
279,0.898156,0.938072
280,0.900362,0.940039
281,0.909029,0.946316
282,0.901076,0.940142
283,0.905329,0.943015
284,0.902992,0.941254
285,0.91089,0.947271
286,0.902888,0.940627
287,0.905748,0.942512
288,0.903487,0.940623
289,0.910261,0.945214
290,0.901721,0.938821
291,0.902993,0.939712
292,0.908921,0.944355
293,0.898003,0.935901
294,0.898108,0.935824
295,0.905074,0.942167
296,0.893906,0.933519
297,0.896177,0.935008
298,0.903381,0.941867
299,0.89826,0.937811
300,0.918472,0.956832
301,0.896626,0.938089
302,0.899013,0.939711
303,0.903871,0.945908
304,0.889344,0.93418
305,0.89373,0.937341
306,0.901341,0.944163
307,0.887771,0.933969
308,0.889446,0.93594
309,0.897782,0.942634
310,0.882644,0.930521
311,0.890306,0.935314
312,0.897745,0.941992
313,0.883798,0.93152
314,0.888692,0.934573
315,0.885711,0.931561
316,0.895959,0.939492
317,0.884627,0.930903
318,0.88676,0.933849
319,0.884711,0.931317
320,0.897591,0.941106
321,0.886746,0.933509
322,0.893929,0.937627
323,0.890161,0.934947
324,0.901313,0.942764
325,0.892164,0.936351
326,0.896949,0.93958
327,0.894102,0.936913
328,0.904206,0.944184
329,0.895606,0.937948
330,0.899682,0.940744
331,0.895527,0.938003
332,0.906376,0.945413
333,0.895347,0.938075
334,0.89703,0.939578
335,0.907613,0.94656
336,0.900444,0.940921
337,0.902099,0.942869
338,0.900236,0.940923
339,0.907199,0.946359
340,0.900715,0.940682
341,0.90044,0.941372
342,0.908198,0.947009
343,0.900996,0.94136
344,0.901139,0.941656
345,0.908785,0.947053
346,0.899755,0.940884
347,0.900634,0.941919
348,0.907996,0.947302
349,0.899383,0.941541
350,0.900551,0.942745
351,0.907367,0.947352
352,0.8954,0.937995
353,0.895167,0.939349
354,0.900229,0.944467
355,0.893015,0.937024
356,0.895182,0.939273
357,0.894855,0.936958
358,0.903172,0.943982
359,0.901101,0.940854
360,0.919487,0.959524
361,0.900456,0.942242
362,0.899231,0.941578
363,0.907912,0.949421
364,0.894116,0.938391
365,0.896998,0.941814
366,0.895943,0.940623
367,0.904316,0.947252
368,0.893956,0.939766
369,0.896724,0.941338
370,0.895645,0.939698
371,0.903565,0.945867
372,0.886601,0.93417
373,0.886617,0.935404
374,0.886218,0.933955
375,0.901635,0.94333
376,0.883876,0.931984
377,0.883188,0.934101
378,0.882623,0.933124
379,0.900248,0.94347
380,0.893724,0.93732
381,0.894233,0.938696
382,0.892107,0.938329
383,0.898894,0.943984
384,0.89041,0.937433
385,0.896149,0.940123
386,0.893786,0.938976
387,0.903046,0.945834
388,0.89329,0.93839
389,0.892723,0.940314
390,0.893193,0.938886
391,0.905291,0.947
392,0.897594,0.939108
393,0.8989,0.940997
394,0.897312,0.938592
395,0.907032,0.947122
396,0.89809,0.940802
397,0.900892,0.942456
398,0.908235,0.948237
399,0.89787,0.940098
400,0.902011,0.943546
401,0.910836,0.948879
402,0.903513,0.942795
403,0.902782,0.943477
404,0.909682,0.948278
405,0.90095,0.942398
406,0.901493,0.943817
407,0.905241,0.947323
408,0.897937,0.941872
409,0.899722,0.943322
410,0.905295,0.946922
411,0.892448,0.937572
412,0.89586,0.939853
413,0.904463,0.945105
414,0.893,0.936511
415,0.897241,0.940072
416,0.903632,0.944388
417,0.891847,0.936553
418,0.895977,0.939192
419,0.902694,0.94358
420,0.919771,0.958829
421,0.896892,0.940709
422,0.903583,0.946378
423,0.906333,0.94951
424,0.882434,0.931374
425,0.89444,0.939959
426,0.904452,0.947108
427,0.889821,0.93687
428,0.899473,0.941736
429,0.903667,0.945893
430,0.889711,0.935896
431,0.894188,0.939027
432,0.901688,0.944607
433,0.888406,0.93504
434,0.890107,0.936818
435,0.897914,0.94228
436,0.887261,0.934754
437,0.890274,0.936217
438,0.89817,0.941082
439,0.885968,0.933412
440,0.887464,0.934964
441,0.893757,0.938939
442,0.874106,0.928697
443,0.879747,0.931185
444,0.890167,0.93716
445,0.868167,0.926109
446,0.876791,0.930324
447,0.889283,0.936553
448,0.867944,0.926122
449,0.874254,0.929771
450,0.887818,0.936539
451,0.869873,0.927323
452,0.876935,0.930735
453,0.892505,0.938468
454,0.879078,0.931195
455,0.887849,0.935362
456,0.895912,0.940323
457,0.886836,0.935259
458,0.890532,0.937534
459,0.886802,0.935591
460,0.897589,0.942083
461,0.89001,0.936981
462,0.892461,0.938749
463,0.901575,0.944075
464,0.892847,0.938349
465,0.895889,0.94043
466,0.895203,0.93993
467,0.901677,0.944304
468,0.893889,0.9392
469,0.894321,0.939494
470,0.903349,0.944987
471,0.892599,0.937558
472,0.894775,0.938309
473,0.902514,0.943723
474,0.893932,0.937413
475,0.894932,0.937458
476,0.903018,0.943169
477,0.895265,0.937498
478,0.897551,0.939056
479,0.902944,0.943134
480,0.917637,0.957491
481,0.902549,0.943574
482,0.907788,0.9483
483,0.907086,0.948315
484,0.894816,0.938635
485,0.902356,0.944314
486,0.905082,0.946573
487,0.894322,0.938821
488,0.899897,0.942745
489,0.902749,0.944884
490,0.893299,0.93793
491,0.897575,0.940725
492,0.902779,0.944043
493,0.890373,0.935538
494,0.893085,0.93684
495,0.90065,0.941647
496,0.888551,0.934101
497,0.89147,0.936076
498,0.898864,0.939901
499,0.888792,0.932687
500,0.892781,0.93478
501,0.901297,0.939584
502,0.890694,0.932195
503,0.895194,0.935052
504,0.902179,0.939734
505,0.893985,0.934845
506,0.896514,0.936157
507,0.90307,0.940502
508,0.891885,0.933843
509,0.894059,0.93522
510,0.901747,0.940011
511,0.889038,0.932019
512,0.893652,0.934902
513,0.901177,0.940063
514,0.890456,0.93265
515,0.893694,0.935199
516,0.900922,0.940054
517,0.8891,0.931498
518,0.894694,0.93531
519,0.904084,0.940499
520,0.891124,0.932842
521,0.895647,0.935293
522,0.903633,0.940138
523,0.892882,0.93338
524,0.893945,0.934698
525,0.902837,0.939857
526,0.890702,0.932376
527,0.895675,0.935536
528,0.90305,0.939947
529,0.891257,0.93333
530,0.896047,0.9362
531,0.903596,0.941032
532,0.892427,0.933236
533,0.89793,0.936483
534,0.905626,0.941628
535,0.895306,0.934995
536,0.899804,0.938114
537,0.908124,0.942737
538,0.899739,0.938405
539,0.903183,0.939882
540,0.922032,0.95877
541,0.905489,0.945863
542,0.913478,0.952179
543,0.906536,0.948132
544,0.913418,0.951146
545,0.903377,0.943785
546,0.902121,0.942981
547,0.912558,0.949427
548,0.90141,0.941568
549,0.901879,0.941449
550,0.911474,0.94781
551,0.899463,0.940292
552,0.900412,0.94025
553,0.908631,0.946274
554,0.895293,0.9368
555,0.897974,0.938384
556,0.904464,0.942996
557,0.89388,0.935897
558,0.897576,0.937996
559,0.903721,0.942344
560,0.892467,0.934726
561,0.895354,0.937014
562,0.904232,0.942611
563,0.892195,0.935463
564,0.896594,0.937197
565,0.904568,0.942481
566,0.89424,0.935914
567,0.897463,0.938555
568,0.904695,0.943075
569,0.894538,0.936605
570,0.897538,0.939412
571,0.905972,0.944172
572,0.894856,0.93666
573,0.89994,0.940559
574,0.907905,0.945639
575,0.899512,0.939568
576,0.90211,0.941641
577,0.909403,0.946496
578,0.899654,0.940026
579,0.904296,0.943316
580,0.909832,0.94746
581,0.90141,0.940418
582,0.904643,0.943637
583,0.911466,0.948193
584,0.901627,0.941089
585,0.904929,0.944191
586,0.912183,0.948727
587,0.901577,0.941814
588,0.905492,0.944487
589,0.911273,0.948521
590,0.902115,0.941892
591,0.904697,0.943774
592,0.911542,0.947839
593,0.900266,0.939227
594,0.903097,0.940855
595,0.909135,0.945697
596,0.898579,0.938072
597,0.900312,0.93943
598,0.90653,0.944365
599,0.901875,0.940403
600,0.920504,0.959524
601,0.900729,0.942372
602,0.903246,0.943746
603,0.910568,0.949181
604,0.897946,0.939742
605,0.901228,0.942095
606,0.906567,0.947165
607,0.892724,0.937359
608,0.896386,0.939794
609,0.903836,0.945106
610,0.889378,0.935401
611,0.893645,0.938001
612,0.901256,0.943387
613,0.882155,0.930121
614,0.886556,0.933053
615,0.895684,0.938487
616,0.875881,0.927159
617,0.880253,0.930981
618,0.888432,0.937164
619,0.873002,0.927496
620,0.876518,0.930493
621,0.885624,0.937265
622,0.872992,0.930202
623,0.879799,0.932963
624,0.893007,0.939434
625,0.881058,0.932529
626,0.884253,0.934886
627,0.894753,0.940708
628,0.887463,0.935258
629,0.89124,0.937535
630,0.892061,0.936914
631,0.902047,0.943295
632,0.894122,0.938605
633,0.897497,0.940567
634,0.897757,0.94051
635,0.905723,0.945526
636,0.902222,0.943247
637,0.9025,0.943619
638,0.902955,0.94447
639,0.907556,0.947232
640,0.904196,0.945271
641,0.903669,0.945149
642,0.903708,0.945559
643,0.908154,0.948462
644,0.904087,0.94614
645,0.904924,0.946337
646,0.905197,0.946457
