Frame, eSSIM, SSIM
0,0.659322,0.841002
1,0.614171,0.821866
2,0.631895,0.82749
3,0.656189,0.837003
4,0.627201,0.823645
5,0.636618,0.827215
6,0.662616,0.837408
7,0.632092,0.824453
8,0.638946,0.826915
9,0.659201,0.834997
10,0.623218,0.820848
11,0.646346,0.828145
12,0.659342,0.833872
13,0.625558,0.819313
14,0.639252,0.823823
15,0.655964,0.830515
16,0.626705,0.817653
17,0.631637,0.819759
18,0.653293,0.828608
19,0.62524,0.816988
20,0.631201,0.819543
21,0.651011,0.827505
22,0.602302,0.807598
23,0.60127,0.805339
24,0.621738,0.811329
25,0.568184,0.790639
26,0.61186,0.808011
27,0.637444,0.820503
28,0.620917,0.814308
29,0.628934,0.820746
30,0.659782,0.833301
31,0.631234,0.823923
32,0.653609,0.832307
33,0.670313,0.841788
34,0.642878,0.83071
35,0.664489,0.838441
36,0.683801,0.848083
37,0.669857,0.838933
38,0.680834,0.844662
39,0.695222,0.851879
40,0.684128,0.846594
41,0.701064,0.853683
42,0.672247,0.83927
43,0.685052,0.845286
44,0.703057,0.85495
45,0.67646,0.843733
46,0.678151,0.84473
47,0.692742,0.85307
48,0.668941,0.845722
49,0.686365,0.850334
50,0.69857,0.855484
51,0.668328,0.842232
52,0.689719,0.852087
53,0.690122,0.852415
54,0.702589,0.857062
55,0.695646,0.853988
56,0.702266,0.855668
57,0.704906,0.856704
58,0.714778,0.860629
59,0.715439,0.860037
60,0.7222,0.874666
61,0.706245,0.865995
62,0.719022,0.870684
63,0.721084,0.871468
64,0.685068,0.854238
65,0.680936,0.854636
66,0.697954,0.859203
67,0.717183,0.868836
68,0.693406,0.859168
69,0.710261,0.864685
70,0.702946,0.865438
71,0.670069,0.85235
72,0.683815,0.856335
73,0.701917,0.864075
74,0.681635,0.849496
75,0.685164,0.852128
76,0.699085,0.860717
77,0.678858,0.84672
78,0.685394,0.850563
79,0.693376,0.858307
80,0.66328,0.842469
81,0.674448,0.846671
82,0.67897,0.856943
83,0.62854,0.830453
84,0.650306,0.838779
85,0.673607,0.84979
86,0.634385,0.830477
87,0.651891,0.835428
88,0.674546,0.848159
89,0.638916,0.83388
90,0.65743,0.839536
91,0.674746,0.848624
92,0.612225,0.829278
93,0.657396,0.841382
94,0.67834,0.851448
95,0.629863,0.835069
96,0.664604,0.844763
97,0.687199,0.856307
98,0.652613,0.842667
99,0.667112,0.845812
100,0.682109,0.85481
101,0.665392,0.843568
102,0.684888,0.850394
103,0.705638,0.859211
104,0.683111,0.847839
105,0.700739,0.854053
106,0.711623,0.85975
107,0.683456,0.847181
108,0.689607,0.849766
109,0.708269,0.858686
110,0.678325,0.846946
111,0.700923,0.854742
112,0.719816,0.863657
113,0.683047,0.84984
114,0.706161,0.857311
115,0.723369,0.864916
116,0.696334,0.855764
117,0.713676,0.860355
118,0.72953,0.867065
119,0.730311,0.866154
120,0.701753,0.867998
121,0.676888,0.852611
122,0.691957,0.859669
123,0.703534,0.865125
124,0.688314,0.855368
125,0.696065,0.857907
126,0.713082,0.865231
127,0.690168,0.850949
128,0.700612,0.854497
129,0.708595,0.861559
130,0.690124,0.85319
131,0.694495,0.859793
132,0.669933,0.848318
133,0.698695,0.85919
134,0.687404,0.849451
135,0.706769,0.857659
136,0.685238,0.848634
137,0.712028,0.859711
138,0.700634,0.852705
139,0.713429,0.860144
140,0.688013,0.848138
141,0.698849,0.852046
142,0.718602,0.860894
143,0.690128,0.850657
144,0.696935,0.851996
145,0.710013,0.856792
146,0.670679,0.843579
147,0.690589,0.850489
148,0.712975,0.858851
149,0.686403,0.84876
150,0.701691,0.853397
151,0.685184,0.846725
152,0.708634,0.857078
153,0.633821,0.832414
154,0.67456,0.842661
155,0.707141,0.856047
156,0.655358,0.836848
157,0.679012,0.843849
158,0.706841,0.854193
159,0.662033,0.839759
160,0.685614,0.847259
161,0.718026,0.859145
162,0.698644,0.851249
163,0.705087,0.854916
164,0.724128,0.862626
165,0.684812,0.848832
166,0.695057,0.852426
167,0.717466,0.860769
168,0.700007,0.851214
169,0.714192,0.857416
170,0.728005,0.86291
171,0.698168,0.849835
172,0.709086,0.853063
173,0.731305,0.862492
174,0.703006,0.851044
175,0.707631,0.853324
176,0.728586,0.862163
177,0.683191,0.846738
178,0.702828,0.850692
179,0.716809,0.857597
180,0.65285,0.843549
181,0.613933,0.823166
182,0.641964,0.835021
183,0.620389,0.81866
184,0.642594,0.831576
185,0.628184,0.819969
186,0.643611,0.828067
187,0.621742,0.814946
188,0.650046,0.828253
189,0.623853,0.814092
190,0.652175,0.827106
191,0.615852,0.810526
192,0.658587,0.829275
193,0.640405,0.820386
194,0.661032,0.830524
195,0.63553,0.819647
196,0.6638,0.831508
197,0.617171,0.81338
198,0.659059,0.830384
199,0.6385,0.819999
200,0.661177,0.829978
201,0.638144,0.819587
202,0.659312,0.828674
203,0.646399,0.824124
204,0.665442,0.832437
205,0.625837,0.818121
206,0.669145,0.835765
207,0.640344,0.822895
208,0.64649,0.823719
209,0.672994,0.837592
210,0.642381,0.824757
211,0.665049,0.833348
212,0.678,0.840496
213,0.63656,0.824771
214,0.651476,0.827755
215,0.680207,0.840833
216,0.651462,0.829331
217,0.668698,0.834582
218,0.681373,0.841465
219,0.657341,0.830458
220,0.670269,0.835183
221,0.684534,0.841795
222,0.648785,0.828116
223,0.672153,0.835329
224,0.686449,0.842396
225,0.651361,0.829516
226,0.673981,0.835007
227,0.691511,0.843159
228,0.65924,0.829915
229,0.677588,0.836713
230,0.693359,0.844521
231,0.673825,0.836758
232,0.694257,0.844735
233,0.665048,0.833309
234,0.688938,0.842659
235,0.634491,0.818386
236,0.666105,0.832186
237,0.62991,0.816275
238,0.65744,0.828728
239,0.65322,0.822465
240,0.655691,0.840474
241,0.611766,0.815805
242,0.640164,0.829293
243,0.611179,0.81143
244,0.643366,0.827233
245,0.611415,0.810313
246,0.646914,0.825947
247,0.615594,0.810368
248,0.650383,0.826879
249,0.611174,0.810114
250,0.656933,0.829333
251,0.628161,0.816882
252,0.663595,0.831558
253,0.623863,0.814592
254,0.654212,0.824178
255,0.674395,0.835514
256,0.635879,0.821931
257,0.657117,0.828663
258,0.677936,0.837701
259,0.61817,0.81891
260,0.654828,0.826903
261,0.689115,0.842733
262,0.646498,0.828269
263,0.668038,0.833375
264,0.692879,0.843152
265,0.640781,0.822904
266,0.674031,0.835312
267,0.692798,0.844094
268,0.611052,0.817267
269,0.665398,0.833833
270,0.697485,0.846986
271,0.649144,0.831162
272,0.678443,0.840694
273,0.701133,0.849525
274,0.674309,0.843074
275,0.692015,0.850132
276,0.717118,0.859189
277,0.696755,0.8508
278,0.705918,0.854899
279,0.703325,0.853807
280,0.725522,0.862293
281,0.701514,0.852817
282,0.71982,0.860079
283,0.719335,0.859581
284,0.737337,0.866345
285,0.719694,0.858845
286,0.726614,0.862298
287,0.711259,0.856225
288,0.733384,0.862976
289,0.696243,0.847845
290,0.697071,0.847381
291,0.722705,0.856668
292,0.693223,0.845325
293,0.70003,0.847969
294,0.717933,0.853249
