Frame, eSSIM, SSIM
0,0.75983,0.890758
1,0.716356,0.866593
2,0.726635,0.869254
3,0.758588,0.882144
4,0.724853,0.866474
5,0.725696,0.867336
6,0.747979,0.87574
7,0.707224,0.858097
8,0.715319,0.860512
9,0.739824,0.871644
10,0.708158,0.857566
11,0.726441,0.863698
12,0.740935,0.869519
13,0.675062,0.846423
14,0.683553,0.846073
15,0.699632,0.85153
16,0.647004,0.834629
17,0.680452,0.845667
18,0.706237,0.858354
19,0.679727,0.84836
20,0.699373,0.856195
21,0.714768,0.865495
22,0.70011,0.857624
23,0.725228,0.866022
24,0.740006,0.875956
25,0.704726,0.864501
26,0.743512,0.875438
27,0.754701,0.881542
28,0.746147,0.877909
29,0.757796,0.881202
30,0.769109,0.886763
31,0.755179,0.878382
32,0.767603,0.883375
33,0.775365,0.888383
34,0.755904,0.877617
35,0.766379,0.882619
36,0.779707,0.888996
37,0.762646,0.880132
38,0.77233,0.88417
39,0.785559,0.890348
40,0.764677,0.880362
41,0.773325,0.884935
42,0.790542,0.893404
43,0.774941,0.885652
44,0.786358,0.890092
45,0.794983,0.895526
46,0.781825,0.889185
47,0.788094,0.89326
48,0.796869,0.897591
49,0.781708,0.891946
50,0.792537,0.895137
51,0.785331,0.893657
52,0.803234,0.900734
53,0.792191,0.895299
54,0.797253,0.89706
55,0.797155,0.897169
56,0.803544,0.899714
57,0.796027,0.896555
58,0.804883,0.899061
59,0.809741,0.900578
60,0.805568,0.914626
61,0.790972,0.905607
62,0.787339,0.903361
63,0.807209,0.908158
64,0.773777,0.893904
65,0.778637,0.896662
66,0.778193,0.895102
67,0.801064,0.905774
68,0.786599,0.900602
69,0.784728,0.89991
70,0.798567,0.90483
71,0.762979,0.89081
72,0.773917,0.894403
73,0.787783,0.900637
74,0.757108,0.882713
75,0.766923,0.88738
76,0.77836,0.894769
77,0.757434,0.881902
78,0.762162,0.884584
79,0.776777,0.893115
80,0.742764,0.876902
81,0.74879,0.879239
82,0.763162,0.89002
83,0.735517,0.874653
84,0.752836,0.881513
85,0.770244,0.892036
86,0.751559,0.879465
87,0.764867,0.8853
88,0.772166,0.892102
89,0.758971,0.88381
90,0.770532,0.887838
91,0.781793,0.894427
92,0.768006,0.886298
93,0.784391,0.892305
94,0.795416,0.898269
95,0.781867,0.890002
96,0.794984,0.895219
97,0.798464,0.900216
98,0.783377,0.890888
99,0.786076,0.892201
100,0.798751,0.899302
101,0.785247,0.889531
102,0.793552,0.893064
103,0.809315,0.900929
104,0.793331,0.893816
105,0.79957,0.895311
106,0.810642,0.902452
107,0.794022,0.893128
108,0.797881,0.896281
109,0.811237,0.902495
110,0.792978,0.893897
111,0.803045,0.898109
112,0.816449,0.904665
113,0.797197,0.896993
114,0.808727,0.900843
115,0.817013,0.904934
116,0.790086,0.892949
117,0.808696,0.899746
118,0.820475,0.904779
119,0.824023,0.903882
120,0.789458,0.912489
121,0.779873,0.90397
122,0.784679,0.905747
123,0.787606,0.906254
124,0.768736,0.895381
125,0.791628,0.90309
126,0.79408,0.903259
127,0.773312,0.890931
128,0.790946,0.898472
129,0.791482,0.900515
130,0.761122,0.884622
131,0.772771,0.889042
132,0.78049,0.894353
133,0.763006,0.884473
134,0.775843,0.892938
135,0.746999,0.881273
136,0.775302,0.893333
137,0.766369,0.885077
138,0.789421,0.894993
139,0.766647,0.882617
140,0.779702,0.888145
141,0.793362,0.895877
142,0.780515,0.888876
143,0.786654,0.892002
144,0.795461,0.895395
145,0.767269,0.884096
146,0.775235,0.887883
147,0.794182,0.895443
148,0.771246,0.886349
149,0.77883,0.888247
150,0.776466,0.888202
151,0.798598,0.895424
152,0.775522,0.887332
153,0.78306,0.889351
154,0.758797,0.8822
155,0.796412,0.895906
156,0.769394,0.88408
157,0.786451,0.890782
158,0.795098,0.895329
159,0.78146,0.888811
160,0.790682,0.893088
161,0.790497,0.893001
162,0.806297,0.900145
163,0.788187,0.893736
164,0.79207,0.894498
165,0.804972,0.898347
166,0.75514,0.882338
167,0.779696,0.887869
168,0.811954,0.899407
169,0.798158,0.892945
170,0.803621,0.895124
171,0.820607,0.901781
172,0.769566,0.885958
173,0.792504,0.891973
174,0.817046,0.90083
175,0.80154,0.894152
176,0.806187,0.895768
177,0.811815,0.898162
178,0.798215,0.889792
179,0.803178,0.891349
180,0.729847,0.886017
181,0.706343,0.86708
182,0.717276,0.874916
183,0.709179,0.862312
184,0.725674,0.873026
185,0.709293,0.860289
186,0.725653,0.869196
187,0.693281,0.852316
188,0.729193,0.868057
189,0.699239,0.85258
190,0.72846,0.8663
191,0.703103,0.852474
192,0.729258,0.8652
193,0.709846,0.855397
194,0.73417,0.867463
195,0.70125,0.853459
196,0.743797,0.871257
197,0.719176,0.860482
198,0.749349,0.87365
199,0.735861,0.865906
200,0.751325,0.874318
201,0.732221,0.864281
202,0.756812,0.87645
203,0.72924,0.86353
204,0.768289,0.879109
205,0.74179,0.868487
206,0.770841,0.880654
207,0.742494,0.86682
208,0.756435,0.872877
209,0.7707,0.880811
210,0.740199,0.866978
211,0.754942,0.873246
212,0.769318,0.881019
213,0.738293,0.867386
214,0.752402,0.871522
215,0.772437,0.881569
216,0.744063,0.86806
217,0.748048,0.870534
218,0.770315,0.881339
219,0.740229,0.868098
220,0.75656,0.874447
221,0.769292,0.881289
222,0.733908,0.865616
223,0.749652,0.872484
224,0.771903,0.882944
225,0.747015,0.869607
226,0.758344,0.874375
227,0.778395,0.884406
228,0.756898,0.872816
229,0.760676,0.875529
230,0.780002,0.884819
231,0.754929,0.873331
232,0.776271,0.883391
233,0.740977,0.867308
234,0.768702,0.879056
235,0.717144,0.856927
236,0.749229,0.870672
237,0.709477,0.852242
238,0.733947,0.865627
239,0.729498,0.859657
240,0.709522,0.874761
241,0.675519,0.85226
242,0.705548,0.865647
243,0.68446,0.850712
244,0.717063,0.865893
245,0.702598,0.855987
246,0.727136,0.866978
247,0.705033,0.854868
248,0.732382,0.868972
249,0.696905,0.850839
250,0.714075,0.8578
251,0.745786,0.873122
252,0.71583,0.857542
253,0.737888,0.865734
254,0.75284,0.874031
255,0.732162,0.863897
256,0.744078,0.866579
257,0.761842,0.87641
258,0.734307,0.86441
259,0.756205,0.872065
260,0.770409,0.87814
261,0.741669,0.866548
262,0.756087,0.872562
263,0.776162,0.881077
264,0.7495,0.871012
265,0.766001,0.875642
266,0.782856,0.884327
267,0.756808,0.874879
268,0.770719,0.880348
269,0.787521,0.887722
270,0.742579,0.876761
271,0.77842,0.884949
272,0.800053,0.892893
273,0.78728,0.887722
274,0.799471,0.893245
275,0.797731,0.893665
276,0.815072,0.898832
277,0.801168,0.892785
278,0.811038,0.895215
279,0.804023,0.894631
280,0.821718,0.900165
281,0.807074,0.894968
282,0.811647,0.896274
283,0.809115,0.89576
284,0.825357,0.900574
285,0.808813,0.894036
286,0.81634,0.895939
287,0.810729,0.894998
288,0.825854,0.898952
289,0.791828,0.88902
290,0.80413,0.891796
291,0.822997,0.897664
292,0.764056,0.878937
293,0.784184,0.883471
294,0.812074,0.893144
295,0.783068,0.883712
296,0.788332,0.886608
297,0.802134,0.891673
298,0.791801,0.886451
299,0.802028,0.887893
300,0.77833,0.901434
301,0.729529,0.88279
302,0.753492,0.886931
303,0.772216,0.892225
304,0.754768,0.884324
305,0.767525,0.887867
306,0.782826,0.892566
307,0.749403,0.881915
308,0.774491,0.887697
309,0.790129,0.893139
310,0.755295,0.882968
311,0.774349,0.887366
312,0.792382,0.89301
313,0.758362,0.880335
314,0.776505,0.883323
315,0.766188,0.88243
316,0.789439,0.889805
317,0.762826,0.88098
318,0.7806,0.883939
319,0.760333,0.879535
320,0.791692,0.889653
321,0.77195,0.882213
322,0.783015,0.885879
323,0.778595,0.885659
324,0.797775,0.892517
325,0.780352,0.885026
326,0.786447,0.886921
327,0.782418,0.886815
328,0.801121,0.894507
329,0.781259,0.886193
330,0.789907,0.889795
331,0.809779,0.898021
332,0.79143,0.890807
333,0.798056,0.892041
334,0.791727,0.891453
335,0.810198,0.898047
336,0.793952,0.891716
337,0.802362,0.893833
338,0.796592,0.89292
339,0.81072,0.898282
340,0.792371,0.89006
341,0.803645,0.89436
342,0.802193,0.894344
343,0.818538,0.900106
344,0.804171,0.893649
345,0.812787,0.896639
346,0.807017,0.896347
347,0.824152,0.902211
348,0.80234,0.893671
349,0.812736,0.897178
350,0.803463,0.895208
351,0.8245,0.902526
352,0.799319,0.894065
353,0.809066,0.895507
354,0.801005,0.894558
355,0.820754,0.900942
356,0.798191,0.893224
357,0.814652,0.897281
358,0.797782,0.894588
359,0.822241,0.901497
360,0.788179,0.905596
361,0.759568,0.890812
362,0.767298,0.89234
363,0.750784,0.887331
364,0.778191,0.896803
365,0.763644,0.888218
366,0.769565,0.890564
367,0.775005,0.891601
368,0.7843,0.896195
369,0.780857,0.892476
370,0.785869,0.893896
371,0.785679,0.893216
372,0.793659,0.897424
373,0.774462,0.886244
374,0.785956,0.891516
375,0.786469,0.891405
376,0.802962,0.89928
377,0.788585,0.891063
378,0.79066,0.892377
379,0.793549,0.893516
380,0.807474,0.899704
381,0.796013,0.89291
382,0.799437,0.89377
383,0.800829,0.893818
384,0.812264,0.899587
385,0.803801,0.896687
386,0.804714,0.897298
387,0.802392,0.896819
388,0.815975,0.901381
389,0.797175,0.895557
390,0.804809,0.897951
391,0.794857,0.895261
392,0.816913,0.902909
393,0.79936,0.896294
394,0.806326,0.897488
395,0.800087,0.89606
396,0.818069,0.902482
397,0.7921,0.893757
398,0.806478,0.89713
399,0.795626,0.895021
400,0.820472,0.90299
401,0.800887,0.895792
402,0.811064,0.898697
403,0.825179,0.904599
404,0.791503,0.891038
405,0.806472,0.896743
406,0.825014,0.903603
407,0.798835,0.892808
408,0.808718,0.896825
409,0.826826,0.904192
410,0.791878,0.891259
411,0.804103,0.896005
412,0.821815,0.903707
413,0.789281,0.890311
414,0.804153,0.895594
415,0.822594,0.903029
416,0.787879,0.889831
417,0.798624,0.893018
418,0.820562,0.901729
419,0.81413,0.897808
420,0.78081,0.901621
421,0.732979,0.878917
422,0.751957,0.885056
423,0.77401,0.893362
424,0.746366,0.879308
425,0.765134,0.885807
426,0.784082,0.89421
427,0.750151,0.881456
428,0.767376,0.885677
429,0.791911,0.894298
430,0.761641,0.883231
431,0.780381,0.888135
432,0.798854,0.896228
433,0.765507,0.884413
434,0.783105,0.887995
435,0.797965,0.894494
436,0.762639,0.88237
437,0.782253,0.886797
438,0.795915,0.893309
439,0.764933,0.883237
440,0.780649,0.887144
441,0.792947,0.891544
442,0.751597,0.87759
443,0.763179,0.881493
444,0.783749,0.889043
445,0.740687,0.873902
446,0.753068,0.878215
447,0.77555,0.88653
448,0.739403,0.873677
449,0.75971,0.877972
450,0.778286,0.886698
451,0.744188,0.872741
452,0.763723,0.877923
453,0.786089,0.887553
454,0.745493,0.87344
455,0.774623,0.881288
456,0.795537,0.889686
457,0.772838,0.878908
458,0.78342,0.882634
459,0.805478,0.892431
460,0.771953,0.881415
461,0.786563,0.886478
462,0.81503,0.895876
463,0.774931,0.883097
464,0.802704,0.891487
465,0.777513,0.884865
466,0.819431,0.897751
467,0.79446,0.89029
468,0.808278,0.894026
469,0.783945,0.887377
470,0.820574,0.898175
471,0.776304,0.887095
472,0.798915,0.890712
473,0.825068,0.899117
474,0.784901,0.888319
475,0.797954,0.889998
476,0.82115,0.89726
477,0.792332,0.888642
478,0.802761,0.891085
479,0.823509,0.898465
480,0.807436,0.907156
481,0.772138,0.893348
482,0.798382,0.901515
483,0.80187,0.901203
484,0.77651,0.891187
485,0.80294,0.899637
486,0.806621,0.899934
487,0.776633,0.889155
488,0.804057,0.898376
489,0.809855,0.899751
490,0.78363,0.88934
491,0.796494,0.893426
492,0.792791,0.89261
493,0.813086,0.900044
494,0.779885,0.887973
495,0.793629,0.890719
496,0.813879,0.89878
497,0.789359,0.888189
498,0.796135,0.890052
499,0.81477,0.89648
500,0.781959,0.884094
501,0.791655,0.887443
502,0.815692,0.895377
503,0.769378,0.879644
504,0.80133,0.888489
505,0.811809,0.894137
506,0.779846,0.88443
507,0.787442,0.887517
508,0.810046,0.893887
509,0.771703,0.881205
510,0.791066,0.885694
511,0.806629,0.892438
512,0.763874,0.875261
513,0.787591,0.882625
514,0.809077,0.891601
515,0.769257,0.875405
516,0.79072,0.883561
517,0.811132,0.89273
518,0.765062,0.87363
519,0.784716,0.881007
520,0.809812,0.892117
521,0.769282,0.875468
522,0.794401,0.884502
523,0.808607,0.891198
524,0.767458,0.874461
525,0.789538,0.882253
526,0.810812,0.892053
527,0.774254,0.877667
528,0.786505,0.883215
529,0.810219,0.893056
530,0.768437,0.876496
531,0.795454,0.885784
532,0.812041,0.894345
533,0.7717,0.879599
534,0.792231,0.886198
535,0.816199,0.896342
536,0.783546,0.88319
537,0.796889,0.889523
538,0.819798,0.898715
539,0.81996,0.896214
540,0.791504,0.904787
541,0.779145,0.895959
542,0.78433,0.898877
543,0.773984,0.892541
544,0.788623,0.898252
545,0.774918,0.891435
546,0.780445,0.89348
547,0.763003,0.887726
548,0.792974,0.897138
549,0.777882,0.889045
550,0.785814,0.891712
551,0.799395,0.897295
552,0.773365,0.88557
553,0.782472,0.888626
554,0.8008,0.896175
555,0.767303,0.878978
556,0.766367,0.878787
557,0.795807,0.892555
558,0.759935,0.877665
559,0.772275,0.882584
560,0.796532,0.891992
561,0.766778,0.877805
562,0.77972,0.883616
563,0.807754,0.894448
564,0.774511,0.881225
565,0.79578,0.88834
566,0.810958,0.895341
567,0.778034,0.880894
568,0.790848,0.886185
569,0.816485,0.897343
570,0.788209,0.885583
571,0.803857,0.891358
572,0.817765,0.898317
573,0.791485,0.887307
574,0.81056,0.894242
575,0.825907,0.901473
576,0.800327,0.891138
577,0.818241,0.896946
578,0.827652,0.902473
579,0.795226,0.890025
580,0.813691,0.896519
581,0.830515,0.903781
582,0.800005,0.89129
583,0.812977,0.896311
584,0.82878,0.903647
585,0.806853,0.894536
586,0.817221,0.897925
587,0.832235,0.90508
588,0.80482,0.893334
589,0.819838,0.899118
590,0.834335,0.904984
591,0.799962,0.891215
592,0.813918,0.89584
593,0.833148,0.903884
594,0.799317,0.891131
595,0.815697,0.896216
596,0.829406,0.901764
597,0.797203,0.889228
598,0.810142,0.892926
599,0.824987,0.899911
600,0.813812,0.911643
601,0.756817,0.888445
602,0.799929,0.901186
603,0.802792,0.901468
604,0.769254,0.887747
605,0.805296,0.899789
606,0.80623,0.900041
607,0.775362,0.886846
608,0.804674,0.897203
609,0.806043,0.898607
610,0.778083,0.888005
611,0.787027,0.889763
612,0.803495,0.89633
613,0.773651,0.885064
614,0.784652,0.88663
615,0.802599,0.894515
616,0.762058,0.879442
617,0.782981,0.885943
618,0.793815,0.891128
619,0.753417,0.875495
620,0.778404,0.884145
621,0.792219,0.88932
622,0.757983,0.877234
623,0.778678,0.88315
624,0.795719,0.890369
625,0.756466,0.877025
626,0.777027,0.88229
627,0.801857,0.891603
628,0.766529,0.878903
629,0.791545,0.887573
630,0.78008,0.882461
631,0.807882,0.893962
632,0.790431,0.887375
633,0.797986,0.889623
634,0.807399,0.892811
635,0.81871,0.898151
636,0.817312,0.897631
637,0.821624,0.899218
638,0.823221,0.89997
639,0.827943,0.902213
640,0.824829,0.901404
641,0.828606,0.902757
642,0.827616,0.902388
643,0.831891,0.904129
644,0.828303,0.90266
645,0.828468,0.902906
646,0.828192,0.902758
647,0.831568,0.904243
648,0.826368,0.902218
649,0.829553,0.903092
650,0.828746,0.902696
651,0.833931,0.904878
652,0.824615,0.900952
653,0.822172,0.899734
654,0.821365,0.898858
655,0.831001,0.903295
656,0.813174,0.897249
657,0.816217,0.898952
658,0.810795,0.896977
659,0.831567,0.903536
660,0.812149,0.910892
661,0.780505,0.895475
662,0.791162,0.900123
663,0.776806,0.891724
664,0.805864,0.902887
665,0.776849,0.889069
666,0.797226,0.897192
667,0.775248,0.888134
668,0.810487,0.901957
669,0.790867,0.891748
670,0.808793,0.898981
671,0.812802,0.900064
672,0.819054,0.903481
673,0.815301,0.900199
674,0.815744,0.899705
675,0.808461,0.896597
676,0.824168,0.903983
677,0.804632,0.895491
678,0.807226,0.897291
679,0.792108,0.890759
680,0.820489,0.902441
681,0.796239,0.891604
682,0.801054,0.893524
683,0.800401,0.892747
684,0.813746,0.898595
685,0.779598,0.884863
686,0.797069,0.893483
687,0.772366,0.884434
688,0.810496,0.897254
689,0.782558,0.887046
690,0.806491,0.894481
691,0.790402,0.890748
692,0.821943,0.903053
693,0.776031,0.888546
694,0.801017,0.894874
695,0.77443,0.88813
696,0.818621,0.901917
697,0.753931,0.88447
698,0.784913,0.890301
699,0.8139,0.900741
700,0.775082,0.888103
701,0.787753,0.891771
702,0.811865,0.898871
703,0.760764,0.882798
704,0.780491,0.88818
705,0.811328,0.898619
706,0.769515,0.885207
707,0.801043,0.894669
708,0.777639,0.88715
709,0.821381,0.901302
710,0.782916,0.889535
711,0.810328,0.897362
712,0.786896,0.888579
713,0.826339,0.901784
714,0.785737,0.8888
715,0.812582,0.897994
716,0.806485,0.894202
717,0.833307,0.903866
718,0.822458,0.898034
719,0.828359,0.90003
720,0.820985,0.912803
721,0.80321,0.901785
722,0.801227,0.899483
723,0.796623,0.897106
724,0.811392,0.903862
725,0.799459,0.896249
726,0.807738,0.898743
727,0.810808,0.899513
728,0.818059,0.903542
729,0.805697,0.897194
730,0.810255,0.898489
731,0.811564,0.898617
732,0.820691,0.903294
733,0.812013,0.897829
734,0.814684,0.898485
735,0.813692,0.89788
736,0.821085,0.901645
737,0.813225,0.896951
738,0.811918,0.896036
739,0.808898,0.894931
740,0.821671,0.900955
741,0.78724,0.889172
742,0.805899,0.895185
743,0.785676,0.889917
744,0.819791,0.900866
745,0.786729,0.889004
746,0.797666,0.890805
747,0.822203,0.901303
748,0.790241,0.889094
749,0.80128,0.891384
750,0.823535,0.901131
751,0.783617,0.889794
752,0.797195,0.889955
753,0.821824,0.899696
754,0.784894,0.884564
755,0.795933,0.888237
756,0.815225,0.896452
757,0.77616,0.881874
758,0.81221,0.894207
759,0.770885,0.878441
760,0.809376,0.891858
761,0.772554,0.876163
762,0.807666,0.888905
763,0.77242,0.874269
764,0.803111,0.886012
765,0.804529,0.88641
766,0.746921,0.860156
767,0.783157,0.87784
768,0.723799,0.849186
769,0.761578,0.864366
770,0.784465,0.876661
771,0.772682,0.872309
772,0.776314,0.872942
773,0.781251,0.87488
774,0.770548,0.871762
775,0.773325,0.872578
776,0.777543,0.873718
777,0.765032,0.869435
778,0.767427,0.870146
779,0.772753,0.871904
780,0.79029,0.887867
781,0.790826,0.887255
782,0.793815,0.887324
783,0.799317,0.888468
784,0.793125,0.886476
785,0.796243,0.886626
786,0.802018,0.887931
787,0.798011,0.886066
788,0.799143,0.886133
789,0.803934,0.887859
790,0.79364,0.882376
791,0.794773,0.882455
792,0.809266,0.889949
793,0.78303,0.877781
794,0.785523,0.878886
795,0.809337,0.889319
796,0.761099,0.869065
797,0.767764,0.872481
798,0.808201,0.888119
799,0.748366,0.862977
800,0.774894,0.873634
801,0.809079,0.887952
802,0.749494,0.865855
803,0.773119,0.873635
804,0.811142,0.8889
805,0.757407,0.86785
806,0.788625,0.878843
807,0.81357,0.889724
808,0.755197,0.867581
809,0.784728,0.877301
810,0.814868,0.890405
811,0.761071,0.87032
812,0.783374,0.877433
813,0.818512,0.892339
814,0.771468,0.874577
815,0.792942,0.881227
816,0.82291,0.893737
817,0.774742,0.876123
818,0.793819,0.882632
819,0.82086,0.893946
820,0.768942,0.874397
821,0.792305,0.882742
822,0.822156,0.894782
823,0.77748,0.877746
824,0.802361,0.887698
825,0.823754,0.895442
826,0.777053,0.878329
827,0.801118,0.88633
828,0.825567,0.896111
829,0.783544,0.879588
830,0.807289,0.888894
831,0.82657,0.896222
832,0.771847,0.876193
833,0.803534,0.88704
834,0.825266,0.895218
835,0.756544,0.873289
836,0.796923,0.884614
837,0.823391,0.894171
838,0.778773,0.87773
839,0.807773,0.887026
840,0.815754,0.904124
841,0.763561,0.88323
842,0.778562,0.889093
843,0.808753,0.897226
844,0.769552,0.88257
845,0.790366,0.88884
846,0.808744,0.894863
847,0.762313,0.877391
848,0.784663,0.884377
849,0.804481,0.892513
850,0.759829,0.874952
851,0.782344,0.881698
852,0.804789,0.891159
853,0.767424,0.877322
854,0.782085,0.880721
855,0.804294,0.890275
856,0.750532,0.871544
857,0.781062,0.880396
858,0.801575,0.888702
859,0.75185,0.87277
860,0.778653,0.878964
861,0.801449,0.888239
862,0.757888,0.871919
863,0.77395,0.877517
864,0.79891,0.888024
865,0.751954,0.869083
866,0.77131,0.875541
867,0.795951,0.886835
868,0.751591,0.869967
869,0.764912,0.873577
870,0.785401,0.883577
871,0.746175,0.865938
872,0.760865,0.872465
873,0.783404,0.882364
874,0.747615,0.866797
875,0.759847,0.871862
876,0.782371,0.882411
877,0.750136,0.868047
878,0.765089,0.873533
879,0.786363,0.882972
880,0.750377,0.867901
881,0.768308,0.874748
882,0.788812,0.88383
883,0.759892,0.870621
884,0.76797,0.873808
885,0.792316,0.885301
886,0.754483,0.869922
887,0.776824,0.878323
888,0.79809,0.888335
889,0.760643,0.872996
890,0.784053,0.881092
891,0.801394,0.889602
892,0.770132,0.877939
893,0.798544,0.890144
894,0.774326,0.879908
895,0.798749,0.891083
896,0.764859,0.879033
897,0.792709,0.890256
898,0.766111,0.879602
899,0.78581,0.884781
