Frame, eSSIM, SSIM
0,0.921616,0.95093
1,0.862501,0.922519
2,0.860609,0.923791
3,0.877111,0.929884
4,0.852016,0.916451
5,0.851878,0.92083
6,0.873066,0.932743
7,0.853446,0.92225
8,0.853069,0.923854
9,0.866683,0.931414
10,0.846067,0.92002
11,0.849371,0.922438
12,0.858267,0.928093
13,0.838184,0.916188
14,0.84912,0.920799
15,0.856295,0.926322
16,0.839126,0.916429
17,0.840129,0.918755
18,0.849831,0.924399
19,0.839005,0.915954
20,0.841381,0.917538
21,0.851666,0.92419
22,0.839283,0.91551
23,0.847794,0.918573
24,0.858871,0.924819
25,0.844646,0.918076
26,0.854689,0.921339
27,0.859791,0.924649
28,0.847992,0.921051
29,0.855542,0.921998
30,0.859109,0.924672
31,0.841311,0.916024
32,0.848204,0.918426
33,0.854415,0.923377
34,0.824359,0.908282
35,0.827367,0.908015
36,0.838627,0.913792
37,0.806503,0.901618
38,0.812383,0.905474
39,0.832064,0.91704
40,0.826151,0.913633
41,0.842653,0.924011
42,0.835992,0.919147
43,0.852857,0.927978
44,0.838696,0.920919
45,0.845079,0.924276
46,0.859216,0.933878
47,0.844492,0.927184
48,0.857108,0.930945
49,0.867585,0.93811
50,0.851257,0.931509
51,0.864473,0.9351
52,0.864951,0.935122
53,0.872812,0.940534
54,0.859908,0.933168
55,0.856714,0.932846
56,0.865381,0.93418
57,0.877162,0.938837
58,0.876538,0.937536
59,0.880207,0.938421
60,0.940251,0.963051
61,0.912044,0.950441
62,0.912242,0.949474
63,0.916809,0.952172
64,0.881041,0.934693
65,0.87868,0.935641
66,0.87302,0.934036
67,0.894221,0.947218
68,0.872356,0.939962
69,0.860992,0.937542
70,0.877213,0.944606
71,0.843939,0.929411
72,0.848938,0.930743
73,0.859716,0.940199
74,0.837526,0.926587
75,0.840682,0.930131
76,0.859146,0.938423
77,0.848476,0.930429
78,0.864507,0.939177
79,0.85529,0.932156
80,0.869284,0.937974
81,0.874605,0.937938
82,0.857286,0.928954
83,0.875269,0.938882
84,0.863092,0.931137
85,0.877796,0.939077
86,0.861361,0.927637
87,0.866461,0.932373
88,0.880583,0.939843
89,0.864576,0.929384
90,0.868408,0.932348
91,0.87781,0.939059
92,0.860954,0.930627
93,0.863538,0.933132
94,0.875935,0.938911
95,0.855869,0.929102
96,0.863812,0.931707
97,0.868618,0.93555
98,0.85136,0.925562
99,0.846333,0.926106
100,0.859247,0.932349
101,0.844209,0.922859
102,0.851296,0.926198
103,0.860894,0.932749
104,0.845791,0.924101
105,0.852352,0.927368
106,0.85941,0.932288
107,0.846934,0.924052
108,0.851039,0.926624
109,0.860964,0.933117
110,0.841091,0.925337
111,0.851365,0.929123
112,0.865307,0.935921
113,0.853466,0.927919
114,0.860247,0.931219
115,0.869254,0.936469
116,0.853947,0.927263
117,0.861348,0.931321
118,0.873165,0.936552
119,0.876408,0.936084
120,0.941025,0.965421
121,0.908222,0.949699
122,0.917425,0.954166
123,0.916782,0.952904
124,0.890142,0.935707
125,0.903706,0.943196
126,0.911393,0.948073
127,0.878541,0.930998
128,0.891132,0.938013
129,0.895011,0.944549
130,0.875663,0.936324
131,0.884147,0.941714
132,0.888499,0.940728
133,0.884182,0.939306
134,0.871559,0.936706
135,0.860862,0.935381
136,0.869658,0.9363
137,0.848536,0.928592
138,0.871383,0.937451
139,0.852674,0.92921
