Frame, eSSIM, SSIM
0,0.665141,0.845804
1,0.587479,0.812521
2,0.61218,0.815513
3,0.639784,0.824686
4,0.582173,0.802767
5,0.601387,0.806055
6,0.623398,0.813758
7,0.600469,0.802914
8,0.59826,0.801572
9,0.608698,0.804959
10,0.592284,0.795496
11,0.59297,0.793748
12,0.606745,0.798865
13,0.566331,0.779312
14,0.575794,0.781444
15,0.583326,0.784122
16,0.578598,0.781166
17,0.582057,0.783894
18,0.587464,0.787821
19,0.583771,0.788931
20,0.59285,0.794915
21,0.603145,0.799675
22,0.597624,0.796847
23,0.608095,0.802559
24,0.62659,0.811015
25,0.5855,0.7969
26,0.629095,0.814607
27,0.645978,0.822428
28,0.626869,0.816472
29,0.644217,0.82398
30,0.658982,0.830564
31,0.633193,0.82042
32,0.654824,0.827922
33,0.665768,0.833708
34,0.638126,0.822525
35,0.649177,0.826744
36,0.66671,0.833655
37,0.645187,0.822664
38,0.656107,0.825914
39,0.67372,0.833679
40,0.644902,0.823497
41,0.663248,0.829922
42,0.680441,0.838705
43,0.653456,0.827434
44,0.670585,0.834436
45,0.687398,0.842382
46,0.653888,0.831776
47,0.677505,0.840281
48,0.691888,0.846228
49,0.669064,0.83791
50,0.686758,0.844635
51,0.681928,0.842946
52,0.701223,0.850348
53,0.68792,0.845039
54,0.699865,0.848171
55,0.697021,0.847714
56,0.70829,0.85136
57,0.698762,0.84775
58,0.699025,0.847904
59,0.702834,0.849837
60,0.708818,0.873768
61,0.666904,0.85297
62,0.67567,0.854668
63,0.707575,0.866343
64,0.668818,0.847619
65,0.668255,0.84907
66,0.679544,0.851929
67,0.705263,0.86423
68,0.656507,0.846358
69,0.66385,0.85081
70,0.700239,0.864506
71,0.625313,0.836458
72,0.657395,0.844677
73,0.688874,0.856527
74,0.636564,0.831147
75,0.653345,0.836021
76,0.685507,0.85022
77,0.645247,0.832143
78,0.660976,0.837027
79,0.678947,0.845424
80,0.634552,0.823956
81,0.651235,0.830715
82,0.666723,0.839915
83,0.627376,0.82204
84,0.653677,0.833157
85,0.673114,0.842289
86,0.647372,0.829068
87,0.65647,0.834532
88,0.674817,0.842846
89,0.63545,0.829486
90,0.661097,0.836998
91,0.677695,0.844781
92,0.647513,0.833765
93,0.671684,0.841417
94,0.685287,0.847898
95,0.644582,0.833059
96,0.667473,0.84028
97,0.689362,0.850676
98,0.651645,0.835226
99,0.673778,0.840851
100,0.685513,0.847665
101,0.650702,0.831584
102,0.67841,0.839878
103,0.701708,0.848707
104,0.662258,0.834059
105,0.686995,0.842008
106,0.699184,0.8478
107,0.660766,0.833025
108,0.677031,0.837823
109,0.694378,0.845936
110,0.651976,0.831243
111,0.676081,0.83913
112,0.702716,0.850543
113,0.65895,0.833791
114,0.680904,0.841043
115,0.704868,0.850512
116,0.652583,0.833032
117,0.691657,0.845021
118,0.711046,0.852019
119,0.703621,0.848384
120,0.691996,0.871611
121,0.662682,0.854261
122,0.688112,0.864703
123,0.691497,0.865702
124,0.659284,0.847954
125,0.68906,0.85828
126,0.689473,0.859862
127,0.654654,0.838395
128,0.682675,0.847612
129,0.679442,0.851017
130,0.642654,0.830763
131,0.654971,0.836463
132,0.65706,0.842338
133,0.646365,0.831114
134,0.669048,0.841582
135,0.639145,0.827364
136,0.673715,0.840747
137,0.644809,0.82833
138,0.682297,0.843068
139,0.650112,0.828598
140,0.668705,0.835749
141,0.688478,0.843703
142,0.658242,0.834408
143,0.677692,0.839769
144,0.68994,0.843428
145,0.664276,0.835489
146,0.675018,0.83751
147,0.689528,0.842878
148,0.627801,0.820041
149,0.668396,0.833965
150,0.654139,0.82822
151,0.694169,0.843328
152,0.649918,0.827638
153,0.680392,0.839774
154,0.668846,0.834131
155,0.696817,0.844862
156,0.662771,0.830553
157,0.672667,0.834987
158,0.690562,0.842216
159,0.672079,0.833382
160,0.681934,0.838184
161,0.684246,0.838535
162,0.7106,0.851895
163,0.667482,0.835636
164,0.678074,0.838974
165,0.699616,0.846973
166,0.6662,0.833138
167,0.678305,0.837341
168,0.707131,0.849584
169,0.669882,0.834518
170,0.681877,0.838914
171,0.715987,0.853116
172,0.689551,0.841179
173,0.706621,0.847312
174,0.718445,0.852622
175,0.685749,0.838688
176,0.70438,0.846515
177,0.713786,0.850621
178,0.678519,0.83484
179,0.689643,0.836552
180,0.646863,0.843521
181,0.618413,0.823179
182,0.633256,0.82856
183,0.615924,0.814773
184,0.629741,0.820592
185,0.607772,0.805457
186,0.626817,0.813692
187,0.605306,0.798415
188,0.622837,0.806668
