Frame, eSSIM, SSIM
0,0.687378,0.858799
1,0.635744,0.833311
2,0.632189,0.828941
3,0.672467,0.843282
4,0.627303,0.824055
5,0.635513,0.82543
6,0.659326,0.833958
7,0.616772,0.815822
8,0.628561,0.819978
9,0.646534,0.826169
10,0.617677,0.813565
11,0.627636,0.817429
12,0.645934,0.82283
13,0.609562,0.808547
14,0.622269,0.811931
15,0.644202,0.81938
16,0.610701,0.805053
17,0.615343,0.807425
18,0.635329,0.81488
19,0.608829,0.804465
20,0.613254,0.806116
21,0.624671,0.810291
22,0.59988,0.799796
23,0.610982,0.803569
24,0.626864,0.809192
25,0.570331,0.786031
26,0.607531,0.798132
27,0.62955,0.810184
28,0.593482,0.794145
29,0.601088,0.798321
30,0.631422,0.811339
31,0.593911,0.797197
32,0.612921,0.80407
33,0.628428,0.812343
34,0.582143,0.788177
35,0.591202,0.789462
36,0.598969,0.793387
37,0.593575,0.790186
38,0.595348,0.791257
39,0.612629,0.797666
40,0.611121,0.800321
41,0.630654,0.810796
42,0.624823,0.810815
43,0.646338,0.821267
44,0.622753,0.813727
45,0.633975,0.821673
46,0.662817,0.835254
47,0.633748,0.826798
48,0.652599,0.834066
49,0.679577,0.844302
50,0.661736,0.83765
51,0.677913,0.844723
52,0.674099,0.843591
53,0.690408,0.850779
54,0.682536,0.846792
55,0.687309,0.848031
56,0.688849,0.848643
57,0.701806,0.854017
58,0.699931,0.852775
59,0.705664,0.855082
60,0.722067,0.877838
61,0.689317,0.862374
62,0.701134,0.86653
63,0.724036,0.874165
64,0.688001,0.85746
65,0.692908,0.861004
66,0.700962,0.862127
67,0.724334,0.872624
68,0.689331,0.860161
69,0.694511,0.861736
70,0.718465,0.871762
71,0.661825,0.85139
72,0.679604,0.854799
73,0.701593,0.863066
74,0.660429,0.841648
75,0.669086,0.844673
76,0.687405,0.85579
77,0.670449,0.845645
78,0.700861,0.857928
79,0.681638,0.847546
80,0.702224,0.856636
81,0.705258,0.857499
82,0.677577,0.844042
83,0.696128,0.857672
84,0.680078,0.846467
85,0.701467,0.857774
86,0.677809,0.843703
87,0.692336,0.850349
88,0.708808,0.858689
89,0.679919,0.845321
