Frame, eSSIM, SSIM
0,0.77458,0.890055
1,0.74972,0.877372
2,0.752446,0.878005
3,0.757854,0.881203
4,0.738576,0.870348
5,0.742606,0.872806
6,0.758332,0.879709
7,0.740516,0.870042
8,0.74167,0.8726
9,0.755923,0.878867
10,0.742052,0.870808
11,0.745335,0.873356
12,0.752774,0.8774
13,0.739891,0.869917
14,0.743317,0.872339
15,0.748764,0.876063
16,0.735868,0.869366
17,0.737894,0.871661
18,0.743856,0.875576
19,0.733813,0.869292
20,0.742313,0.87345
21,0.757335,0.880712
22,0.751574,0.875769
23,0.764744,0.879411
24,0.779391,0.886679
25,0.772723,0.882476
26,0.783551,0.888083
27,0.789695,0.891483
28,0.778452,0.886438
29,0.785205,0.889507
30,0.791509,0.893036
31,0.777005,0.885979
32,0.777344,0.888291
33,0.780145,0.892105
34,0.762968,0.883776
35,0.762821,0.885959
36,0.776219,0.891425
37,0.763712,0.883071
38,0.770073,0.886559
39,0.785826,0.893028
40,0.773365,0.884841
41,0.780012,0.889553
42,0.792345,0.895825
43,0.777905,0.888767
44,0.781668,0.891493
45,0.790832,0.896119
46,0.77785,0.889576
47,0.778924,0.891884
48,0.788207,0.896897
49,0.777587,0.892897
50,0.780822,0.894828
51,0.775014,0.892655
52,0.787337,0.898482
53,0.779238,0.89405
54,0.781178,0.8945
55,0.781346,0.894341
56,0.784936,0.895735
57,0.778861,0.893194
58,0.779364,0.893228
59,0.784422,0.894103
60,0.809577,0.909204
61,0.789002,0.899188
62,0.792148,0.899889
63,0.782166,0.896214
64,0.795268,0.900616
65,0.786118,0.895537
66,0.788369,0.897448
67,0.780631,0.894726
68,0.788119,0.89907
69,0.770627,0.889261
70,0.760153,0.888532
71,0.765768,0.894365
72,0.758652,0.884518
73,0.765307,0.88598
74,0.770782,0.892305
75,0.758403,0.883644
76,0.755383,0.883337
77,0.776408,0.892719
78,0.767252,0.884353
79,0.772033,0.886804
80,0.782918,0.892979
81,0.76403,0.882437
82,0.750962,0.886004
83,0.76677,0.892392
84,0.768491,0.885796
85,0.777178,0.88895
86,0.78918,0.894517
87,0.778931,0.887804
88,0.784857,0.890866
89,0.79608,0.896551
90,0.781453,0.888828
91,0.785478,0.891339
92,0.798948,0.897674
93,0.783803,0.890911
94,0.78852,0.893478
95,0.798472,0.898195
96,0.779749,0.889347
97,0.779854,0.892202
98,0.783928,0.895789
99,0.755018,0.884631
100,0.746053,0.887333
101,0.780486,0.893479
102,0.764735,0.884902
103,0.784857,0.890559
104,0.79581,0.895855
105,0.779566,0.887111
106,0.782854,0.89081
107,0.790285,0.894605
108,0.770191,0.88426
109,0.769603,0.887882
110,0.779457,0.894383
111,0.764768,0.885059
112,0.773378,0.889305
113,0.782959,0.894545
114,0.767928,0.88456
115,0.778243,0.888298
116,0.786574,0.892464
117,0.772786,0.885837
118,0.781101,0.889187
119,0.788093,0.892449
120,0.804902,0.905065
121,0.782061,0.893502
122,0.790338,0.896538
123,0.795633,0.899368
124,0.775714,0.88761
125,0.785932,0.893389
126,0.794275,0.898169
127,0.769587,0.883411
128,0.777037,0.888501
129,0.78335,0.894959
130,0.756007,0.882148
131,0.751211,0.885381
132,0.754923,0.890293
133,0.748806,0.881987
134,0.767535,0.888206
135,0.741419,0.874625
136,0.742417,0.87924
137,0.771591,0.888246
138,0.754096,0.876319
139,0.762875,0.881856
140,0.777805,0.888193
141,0.762989,0.880293
142,0.772281,0.885166
143,0.783034,0.890123
144,0.765054,0.882012
145,0.770627,0.884333
146,0.783616,0.890546
147,0.772491,0.884471
148,0.780988,0.887947
149,0.791531,0.892787
150,0.777607,0.886601
151,0.782491,0.889457
152,0.792335,0.895195
153,0.778502,0.888319
154,0.780929,0.89019
155,0.790993,0.895323
156,0.777761,0.887947
157,0.787815,0.891614
158,0.802494,0.89769
159,0.788064,0.891345
160,0.795947,0.895499
161,0.809402,0.902217
162,0.795632,0.895878
163,0.797975,0.897101
164,0.808934,0.902339
165,0.787265,0.891857
166,0.792227,0.893646
167,0.804628,0.899253
168,0.791205,0.892601
169,0.797326,0.895026
170,0.78902,0.892279
171,0.805652,0.899608
172,0.787923,0.891323
173,0.793254,0.893044
174,0.787541,0.891098
175,0.798519,0.89613
176,0.779293,0.887431
177,0.777891,0.886375
178,0.785858,0.89161
179,0.780672,0.887318
180,0.79258,0.897283
181,0.767444,0.883287
182,0.781576,0.890749
183,0.775318,0.884408
184,0.785201,0.890348
185,0.771505,0.881091
186,0.785878,0.888078
187,0.763904,0.878556
188,0.777394,0.885034
189,0.758387,0.876002
190,0.772532,0.882794
191,0.750954,0.872737
192,0.770129,0.881489
193,0.75164,0.872776
194,0.769464,0.880648
195,0.746196,0.869429
196,0.764143,0.877707
197,0.745613,0.866998
198,0.762529,0.875667
199,0.745758,0.867885
200,0.762571,0.87616
201,0.747208,0.867827
202,0.765083,0.876731
203,0.749709,0.868807
204,0.76972,0.878279
205,0.754795,0.871528
206,0.771289,0.879232
207,0.74931,0.868192
208,0.756442,0.871948
209,0.771668,0.879009
210,0.750819,0.868579
211,0.758603,0.873106
212,0.771948,0.879453
213,0.756144,0.870769
214,0.758102,0.872817
215,0.774479,0.880802
216,0.756173,0.871577
217,0.762773,0.875894
218,0.778891,0.883121
219,0.758565,0.873211
220,0.764389,0.876643
221,0.779338,0.883797
222,0.761487,0.874693
223,0.766749,0.878101
224,0.782686,0.884942
225,0.765564,0.87532
226,0.771268,0.879884
227,0.783136,0.885498
228,0.764468,0.874698
229,0.772539,0.880209
230,0.783055,0.885268
231,0.764058,0.873465
232,0.768958,0.877518
233,0.78122,0.883813
234,0.762664,0.874722
235,0.779341,0.882471
236,0.763267,0.874474
237,0.775776,0.880776
238,0.760406,0.873459
239,0.776448,0.880869
240,0.785778,0.88873
241,0.760648,0.875662
242,0.777174,0.883173
243,0.75839,0.873039
244,0.778062,0.882837
245,0.765326,0.875099
246,0.778193,0.882348
247,0.763661,0.87517
248,0.775337,0.881069
249,0.755225,0.872283
250,0.765951,0.879318
251,0.739827,0.865777
252,0.745784,0.87073
253,0.764607,0.878999
254,0.750917,0.868729
255,0.759743,0.874447
256,0.775492,0.880922
257,0.755295,0.870165
258,0.758718,0.872426
259,0.772187,0.878642
260,0.752836,0.868821
261,0.761561,0.874179
262,0.771264,0.880114
263,0.759297,0.872557
264,0.77338,0.878047
265,0.784954,0.88387
266,0.775046,0.879166
267,0.77447,0.880707
268,0.781437,0.885631
269,0.766593,0.878762
270,0.772319,0.881732
271,0.783288,0.887422
272,0.769077,0.881403
273,0.776068,0.884137
274,0.801325,0.896444
275,0.785191,0.889521
276,0.791085,0.89265
277,0.786251,0.890365
278,0.800672,0.896764
279,0.783656,0.889431
280,0.794065,0.893718
281,0.807126,0.899379
282,0.794822,0.893417
283,0.803088,0.897273
284,0.795187,0.894409
285,0.808217,0.900139
286,0.795005,0.893784
287,0.804237,0.896516
288,0.794457,0.893359
289,0.807292,0.897689
290,0.792366,0.891332
291,0.799014,0.893982
292,0.806372,0.89724
293,0.790637,0.890155
294,0.791964,0.890322
295,0.802236,0.89376
296,0.785152,0.88589
297,0.789331,0.88881
298,0.800186,0.893504
299,0.793941,0.889901
300,0.814893,0.906819
301,0.792659,0.892898
302,0.792419,0.89243
303,0.787161,0.891576
304,0.799224,0.897524
305,0.782249,0.886949
306,0.785117,0.890435
307,0.793503,0.894608
308,0.77462,0.884481
309,0.780265,0.888
310,0.792557,0.893812
311,0.774161,0.884718
312,0.779493,0.887471
313,0.791384,0.892894
314,0.777319,0.88497
315,0.783542,0.88716
316,0.779106,0.886293
317,0.788075,0.890054
318,0.779352,0.884368
319,0.782008,0.885392
320,0.776934,0.884102
321,0.796267,0.89287
322,0.784293,0.885812
323,0.788611,0.888699
324,0.78647,0.887431
325,0.803946,0.89681
326,0.790762,0.889624
327,0.795848,0.892563
328,0.793682,0.891344
329,0.808673,0.899169
330,0.793949,0.89153
331,0.798935,0.894536
332,0.7981,0.893487
333,0.808864,0.899764
334,0.796137,0.893222
335,0.806149,0.897652
336,0.804514,0.896895
337,0.810457,0.900682
338,0.802676,0.895325
339,0.805422,0.897096
340,0.803181,0.896158
341,0.808824,0.899865
342,0.802226,0.894968
343,0.803484,0.895637
344,0.807868,0.899684
345,0.798642,0.893377
346,0.799097,0.894982
347,0.805248,0.899364
348,0.797733,0.893767
349,0.799683,0.895605
350,0.806556,0.899698
351,0.79774,0.893177
352,0.799495,0.894802
353,0.802299,0.897246
354,0.790415,0.890227
355,0.798881,0.894262
356,0.80312,0.896853
357,0.794839,0.891601
358,0.79931,0.893659
359,0.804271,0.896874
360,0.818261,0.910041
361,0.793764,0.895406
362,0.802731,0.899887
363,0.803683,0.901655
364,0.787747,0.891616
365,0.797542,0.89697
366,0.805048,0.901222
367,0.790179,0.893426
368,0.790567,0.893365
369,0.794434,0.894886
370,0.804815,0.899946
371,0.790731,0.892467
372,0.789387,0.891611
373,0.783545,0.89002
374,0.800083,0.897886
375,0.786612,0.890378
376,0.787961,0.891623
377,0.798118,0.897198
378,0.784919,0.890612
379,0.790565,0.892528
380,0.789915,0.892738
381,0.803955,0.898607
382,0.795917,0.894346
383,0.794946,0.894002
384,0.795764,0.894268
385,0.809612,0.900737
386,0.79594,0.89466
387,0.80256,0.897549
388,0.794374,0.894418
389,0.807043,0.901359
390,0.794044,0.895013
391,0.800281,0.897002
392,0.796786,0.895603
393,0.809057,0.901683
394,0.793537,0.893598
395,0.796877,0.895674
396,0.797403,0.89567
397,0.809453,0.902247
398,0.799388,0.895519
399,0.799788,0.896449
400,0.813382,0.903115
401,0.798144,0.894895
402,0.800956,0.896911
403,0.812359,0.902499
404,0.796017,0.893898
405,0.798671,0.895587
406,0.807484,0.900379
407,0.791057,0.891851
408,0.795247,0.895019
409,0.804038,0.899585
410,0.789081,0.891537
411,0.792872,0.894193
412,0.803322,0.898875
413,0.789212,0.889543
414,0.79192,0.891488
415,0.802463,0.896637
416,0.786891,0.8868
417,0.791223,0.890537
418,0.799453,0.894766
419,0.796419,0.892572
420,0.818191,0.908342
421,0.798722,0.895734
422,0.797466,0.896053
423,0.804046,0.900089
424,0.785845,0.889649
425,0.788887,0.891967
426,0.800884,0.897785
427,0.780343,0.888408
428,0.785998,0.891168
429,0.798679,0.896264
430,0.784654,0.888785
431,0.787255,0.890233
432,0.796176,0.894765
433,0.783698,0.888422
434,0.784694,0.889058
435,0.793054,0.89312
436,0.777064,0.884937
437,0.779074,0.885696
438,0.789137,0.889908
439,0.773707,0.882837
440,0.774611,0.883301
441,0.784802,0.887634
442,0.761322,0.878141
443,0.767776,0.880397
444,0.781095,0.88579
445,0.755569,0.875399
446,0.763201,0.878477
447,0.778213,0.88457
448,0.755355,0.874908
449,0.761003,0.87743
450,0.780218,0.884921
451,0.756795,0.875059
452,0.766335,0.879077
453,0.781043,0.885556
454,0.76626,0.878219
455,0.775443,0.882146
456,0.786253,0.88726
457,0.776,0.882246
458,0.778303,0.883381
459,0.775295,0.882312
