Frame, eSSIM, SSIM
0,0.605942,0.819072
1,0.558091,0.796446
2,0.564632,0.798505
3,0.608932,0.813947
4,0.586249,0.802941
5,0.593544,0.805709
6,0.619544,0.816317
7,0.596559,0.807055
8,0.602064,0.809143
9,0.623284,0.818415
10,0.596787,0.807578
11,0.605433,0.810748
12,0.621631,0.817869
13,0.594403,0.806455
14,0.606885,0.81011
15,0.621469,0.816261
16,0.59446,0.805123
17,0.605966,0.808121
18,0.619273,0.81521
19,0.594621,0.805547
20,0.602436,0.810093
21,0.623619,0.81901
22,0.603702,0.811737
23,0.625945,0.817994
24,0.646877,0.827488
25,0.614226,0.815967
26,0.656662,0.831242
27,0.665062,0.835871
28,0.652036,0.830375
29,0.66178,0.834671
30,0.675831,0.840263
31,0.655779,0.832366
32,0.668814,0.837509
33,0.674309,0.841813
34,0.650731,0.831486
35,0.659363,0.835471
36,0.676611,0.842973
37,0.649261,0.831617
38,0.66651,0.837125
39,0.684244,0.844602
40,0.663822,0.834979
41,0.673264,0.839713
42,0.689145,0.847888
43,0.667622,0.839903
44,0.681769,0.844677
45,0.694317,0.850669
46,0.673876,0.843709
47,0.685982,0.847863
48,0.69543,0.852382
49,0.679401,0.845932
50,0.6882,0.849871
51,0.682713,0.846993
52,0.697874,0.854222
53,0.686414,0.849383
54,0.687725,0.84913
55,0.687228,0.849161
56,0.694943,0.851903
57,0.68921,0.849446
58,0.689603,0.849545
59,0.690976,0.84966
60,0.720095,0.866042
61,0.680548,0.8488
62,0.686439,0.852659
63,0.68749,0.849612
64,0.709936,0.858682
65,0.694498,0.852083
66,0.698585,0.853698
67,0.690906,0.851378
68,0.705966,0.857679
69,0.670356,0.844365
70,0.678599,0.846753
71,0.688634,0.853095
72,0.647562,0.835852
73,0.662492,0.839222
74,0.682548,0.848391
75,0.639998,0.829485
76,0.650096,0.83274
77,0.679859,0.845573
78,0.645171,0.830513
79,0.654863,0.833923
80,0.677721,0.843938
81,0.638317,0.827568
82,0.647109,0.833956
83,0.662947,0.843358
84,0.635175,0.829624
85,0.658284,0.834776
86,0.681723,0.844824
87,0.648103,0.832495
88,0.664115,0.836642
89,0.68628,0.846435
90,0.652574,0.834423
91,0.673579,0.841232
92,0.690702,0.848762
93,0.664105,0.839977
94,0.67304,0.842588
95,0.691446,0.850243
96,0.668318,0.841299
97,0.669668,0.843982
98,0.683356,0.849691
99,0.656719,0.838821
100,0.662896,0.841915
101,0.694786,0.849642
102,0.669179,0.838664
103,0.690176,0.84427
104,0.704749,0.851121
105,0.679883,0.84068
106,0.688735,0.84443
107,0.697879,0.84917
108,0.675532,0.839239
109,0.684719,0.843827
110,0.69728,0.850561
111,0.672683,0.840382
112,0.687992,0.845963
113,0.700492,0.851124
114,0.67642,0.841268
115,0.688004,0.843725
116,0.703791,0.850918
117,0.65337,0.834631
118,0.696877,0.847791
119,0.704647,0.851669
120,0.705954,0.860182
121,0.670011,0.842394
122,0.698929,0.855784
123,0.701603,0.855668
124,0.683586,0.848133
125,0.703135,0.854882
126,0.707352,0.856005
127,0.676349,0.842613
128,0.68944,0.847562
129,0.69106,0.85031
130,0.651097,0.834245
131,0.659186,0.840686
132,0.660472,0.845506
133,0.660116,0.838928
134,0.681224,0.845084
135,0.6408,0.827936
136,0.645181,0.830754
137,0.679907,0.844592
138,0.654162,0.832298
139,0.652066,0.832477
140,0.681822,0.844061
141,0.656336,0.835086
142,0.664564,0.837589
143,0.681086,0.844542
144,0.638364,0.829212
145,0.662323,0.836401
146,0.679213,0.843135
147,0.663377,0.837354
148,0.67577,0.841835
149,0.686755,0.845238
150,0.665492,0.838746
151,0.675824,0.842199
152,0.688448,0.847698
153,0.649915,0.833555
154,0.664434,0.838349
155,0.686331,0.848043
156,0.657716,0.836506
157,0.67656,0.842417
158,0.68783,0.847355
159,0.676637,0.84184
160,0.693439,0.849452
161,0.709364,0.855889
162,0.689841,0.84816
163,0.697397,0.851662
164,0.713448,0.858292
165,0.691003,0.847562
166,0.697726,0.851355
167,0.711692,0.855955
168,0.693391,0.847321
169,0.702757,0.851072
170,0.694969,0.848281
171,0.71616,0.856358
172,0.701051,0.84876
173,0.705988,0.850812
174,0.699922,0.848118
175,0.713154,0.854125
176,0.685813,0.843028
177,0.68879,0.843861
178,0.703587,0.848728
179,0.687468,0.84069
180,0.666431,0.841236
181,0.63818,0.827277
182,0.663443,0.837038
183,0.646282,0.826516
184,0.669075,0.838087
185,0.641036,0.824168
186,0.668957,0.833964
187,0.634329,0.819776
188,0.665246,0.832964
189,0.623376,0.81624
190,0.661202,0.830647
191,0.629849,0.81767
192,0.659243,0.829208
193,0.626478,0.815093
194,0.658269,0.827424
195,0.630926,0.816955
196,0.650335,0.824949
197,0.629123,0.815651
198,0.652231,0.825316
199,0.626487,0.814907
200,0.656622,0.826789
201,0.623712,0.814086
202,0.658547,0.827466
203,0.635768,0.817957
204,0.663799,0.829369
205,0.62782,0.81602
206,0.667473,0.830489
207,0.633972,0.817639
208,0.645923,0.822074
209,0.668098,0.831121
210,0.627578,0.815739
211,0.647856,0.822535
212,0.665359,0.829853
213,0.620264,0.813386
214,0.633101,0.8164
215,0.663872,0.830009
216,0.631355,0.817597
217,0.64726,0.823156
218,0.664769,0.830542
219,0.619768,0.813993
220,0.649599,0.824318
221,0.665726,0.831202
222,0.629312,0.817665
223,0.651065,0.824265
224,0.674058,0.834403
225,0.655423,0.826818
226,0.663831,0.82988
227,0.678726,0.835781
228,0.640674,0.821272
229,0.658931,0.827108
230,0.678672,0.835792
231,0.645093,0.821751
232,0.659425,0.827199
233,0.673883,0.833752
234,0.642151,0.822399
235,0.667769,0.831323
236,0.632556,0.816177
237,0.66214,0.827489
238,0.635356,0.81767
239,0.660827,0.828196
240,0.63202,0.82337
241,0.599347,0.804705
242,0.631223,0.818921
243,0.609013,0.806403
244,0.638486,0.819888
245,0.624552,0.811798
246,0.647349,0.822892
247,0.623062,0.811427
248,0.652128,0.824651
249,0.624561,0.812718
250,0.65354,0.826664
251,0.614789,0.810058
252,0.631409,0.815971
253,0.659175,0.828226
254,0.629026,0.815058
255,0.647055,0.821824
256,0.668682,0.831116
257,0.628816,0.817524
258,0.636577,0.816321
259,0.666827,0.829473
260,0.626849,0.813269
261,0.651333,0.823225
262,0.666436,0.830209
263,0.620791,0.811847
264,0.656329,0.825061
265,0.675009,0.833532
266,0.634046,0.818571
267,0.657887,0.827489
268,0.67126,0.834775
269,0.651085,0.826178
270,0.66001,0.830627
271,0.675787,0.837757
272,0.637701,0.82345
273,0.661703,0.832268
274,0.701302,0.849891
275,0.682851,0.842278
276,0.688423,0.845996
277,0.681581,0.841627
278,0.703407,0.85058
279,0.688698,0.844077
280,0.6941,0.847197
281,0.712748,0.853987
282,0.700965,0.848778
283,0.706387,0.852261
284,0.70006,0.847437
285,0.723019,0.856659
286,0.703199,0.848152
287,0.712385,0.852913
288,0.704233,0.84773
289,0.716003,0.85085
290,0.695626,0.842638
291,0.703752,0.846087
292,0.714908,0.850768
293,0.675184,0.834735
294,0.682263,0.837518
295,0.711109,0.848171
296,0.665439,0.830146
297,0.671514,0.833459
298,0.709318,0.848114
299,0.703814,0.844913
300,0.697618,0.853298
301,0.670877,0.840578
302,0.675591,0.842401
303,0.656959,0.832974
304,0.692029,0.847353
305,0.650013,0.831905
306,0.669751,0.837977
307,0.693718,0.847269
308,0.646681,0.829166
309,0.665883,0.83557
310,0.693354,0.847037
311,0.648287,0.829749
312,0.6625,0.834523
313,0.69533,0.84692
314,0.661489,0.834597
315,0.680392,0.839526
316,0.65918,0.83181
