Frame, eSSIM, SSIM
0,0.593862,0.693478
1,0.506973,0.621746
2,0.537725,0.64797
3,0.521495,0.635192
4,0.521572,0.635272
5,0.484322,0.602764
6,0.498841,0.615093
7,0.465475,0.580871
8,0.486902,0.602988
9,0.505326,0.618505
10,0.485914,0.600342
11,0.520477,0.630926
12,0.492154,0.606116
13,0.509889,0.623178
14,0.483164,0.599428
15,0.521907,0.631711
16,0.522266,0.63198
17,0.522491,0.632183
18,0.522623,0.632317
19,0.505853,0.619394
20,0.505867,0.619412
21,0.498359,0.615695
22,0.454664,0.576995
23,0.472526,0.595947
24,0.473879,0.596991
25,0.474338,0.59746
26,0.487948,0.616372
27,0.489044,0.61761
28,0.463592,0.597315
29,0.497801,0.624127
30,0.484655,0.616402
31,0.509876,0.634564
32,0.484423,0.616972
33,0.510375,0.635238
34,0.507286,0.632278
35,0.502765,0.625221
36,0.514065,0.637193
37,0.522464,0.64761
38,0.5313,0.659685
39,0.543003,0.673602
40,0.552868,0.687896
41,0.535506,0.676055
42,0.560743,0.695214
43,0.537249,0.676993
44,0.560908,0.693998
45,0.524615,0.662785
46,0.552423,0.683662
47,0.525565,0.662124
48,0.552335,0.682247
49,0.529862,0.66461
50,0.536707,0.667487
51,0.510699,0.646118
52,0.512733,0.645663
53,0.511788,0.643091
54,0.522214,0.653159
55,0.503573,0.641506
56,0.533648,0.667508
57,0.561863,0.68805
58,0.562209,0.688381
59,0.56234,0.688566
60,0.670263,0.778141
61,0.670263,0.778141
62,0.560344,0.705187
63,0.592052,0.735036
64,0.571271,0.716383
65,0.591596,0.733414
66,0.573417,0.719441
67,0.597585,0.737372
68,0.571386,0.719105
69,0.601884,0.740327
70,0.574663,0.717456
71,0.603482,0.739437
72,0.568115,0.711454
73,0.604207,0.738788
74,0.575592,0.716348
75,0.598244,0.73534
76,0.573963,0.716434
77,0.59946,0.735705
78,0.574019,0.716659
79,0.602482,0.737489
80,0.569028,0.71163
81,0.597933,0.733636
82,0.565303,0.709684
83,0.591687,0.72964
84,0.555868,0.700158
85,0.583694,0.723
86,0.561114,0.707435
87,0.589747,0.726317
88,0.559448,0.70061
89,0.582904,0.721017
90,0.570038,0.711044
91,0.562992,0.699704
92,0.558149,0.689817
93,0.554496,0.688355
94,0.504352,0.642343
95,0.488927,0.628556
96,0.496302,0.635256
97,0.498505,0.639301
98,0.504327,0.645435
99,0.503796,0.646248
100,0.48693,0.633645
101,0.517661,0.657204
102,0.50683,0.650112
103,0.502669,0.647011
104,0.480336,0.630044
105,0.508983,0.65431
106,0.48247,0.634773
107,0.503506,0.65048
108,0.484068,0.635984
109,0.496942,0.644872
110,0.492297,0.644866
111,0.501452,0.650379
112,0.517647,0.665949
113,0.512033,0.665063
114,0.533748,0.683224
115,0.537037,0.686697
116,0.519063,0.672171
117,0.543429,0.696593
118,0.512892,0.669307
119,0.565171,0.707479
120,0.653617,0.787979
121,0.549406,0.707945
122,0.633052,0.769321
123,0.633361,0.76955
124,0.633591,0.769742
125,0.633726,0.769879
126,0.63382,0.769966
127,0.634058,0.77011
128,0.606208,0.745416
129,0.607896,0.747156
130,0.603316,0.742667
131,0.621111,0.754818
132,0.623004,0.756852
133,0.5855,0.725898
134,0.620436,0.75544
135,0.591006,0.730838
136,0.627263,0.761232
137,0.586392,0.728759
138,0.599662,0.736379
139,0.627675,0.75943
140,0.597941,0.73538
141,0.629902,0.761634
142,0.603531,0.740776
143,0.62655,0.759464
144,0.618807,0.752142
145,0.601089,0.73757
146,0.576105,0.7152
147,0.61438,0.749717
148,0.588405,0.730565
149,0.607416,0.744221
150,0.584647,0.723676
151,0.594698,0.732241
152,0.595197,0.725057
153,0.561749,0.69829
154,0.592642,0.723969
155,0.559543,0.69329
156,0.588942,0.719258
157,0.556171,0.691048
158,0.591919,0.719579
159,0.559577,0.693735
160,0.592971,0.720936
161,0.582539,0.713588
162,0.596039,0.723433
163,0.57037,0.702155
164,0.594296,0.722736
165,0.584914,0.716072
166,0.572641,0.707768
167,0.596455,0.726051
168,0.572371,0.706258
169,0.595215,0.72536
170,0.584145,0.716012
171,0.585071,0.715269
172,0.564645,0.698189
173,0.574587,0.707783
174,0.573756,0.704614
175,0.569955,0.701672
176,0.563886,0.696258
177,0.521955,0.651743
178,0.548188,0.67591
179,0.53401,0.665966
180,0.620553,0.735319
181,0.530013,0.669805
182,0.561508,0.696493
183,0.520315,0.661135
184,0.547817,0.684934
185,0.517728,0.657302
186,0.540103,0.674323
187,0.543311,0.680033
188,0.545744,0.692825
189,0.534059,0.686102
190,0.554326,0.701161
191,0.537146,0.68743
192,0.568227,0.71016
193,0.544544,0.691471
194,0.570974,0.713278
195,0.552314,0.698324
196,0.573936,0.716965
197,0.545426,0.694425
198,0.561691,0.707786
199,0.57068,0.713507
200,0.579093,0.718923
201,0.574851,0.714586
202,0.549974,0.691703
203,0.568493,0.705487
204,0.545266,0.687658
205,0.569859,0.705247
206,0.57171,0.705931
207,0.545416,0.683709
208,0.581075,0.71198
209,0.554272,0.690821
210,0.577951,0.708317
211,0.553443,0.689355
212,0.583715,0.713445
213,0.556982,0.693171
214,0.575735,0.709299
215,0.562322,0.70117
216,0.582504,0.718178
217,0.560112,0.699861
218,0.573788,0.713561
219,0.559669,0.705739
220,0.574933,0.719537
221,0.554519,0.70692
222,0.587771,0.738103
223,0.584552,0.73664
224,0.586684,0.736494
225,0.561679,0.718596
226,0.585637,0.738277
227,0.563156,0.720881
228,0.591944,0.743503
229,0.562167,0.722103
230,0.591339,0.746894
231,0.569802,0.731372
232,0.593357,0.749455
233,0.572543,0.733725
234,0.597544,0.753335
235,0.602512,0.755634
236,0.605931,0.757217
237,0.601691,0.753363
