Frame, eSSIM, SSIM
0,0.685199,0.770331
1,0.585718,0.694419
2,0.622605,0.720529
3,0.609075,0.709574
4,0.609312,0.70972
5,0.557647,0.669458
6,0.569545,0.679095
7,0.529224,0.642626
8,0.548991,0.660609
9,0.566751,0.675392
10,0.549292,0.659342
11,0.593946,0.697227
12,0.556848,0.667136
13,0.581783,0.688846
14,0.538497,0.655031
15,0.604664,0.704541
16,0.605044,0.704835
17,0.605295,0.705059
18,0.605443,0.705196
19,0.580329,0.68586
20,0.580373,0.685913
21,0.559792,0.67255
22,0.497801,0.621961
23,0.522412,0.644331
24,0.52247,0.644368
25,0.522491,0.644387
26,0.519623,0.64656
27,0.520927,0.647675
28,0.491676,0.623813
29,0.522177,0.647757
30,0.51135,0.640819
31,0.53912,0.661931
32,0.509407,0.640381
33,0.537047,0.659837
34,0.538151,0.660442
35,0.543687,0.662213
36,0.551332,0.670515
37,0.560614,0.680895
38,0.559981,0.685051
39,0.572886,0.699998
40,0.598001,0.724948
41,0.575404,0.709102
42,0.602618,0.73
43,0.575069,0.709814
44,0.596743,0.724235
45,0.55911,0.692892
46,0.581561,0.710139
47,0.552964,0.687682
48,0.576919,0.704643
49,0.590408,0.712684
50,0.590038,0.710712
51,0.588906,0.709477
52,0.588912,0.709342
53,0.583893,0.706637
54,0.595016,0.716762
55,0.560437,0.693986
56,0.607562,0.728779
57,0.630521,0.745612
58,0.630743,0.745887
59,0.630827,0.746035
60,0.748495,0.833629
61,0.748495,0.833629
62,0.63051,0.760113
63,0.656787,0.782285
64,0.620408,0.756609
65,0.642,0.771172
66,0.61039,0.749332
67,0.641141,0.77084
68,0.607839,0.746782
69,0.640313,0.770307
70,0.611395,0.74622
71,0.647058,0.772275
72,0.606449,0.74258
73,0.650264,0.773401
74,0.616589,0.74813
75,0.642385,0.768043
76,0.61271,0.747889
77,0.633541,0.763029
78,0.609244,0.746364
79,0.638817,0.76539
80,0.603543,0.73962
81,0.641815,0.767107
82,0.612178,0.743791
83,0.647339,0.769408
84,0.613039,0.744509
85,0.644577,0.767603
86,0.607182,0.742709
87,0.639709,0.763692
88,0.606187,0.738752
89,0.631209,0.756968
90,0.616982,0.746578
91,0.603617,0.732919
92,0.603086,0.725311
93,0.595289,0.720902
94,0.575283,0.700539
95,0.532566,0.669433
96,0.533043,0.668301
97,0.534021,0.671901
98,0.543332,0.67985
99,0.546204,0.682453
100,0.527402,0.667983
101,0.547356,0.684141
102,0.545034,0.68316
103,0.546666,0.684718
104,0.522501,0.666764
105,0.542003,0.683135
106,0.515865,0.663613
107,0.539503,0.681178
108,0.513532,0.662465
109,0.534181,0.676551
110,0.546143,0.690321
111,0.54833,0.690573
112,0.563651,0.706769
113,0.554735,0.703859
114,0.570508,0.717682
115,0.58167,0.726806
116,0.561547,0.712762
117,0.58838,0.737802
118,0.548731,0.70384
119,0.607743,0.74597
120,0.728896,0.837934
121,0.582935,0.74135
122,0.683414,0.8071
123,0.684759,0.807735
124,0.685764,0.808272
125,0.686398,0.808646
126,0.686776,0.808881
127,0.686938,0.809016
128,0.664149,0.789937
129,0.664427,0.790311
130,0.651821,0.782925
131,0.67609,0.798241
132,0.676547,0.798586
133,0.630323,0.765423
134,0.675847,0.798092
135,0.641705,0.775203
136,0.683972,0.804227
137,0.643902,0.774176
138,0.658393,0.783949
139,0.686291,0.803387
140,0.663354,0.786726
141,0.69182,0.806959
142,0.659583,0.785007
143,0.684438,0.802442
144,0.673341,0.792848
145,0.651873,0.777275
146,0.627366,0.757581
147,0.667775,0.790433
148,0.639431,0.772509
149,0.654682,0.781356
150,0.631553,0.76304
151,0.646792,0.772756
152,0.659794,0.776099
153,0.625824,0.751397
154,0.655547,0.774282
155,0.615967,0.741252
156,0.649198,0.768058
157,0.616518,0.741554
158,0.6524,0.768881
159,0.617565,0.742515
160,0.654937,0.770983
161,0.639437,0.761739
162,0.658066,0.77349
163,0.633582,0.753884
164,0.656858,0.77216
165,0.651861,0.768904
166,0.641605,0.762249
167,0.664656,0.778781
168,0.637859,0.759353
169,0.653564,0.77223
170,0.643133,0.763425
171,0.638161,0.758881
172,0.609782,0.737834
173,0.622358,0.747939
174,0.627312,0.748841
175,0.621565,0.745178
176,0.613692,0.738997
177,0.578332,0.702273
178,0.602598,0.723664
179,0.58358,0.709956
180,0.706105,0.801634
181,0.602793,0.729962
182,0.632221,0.753436
183,0.579552,0.713412
184,0.608849,0.73585
185,0.570282,0.702999
186,0.583048,0.713263
187,0.580602,0.714386
188,0.598599,0.737587
189,0.584155,0.728161
190,0.60998,0.746412
191,0.587068,0.729283
192,0.617664,0.750878
193,0.594793,0.733288
194,0.617215,0.75067
195,0.590974,0.732314
196,0.618292,0.753418
197,0.590466,0.731855
198,0.599584,0.740626
199,0.610792,0.746715
200,0.615649,0.750017
201,0.609198,0.74409
202,0.587715,0.723793
203,0.602926,0.73535
204,0.593885,0.727088
205,0.61403,0.741239
206,0.612838,0.740962
207,0.588585,0.72167
208,0.62125,0.745857
209,0.596845,0.727424
210,0.617326,0.742516
211,0.594467,0.724494
212,0.622863,0.746163
213,0.591531,0.723284
214,0.618229,0.743934
215,0.601352,0.734702
216,0.625948,0.753252
217,0.598094,0.732587
218,0.622118,0.752222
219,0.604845,0.743538
220,0.622838,0.758175
221,0.598722,0.744138
222,0.632775,0.773537
223,0.631489,0.773917
224,0.638273,0.776595
225,0.611361,0.757163
226,0.6437,0.780533
227,0.612144,0.759401
228,0.640001,0.7801
229,0.609676,0.757872
230,0.636514,0.781252
231,0.612249,0.765325
232,0.641388,0.784945
233,0.614625,0.766997
234,0.64201,0.785174
235,0.640197,0.784785
236,0.64667,0.787315
237,0.642703,0.783834
238,0.66934,0.802653
239,0.672157,0.806123
240,0.784536,0.876712
241,0.683823,0.816387
242,0.718913,0.840889
243,0.69914,0.824964
244,0.662951,0.798998
245,0.700384,0.824451
246,0.690306,0.819613
247,0.719812,0.839733
248,0.722759,0.843255
249,0.729723,0.848715
250,0.698019,0.8274
251,0.708839,0.834918
252,0.732944,0.849755
253,0.682843,0.81784
254,0.706357,0.827546
255,0.662495,0.802597
256,0.712812,0.831432
257,0.676654,0.806739
258,0.691938,0.81494
259,0.708721,0.829685
260,0.682853,0.81076
261,0.722794,0.83689
262,0.690148,0.817434
263,0.706332,0.828395
264,0.725699,0.840789
265,0.70197,0.82607
266,0.737877,0.848914
267,0.703045,0.827132
268,0.739009,0.848443
269,0.702039,0.82785
270,0.713922,0.834097
271,0.742921,0.851073
272,0.702301,0.824904
273,0.714613,0.832046
274,0.743328,0.850319
275,0.718412,0.838587
276,0.72307,0.83813
277,0.761107,0.859682
278,0.734445,0.842723
279,0.748421,0.850639
280,0.769862,0.864279
281,0.759965,0.857995
282,0.751202,0.852222
283,0.773731,0.867286
284,0.744192,0.847708
285,0.752835,0.854652
286,0.779093,0.870889
287,0.751741,0.8548
288,0.761452,0.86062
289,0.786071,0.873364
290,0.758442,0.859153
291,0.771794,0.868731
292,0.791068,0.877489
293,0.762166,0.861939
294,0.770336,0.866145
295,0.79205,0.876731
296,0.75464,0.855732
297,0.761224,0.858279
298,0.74612,0.851856
299,0.778864,0.869722
300,0.836607,0.905382
301,0.746158,0.857845
302,0.750943,0.859858
303,0.768912,0.869909
304,0.744118,0.856576
305,0.743365,0.855028
306,0.723487,0.840729
307,0.687469,0.812104
308,0.673428,0.802458
309,0.652974,0.78521
310,0.641105,0.767656
311,0.626918,0.749067
312,0.622077,0.743057
313,0.58576,0.713444
314,0.620183,0.74311
315,0.594372,0.721992
316,0.619978,0.742143
317,0.595215,0.717565
318,0.628986,0.745071
319,0.606111,0.724227
320,0.639671,0.75324
321,0.609013,0.726769
322,0.652623,0.76104
323,0.620987,0.735323
324,0.663862,0.768554
325,0.634273,0.743495
326,0.678013,0.776092
327,0.637898,0.745854
328,0.670128,0.770338
329,0.640848,0.745994
330,0.672693,0.771679
331,0.643318,0.748372
332,0.67756,0.772095
333,0.657999,0.759171
334,0.646622,0.753254
335,0.642831,0.757373
336,0.640429,0.76396
337,0.64856,0.778419
338,0.66201,0.792049
339,0.668897,0.802189
340,0.673438,0.805173
341,0.659363,0.798113
342,0.678412,0.813168
343,0.6799,0.816779
344,0.682657,0.820354
345,0.685997,0.823998
346,0.687834,0.826527
347,0.687115,0.826923
348,0.691837,0.829905
349,0.683098,0.826542
350,0.706914,0.840834
351,0.709001,0.844247
352,0.701388,0.844753
353,0.730036,0.85908
354,0.721173,0.855844
355,0.745944,0.867655
356,0.746529,0.866664
357,0.775982,0.880178
358,0.775581,0.877559
359,0.803,0.888818
360,0.84815,0.913194
361,0.831502,0.901676
362,0.825275,0.895591
363,0.841274,0.905771
364,0.831514,0.900127
365,0.842501,0.906673
366,0.834276,0.902033
367,0.841706,0.905826
368,0.838226,0.903675
369,0.826978,0.900539
370,0.796933,0.881118
371,0.78109,0.872088
372,0.784583,0.873207
373,0.784125,0.872225
374,0.766146,0.860754
375,0.779177,0.869288
376,0.774786,0.865049
377,0.783308,0.867375
378,0.758538,0.8512
379,0.782252,0.867468
380,0.788989,0.871044
381,0.796619,0.874871
382,0.803096,0.878709
383,0.809184,0.882547
384,0.81405,0.88614
385,0.801358,0.878635
386,0.817161,0.888628
387,0.819697,0.890187
388,0.824536,0.89381
389,0.830798,0.89986
390,0.819404,0.899102
391,0.830361,0.917105
392,0.88492,0.940539
393,0.895648,0.945329
394,0.884287,0.941224
395,0.898831,0.947707
396,0.900762,0.949805
397,0.890459,0.94661
398,0.900174,0.9514
399,0.892189,0.949476
400,0.899823,0.953565
401,0.892308,0.951404
402,0.902304,0.955819
403,0.903013,0.957302
404,0.90622,0.959622
405,0.909207,0.961855
406,0.909528,0.962943
407,0.908953,0.962994
408,0.90951,0.963581
409,0.894779,0.958879
410,0.90624,0.961437
411,0.889175,0.954027
412,0.898691,0.955322
413,0.882472,0.948675
414,0.895095,0.953003
415,0.882592,0.948335
416,0.893617,0.952793
417,0.881924,0.949541
418,0.888651,0.952835
419,0.88761,0.952773
420,0.92057,0.966157
421,0.888913,0.95565
422,0.893156,0.957953
423,0.898092,0.96262
424,0.900098,0.966885
425,0.902493,0.969973
426,0.898251,0.968198
427,0.905394,0.970202
428,0.905107,0.969874
429,0.90352,0.968957
430,0.894874,0.966555
431,0.911293,0.965589
432,0.891665,0.960925
433,0.867304,0.952955
434,0.892004,0.958331
435,0.892377,0.95895
436,0.880374,0.954059
437,0.874859,0.951945
438,0.884728,0.95532
439,0.888253,0.95658
440,0.879241,0.954247
441,0.892712,0.958135
442,0.884425,0.955501
443,0.896596,0.959018
444,0.883099,0.955991
445,0.896483,0.959698
446,0.888824,0.957379
447,0.898282,0.96021
448,0.896811,0.960231
449,0.89766,0.960112
450,0.901206,0.96131
451,0.904651,0.961734
452,0.896466,0.958731
453,0.906393,0.962058
454,0.895855,0.958725
455,0.905861,0.961716
456,0.89884,0.958702
457,0.905555,0.961183
458,0.907471,0.961086
459,0.906893,0.960414
460,0.908447,0.960076
461,0.898587,0.955556
462,0.908384,0.959836
463,0.896607,0.9561
464,0.908504,0.960719
465,0.899194,0.957266
466,0.907089,0.960641
467,0.907735,0.961
468,0.899158,0.957724
469,0.907056,0.960957
470,0.897436,0.95685
471,0.907493,0.960289
472,0.888747,0.95371
473,0.898403,0.957381
474,0.889231,0.954171
475,0.901826,0.95867
476,0.900984,0.959471
477,0.904247,0.960354
478,0.895443,0.958229
479,0.904974,0.96185
480,0.933173,0.974114
481,0.923673,0.970032
482,0.914836,0.966679
483,0.921483,0.969608
484,0.916816,0.967816
485,0.921838,0.970327
486,0.916373,0.968387
487,0.923735,0.970805
488,0.92711,0.972387
489,0.923188,0.971526
490,0.92796,0.973305
491,0.923128,0.971575
492,0.927058,0.973604
493,0.923012,0.972256
494,0.928027,0.974356
495,0.923365,0.972458
496,0.927219,0.973975
497,0.920248,0.97184
498,0.924972,0.9734
499,0.923091,0.973174
500,0.922822,0.973073
501,0.916281,0.970713
502,0.920036,0.971922
503,0.921157,0.972418
504,0.918731,0.97166
505,0.925832,0.973896
506,0.921487,0.972593
507,0.926567,0.97414
508,0.920269,0.972095
509,0.921806,0.971969
510,0.923844,0.972641
511,0.925331,0.973067
512,0.918527,0.970714
513,0.922757,0.972187
514,0.918726,0.970339
515,0.919387,0.970769
516,0.914986,0.969167
517,0.917059,0.971804
518,0.907771,0.965078
519,0.917821,0.968087
520,0.903817,0.963688
521,0.915189,0.96721
522,0.919057,0.968225
523,0.921083,0.968958
524,0.918939,0.968129
