Frame, eSSIM, SSIM
0,0.802624,0.859078
1,0.71815,0.798188
2,0.748082,0.81759
3,0.733093,0.806497
4,0.73344,0.806851
5,0.687607,0.773743
6,0.690558,0.775575
7,0.646352,0.740411
8,0.664651,0.75661
9,0.666575,0.759938
10,0.646837,0.743605
11,0.692534,0.776987
12,0.623592,0.726121
13,0.651786,0.748641
14,0.555497,0.6755
15,0.635934,0.733164
16,0.636461,0.733518
17,0.636821,0.733788
18,0.637022,0.733945
19,0.635828,0.7328
20,0.636211,0.733119
21,0.630088,0.731962
22,0.60876,0.7174
23,0.658599,0.753318
24,0.658658,0.753386
25,0.658683,0.75342
26,0.642304,0.744024
27,0.644613,0.746113
28,0.609149,0.719431
29,0.642555,0.74387
30,0.634102,0.737945
31,0.662962,0.759374
32,0.633355,0.738539
33,0.664933,0.760478
34,0.652246,0.750766
35,0.639419,0.739573
36,0.637332,0.740231
37,0.630909,0.737636
38,0.630658,0.741125
39,0.631661,0.746528
40,0.65317,0.767335
41,0.632825,0.753917
42,0.662096,0.774372
43,0.637621,0.757399
44,0.669138,0.777688
45,0.638748,0.753466
46,0.679105,0.782061
47,0.650994,0.761779
48,0.67053,0.774811
49,0.6602,0.766279
50,0.654771,0.760696
51,0.650874,0.757951
52,0.653886,0.760991
53,0.650422,0.758013
54,0.664876,0.771392
55,0.654816,0.765843
56,0.689992,0.792036
57,0.7248,0.81267
58,0.725355,0.813185
59,0.725606,0.813466
60,0.801183,0.869806
61,0.801183,0.869806
62,0.695421,0.805625
63,0.715285,0.821788
64,0.690248,0.80241
65,0.71072,0.816498
66,0.679655,0.797349
67,0.707138,0.815011
68,0.677259,0.794729
69,0.707817,0.814631
70,0.679678,0.794606
71,0.709899,0.815065
72,0.675444,0.789156
73,0.709909,0.81413
74,0.678207,0.791587
75,0.707274,0.812576
76,0.678744,0.792981
77,0.705826,0.812288
78,0.676583,0.792185
79,0.711703,0.816134
80,0.679576,0.793181
81,0.716791,0.819045
82,0.687966,0.798259
83,0.722569,0.822184
84,0.689637,0.798518
85,0.715925,0.816894
86,0.689575,0.799346
87,0.723432,0.819926
88,0.696082,0.80115
89,0.713223,0.812521
90,0.699487,0.802397
91,0.699984,0.799487
92,0.687995,0.787646
93,0.680838,0.78324
94,0.672153,0.775154
95,0.649044,0.761253
96,0.629326,0.746555
97,0.625825,0.746319
98,0.636717,0.753265
99,0.63908,0.756315
100,0.618582,0.741432
101,0.641304,0.75766
102,0.643837,0.760472
103,0.655723,0.76876
104,0.627874,0.749438
105,0.63751,0.756842
106,0.605171,0.733939
107,0.629589,0.750994
108,0.601034,0.730613
109,0.615537,0.740763
110,0.623803,0.749695
111,0.628232,0.752534
112,0.644381,0.768886
113,0.635005,0.766457
114,0.659755,0.785222
115,0.663684,0.789342
116,0.643259,0.775881
117,0.662264,0.793701
118,0.650503,0.78132
119,0.707739,0.818027
120,0.784186,0.872455
121,0.683942,0.80884
122,0.776085,0.862109
123,0.776091,0.862117
124,0.776094,0.862122
125,0.776096,0.862125
126,0.776092,0.862123
127,0.776106,0.862145
128,0.731991,0.835171
129,0.732401,0.835589
130,0.683986,0.804142
131,0.744439,0.841318
132,0.745237,0.841948
133,0.69132,0.808676
134,0.735919,0.838127
135,0.706462,0.818681
136,0.744458,0.844232
137,0.704283,0.816676
138,0.714419,0.822905
139,0.743094,0.842022
140,0.716692,0.825241
141,0.747231,0.845062
142,0.720637,0.827464
143,0.745102,0.843335
144,0.718104,0.82523
145,0.72482,0.827733
146,0.705498,0.813759
147,0.744699,0.842854
148,0.715053,0.823524
149,0.738938,0.838794
150,0.719281,0.826402
151,0.734743,0.833702
152,0.754054,0.84161
153,0.715128,0.816532
154,0.739762,0.833715
155,0.700092,0.803972
156,0.732542,0.827603
