Frame, eSSIM, SSIM
0,0.485415,0.589241
1,0.438689,0.551423
2,0.450947,0.56072
3,0.443047,0.555219
4,0.443377,0.555482
5,0.428097,0.543415
6,0.428989,0.544972
7,0.416474,0.531313
8,0.423401,0.538414
9,0.438452,0.55079
10,0.425496,0.540805
11,0.443594,0.556293
12,0.433748,0.548331
13,0.438573,0.552942
14,0.428591,0.544782
15,0.440653,0.554242
16,0.440745,0.554322
17,0.440802,0.554381
18,0.44083,0.554412
19,0.433988,0.549285
20,0.434123,0.549379
21,0.433749,0.551995
22,0.422743,0.54358
23,0.425069,0.548584
24,0.428507,0.550999
25,0.429822,0.552186
26,0.453965,0.582508
27,0.454271,0.582744
28,0.433129,0.565929
29,0.454834,0.583869
30,0.447132,0.578378
31,0.461655,0.590176
32,0.446682,0.578648
33,0.451385,0.582026
34,0.449162,0.578624
35,0.451847,0.577794
36,0.460886,0.588372
37,0.473444,0.601247
38,0.477385,0.60898
39,0.47741,0.613995
40,0.480735,0.621731
41,0.464695,0.60814
42,0.478657,0.621344
43,0.459544,0.605109
44,0.473126,0.615287
45,0.44919,0.590517
46,0.464765,0.604211
47,0.433165,0.57704
48,0.44776,0.58772
49,0.446361,0.583961
50,0.45169,0.5864
51,0.442753,0.578041
52,0.441018,0.574527
53,0.44215,0.5737
54,0.449071,0.581441
55,0.439754,0.575885
56,0.466633,0.600807
57,0.476988,0.610046
58,0.477017,0.610061
59,0.477005,0.610049
60,0.529698,0.662051
61,0.529731,0.662139
62,0.476716,0.623684
63,0.5119,0.656377
64,0.492721,0.637942
65,0.523968,0.665388
66,0.502401,0.646877
67,0.529083,0.669991
68,0.505353,0.651363
69,0.530517,0.672348
70,0.503882,0.649651
71,0.531339,0.672796
72,0.506228,0.650946
73,0.533026,0.673585
74,0.513065,0.656828
75,0.532962,0.673459
76,0.511207,0.657017
77,0.52962,0.671956
78,0.50562,0.650755
79,0.530482,0.673243
80,0.496127,0.643406
81,0.528657,0.67099
82,0.500262,0.64735
83,0.525387,0.668691
84,0.50432,0.649248
85,0.525919,0.66739
86,0.50506,0.652178
87,0.52742,0.66899
88,0.506402,0.651673
89,0.517562,0.662196
90,0.507259,0.654132
91,0.499467,0.643081
92,0.492465,0.632298
93,0.489436,0.632714
94,0.473083,0.610875
95,0.458044,0.598079
96,0.447856,0.589859
97,0.452928,0.596529
98,0.456009,0.600208
99,0.454615,0.5993
100,0.445226,0.591705
101,0.454346,0.60008
102,0.444939,0.593252
103,0.450366,0.598046
104,0.44058,0.590698
105,0.447277,0.597968
106,0.43338,0.588087
107,0.444189,0.596927
108,0.435219,0.589337
109,0.43962,0.592695
110,0.447642,0.602077
111,0.432563,0.590186
112,0.452431,0.605113
113,0.439204,0.597529
114,0.457816,0.61266
115,0.460431,0.614717
116,0.442235,0.602453
117,0.46814,0.625364
118,0.44735,0.606036
119,0.489436,0.638613
120,0.546685,0.690821
121,0.477351,0.635219
122,0.54815,0.690676
123,0.548622,0.690919
124,0.548932,0.691124
125,0.549122,0.691281
126,0.549223,0.69138
127,0.549382,0.69149
128,0.523858,0.666933
129,0.524844,0.667917
130,0.514964,0.660083
131,0.535482,0.676874
132,0.536358,0.677641
133,0.500567,0.647181
134,0.534886,0.6767
135,0.499522,0.649139
136,0.540638,0.681698
137,0.506674,0.654897
138,0.511519,0.653877
139,0.536889,0.67715
140,0.496975,0.643607
141,0.536297,0.67841
142,0.50105,0.650565
143,0.530228,0.673623
144,0.524655,0.667461
145,0.521292,0.660638
146,0.496782,0.641051
147,0.536926,0.67902
148,0.491999,0.644147
149,0.532065,0.674534
150,0.517709,0.661584
151,0.512823,0.656931
152,0.519451,0.652926
153,0.497797,0.631937
154,0.512781,0.647757
155,0.477944,0.612604
156,0.507526,0.640854
157,0.480042,0.614705
158,0.509063,0.640933
159,0.459873,0.599843
160,0.510166,0.64296
161,0.503456,0.637001
162,0.509108,0.642541
163,0.483362,0.620159
164,0.503042,0.638561
165,0.500666,0.637139
166,0.49004,0.62803
167,0.509878,0.645469
168,0.484016,0.623695
169,0.504736,0.642372
170,0.503033,0.638344
171,0.486934,0.62469
172,0.461846,0.602051
173,0.480343,0.620998
174,0.476586,0.613693
175,0.472071,0.609288
176,0.468296,0.604656
177,0.433138,0.565744
178,0.460484,0.589386
179,0.44711,0.582391
180,0.502433,0.629486
181,0.449284,0.586536
182,0.470507,0.608249
183,0.43998,0.580522
184,0.464975,0.602756
185,0.438007,0.577224
186,0.457704,0.593287
187,0.464947,0.605003
188,0.486335,0.636047
189,0.476517,0.628996
190,0.497573,0.646848
191,0.470296,0.628625
192,0.498594,0.647943
193,0.485894,0.636723
194,0.502656,0.65088
195,0.49019,0.640371
196,0.504243,0.653868
197,0.487607,0.638635
198,0.498111,0.647385
199,0.501293,0.64888
200,0.505057,0.651788
201,0.503007,0.649227
202,0.489195,0.63268
203,0.505776,0.646873
204,0.491054,0.636449
205,0.515316,0.653081
206,0.51703,0.65338
207,0.496135,0.635879
208,0.521839,0.656874
209,0.495687,0.63752
210,0.521611,0.65538
211,0.496578,0.635704
212,0.521684,0.656837
213,0.499984,0.639036
214,0.519286,0.655892
215,0.507777,0.652013
216,0.525931,0.666029
217,0.508983,0.650614
218,0.521099,0.663357
219,0.503337,0.65528
220,0.518067,0.668631
221,0.502528,0.659461
