Frame, eSSIM, SSIM
0,0.518549,0.623923
1,0.450207,0.566849
2,0.462195,0.577508
3,0.454075,0.569882
4,0.454136,0.569932
5,0.428968,0.549669
6,0.43153,0.552257
7,0.426274,0.546293
8,0.423782,0.542889
9,0.4472,0.561845
10,0.428316,0.546406
11,0.454565,0.569118
12,0.432117,0.551535
13,0.437911,0.556372
14,0.440563,0.558123
15,0.491899,0.602274
16,0.49459,0.60432
17,0.496237,0.605904
18,0.497077,0.606822
19,0.518734,0.626565
20,0.519465,0.627463
21,0.527742,0.642288
22,0.514024,0.631761
23,0.559322,0.669574
24,0.559447,0.669683
25,0.559493,0.669741
26,0.51697,0.643112
27,0.5177,0.644013
28,0.469515,0.607781
29,0.506578,0.634674
30,0.472303,0.609897
31,0.49885,0.629318
32,0.467418,0.604948
33,0.471778,0.607835
34,0.478787,0.61062
35,0.474079,0.604413
36,0.470655,0.603071
37,0.472618,0.607183
38,0.482581,0.618498
39,0.471419,0.6124
40,0.496886,0.640033
41,0.473899,0.619619
42,0.499101,0.643829
43,0.479327,0.625774
44,0.50564,0.64634
45,0.473387,0.615656
46,0.502068,0.640521
47,0.47669,0.618258
48,0.504795,0.640455
49,0.508286,0.641996
50,0.506935,0.640767
51,0.491461,0.628103
52,0.497623,0.630961
53,0.50189,0.633073
54,0.505362,0.637022
55,0.529627,0.663222
56,0.484471,0.62497
57,0.558539,0.684224
58,0.558871,0.684542
59,0.559006,0.684722
60,0.634643,0.753468
61,0.634664,0.753487
62,0.531259,0.681538
63,0.558254,0.710094
64,0.541542,0.689549
65,0.564945,0.713181
66,0.537296,0.689223
67,0.567222,0.714404
68,0.5352,0.687684
69,0.567754,0.714698
70,0.530603,0.680769
71,0.562895,0.710324
72,0.523278,0.674467
73,0.561624,0.708433
74,0.535102,0.684838
75,0.560279,0.706807
76,0.529011,0.678795
77,0.559627,0.706807
78,0.525321,0.679488
79,0.560135,0.707283
80,0.513888,0.666294
81,0.556855,0.703245
82,0.52231,0.673842
83,0.563006,0.707057
84,0.532149,0.67898
85,0.558563,0.702882
86,0.533185,0.682228
87,0.568365,0.708769
88,0.535477,0.681981
89,0.560442,0.702601
90,0.545585,0.691293
91,0.540259,0.680647
92,0.535262,0.670121
93,0.530991,0.669058
94,0.513636,0.651627
95,0.491598,0.633138
96,0.485754,0.628434
97,0.491374,0.635101
98,0.487801,0.633878
99,0.465108,0.61476
100,0.481925,0.62939
101,0.460445,0.612026
102,0.465995,0.618426
103,0.474852,0.625466
104,0.456447,0.610923
105,0.466581,0.621253
106,0.448276,0.6066
107,0.461213,0.61738
108,0.469466,0.623923
109,0.47104,0.62455
110,0.479692,0.635828
111,0.464714,0.623779
112,0.488384,0.644124
113,0.478302,0.635185
114,0.498139,0.654779
115,0.499935,0.656802
116,0.479129,0.639696
117,0.511606,0.669663
118,0.534241,0.686336
119,0.551946,0.698462
120,0.612601,0.755142
121,0.517598,0.67856
122,0.623209,0.756867
123,0.623564,0.757128
124,0.623764,0.757334
125,0.623865,0.757478
126,0.623912,0.757558
127,0.624337,0.7581
128,0.575976,0.722408
129,0.576917,0.723557
130,0.522841,0.674613
131,0.593199,0.73331
132,0.59383,0.733989
133,0.546918,0.6956
134,0.577222,0.723432
135,0.541869,0.688884
136,0.579472,0.72521
137,0.547643,0.696497
138,0.578932,0.723318
139,0.540011,0.689513
140,0.578876,0.722831
141,0.541271,0.689446
142,0.573196,0.720321
143,0.551193,0.697473
144,0.564028,0.710215
145,0.559577,0.703658
146,0.535625,0.681252
147,0.580589,0.723645
148,0.544034,0.689652
149,0.575408,0.718909
150,0.555552,0.702089
151,0.551515,0.697608
152,0.564945,0.701569
153,0.539255,0.676752
154,0.557771,0.695841
155,0.51993,0.657866
156,0.552669,0.689471
157,0.520485,0.66111
158,0.553918,0.690439
159,0.521845,0.657738
160,0.555299,0.692469
161,0.544993,0.684103
162,0.552257,0.690882
163,0.521819,0.663154
164,0.544302,0.684657
165,0.532997,0.675685
166,0.557124,0.695079
167,0.529414,0.669603
168,0.553292,0.692854
169,0.52543,0.667262
170,0.536441,0.678555
171,0.54461,0.682043
172,0.519943,0.659468
173,0.533149,0.674368
174,0.510095,0.649029
175,0.522098,0.660939
176,0.514596,0.654146
177,0.477711,0.612117
178,0.498003,0.63205
179,0.493259,0.628839
180,0.570074,0.694448
181,0.514954,0.656992
182,0.489256,0.632483
183,0.511769,0.652788
184,0.478738,0.623006
185,0.499998,0.64077
186,0.499105,0.637884
187,0.503132,0.645115
188,0.52482,0.67597
189,0.509438,0.663617
190,0.535904,0.686463
191,0.513055,0.667073
192,0.537534,0.688299
193,0.520672,0.673226
194,0.543568,0.692047
195,0.52205,0.674042
196,0.54799,0.697054
197,0.524493,0.676459
198,0.542928,0.691953
199,0.52162,0.672551
200,0.550039,0.69589
201,0.54288,0.688925
202,0.551002,0.691603
203,0.546659,0.688515
204,0.55572,0.695729
205,0.526037,0.668271
206,0.561932,0.697501
207,0.533838,0.674264
208,0.567704,0.701139
209,0.533744,0.675027
210,0.563259,0.6978
211,0.537755,0.676149
212,0.564265,0.699028
213,0.533053,0.673046
214,0.558371,0.695455
215,0.54428,0.686728
216,0.569056,0.707547
217,0.543455,0.686873
218,0.563798,0.705658
219,0.544843,0.693763
220,0.559506,0.709133
221,0.565104,0.718226
