Frame, eSSIM, SSIM
0,0.591371,0.694178
1,0.485537,0.606193
2,0.508407,0.626621
3,0.503813,0.621405
4,0.50392,0.621512
5,0.459994,0.584941
6,0.471446,0.593715
7,0.461288,0.586009
8,0.459494,0.580603
9,0.49622,0.611526
10,0.49307,0.610196
11,0.470457,0.589051
12,0.510715,0.624364
13,0.47212,0.593987
14,0.49446,0.612683
15,0.497546,0.613238
16,0.49775,0.613412
17,0.497875,0.61354
18,0.497944,0.613628
19,0.49015,0.60763
20,0.49018,0.607659
21,0.479582,0.599536
22,0.465938,0.588443
23,0.490132,0.611448
24,0.490133,0.611449
25,0.490133,0.611449
26,0.477247,0.610108
27,0.477286,0.61014
28,0.439357,0.579166
29,0.448002,0.587346
30,0.436268,0.576107
31,0.450264,0.58898
32,0.43815,0.577454
33,0.436729,0.576132
34,0.427056,0.566181
35,0.437909,0.57108
36,0.467782,0.598588
37,0.492879,0.621498
38,0.511093,0.640727
39,0.527374,0.659366
40,0.546181,0.683898
41,0.526716,0.669784
42,0.565784,0.700796
43,0.53584,0.676788
44,0.565268,0.69882
45,0.515202,0.656064
46,0.553114,0.685313
47,0.514149,0.6552
48,0.55841,0.687892
49,0.561327,0.688857
50,0.574224,0.697821
51,0.533814,0.666333
52,0.531009,0.662738
53,0.532928,0.663101
54,0.540077,0.670776
55,0.560846,0.693347
56,0.510436,0.652032
57,0.605371,0.724281
58,0.605685,0.724658
59,0.605784,0.72485
60,0.677764,0.787417
61,0.677777,0.787424
62,0.545978,0.697305
63,0.584419,0.734064
64,0.55863,0.707868
65,0.593604,0.737776
66,0.568548,0.717116
67,0.61699,0.752841
68,0.577261,0.725991
69,0.616875,0.755039
70,0.567129,0.718586
71,0.613029,0.7533
72,0.565604,0.716563
73,0.619623,0.756996
74,0.581423,0.727643
75,0.621686,0.759785
76,0.593383,0.738991
77,0.62768,0.764017
78,0.594849,0.741425
79,0.636911,0.770502
80,0.589331,0.734635
81,0.62937,0.765529
82,0.591092,0.737262
83,0.636914,0.768998
84,0.596307,0.735142
85,0.641702,0.768699
86,0.601592,0.741956
87,0.65004,0.773618
88,0.605577,0.739484
89,0.640226,0.764826
90,0.589018,0.732503
91,0.578544,0.716278
92,0.54517,0.682727
93,0.533846,0.675228
94,0.528641,0.664253
95,0.506732,0.646966
96,0.503474,0.643822
97,0.506494,0.648893
98,0.510936,0.653752
99,0.480148,0.629061
100,0.51205,0.655199
101,0.48594,0.635331
102,0.509419,0.654201
103,0.515219,0.659137
104,0.481037,0.634317
105,0.508692,0.656827
106,0.485144,0.639784
107,0.506929,0.656276
108,0.519855,0.666074
109,0.512327,0.659906
110,0.518722,0.667987
111,0.491513,0.64679
112,0.508863,0.661998
113,0.522893,0.676779
114,0.497335,0.654925
115,0.52647,0.679718
116,0.506902,0.665331
117,0.533735,0.690361
118,0.560955,0.710644
119,0.581961,0.724375
120,0.66023,0.795707
121,0.538533,0.701709
122,0.658974,0.785233
123,0.659272,0.785408
124,0.65944,0.78555
125,0.659521,0.785642
126,0.659554,0.785693
127,0.659834,0.78592
128,0.607508,0.745672
129,0.607985,0.746198
130,0.592394,0.735726
131,0.631699,0.765146
132,0.632113,0.765641
133,0.553089,0.703023
134,0.623433,0.760935
135,0.588175,0.731429
136,0.631505,0.767172
137,0.588914,0.733516
138,0.630198,0.765617
139,0.591757,0.733585
140,0.628726,0.765021
141,0.599857,0.7408
142,0.632039,0.767737
143,0.592351,0.735356
144,0.615885,0.754672
145,0.61604,0.753322
146,0.595529,0.734265
147,0.639932,0.772545
148,0.609052,0.74985
149,0.626808,0.763558
150,0.603208,0.746143
151,0.600564,0.741473
152,0.589023,0.719652
153,0.547441,0.685143
154,0.588666,0.721837
155,0.552468,0.688128
156,0.590574,0.721821
157,0.547642,0.687039
158,0.585806,0.720047
159,0.558657,0.695334
160,0.592131,0.724554
161,0.578903,0.714494
162,0.586614,0.721334
163,0.558653,0.696559
164,0.578422,0.716301
165,0.5662,0.706168
166,0.594757,0.730621
167,0.557264,0.69867
168,0.589325,0.726062
169,0.561018,0.700961
170,0.570994,0.710835
171,0.567942,0.705835
172,0.547245,0.68855
173,0.555183,0.696356
174,0.550055,0.688226
175,0.533066,0.676089
176,0.534917,0.674546
177,0.496329,0.631369
178,0.522341,0.656445
179,0.520986,0.658809
180,0.603772,0.723227
181,0.532184,0.676693
182,0.501889,0.646299
183,0.531729,0.673125
184,0.496962,0.640915
185,0.5257,0.664717
186,0.515035,0.654721
187,0.525393,0.666107
188,0.555549,0.701317
189,0.540342,0.691372
190,0.568717,0.714126
191,0.54278,0.694785
192,0.585371,0.726414
193,0.555925,0.703523
194,0.586119,0.727782
195,0.557592,0.705692
196,0.588457,0.73252
197,0.560522,0.709182
198,0.586156,0.728868
199,0.562058,0.708166
200,0.596487,0.734151
201,0.587318,0.7269
202,0.598701,0.730932
203,0.590718,0.725425
204,0.598258,0.732003
205,0.598016,0.73158
206,0.6002,0.732785
207,0.575411,0.712147
208,0.615662,0.742245
209,0.581212,0.71652
210,0.607216,0.735775
211,0.579995,0.714062
212,0.613573,0.740826
213,0.577426,0.713485
214,0.603168,0.735643
215,0.577507,0.718242
216,0.612993,0.744535
217,0.575624,0.717085
218,0.598863,0.738528
219,0.580145,0.727104
220,0.599561,0.742749
221,0.609967,0.755396
222,0.583642,0.739056
223,0.6066,0.7581
224,0.613251,0.760279
225,0.57273,0.731872
226,0.60609,0.757951
227,0.571888,0.731824
228,0.603344,0.757217
229,0.566131,0.729043
230,0.609642,0.76425
231,0.574538,0.739593
232,0.613908,0.767967
233,0.579642,0.742985
234,0.615301,0.768805
235,0.617566,0.769074
236,0.612886,0.765022
237,0.610284,0.761339
238,0.642652,0.786431
239,0.646183,0.791239
240,0.766297,0.865558
241,0.618269,0.779329
242,0.665049,0.810115
243,0.558713,0.730937
244,0.592258,0.753074
245,0.631773,0.780456
246,0.626219,0.778672
247,0.659691,0.801919
248,0.634244,0.7845
249,0.677642,0.814732
250,0.647433,0.799381
251,0.683543,0.819066
252,0.648721,0.795858
253,0.678911,0.815312
254,0.588355,0.74854
255,0.624215,0.774773
256,0.57358,0.736832
257,0.647063,0.787617
258,0.608871,0.761434
259,0.658301,0.796284
260,0.626269,0.772542
261,0.672623,0.805763
262,0.64503,0.78793
263,0.690591,0.818169
264,0.661356,0.801966
265,0.691045,0.820484
266,0.656124,0.798834
267,0.692151,0.823363
268,0.6549,0.80144
269,0.695178,0.825191
270,0.659555,0.807049
271,0.702981,0.829852
272,0.658263,0.800816
273,0.699002,0.826729
274,0.669283,0.809839
275,0.706263,0.830679
276,0.661089,0.806622
277,0.713492,0.835572
278,0.68723,0.821368
279,0.721305,0.83941
280,0.686677,0.812038
281,0.70727,0.824708
282,0.724809,0.840811
283,0.676662,0.812678
284,0.699399,0.824053
285,0.73675,0.849087
286,0.699864,0.825951
287,0.741301,0.851762
288,0.711716,0.836972
289,0.746924,0.855936
290,0.649927,0.809525
291,0.723451,0.844208
292,0.754191,0.860041
293,0.662633,0.817399
294,0.69802,0.827341
295,0.724751,0.84314
296,0.680757,0.816661
297,0.678309,0.815391
298,0.728564,0.844964
299,0.700164,0.82832
300,0.826243,0.899845
301,0.697807,0.841217
302,0.715769,0.840014
303,0.730121,0.852184
304,0.688094,0.831175
305,0.701799,0.833931
306,0.663751,0.810503
307,0.635374,0.783469
308,0.624264,0.773153
309,0.618065,0.762894
310,0.610947,0.747058
