Frame, eSSIM, SSIM
0,0.758088,0.829393
1,0.588106,0.705677
2,0.640293,0.742092
3,0.639517,0.738439
4,0.640071,0.738843
5,0.566748,0.682922
6,0.576104,0.69023
7,0.560894,0.678151
8,0.54955,0.667545
9,0.604065,0.711104
10,0.599907,0.709299
11,0.581026,0.691009
12,0.630633,0.732558
13,0.569517,0.686249
14,0.605027,0.71438
15,0.621083,0.723624
16,0.621899,0.72423
17,0.622363,0.724672
18,0.622585,0.724919
19,0.610207,0.71508
20,0.610218,0.715103
21,0.578664,0.692122
22,0.551572,0.67336
23,0.610299,0.716681
24,0.610352,0.716722
25,0.610355,0.716725
26,0.573945,0.694897
27,0.574098,0.695058
28,0.502497,0.639414
29,0.524207,0.656368
30,0.497762,0.635098
31,0.530416,0.6604
32,0.500452,0.636968
33,0.508807,0.642668
34,0.462414,0.604604
35,0.465661,0.600816
36,0.499284,0.628228
37,0.521444,0.648409
38,0.556933,0.682426
39,0.562928,0.692201
40,0.580747,0.714983
41,0.563179,0.702812
42,0.596487,0.728591
43,0.570063,0.708477
44,0.611252,0.737726
45,0.565465,0.700487
46,0.603883,0.728043
47,0.565301,0.698969
48,0.609287,0.73146
49,0.613811,0.733292
50,0.636148,0.748299
51,0.649383,0.756239
52,0.656847,0.762144
53,0.649542,0.757261
54,0.648766,0.760267
55,0.648714,0.768245
56,0.590659,0.724688
57,0.694049,0.794862
58,0.694211,0.795113
59,0.694263,0.795236
60,0.815966,0.881063
61,0.815976,0.881078
62,0.674406,0.795324
63,0.712209,0.8217
64,0.657525,0.785218
65,0.688548,0.808408
66,0.652631,0.78524
67,0.691746,0.811564
68,0.651354,0.784951
69,0.694741,0.815782
70,0.651444,0.784124
71,0.695648,0.815148
72,0.643234,0.776183
73,0.692125,0.811932
74,0.647925,0.780039
75,0.693111,0.812865
76,0.66037,0.789046
77,0.694547,0.815339
78,0.65227,0.785411
79,0.700864,0.819256
80,0.651203,0.784969
81,0.704023,0.819548
82,0.666203,0.791708
83,0.709028,0.821417
84,0.670732,0.790533
85,0.705352,0.817218
86,0.67652,0.794984
87,0.721855,0.824219
88,0.682332,0.795992
89,0.714957,0.816179
90,0.682813,0.795128
91,0.679735,0.788496
92,0.668285,0.777178
93,0.649775,0.764304
94,0.631774,0.750191
95,0.587628,0.717247
96,0.588999,0.718276
97,0.591609,0.722312
98,0.599668,0.729145
99,0.556616,0.697086
100,0.609623,0.736166
101,0.579032,0.713862
102,0.606041,0.73441
103,0.605648,0.733951
104,0.556451,0.698943
105,0.602718,0.73365
106,0.56552,0.707095
107,0.600119,0.731155
108,0.602836,0.733436
109,0.597047,0.729216
110,0.577164,0.718479
111,0.571217,0.713323
112,0.575554,0.719209
113,0.587384,0.734567
114,0.553237,0.708548
115,0.603285,0.74637
116,0.56305,0.718046
117,0.592127,0.744659
118,0.617179,0.763676
119,0.66701,0.793795
120,0.79869,0.886711
121,0.58802,0.749929
122,0.747123,0.848242
123,0.747293,0.848386
124,0.747385,0.848495
125,0.747432,0.848561
126,0.747448,0.848591
127,0.748103,0.849123
128,0.697776,0.813843
129,0.698645,0.814762
130,0.672088,0.800074
131,0.718268,0.829334
132,0.718851,0.830036
133,0.627841,0.77097
134,0.706365,0.824331
135,0.658293,0.791697
136,0.717603,0.83263
137,0.673595,0.799782
138,0.72179,0.834051
139,0.679058,0.802844
140,0.72319,0.83463
141,0.688598,0.811304
142,0.727901,0.836936
143,0.679314,0.804589
144,0.702487,0.819707
145,0.700122,0.817028
146,0.67366,0.796829
147,0.725673,0.835917
148,0.690187,0.811651
149,0.720811,0.832261
150,0.693917,0.814656
151,0.711757,0.823269
152,0.653388,0.782118
153,0.602953,0.74271
154,0.657582,0.783798
155,0.628044,0.756168
156,0.679427,0.796169
157,0.626089,0.755278
158,0.670885,0.78996
159,0.633948,0.761733
160,0.675901,0.793171
161,0.646786,0.776081
162,0.663994,0.785832
163,0.630106,0.758643
164,0.660614,0.782322
165,0.650163,0.774533
166,0.682819,0.799171
167,0.640903,0.769513
