Frame, eSSIM, SSIM
0,0.461485,0.567362
1,0.424345,0.536839
2,0.426618,0.537783
3,0.420466,0.533739
4,0.420466,0.533739
5,0.414038,0.52864
6,0.417268,0.531414
7,0.414497,0.528545
8,0.409966,0.523661
9,0.412964,0.527118
10,0.409363,0.524168
11,0.415185,0.53001
12,0.409604,0.525339
13,0.410687,0.527383
14,0.419412,0.533895
15,0.437161,0.54903
16,0.437176,0.549053
17,0.437184,0.54907
18,0.437183,0.549077
19,0.452433,0.56399
20,0.453215,0.564828
21,0.463344,0.577087
22,0.45421,0.570203
23,0.472292,0.59028
24,0.472386,0.590394
25,0.472427,0.590456
26,0.462178,0.592074
27,0.462924,0.592762
28,0.432704,0.569198
29,0.442276,0.576925
30,0.424702,0.562222
31,0.431798,0.56967
32,0.423594,0.561362
33,0.418497,0.557779
34,0.419504,0.55545
35,0.421081,0.552407
36,0.420802,0.553624
37,0.424875,0.560183
38,0.434534,0.570343
39,0.42872,0.569713
40,0.444913,0.588125
41,0.434096,0.578089
42,0.447115,0.592202
43,0.431283,0.579504
44,0.449425,0.592811
45,0.424918,0.567404
46,0.44268,0.583281
47,0.423514,0.5658
48,0.438039,0.577433
49,0.439535,0.57716
50,0.439078,0.574715
51,0.429623,0.565733
52,0.429673,0.563803
53,0.426911,0.560097
54,0.432052,0.565332
55,0.454345,0.5897
56,0.41813,0.560484
57,0.46423,0.599214
58,0.464556,0.599554
59,0.46467,0.599705
60,0.52756,0.661598
61,0.527558,0.661599
62,0.448029,0.600206
63,0.482258,0.634
64,0.454445,0.608974
65,0.500153,0.646215
66,0.469167,0.619873
67,0.50019,0.647392
68,0.466208,0.620469
69,0.500002,0.647512
70,0.460756,0.615399
71,0.489815,0.639599
72,0.47045,0.620199
73,0.496749,0.644211
74,0.467458,0.620056
75,0.496198,0.643155
76,0.464206,0.616589
77,0.497478,0.644095
78,0.462554,0.615868
79,0.501125,0.647467
80,0.4658,0.619431
81,0.496172,0.643503
82,0.472846,0.62393
83,0.499335,0.645432
84,0.468058,0.619737
85,0.498418,0.644444
86,0.458997,0.615362
87,0.503363,0.647567
88,0.488937,0.636192
89,0.488204,0.637772
90,0.479367,0.630967
91,0.470513,0.617324
92,0.468512,0.609239
93,0.462345,0.608499
94,0.458738,0.600537
95,0.448731,0.591454
96,0.431559,0.576707
97,0.430371,0.577486
98,0.428989,0.576255
99,0.41339,0.565221
100,0.423787,0.572883
101,0.413875,0.56634
102,0.413657,0.567423
103,0.424751,0.574641
104,0.41729,0.569464
105,0.420431,0.573641
106,0.414214,0.569004
107,0.419582,0.573687
108,0.420349,0.57491
109,0.419237,0.573906
110,0.43037,0.585168
111,0.430771,0.584976
112,0.444862,0.597745
113,0.429653,0.586692
114,0.449173,0.604833
115,0.450516,0.605576
116,0.433586,0.593151
117,0.461657,0.618419
118,0.478638,0.631294
119,0.491145,0.639558
120,0.538604,0.6848
121,0.462865,0.621278
122,0.541486,0.685824
123,0.541784,0.686015
124,0.541974,0.686177
125,0.542078,0.686292
126,0.542128,0.686359
127,0.542524,0.686744
128,0.510556,0.658179
129,0.511248,0.658839
130,0.462328,0.615054
131,0.525929,0.669063
132,0.526971,0.669937
133,0.463782,0.621009
134,0.518597,0.663833
135,0.477392,0.631982
136,0.514085,0.661217
137,0.473771,0.626729
138,0.508892,0.656214
139,0.459376,0.61565
140,0.500718,0.64941
141,0.455968,0.613795
142,0.489289,0.642161
143,0.457067,0.613112
144,0.48942,0.637246
145,0.484673,0.62968
146,0.448202,0.601018
147,0.505237,0.652217
148,0.463107,0.620326
149,0.500585,0.648156
150,0.475985,0.626124
151,0.47731,0.628221
152,0.501522,0.6372
153,0.477209,0.612808
154,0.493364,0.630911
155,0.451437,0.587813
156,0.489872,0.624487
157,0.446511,0.585358
158,0.491333,0.626219
159,0.447215,0.586531
160,0.490016,0.626026
161,0.485139,0.620876
162,0.490145,0.626384
163,0.457785,0.597903
164,0.48359,0.621533
165,0.47543,0.613693
166,0.48557,0.625014
167,0.473744,0.613347
168,0.480407,0.620041
169,0.457456,0.598749
170,0.47089,0.61088
171,0.455683,0.596468
172,0.431725,0.576277
173,0.447932,0.592394
174,0.418753,0.561372
175,0.437493,0.578656
176,0.438719,0.577335
177,0.407875,0.541262
178,0.426602,0.558001
179,0.414734,0.552589
180,0.487385,0.615777
181,0.452404,0.589445
182,0.417695,0.561187
183,0.447973,0.586132
184,0.422143,0.564394
185,0.431891,0.572832
186,0.425742,0.565291
187,0.439896,0.580713
188,0.465257,0.616111
189,0.445233,0.60174
190,0.467911,0.62127
191,0.447271,0.605119
192,0.467004,0.620551
193,0.444638,0.603175
194,0.472724,0.624559
195,0.449223,0.607673
196,0.48447,0.635957
197,0.462381,0.615601
198,0.481707,0.631626
199,0.454595,0.610425
200,0.486983,0.635823
201,0.48384,0.632481
202,0.493407,0.636024
203,0.488734,0.632207
204,0.496437,0.639855
205,0.471796,0.616144
206,0.506327,0.643712
207,0.480938,0.622566
208,0.508175,0.644565
209,0.480217,0.623023
210,0.507209,0.641675
211,0.474955,0.617029
212,0.505982,0.641742
213,0.474191,0.616774
214,0.501471,0.638802
215,0.483996,0.628772
216,0.508203,0.650185
217,0.48547,0.629802
218,0.506843,0.650688
219,0.48323,0.636411
220,0.503725,0.655494
221,0.510912,0.664649
222,0.486264,0.650608
223,0.505447,0.666913
224,0.473263,0.638261
225,0.505217,0.665718
226,0.465058,0.635107
227,0.50254,0.664312
228,0.466614,0.636317
229,0.502009,0.66435
230,0.473073,0.644018
231,0.501921,0.669072
232,0.465907,0.639368
233,0.494478,0.663659
234,0.496127,0.665568
