Frame, eSSIM, SSIM
0,0.473713,0.57918
1,0.431921,0.544034
2,0.43221,0.544036
3,0.42687,0.540666
4,0.427254,0.540965
5,0.419342,0.534033
6,0.420545,0.5355
7,0.416517,0.531394
8,0.413235,0.527444
9,0.422488,0.536058
10,0.421458,0.536871
11,0.417009,0.532708
12,0.425926,0.540701
13,0.41919,0.535309
14,0.41936,0.536163
15,0.418915,0.534678
16,0.419267,0.534916
17,0.419449,0.535032
18,0.419474,0.535006
19,0.419699,0.535501
20,0.419697,0.535501
21,0.423236,0.540696
22,0.418329,0.538745
23,0.418436,0.541803
24,0.418436,0.541803
25,0.418436,0.541803
26,0.415676,0.544334
27,0.415745,0.544391
28,0.409201,0.537418
29,0.408599,0.537088
30,0.404603,0.531669
31,0.405389,0.53348
32,0.404027,0.531456
33,0.398695,0.526372
34,0.396058,0.522156
35,0.404827,0.527929
36,0.418635,0.54334
37,0.430276,0.557832
38,0.435622,0.567277
39,0.445088,0.581057
40,0.464651,0.603952
41,0.449852,0.591158
42,0.469028,0.609469
43,0.449012,0.592742
44,0.468721,0.609149
45,0.434748,0.577068
46,0.460349,0.598254
47,0.432193,0.573909
48,0.446907,0.585954
49,0.445221,0.582295
50,0.434125,0.570104
51,0.418679,0.555405
52,0.416047,0.551243
53,0.413435,0.547531
54,0.415217,0.550013
55,0.428471,0.564975
56,0.407243,0.548138
57,0.437472,0.573854
58,0.43758,0.573907
59,0.437638,0.573934
60,0.499826,0.633759
61,0.499826,0.633759
62,0.421624,0.575304
63,0.441967,0.595311
64,0.431795,0.584322
65,0.453364,0.601703
66,0.44027,0.592403
67,0.46823,0.614742
68,0.445865,0.597567
69,0.479218,0.624499
70,0.446584,0.601049
71,0.483453,0.628262
72,0.465673,0.612519
73,0.50067,0.642519
74,0.472538,0.620863
75,0.510784,0.650976
76,0.486024,0.631884
77,0.517338,0.658732
78,0.49475,0.640534
79,0.52468,0.666529
80,0.48627,0.635661
81,0.524719,0.667062
82,0.496678,0.643451
83,0.521901,0.665357
84,0.496874,0.642736
85,0.521162,0.664368
86,0.488411,0.639721
87,0.51752,0.661332
88,0.489321,0.640253
89,0.484951,0.638752
90,0.471592,0.627518
91,0.458489,0.60886
92,0.446963,0.592406
93,0.442689,0.59245
94,0.444602,0.586595
95,0.435339,0.577712
96,0.423721,0.568214
97,0.424724,0.569683
98,0.425941,0.571506
99,0.412388,0.561763
100,0.419556,0.567176
101,0.411325,0.562245
102,0.414944,0.565933
103,0.42568,0.57445
104,0.416989,0.568169
105,0.419857,0.571627
106,0.41495,0.567841
107,0.418707,0.57163
108,0.423263,0.576261
109,0.420184,0.57426
110,0.43108,0.585599
111,0.428751,0.582431
112,0.441487,0.593186
113,0.449457,0.603437
114,0.421879,0.584643
115,0.440552,0.598451
116,0.426552,0.587871
117,0.454137,0.612389
118,0.475171,0.627677
119,0.488296,0.636831
120,0.535681,0.682645
121,0.462276,0.621486
122,0.545438,0.688215
123,0.545458,0.688237
124,0.54547,0.688255
125,0.545478,0.688266
126,0.545481,0.688274
127,0.545981,0.688628
128,0.506893,0.653814
129,0.507404,0.654188
130,0.490388,0.641694
131,0.531147,0.672992
132,0.531383,0.673164
133,0.447464,0.610537
134,0.523829,0.668287
135,0.485606,0.637617
136,0.52806,0.672208
137,0.492931,0.641313
138,0.529066,0.671879
139,0.491313,0.639515
140,0.530653,0.67308
141,0.488939,0.637501
142,0.525097,0.670818
143,0.498241,0.643273
144,0.51429,0.659061
145,0.510413,0.652691
146,0.478923,0.626594
147,0.528412,0.672758
148,0.47625,0.631671
149,0.513595,0.661147
150,0.484623,0.634747
151,0.483785,0.634758
152,0.501724,0.637421
153,0.475016,0.611304
154,0.494001,0.631183
155,0.453258,0.590035
156,0.493378,0.628403
157,0.449067,0.587345
158,0.493217,0.628922
159,0.441898,0.583576
160,0.484445,0.622275
161,0.476588,0.614404
162,0.477511,0.616489
163,0.433435,0.581882
164,0.453332,0.596906
165,0.452957,0.59541
166,0.458394,0.600778
167,0.456049,0.59683
168,0.455997,0.598433
169,0.433684,0.579367
170,0.448829,0.591812
171,0.446454,0.587802
172,0.418089,0.565986
173,0.431601,0.57874
174,0.429011,0.571072
175,0.418559,0.562298
176,0.429304,0.567534
177,0.402205,0.535124
178,0.422388,0.552959
179,0.41904,0.554046
180,0.479899,0.608017
181,0.444472,0.581394
182,0.408338,0.554043
183,0.440407,0.578735
184,0.416582,0.557738
185,0.427873,0.568017
186,0.421368,0.561008
187,0.441041,0.581237
188,0.465127,0.614959
189,0.451535,0.606325
190,0.476436,0.627252
191,0.452776,0.609083
192,0.480511,0.630991
193,0.453871,0.61051
194,0.479139,0.630157
195,0.455209,0.61146
196,0.480771,0.633439
197,0.456909,0.611936
198,0.471292,0.622819
199,0.445947,0.603113
200,0.476222,0.62731
201,0.478948,0.627219
202,0.487839,0.629743
203,0.483162,0.626025
204,0.488831,0.632147
205,0.496318,0.634815
206,0.497474,0.635064
207,0.468,0.611829
208,0.49703,0.63454
209,0.470076,0.613931
210,0.494886,0.630392
211,0.465367,0.607778
212,0.49372,0.630643
213,0.462142,0.606558
214,0.486321,0.626371
215,0.46967,0.616986
216,0.496136,0.639561
217,0.469405,0.616411
218,0.503117,0.645768
219,0.478332,0.632671
220,0.503543,0.65419
221,0.515935,0.668087
222,0.492299,0.656311
223,0.51205,0.672258
224,0.513654,0.671352
225,0.477308,0.64311
226,0.508519,0.668733
227,0.474593,0.642948
228,0.51048,0.671528
229,0.475209,0.643204
230,0.506486,0.67229
231,0.464659,0.639897
232,0.491568,0.662921
233,0.461537,0.636306
234,0.48886,0.660966
235,0.485689,0.657981
236,0.47681,0.651588
237,0.480188,0.651458
238,0.515715,0.684366
239,0.522352,0.690782
240,0.591248,0.748868
241,0.50493,0.686675
242,0.54143,0.714794
243,0.489255,0.668029
244,0.541036,0.703384
245,0.544415,0.708005
246,0.521292,0.691726
247,0.562091,0.725895
248,0.531039,0.703969
249,0.572871,0.734151
250,0.53774,0.710371
251,0.576826,0.737669
252,0.533102,0.705311
253,0.568761,0.731132
254,0.519714,0.685578
255,0.556873,0.715579
256,0.526497,0.68979
257,0.560307,0.715958
258,0.515731,0.686396
259,0.56384,0.721256
260,0.52816,0.693417
261,0.573909,0.72776
262,0.533045,0.69984
263,0.576484,0.732756
264,0.558409,0.719553
265,0.578143,0.733661
266,0.553732,0.716486
267,0.582701,0.738032
