Frame, eSSIM, SSIM
0,0.611843,0.706328
1,0.571624,0.671987
2,0.597629,0.692692
3,0.602692,0.697269
4,0.603745,0.698223
5,0.577786,0.676866
6,0.586044,0.684712
7,0.562421,0.663617
8,0.578513,0.677548
9,0.561301,0.663386
10,0.587969,0.686522
11,0.57304,0.675089
12,0.590556,0.689692
13,0.588289,0.688654
14,0.593408,0.692256
15,0.574076,0.67616
16,0.574076,0.67616
17,0.574076,0.67616
18,0.574076,0.67616
19,0.543542,0.652222
20,0.543644,0.652337
21,0.508372,0.624935
22,0.525608,0.639829
23,0.54297,0.655114
24,0.542972,0.655117
25,0.542972,0.655115
26,0.528687,0.648264
27,0.529695,0.649047
28,0.500912,0.626218
29,0.515142,0.637382
30,0.508939,0.632827
31,0.523084,0.644294
32,0.505582,0.631269
33,0.519927,0.640962
34,0.500163,0.623866
35,0.506301,0.626495
36,0.509025,0.632093
37,0.534257,0.654808
38,0.535441,0.660414
39,0.544069,0.671707
40,0.542424,0.674524
41,0.563379,0.692785
42,0.546809,0.681322
43,0.564991,0.695697
44,0.542175,0.675682
45,0.55582,0.684023
46,0.540695,0.671912
47,0.558375,0.686
48,0.540516,0.670546
49,0.551019,0.677819
50,0.544573,0.671792
51,0.542974,0.669845
52,0.544747,0.670736
53,0.549181,0.673503
54,0.563353,0.685758
55,0.557526,0.683464
56,0.585846,0.704816
57,0.59878,0.714422
58,0.599196,0.714868
59,0.599385,0.715121
60,0.659097,0.767502
61,0.659097,0.767502
62,0.581201,0.715024
63,0.605466,0.735635
64,0.589495,0.723209
65,0.608858,0.736222
66,0.606731,0.734898
67,0.585056,0.720231
68,0.604488,0.733168
69,0.583208,0.71774
70,0.601207,0.730015
71,0.573843,0.709483
72,0.600664,0.729047
73,0.575702,0.709169
74,0.600483,0.728201
75,0.575715,0.710468
76,0.603702,0.730414
77,0.576505,0.712269
78,0.602319,0.730797
79,0.577667,0.713514
80,0.604273,0.731749
81,0.580712,0.715236
82,0.609129,0.735398
83,0.585095,0.718958
84,0.609699,0.734463
85,0.586209,0.717811
86,0.609771,0.735333
87,0.586706,0.717685
88,0.606928,0.732139
89,0.587963,0.718781
