Frame, eSSIM, SSIM
0,0.463346,0.56764
1,0.4449,0.551737
2,0.452391,0.558348
3,0.454326,0.560884
4,0.454574,0.561098
5,0.442623,0.551818
6,0.44789,0.555982
7,0.436701,0.546134
8,0.449476,0.558294
9,0.442688,0.552361
10,0.460057,0.569321
11,0.44651,0.558477
12,0.459464,0.569739
13,0.459449,0.570051
14,0.462641,0.572975
15,0.450971,0.563296
16,0.450971,0.563296
17,0.450971,0.563296
18,0.450971,0.563296
19,0.453415,0.565675
20,0.453639,0.565902
21,0.447488,0.563727
22,0.45897,0.574614
23,0.475655,0.592004
24,0.475749,0.592113
25,0.475774,0.592141
26,0.463878,0.591242
27,0.46407,0.591414
28,0.445275,0.576622
29,0.459393,0.587257
30,0.452045,0.582424
31,0.461441,0.589999
32,0.450471,0.581691
33,0.458312,0.586524
34,0.443499,0.573058
35,0.447896,0.573777
36,0.453572,0.581726
37,0.466059,0.594726
38,0.47113,0.602033
39,0.475052,0.609704
40,0.473155,0.613347
41,0.491237,0.62957
42,0.482042,0.622888
43,0.491186,0.631362
44,0.472602,0.613392
45,0.481806,0.617503
46,0.460584,0.599947
47,0.479141,0.615578
48,0.463245,0.600835
49,0.472662,0.607889
50,0.467785,0.602065
51,0.464702,0.59768
52,0.463462,0.594771
53,0.460347,0.590874
54,0.463321,0.594758
55,0.454681,0.588971
56,0.472825,0.607138
57,0.48158,0.614973
58,0.481883,0.61526
59,0.482005,0.615419
60,0.538718,0.66669
61,0.538727,0.666707
62,0.483226,0.631204
63,0.506836,0.651925
64,0.492153,0.638907
65,0.513652,0.655445
66,0.513691,0.656042
67,0.488969,0.637245
68,0.511128,0.654847
69,0.484309,0.634249
70,0.507271,0.651324
71,0.489405,0.634896
72,0.505601,0.650281
73,0.489875,0.635083
74,0.508435,0.651103
75,0.486317,0.634316
76,0.508963,0.651525
77,0.473666,0.626361
78,0.508523,0.652023
79,0.490077,0.63804
80,0.508964,0.652445
81,0.49476,0.63894
82,0.511381,0.653306
83,0.492235,0.638136
84,0.512257,0.653906
85,0.490739,0.636612
86,0.513635,0.655748
87,0.491389,0.637946
88,0.514352,0.655753
89,0.499319,0.644803
90,0.504992,0.649677
91,0.489978,0.633262
92,0.48116,0.621257
93,0.476631,0.622409
94,0.463343,0.602615
95,0.448356,0.589577
96,0.443327,0.585425
97,0.439795,0.585419
98,0.434486,0.580876
99,0.441884,0.587441
100,0.433731,0.580995
101,0.443191,0.589371
102,0.436214,0.584134
103,0.442741,0.591077
104,0.441626,0.59092
105,0.435495,0.586769
106,0.445596,0.59687
107,0.437768,0.589705
108,0.444651,0.596173
109,0.443883,0.595047
110,0.452997,0.60589
111,0.453669,0.605607
112,0.473103,0.622969
113,0.479462,0.63114
114,0.467542,0.620547
115,0.48156,0.633648
116,0.465625,0.622911
117,0.482499,0.639354
118,0.469484,0.626337
119,0.497406,0.646289
120,0.545531,0.690135
121,0.479029,0.638525
122,0.529993,0.676499
