Frame, eSSIM, SSIM
0,0.696627,0.787249
1,0.666153,0.757983
2,0.682301,0.771361
3,0.682476,0.771862
4,0.685801,0.774933
5,0.670477,0.760238
6,0.679749,0.768271
7,0.657839,0.748658
8,0.673696,0.762234
9,0.658085,0.749456
10,0.681442,0.769655
11,0.665034,0.756564
12,0.68253,0.771324
13,0.675591,0.765247
14,0.649212,0.742527
15,0.655518,0.747906
16,0.655684,0.748069
17,0.655796,0.748178
18,0.655858,0.748239
19,0.646343,0.74081
20,0.646624,0.741067
21,0.616144,0.717592
22,0.626548,0.72719
23,0.654375,0.7514
24,0.654422,0.751438
25,0.654444,0.751458
26,0.646238,0.746178
27,0.646741,0.746626
28,0.602818,0.711876
29,0.620584,0.726117
30,0.611569,0.71956
31,0.631954,0.735093
32,0.611347,0.720179
33,0.631761,0.735042
34,0.609586,0.716405
35,0.615051,0.719379
36,0.614896,0.721554
37,0.627114,0.732365
38,0.636596,0.742645
39,0.644497,0.753186
40,0.637685,0.75223
41,0.663476,0.773419
42,0.641007,0.757803
43,0.656733,0.769219
44,0.635613,0.752536
45,0.657066,0.765897
46,0.636649,0.751194
47,0.658248,0.766738
48,0.64063,0.752968
49,0.652016,0.760965
50,0.645911,0.754907
51,0.641709,0.752195
52,0.64215,0.752546
53,0.640808,0.751416
54,0.657688,0.763479
55,0.648761,0.757169
56,0.672439,0.776132
57,0.686194,0.786904
58,0.686377,0.787087
59,0.68647,0.787184
60,0.713579,0.814119
61,0.713579,0.814119
62,0.667733,0.782277
63,0.683173,0.794171
64,0.67613,0.786801
65,0.689508,0.796947
66,0.688303,0.796844
67,0.666888,0.782937
68,0.685159,0.794414
69,0.664307,0.780202
70,0.684068,0.793059
71,0.664231,0.778835
72,0.688832,0.796214
73,0.670612,0.782983
74,0.689605,0.796315
75,0.66794,0.781151
76,0.690162,0.79695
77,0.668599,0.782123
78,0.687956,0.795571
79,0.665019,0.779212
80,0.687324,0.794894
81,0.667178,0.780622
82,0.689473,0.796166
83,0.667605,0.781427
84,0.690527,0.796742
85,0.665179,0.778775
86,0.690942,0.796561
87,0.671034,0.782701
88,0.691777,0.796023
89,0.675718,0.784958
90,0.681345,0.788533
91,0.678855,0.783
92,0.674607,0.776449
93,0.668812,0.772754
94,0.655719,0.760948
95,0.650814,0.760846
96,0.646991,0.757519
97,0.647481,0.757949
98,0.628849,0.743593
99,0.645078,0.75588
100,0.621553,0.738729
101,0.640441,0.752989
102,0.615901,0.735786
103,0.635032,0.749936
104,0.632002,0.748387
105,0.606826,0.73047
106,0.633164,0.750421
107,0.606753,0.729795
108,0.624504,0.742976
109,0.625282,0.744358
110,0.63342,0.753254
111,0.642815,0.760284
112,0.655289,0.772236
113,0.662754,0.781665
114,0.643679,0.768017
115,0.662755,0.782616
116,0.642494,0.769528
117,0.659192,0.783649
118,0.65115,0.775982
119,0.682317,0.797733
120,0.70246,0.816588
121,0.66088,0.7843
122,0.697548,0.810385
123,0.697548,0.81039
124,0.697549,0.81039
125,0.697549,0.810389
126,0.697549,0.810387
127,0.69757,0.810414
128,0.681893,0.795363
129,0.68219,0.795665
130,0.659838,0.779016
131,0.691877,0.802623
132,0.691721,0.802479
133,0.664204,0.782667
134,0.686885,0.798953
135,0.666718,0.786046
136,0.688911,0.801218
137,0.661569,0.781743
138,0.667782,0.785246
139,0.688218,0.799529
140,0.664869,0.783011
141,0.666725,0.784963
142,0.689092,0.801224
143,0.670011,0.787869
144,0.689498,0.800231
145,0.687122,0.796881
146,0.673081,0.787074
147,0.697096,0.807592
148,0.674876,0.791538
149,0.674473,0.791235
150,0.69155,0.80353
151,0.690165,0.799903
152,0.673036,0.78256
153,0.690773,0.79635
154,0.668182,0.779595
155,0.686183,0.790363
156,0.662956,0.77344
157,0.684637,0.788954
158,0.662094,0.771797
159,0.683535,0.788483
160,0.664643,0.77544
161,0.683176,0.7884
162,0.665803,0.776367
163,0.680045,0.785996
164,0.658931,0.770579
165,0.678635,0.785707
166,0.66104,0.774492
167,0.682352,0.790765
168,0.659122,0.773027
169,0.676831,0.785987
170,0.656503,0.768983
171,0.67974,0.785296
172,0.662566,0.772904
173,0.676359,0.783004
174,0.656977,0.765531
175,0.667417,0.773804
176,0.65187,0.759424
177,0.661992,0.762797
178,0.635863,0.742932
179,0.655399,0.76096
180,0.690135,0.791615
181,0.645725,0.756064
182,0.663735,0.770484
183,0.63979,0.751226
184,0.656331,0.763881
185,0.635581,0.746547
186,0.645463,0.752447
187,0.65054,0.758832
188,0.667238,0.780936
189,0.652645,0.771551
190,0.670375,0.784114
191,0.652805,0.772072
192,0.671215,0.784624
193,0.652556,0.771415
194,0.669099,0.783613
195,0.652813,0.772263
196,0.673225,0.788198
197,0.653937,0.774144
198,0.664291,0.781514
199,0.652412,0.771869
200,0.673959,0.786523
201,0.658334,0.774025
202,0.67527,0.783244
203,0.658273,0.770775
204,0.680488,0.78716
205,0.657861,0.769027
206,0.680046,0.784457
207,0.662748,0.771732
208,0.688401,0.79027
209,0.671069,0.778071
210,0.686793,0.788142
211,0.668604,0.774936
212,0.68653,0.788223
213,0.667165,0.774303
214,0.68063,0.784992
215,0.671499,0.780692
216,0.68878,0.793641
217,0.669872,0.780016
218,0.685057,0.792347
219,0.674285,0.788584
220,0.687191,0.798545
221,0.68769,0.803204
222,0.673853,0.796595
223,0.685277,0.805349
224,0.681379,0.801293
225,0.665336,0.790671
226,0.681481,0.80213
227,0.664784,0.79108
228,0.683429,0.803795
229,0.661182,0.789422
230,0.679688,0.803939
231,0.663358,0.794344
232,0.683046,0.807618
233,0.67091,0.799465
234,0.693654,0.815142
235,0.679861,0.805614
236,0.694672,0.814765
237,0.686478,0.807004
238,0.710751,0.828658
239,0.704976,0.824054
240,0.743479,0.858744
241,0.713851,0.83606
242,0.728204,0.845594
243,0.706174,0.827106
244,0.71976,0.834765
245,0.707754,0.827742
246,0.733741,0.847011
247,0.722638,0.843223
248,0.735756,0.850988
249,0.739876,0.854931
250,0.720084,0.842652
251,0.724723,0.846046
252,0.736377,0.853538
253,0.717937,0.841119
254,0.72916,0.845245
255,0.710307,0.83261
256,0.729865,0.845427
257,0.707997,0.829213
258,0.710747,0.830253
259,0.727125,0.843351
260,0.712139,0.832818
261,0.733487,0.848358
262,0.715759,0.838054
263,0.723488,0.843003
264,0.737915,0.85357
265,0.72454,0.844617
266,0.728248,0.847865
267,0.741925,0.856787
268,0.723366,0.843938
269,0.726829,0.845676
270,0.741625,0.856717
271,0.729296,0.847896
272,0.731099,0.847982
273,0.741459,0.855832
274,0.730753,0.848657
275,0.734856,0.850848
276,0.744092,0.857944
277,0.730084,0.848248
278,0.741103,0.856119
279,0.745294,0.859224
280,0.737975,0.854297
281,0.740741,0.856173
282,0.745643,0.859955
283,0.733896,0.850977
284,0.738785,0.854541
285,0.746596,0.861179
286,0.735951,0.852782
287,0.738484,0.85432
288,0.745599,0.860094
289,0.734937,0.852584
290,0.737578,0.853217
291,0.746988,0.861152
292,0.740892,0.857753
293,0.733935,0.851374
294,0.742605,0.857422
295,0.736677,0.854327
296,0.735673,0.851614
297,0.729554,0.846938
298,0.743409,0.857365
299,0.730337,0.846638
300,0.749402,0.8659
301,0.724212,0.847377
302,0.730463,0.849536
303,0.726358,0.848273
304,0.731388,0.850328
305,0.718512,0.839623
306,0.719368,0.839094
307,0.710993,0.826742
308,0.692351,0.811155
309,0.699479,0.813662
310,0.697711,0.806836
311,0.690443,0.795784
312,0.689271,0.791436
313,0.666842,0.772374
314,0.685342,0.787285
315,0.668484,0.773207
316,0.683196,0.78419
317,0.66905,0.770102
318,0.686513,0.784648
319,0.67453,0.774099
320,0.692514,0.78959
321,0.683924,0.781133
322,0.704193,0.797541
323,0.694536,0.788441
324,0.715252,0.806131
325,0.703252,0.795474
326,0.733275,0.820084
327,0.720307,0.808243
328,0.735512,0.820614
329,0.724306,0.81026
330,0.737442,0.821767
331,0.720832,0.807042
332,0.728278,0.813228
333,0.718966,0.806098
334,0.704991,0.799736
335,0.701501,0.800096
336,0.714989,0.816883
337,0.725116,0.830171
338,0.730935,0.838983
339,0.738012,0.847466
340,0.738301,0.848509
341,0.738205,0.850269
342,0.741392,0.854218
343,0.740753,0.85448
344,0.744921,0.857335
345,0.74528,0.858925
346,0.74867,0.861596
347,0.748075,0.862176
348,0.751437,0.86436
349,0.744123,0.861187
350,0.760981,0.872038
351,0.76513,0.875788
352,0.775248,0.884049
353,0.776425,0.88533
354,0.774019,0.884945
355,0.788705,0.892542
356,0.783661,0.889804
357,0.797051,0.896495
358,0.79701,0.893923
359,0.809064,0.900209
360,0.830255,0.9184
361,0.816301,0.909329
362,0.807147,0.904187
363,0.813983,0.90966
364,0.811183,0.90722
365,0.819804,0.912318
366,0.82117,0.911859
367,0.826677,0.914753
368,0.820015,0.911137
369,0.803721,0.908644
370,0.779971,0.893331
371,0.780211,0.889498
372,0.781416,0.890766
373,0.781683,0.890308
374,0.774077,0.882977
375,0.780864,0.888314
376,0.778615,0.884946
377,0.780097,0.884263
378,0.769637,0.873985
379,0.780241,0.883769
380,0.771625,0.877453
381,0.783246,0.886788
382,0.774224,0.87956
383,0.778397,0.882962
384,0.786395,0.889732
385,0.77892,0.884843
386,0.787036,0.891171
387,0.782625,0.887453
388,0.790225,0.894455
389,0.795968,0.902617
390,0.797141,0.908967
391,0.797184,0.922314
392,0.864451,0.951543
393,0.865701,0.952464
394,0.862378,0.950194
395,0.864933,0.952997
396,0.859757,0.950993
397,0.86179,0.953735
398,0.858931,0.952612
399,0.859636,0.954996
400,0.858252,0.955268
401,0.857495,0.954244
402,0.858647,0.956346
403,0.859679,0.957254
404,0.857092,0.956773
405,0.859366,0.96005
406,0.857395,0.959084
407,0.858542,0.960597
408,0.858885,0.960895
409,0.85624,0.959063
410,0.85768,0.959576
411,0.855396,0.956395
412,0.857595,0.956231
413,0.855322,0.954446
414,0.856924,0.955008
415,0.854049,0.953326
416,0.856323,0.954284
417,0.853025,0.952675
418,0.853855,0.953443
419,0.85281,0.953207
420,0.858286,0.959842
421,0.857811,0.956824
422,0.862531,0.961607
423,0.866172,0.965253
424,0.86323,0.96676
425,0.865256,0.968785
426,0.862675,0.967597
427,0.862449,0.968096
428,0.859654,0.966508
429,0.861246,0.967076
430,0.858056,0.965274
431,0.864193,0.965296
432,0.859468,0.962878
433,0.856491,0.957689
434,0.857608,0.959864
435,0.857409,0.960279
436,0.856808,0.958269
437,0.855999,0.957364
438,0.857017,0.958085
439,0.855055,0.956947
440,0.858762,0.958733
441,0.85809,0.958109
442,0.859466,0.959177
443,0.85826,0.95794
444,0.859895,0.959347
445,0.860575,0.959316
446,0.857882,0.958161
447,0.859328,0.959235
448,0.856645,0.957745
449,0.8583,0.958758
450,0.860359,0.960257
451,0.858792,0.958479
452,0.861671,0.96012
453,0.859509,0.959041
454,0.861365,0.960352
455,0.861943,0.960529
456,0.861519,0.960153
457,0.860616,0.958618
458,0.861185,0.95922
459,0.860739,0.958931
460,0.863371,0.959073
461,0.863237,0.957261
462,0.864641,0.959248
463,0.862193,0.958188
464,0.865746,0.960349
465,0.865765,0.960462
466,0.865121,0.960465
467,0.863888,0.959344
468,0.866819,0.961045
469,0.864153,0.95903
470,0.865136,0.959278
471,0.866345,0.960281
472,0.867105,0.959055
473,0.869606,0.960431
