Frame, eSSIM, SSIM
0,0.528433,0.629974
1,0.49263,0.599279
2,0.515166,0.618404
3,0.517177,0.620501
4,0.5176,0.620883
5,0.496824,0.60303
6,0.505974,0.612343
7,0.488056,0.596932
8,0.504904,0.611412
9,0.494141,0.602058
10,0.518371,0.62423
11,0.501983,0.61105
12,0.519769,0.626404
13,0.518245,0.625915
14,0.525716,0.631845
15,0.504534,0.615491
16,0.504534,0.615491
17,0.504534,0.615491
18,0.504534,0.615491
19,0.488054,0.601699
20,0.488367,0.601984
21,0.471894,0.589062
22,0.487248,0.603429
23,0.506697,0.622189
24,0.5069,0.622301
25,0.506994,0.622362
26,0.496231,0.620109
27,0.497201,0.621042
28,0.468786,0.598563
29,0.487955,0.613176
30,0.477245,0.60549
31,0.492989,0.618101
32,0.478857,0.606904
33,0.489563,0.614864
34,0.471695,0.598897
35,0.478177,0.601709
36,0.482699,0.608262
37,0.493163,0.61966
38,0.496599,0.626927
39,0.501218,0.634636
40,0.500148,0.63926
41,0.520009,0.656178
42,0.508471,0.648211
43,0.52406,0.661075
44,0.503957,0.642536
45,0.514968,0.6487
46,0.498971,0.635124
47,0.511344,0.646092
48,0.495749,0.631282
49,0.503308,0.637297
50,0.498812,0.631499
51,0.495871,0.62838
52,0.495425,0.626812
53,0.49464,0.624781
54,0.504922,0.634674
55,0.496545,0.630732
56,0.51995,0.65058
57,0.533369,0.661443
58,0.534989,0.662918
59,0.535706,0.663704
60,0.604684,0.724499
61,0.604684,0.724499
62,0.527805,0.672348
63,0.554176,0.695978
64,0.534381,0.677645
65,0.557147,0.695688
66,0.556793,0.695563
67,0.534133,0.681568
68,0.554417,0.694669
69,0.528055,0.676766
70,0.554166,0.693891
71,0.52615,0.672534
72,0.557836,0.695132
73,0.532554,0.675357
74,0.555761,0.692701
75,0.534906,0.678809
76,0.552862,0.691231
77,0.530307,0.673473
78,0.556927,0.694758
79,0.536646,0.680416
80,0.558739,0.695944
81,0.533387,0.674662
82,0.56334,0.698313
83,0.541168,0.681923
84,0.563682,0.6984
85,0.543341,0.683563
86,0.56209,0.698273
87,0.53921,0.680022
88,0.557842,0.694489
89,0.544436,0.685035
90,0.547411,0.687138
91,0.537155,0.674324
92,0.528228,0.661853
93,0.520229,0.658774
94,0.499088,0.633865
95,0.483076,0.620886
96,0.477844,0.616015
97,0.476014,0.616931
98,0.463415,0.607335
99,0.476219,0.617358
100,0.461704,0.606394
101,0.476789,0.618992
102,0.463026,0.608588
103,0.471369,0.616286
104,0.472616,0.618027
105,0.45988,0.609241
106,0.472756,0.620988
107,0.458653,0.609278
108,0.469741,0.61858
109,0.470407,0.618538
110,0.480493,0.630295
111,0.485607,0.633946
112,0.510551,0.6561
113,0.521536,0.669166
114,0.506723,0.657468
115,0.523633,0.671829
116,0.511305,0.662162
117,0.5248,0.676992
118,0.515057,0.665521
119,0.549339,0.69104
120,0.597561,0.735055
121,0.530283,0.682118
122,0.584968,0.722065
123,0.585089,0.722159
124,0.58517,0.72223
125,0.585224,0.722282
126,0.585257,0.722312
127,0.585491,0.722541
128,0.565961,0.703115
129,0.566628,0.703511
130,0.533406,0.676625
131,0.573354,0.709129
132,0.565665,0.702527
133,0.552819,0.691446
134,0.570525,0.706745
135,0.546707,0.68808
136,0.580237,0.715206
137,0.545612,0.687217
138,0.560243,0.697463
139,0.582255,0.714051
140,0.554026,0.695131
141,0.562006,0.699186
