Frame, eSSIM, SSIM
0,0.934948,0.971716
1,0.933987,0.971645
2,0.935469,0.971635
3,0.934961,0.971564
4,0.933396,0.971512
5,0.934326,0.971515
6,0.934436,0.971527
7,0.934841,0.971516
8,0.934964,0.97146
9,0.934143,0.971428
10,0.934037,0.971425
11,0.933545,0.971385
12,0.928813,0.970706
13,0.921911,0.970351
14,0.925956,0.970855
15,0.92383,0.971046
16,0.932127,0.971834
17,0.928941,0.972125
18,0.919384,0.97205
19,0.925086,0.972036
20,0.922033,0.972302
21,0.928313,0.972468
22,0.931227,0.973223
23,0.930217,0.973276
24,0.935497,0.973888
25,0.934425,0.973727
26,0.93528,0.974138
27,0.939536,0.975388
28,0.940001,0.975857
29,0.940813,0.976188
30,0.9422,0.97656
31,0.943175,0.977237
32,0.944039,0.977793
33,0.942958,0.977684
34,0.943758,0.978002
35,0.943677,0.978186
36,0.945562,0.978718
37,0.940412,0.978347
38,0.942459,0.978745
39,0.942119,0.978751
40,0.944963,0.97922
41,0.94277,0.979215
42,0.944019,0.979499
43,0.943184,0.979474
44,0.944909,0.979809
45,0.944002,0.979934
46,0.944592,0.980224
47,0.944651,0.980267
48,0.946542,0.980611
49,0.9465,0.980837
50,0.948233,0.981264
51,0.947314,0.981275
52,0.948049,0.981671
53,0.947418,0.981203
54,0.944259,0.980781
55,0.944009,0.980576
56,0.945062,0.980535
57,0.943383,0.980511
58,0.943792,0.98043
59,0.946623,0.980841
60,0.94754,0.980956
61,0.946993,0.980834
62,0.944519,0.980603
63,0.944544,0.980548
64,0.945982,0.980481
65,0.946289,0.980497
66,0.9444,0.980413
67,0.943064,0.980417
68,0.943652,0.980412
69,0.9442,0.980465
70,0.942616,0.980391
71,0.944352,0.980425
72,0.944968,0.980409
73,0.945138,0.980411
74,0.94572,0.98062
75,0.945772,0.980694
76,0.945543,0.980769
77,0.945175,0.98083
78,0.944324,0.980728
79,0.945509,0.980798
80,0.945803,0.980801
81,0.94644,0.980419
82,0.944029,0.980316
83,0.943467,0.979899
84,0.941068,0.979652
85,0.939312,0.979529
86,0.934934,0.9796
87,0.930136,0.979581
88,0.925628,0.979451
89,0.92148,0.979432
90,0.919484,0.979713
91,0.91979,0.979793
92,0.920082,0.979935
93,0.919524,0.979947
94,0.920381,0.980103
95,0.920947,0.980244
96,0.92084,0.980324
97,0.920271,0.980339
98,0.920517,0.980473
99,0.919656,0.980671
100,0.921157,0.980878
101,0.921556,0.98103
102,0.921756,0.981191
103,0.922121,0.98184
104,0.922201,0.982184
105,0.922177,0.982228
106,0.922206,0.982276
107,0.922213,0.982287
108,0.9223,0.982373
109,0.922158,0.982488
110,0.922278,0.982584
111,0.922243,0.982597
112,0.922361,0.982743
113,0.922233,0.982606
114,0.922176,0.982535
115,0.922171,0.982487
116,0.92205,0.982489
117,0.922269,0.982538
118,0.922177,0.982398
119,0.92173,0.982245
120,0.947797,0.982078
121,0.947097,0.981905
122,0.946323,0.981694
123,0.945229,0.981566
124,0.946796,0.981599
125,0.947138,0.98174
126,0.946594,0.981604
127,0.946487,0.981623
128,0.94565,0.981498
129,0.945199,0.981427
130,0.946889,0.981828
131,0.945868,0.981663
132,0.945275,0.981724
133,0.946268,0.981723
134,0.944651,0.981827
135,0.944884,0.981818
136,0.946,0.981844
137,0.943868,0.981753
138,0.943903,0.981829
139,0.945489,0.981771
140,0.945984,0.981801
141,0.941591,0.981258
142,0.941664,0.981315
143,0.939375,0.981222
144,0.939405,0.981222
145,0.939247,0.981162
146,0.939289,0.98118
147,0.939895,0.981255
148,0.940634,0.98132
149,0.9408,0.981361
150,0.940972,0.981422
151,0.940342,0.981426
152,0.939908,0.981465
153,0.939954,0.981483
154,0.940062,0.98147
155,0.938904,0.980813
156,0.932737,0.979246
157,0.93598,0.979033
158,0.940157,0.98035
159,0.938941,0.979807
160,0.9374,0.979776
161,0.937904,0.979782
162,0.938996,0.980087
163,0.938482,0.979885
164,0.938993,0.980118
165,0.939265,0.980017
166,0.940118,0.980271
167,0.939986,0.980527
168,0.940291,0.98065
169,0.94015,0.980709
170,0.940027,0.980723
171,0.939489,0.980415
172,0.939202,0.980171
173,0.942755,0.980509
174,0.942217,0.980479
175,0.941783,0.980458
176,0.941724,0.980445
177,0.941535,0.980493
178,0.941005,0.980518
179,0.939872,0.980262
180,0.939605,0.977661
181,0.939349,0.977959
182,0.914472,0.977511
183,0.914065,0.977773
184,0.913652,0.977971
185,0.913614,0.97815
186,0.912936,0.977974
187,0.909825,0.977066
188,0.907795,0.976355
189,0.906959,0.97583
190,0.91044,0.976887
191,0.912878,0.977207
192,0.909197,0.976308
193,0.907591,0.975794
194,0.911073,0.976023
195,0.906162,0.974607
196,0.908922,0.974814
197,0.90778,0.9743
198,0.910415,0.974913
199,0.911052,0.975059
200,0.911706,0.975148
201,0.857135,0.967793
202,0.921218,0.97446
203,0.921561,0.974206
204,0.929957,0.975421
205,0.921221,0.974283
206,0.929936,0.975218
207,0.925984,0.97483
208,0.935821,0.97644
209,0.931599,0.975648
210,0.933156,0.976107
211,0.931599,0.97576
212,0.938124,0.976807
213,0.933365,0.975896
214,0.932652,0.976229
215,0.933085,0.976014
216,0.939047,0.976947
217,0.933733,0.976184
218,0.936195,0.976482
219,0.9343,0.976223
220,0.940162,0.977185
221,0.936793,0.976769
222,0.937619,0.977068
223,0.939141,0.977343
224,0.94029,0.977916
225,0.939184,0.977939
226,0.939891,0.978021
227,0.940693,0.978276
228,0.942534,0.97865
229,0.9421,0.978843
230,0.943606,0.97921
231,0.941203,0.978952
232,0.944767,0.979765
233,0.938391,0.978474
234,0.940724,0.978647
235,0.939125,0.978298
236,0.941199,0.978499
237,0.937087,0.977702
238,0.937966,0.977629
239,0.934242,0.977117
240,0.940076,0.977123
241,0.937951,0.976773
242,0.935156,0.976687
243,0.922548,0.97536
244,0.906883,0.974435
245,0.889238,0.974427
246,0.936986,0.979092
247,0.937134,0.979147
248,0.937405,0.979217
249,0.937397,0.979217
250,0.937618,0.979276
251,0.937408,0.979325
252,0.937444,0.979409
253,0.93737,0.979411
254,0.937733,0.979505
255,0.938047,0.979745
256,0.9377,0.97968
257,0.937851,0.979742
258,0.937911,0.979736
259,0.940818,0.978983
260,0.940933,0.978961
261,0.93768,0.977982
262,0.939528,0.978339
263,0.93719,0.977858
264,0.93868,0.97835
265,0.936097,0.977381
266,0.906037,0.972999
267,0.895684,0.971688
268,0.932167,0.977549
269,0.927001,0.977597
270,0.934841,0.978369
271,0.933683,0.978105
272,0.934049,0.977976
273,0.930288,0.977575
274,0.932314,0.977125
275,0.932913,0.977017
276,0.930101,0.977329
277,0.924857,0.97693
278,0.928976,0.977202
279,0.928963,0.97708
280,0.933667,0.97739
281,0.928662,0.976797
282,0.928954,0.9769
283,0.930664,0.976754
284,0.933374,0.977196
285,0.929591,0.976626
286,0.933039,0.977035
287,0.930467,0.976825
288,0.933684,0.977097
289,0.93069,0.976834
