Frame, eSSIM, SSIM
0,0.793833,0.902162
1,0.792667,0.902037
2,0.793312,0.902043
3,0.792881,0.901921
4,0.792515,0.90181
5,0.792931,0.901916
6,0.792576,0.901958
7,0.793461,0.902053
8,0.793048,0.901932
9,0.792882,0.902018
10,0.792931,0.902037
11,0.79227,0.901898
12,0.780472,0.900076
13,0.765803,0.898262
14,0.77199,0.899413
15,0.771947,0.899782
16,0.789482,0.902271
17,0.789573,0.903393
18,0.792357,0.904514
19,0.78169,0.902623
20,0.788134,0.903816
21,0.785284,0.903492
22,0.797942,0.906317
23,0.786827,0.904482
24,0.795646,0.906643
25,0.793629,0.906584
26,0.802614,0.90869
27,0.806092,0.910782
28,0.812582,0.912615
29,0.816505,0.914061
30,0.816384,0.91414
31,0.822723,0.917619
32,0.818647,0.917766
33,0.815569,0.917629
34,0.814749,0.918071
35,0.818616,0.919402
36,0.818952,0.920697
37,0.820926,0.921373
38,0.82664,0.923115
39,0.82966,0.924195
40,0.8336,0.925202
41,0.83413,0.926111
42,0.837269,0.927401
43,0.835972,0.927917
44,0.839914,0.9289
45,0.839309,0.929717
46,0.843155,0.930983
47,0.842821,0.931425
48,0.849952,0.932673
49,0.850546,0.9333
50,0.854251,0.93462
51,0.85477,0.935141
52,0.861362,0.936797
53,0.859292,0.936128
54,0.85706,0.935447
55,0.854196,0.934771
56,0.850867,0.934134
57,0.849843,0.933849
58,0.848965,0.933517
59,0.853178,0.934281
60,0.862609,0.935382
61,0.862173,0.935256
62,0.86046,0.93502
63,0.859655,0.934834
64,0.858953,0.934639
65,0.858518,0.93445
66,0.858206,0.934505
67,0.857666,0.934533
68,0.857429,0.934522
69,0.857465,0.93433
70,0.858287,0.934557
71,0.859723,0.934787
72,0.860105,0.934825
73,0.860678,0.934788
74,0.862032,0.935467
75,0.862306,0.935725
76,0.863283,0.936164
77,0.864139,0.936434
78,0.863089,0.936407
79,0.863482,0.93654
80,0.864151,0.936524
81,0.862709,0.935387
82,0.862103,0.935066
83,0.861013,0.9343
84,0.855033,0.933302
85,0.850461,0.932603
86,0.85488,0.933227
87,0.854984,0.933271
88,0.85242,0.933082
89,0.849607,0.932821
90,0.85222,0.933992
91,0.853529,0.934598
92,0.854436,0.935084
93,0.854776,0.935298
94,0.855343,0.935302
95,0.85674,0.935793
96,0.857637,0.936175
97,0.857962,0.936361
98,0.857851,0.936443
99,0.859695,0.93731
100,0.861069,0.938009
101,0.863026,0.938604
102,0.863685,0.938904
103,0.863821,0.939734
104,0.866107,0.941125
105,0.868148,0.942257
106,0.869478,0.943183
107,0.871175,0.943864
108,0.871807,0.94429
109,0.873384,0.94513
110,0.875056,0.945826
111,0.875793,0.946218
112,0.876569,0.946594
113,0.875968,0.946366
114,0.875043,0.946122
115,0.874405,0.945918
116,0.874201,0.945741
117,0.875044,0.945972
118,0.874365,0.945791
119,0.873362,0.94557
120,0.858113,0.933864
121,0.857148,0.933722
122,0.855605,0.933561
123,0.852718,0.933203
124,0.857106,0.933605
125,0.854877,0.933245
126,0.850817,0.932869
127,0.851022,0.932816
128,0.852057,0.932723
129,0.852793,0.932584
130,0.860794,0.935426
131,0.860866,0.935509
132,0.861651,0.935854
133,0.862913,0.936081
134,0.864053,0.936293
135,0.863943,0.936518
136,0.864225,0.936718
137,0.864501,0.936887
138,0.865642,0.937094
139,0.864874,0.937037
140,0.862375,0.936934
141,0.859484,0.935754
142,0.858757,0.935702
