Frame, eSSIM, SSIM
0,0.826506,0.918325
1,0.824649,0.918198
2,0.826319,0.918217
3,0.825605,0.918051
4,0.825,0.917937
5,0.825663,0.918087
6,0.825256,0.918145
7,0.825499,0.918179
8,0.825303,0.918073
9,0.824722,0.918077
10,0.824545,0.918019
11,0.824966,0.918071
12,0.815676,0.916689
13,0.803114,0.914893
14,0.808649,0.915699
15,0.800988,0.915169
16,0.813991,0.916349
17,0.813636,0.916606
18,0.812258,0.917391
19,0.807287,0.916929
20,0.813594,0.918124
21,0.813012,0.918317
22,0.826079,0.921223
23,0.826759,0.922522
24,0.830657,0.924504
25,0.832826,0.925696
26,0.838508,0.927776
27,0.843743,0.929856
28,0.849631,0.931774
29,0.852377,0.932806
30,0.852727,0.933077
31,0.857587,0.935549
32,0.86289,0.937482
33,0.862357,0.937668
34,0.862963,0.938507
35,0.864981,0.939421
36,0.864711,0.940365
37,0.867266,0.941337
38,0.871671,0.94291
39,0.874368,0.943898
40,0.877772,0.944917
41,0.876787,0.94545
42,0.879953,0.946473
43,0.879501,0.946812
44,0.881918,0.947514
45,0.881913,0.948316
46,0.884454,0.949291
47,0.886855,0.94995
48,0.89007,0.950707
49,0.890814,0.951353
50,0.894779,0.952446
51,0.894286,0.952797
52,0.899509,0.95395
53,0.896317,0.953211
54,0.893097,0.952508
55,0.890754,0.951938
56,0.888275,0.95142
57,0.885209,0.950978
58,0.889694,0.951687
59,0.892603,0.951791
60,0.882729,0.944882
61,0.883327,0.945098
62,0.881992,0.944868
63,0.880798,0.944664
64,0.881359,0.944583
65,0.881089,0.944449
66,0.879937,0.944447
67,0.879766,0.944496
68,0.87991,0.944474
69,0.880273,0.944339
70,0.880265,0.94442
71,0.880581,0.944481
72,0.880645,0.94442
73,0.880728,0.944323
74,0.880803,0.944642
75,0.882505,0.94524
76,0.883472,0.945779
77,0.883525,0.946214
78,0.883264,0.946939
79,0.885551,0.947702
80,0.886764,0.948108
81,0.886231,0.94749
82,0.886651,0.947916
83,0.886567,0.947497
84,0.885155,0.947313
85,0.88309,0.946991
86,0.883444,0.948036
87,0.882498,0.948485
88,0.880775,0.948644
89,0.879226,0.948685
90,0.884477,0.951032
91,0.886035,0.951696
92,0.887307,0.952321
93,0.887462,0.95264
94,0.888466,0.952861
95,0.889942,0.953579
96,0.890419,0.954133
97,0.891042,0.954485
98,0.891702,0.954777
99,0.892587,0.955616
100,0.894492,0.956341
101,0.895992,0.956898
102,0.897005,0.957289
103,0.901175,0.959699
104,0.903589,0.961108
105,0.904103,0.961647
106,0.904886,0.962144
107,0.90534,0.962443
108,0.905765,0.962708
109,0.906247,0.963146
110,0.907084,0.963569
111,0.907297,0.963764
112,0.907584,0.963973
113,0.906876,0.963706
114,0.905732,0.963453
115,0.904912,0.963243
116,0.904992,0.963119
117,0.905658,0.963196
118,0.904637,0.962986
119,0.903356,0.962741
120,0.881602,0.945691
121,0.880714,0.945544
122,0.877547,0.945109
123,0.87461,0.944714
124,0.878315,0.944899
125,0.879842,0.945561
126,0.878841,0.945603
127,0.879524,0.945826
128,0.879789,0.945912
129,0.880548,0.945949
130,0.882464,0.94657
131,0.880904,0.946347
132,0.880908,0.946399
133,0.881465,0.946402
134,0.881314,0.94636
135,0.88047,0.94633
136,0.880979,0.946418
137,0.880927,0.946435
138,0.881639,0.946509
139,0.882863,0.947004
140,0.884465,0.947525
141,0.883373,0.947186
142,0.884626,0.947503
143,0.883264,0.947842
144,0.8844,0.948225
145,0.884553,0.948433
146,0.885581,0.948663
147,0.886213,0.949136
148,0.886822,0.949539
149,0.887771,0.949785
150,0.88892,0.950016
151,0.889689,0.950663
152,0.890992,0.95125
153,0.891486,0.951561
154,0.892174,0.951561
155,0.888194,0.949975
156,0.875233,0.946677
157,0.877476,0.946983
158,0.894819,0.950301
159,0.889829,0.948654
160,0.890667,0.948955
161,0.890453,0.948874
162,0.892432,0.949471
163,0.889906,0.94881
164,0.890233,0.948858
165,0.891793,0.949046
166,0.894154,0.94969
167,0.894488,0.950237
168,0.895168,0.95041
169,0.894868,0.950432
170,0.89539,0.950545
171,0.893893,0.950091
172,0.89235,0.949688
173,0.892351,0.949876
174,0.892999,0.949974
175,0.894266,0.950444
176,0.895839,0.951066
177,0.897628,0.951865
178,0.898756,0.952586
179,0.898773,0.952825
180,0.883128,0.94409
181,0.883684,0.944481
182,0.872667,0.943947
183,0.872478,0.943981
184,0.872232,0.943993
185,0.872262,0.944095
186,0.864731,0.942786
187,0.861819,0.941524
188,0.856767,0.940042
189,0.858565,0.939755
190,0.852288,0.939874
191,0.860306,0.940628
192,0.845886,0.937974
193,0.843996,0.93679
194,0.830667,0.934299
195,0.834089,0.934384
196,0.83299,0.933626
197,0.84177,0.934761
198,0.841661,0.934661
199,0.840965,0.934461
200,0.84148,0.934556
201,0.780209,0.924976
202,0.821212,0.932406
203,0.812657,0.931022
204,0.837053,0.934543
205,0.810035,0.930615
206,0.829767,0.932983
207,0.812648,0.931046
208,0.841418,0.934779
209,0.812713,0.931485
210,0.833405,0.934192
211,0.820606,0.932306
212,0.850616,0.936733
213,0.832056,0.933896
214,0.845995,0.936718
215,0.840116,0.935498
216,0.865173,0.939922
217,0.856553,0.938455
218,0.862803,0.940092
219,0.866302,0.940803
220,0.873276,0.942611
221,0.872799,0.942691
222,0.873544,0.943277
223,0.878214,0.944453
224,0.881754,0.945626
225,0.883079,0.946322
226,0.884838,0.947
227,0.886614,0.947631
228,0.887906,0.948205
229,0.886606,0.948362
230,0.892495,0.950426
231,0.888199,0.949834
232,0.895615,0.951685
233,0.865804,0.946474
234,0.870465,0.947161
235,0.869112,0.946428
236,0.871656,0.947121
237,0.85497,0.943631
238,0.854849,0.94299
239,0.840641,0.940873
240,0.82411,0.921631
241,0.826877,0.922903
242,0.830054,0.924714
243,0.802388,0.921242
244,0.796016,0.921893
245,0.794542,0.923769
246,0.854348,0.932459
247,0.854835,0.932759
248,0.854955,0.932985
249,0.855147,0.933102
250,0.855819,0.933234
251,0.855853,0.933398
252,0.856064,0.933565
253,0.856292,0.933583
254,0.856569,0.933606
255,0.858609,0.934739
256,0.859881,0.935457
257,0.861638,0.936182
258,0.862403,0.936528
259,0.861894,0.93428
260,0.864822,0.935489
261,0.860073,0.933666
262,0.86133,0.934196
263,0.86032,0.933844
264,0.86288,0.934717
265,0.85943,0.933581
266,0.81476,0.92699
267,0.799146,0.92452
268,0.850321,0.934737
269,0.857684,0.93659
270,0.863981,0.937425
271,0.863431,0.937089
272,0.864379,0.936888
273,0.862346,0.93697
274,0.861679,0.93654
275,0.859972,0.935756
276,0.857818,0.935627
277,0.856364,0.935696
278,0.853151,0.934976
279,0.851599,0.93456
280,0.859554,0.935213
281,0.850116,0.933891
282,0.852033,0.934222
283,0.853084,0.934126
284,0.860234,0.93516
285,0.857956,0.935284
286,0.862111,0.936595
287,0.860377,0.936672
288,0.8642,0.937307
289,0.859693,0.937765
290,0.865839,0.939515
291,0.863841,0.939642
292,0.86986,0.940946
293,0.86173,0.93965
294,0.861398,0.939512
295,0.863117,0.93957
296,0.865364,0.939677
297,0.862396,0.938929
298,0.859259,0.938224
299,0.856354,0.937628
300,0.873195,0.941561
301,0.872639,0.941622
302,0.872915,0.941735
303,0.873215,0.942006
304,0.871839,0.941813
305,0.871257,0.941741
306,0.871709,0.941783
307,0.872293,0.941782
308,0.870366,0.941421
309,0.861488,0.940158
310,0.860813,0.940094
311,0.861388,0.9401
312,0.855213,0.938762
313,0.852077,0.938464
314,0.85295,0.938447
315,0.857698,0.938691
316,0.855899,0.939317
317,0.854269,0.939567
318,0.854395,0.939908
