Frame, eSSIM, SSIM
0,0.92247,0.962154
1,0.921512,0.962081
2,0.921294,0.962009
3,0.921505,0.961918
4,0.920284,0.961754
5,0.919485,0.961701
6,0.920185,0.961702
7,0.920118,0.961627
8,0.919993,0.961475
9,0.918579,0.961353
10,0.917755,0.961187
11,0.916374,0.961038
12,0.90926,0.959943
13,0.878931,0.957413
14,0.877262,0.957063
15,0.874751,0.956234
16,0.878356,0.956697
17,0.892644,0.957414
18,0.894336,0.957606
19,0.886176,0.956249
20,0.892422,0.957045
21,0.887324,0.956258
22,0.90372,0.958121
23,0.910616,0.959744
24,0.904941,0.959351
25,0.910447,0.960539
26,0.908486,0.960573
27,0.91965,0.962618
28,0.920685,0.963331
29,0.922619,0.96419
30,0.923739,0.964614
31,0.924692,0.964868
32,0.923785,0.964994
33,0.925239,0.965484
34,0.924659,0.965687
35,0.9242,0.96595
36,0.924591,0.967049
37,0.92745,0.967914
38,0.927795,0.968343
39,0.933657,0.969404
40,0.931068,0.969544
41,0.932793,0.970236
42,0.933803,0.970472
43,0.936301,0.971116
44,0.935727,0.971376
45,0.938489,0.972036
46,0.936994,0.972139
47,0.941126,0.972749
48,0.939664,0.972957
49,0.942035,0.973358
50,0.943735,0.973719
51,0.94717,0.974414
52,0.936405,0.973296
53,0.937176,0.973134
54,0.938703,0.972926
55,0.937091,0.972589
56,0.94203,0.973178
57,0.940985,0.97307
58,0.940716,0.97302
59,0.941013,0.973005
60,0.937267,0.969169
61,0.935274,0.968804
62,0.937499,0.969406
63,0.938588,0.969853
64,0.937321,0.969817
65,0.938001,0.969931
66,0.938345,0.969978
67,0.939212,0.969982
68,0.93921,0.970079
69,0.94001,0.970206
70,0.94,0.970221
71,0.940591,0.970224
72,0.940181,0.970217
73,0.939804,0.970254
74,0.939278,0.970233
75,0.940339,0.970241
76,0.939331,0.970491
77,0.940664,0.970738
78,0.940018,0.970776
79,0.942018,0.970951
80,0.942235,0.971267
81,0.942347,0.970996
82,0.941258,0.971101
83,0.939415,0.970465
84,0.94085,0.971171
85,0.942742,0.971681
86,0.944157,0.971971
