Frame, eSSIM, SSIM
0,0.957622,0.978282
1,0.957471,0.978189
2,0.956932,0.9781
3,0.956179,0.977998
4,0.95431,0.977916
5,0.954843,0.977873
6,0.955333,0.977874
7,0.955906,0.977835
8,0.956149,0.977774
9,0.9536,0.977632
10,0.953692,0.977529
11,0.951282,0.977413
12,0.94782,0.976783
13,0.877841,0.973101
14,0.893559,0.973439
15,0.875368,0.972336
16,0.94908,0.976579
17,0.950098,0.976816
18,0.942222,0.976167
19,0.934695,0.97565
20,0.940448,0.975819
21,0.938417,0.975523
22,0.944209,0.97612
23,0.941465,0.975929
24,0.945824,0.976409
25,0.942635,0.976208
26,0.944919,0.976711
27,0.942424,0.976866
28,0.949181,0.977621
29,0.952086,0.977947
30,0.952393,0.978117
31,0.953074,0.978393
32,0.951456,0.978081
33,0.951203,0.978086
34,0.948238,0.977963
35,0.947436,0.977993
36,0.943205,0.977966
37,0.945392,0.978113
38,0.94477,0.978127
39,0.951762,0.978769
40,0.948313,0.978414
41,0.948893,0.978667
42,0.947486,0.978546
43,0.950897,0.978944
44,0.947859,0.978846
45,0.949729,0.979119
46,0.946876,0.979017
47,0.950936,0.979384
48,0.948211,0.979564
49,0.950105,0.979935
50,0.954343,0.980348
51,0.961828,0.981253
52,0.95895,0.981
53,0.960308,0.981137
54,0.961087,0.981226
55,0.96111,0.981301
56,0.960649,0.981152
57,0.959987,0.981028
58,0.960584,0.981223
59,0.962361,0.98153
60,0.970847,0.984263
61,0.969965,0.984169
62,0.969847,0.98416
63,0.969397,0.98414
64,0.965776,0.983977
65,0.968414,0.98404
66,0.968073,0.984021
67,0.969557,0.98403
68,0.967058,0.983999
69,0.96881,0.984066
70,0.969099,0.9841
71,0.970208,0.98416
72,0.969691,0.984147
73,0.969698,0.984197
74,0.970046,0.984226
75,0.970782,0.984268
76,0.968966,0.984289
77,0.970534,0.984333
78,0.969555,0.984267
79,0.970561,0.984351
80,0.970218,0.984372
81,0.969925,0.9842
82,0.967995,0.984308
83,0.969251,0.984027
84,0.969276,0.984271
85,0.969824,0.984496
86,0.970214,0.984597
87,0.971426,0.984739
88,0.969763,0.984773
89,0.969457,0.984878
90,0.971431,0.985094
91,0.972314,0.985299
92,0.971922,0.985405
93,0.972435,0.985511
94,0.972133,0.985524
95,0.973351,0.985691
96,0.973634,0.985872
97,0.973762,0.986031
98,0.973518,0.986099
99,0.974747,0.986293
100,0.975141,0.986469
101,0.975576,0.986625
102,0.975405,0.986697
103,0.976222,0.986858
104,0.97728,0.987425
105,0.976777,0.987489
106,0.977247,0.987588
107,0.976968,0.987601
108,0.977505,0.987708
109,0.976927,0.9878
110,0.977484,0.987911
111,0.977502,0.987956
112,0.978283,0.988126
113,0.978185,0.988143
114,0.978179,0.988184
115,0.97769,0.988182
116,0.978361,0.988295
117,0.978428,0.988336
118,0.978934,0.988418
119,0.979193,0.988471
120,0.975129,0.986313
121,0.974692,0.986375
122,0.97272,0.986314
123,0.972865,0.986304
124,0.975227,0.98652
125,0.973307,0.986411
126,0.974897,0.986481
127,0.974134,0.986447
128,0.975128,0.986547
129,0.969544,0.986351
130,0.974307,0.986444
131,0.971806,0.986403
132,0.974313,0.986562
133,0.975743,0.986856
134,0.974916,0.986722
135,0.974948,0.986736
136,0.974817,0.986716
137,0.975988,0.986822
138,0.974737,0.986766
139,0.975801,0.986836
140,0.975282,0.986842
141,0.975938,0.986941
142,0.975589,0.986916
143,0.97587,0.986959
144,0.975553,0.98697
145,0.976308,0.987044
146,0.975971,0.987034
147,0.9761,0.987084
148,0.975844,0.987082
149,0.976582,0.987137
150,0.975618,0.98715
151,0.976353,0.987199
152,0.976521,0.987206
153,0.976892,0.987281
154,0.969295,0.986509
155,0.971822,0.986245
156,0.946133,0.983228
157,0.970999,0.985486
158,0.958262,0.983907
159,0.968193,0.984735
160,0.968363,0.984779
161,0.969494,0.98511
162,0.968807,0.984999
163,0.968746,0.9851
164,0.969851,0.985048
165,0.972927,0.985552
166,0.972244,0.985556
167,0.97324,0.985732
168,0.973582,0.985797
169,0.974021,0.98587
170,0.975394,0.986245
171,0.973435,0.985919
172,0.974018,0.985909
173,0.974365,0.985929
174,0.974731,0.985985
175,0.975192,0.986122
176,0.975193,0.986187
177,0.974869,0.986135
178,0.975085,0.986364
179,0.975978,0.986426
180,0.972007,0.984417
181,0.971464,0.984288
182,0.970836,0.98415
183,0.970582,0.984046
184,0.970161,0.984032
185,0.970489,0.984079
186,0.966682,0.983646
187,0.965761,0.983397
188,0.964207,0.983013
189,0.963582,0.982873
190,0.930144,0.981386
191,0.957152,0.982427
192,0.94098,0.980926
193,0.947592,0.980895
194,0.923245,0.978333
195,0.925687,0.978319
196,0.92893,0.978129
197,0.942689,0.979343
198,0.952032,0.980031
199,0.952996,0.980126
200,0.955894,0.980333
201,0.941961,0.97966
202,0.948535,0.98088
203,0.908581,0.977582
204,0.949801,0.980771
205,0.946895,0.980341
206,0.958478,0.981865
207,0.951126,0.980841
208,0.95727,0.981583
209,0.952402,0.981212
210,0.960796,0.982188
211,0.954107,0.981426
212,0.957636,0.981758
213,0.955536,0.981455
214,0.961096,0.982287
215,0.954542,0.981309
216,0.958801,0.981818
217,0.953988,0.981173
218,0.961357,0.98223
219,0.956059,0.981355
220,0.959449,0.981953
221,0.957976,0.981834
