Frame, eSSIM, SSIM
0,0.982495,0.989913
1,0.981551,0.989814
2,0.981079,0.98977
3,0.980808,0.989718
4,0.980981,0.989737
5,0.980642,0.989685
6,0.980542,0.98966
7,0.981107,0.989636
8,0.981425,0.989657
9,0.979351,0.989505
10,0.97979,0.989445
11,0.979234,0.98942
12,0.976154,0.989073
13,0.942852,0.987516
14,0.948978,0.987621
15,0.936362,0.987037
16,0.977503,0.98889
17,0.976834,0.989035
18,0.97088,0.988877
19,0.972654,0.988685
20,0.973455,0.988744
21,0.972971,0.988648
22,0.9763,0.988983
23,0.97305,0.988805
24,0.975767,0.988991
25,0.972964,0.988807
26,0.97375,0.989079
27,0.972472,0.98899
28,0.97535,0.989402
29,0.97728,0.989555
30,0.977456,0.989743
31,0.979597,0.989956
32,0.977268,0.989712
33,0.977069,0.989702
34,0.974924,0.989514
35,0.974296,0.989573
36,0.973692,0.989645
37,0.974834,0.98993
38,0.972509,0.989892
39,0.979824,0.990512
40,0.97693,0.9903
41,0.978352,0.990512
42,0.976465,0.990453
43,0.978832,0.990752
44,0.975999,0.990717
45,0.978305,0.990901
46,0.976546,0.990857
47,0.979789,0.991134
48,0.979405,0.991242
49,0.980965,0.99139
50,0.980626,0.991452
51,0.98464,0.991906
52,0.983316,0.991686
53,0.983529,0.991724
54,0.98288,0.991681
55,0.983968,0.991795
56,0.982243,0.991599
57,0.982534,0.991491
58,0.982274,0.991491
59,0.983991,0.991715
60,0.98888,0.993243
61,0.988182,0.993149
62,0.988022,0.993123
63,0.987889,0.993113
64,0.986139,0.992969
65,0.986917,0.992986
66,0.986613,0.992952
67,0.987678,0.993026
68,0.986678,0.992933
69,0.987114,0.992957
70,0.985946,0.992935
71,0.987891,0.993025
72,0.987148,0.992949
73,0.987406,0.992973
74,0.987445,0.992977
75,0.988056,0.993055
76,0.987578,0.993023
77,0.987811,0.993054
78,0.987468,0.993007
79,0.988174,0.993108
80,0.987634,0.993052
81,0.987105,0.992963
82,0.987216,0.99303
83,0.988282,0.993067
84,0.986389,0.993011
85,0.988093,0.993158
86,0.988287,0.99317
87,0.988928,0.993294
88,0.988369,0.993283
89,0.988443,0.993311
90,0.988297,0.99334
91,0.989102,0.993475
92,0.988635,0.993482
93,0.988961,0.993517
94,0.988634,0.993502
95,0.989379,0.993625
96,0.988991,0.993659
97,0.989111,0.993725
98,0.988526,0.993714
99,0.989563,0.993856
100,0.989704,0.993934
101,0.989901,0.994006
102,0.98991,0.994025
103,0.990411,0.994162
104,0.991053,0.994529
105,0.990598,0.994531
106,0.990901,0.994576
107,0.990675,0.994563
108,0.991233,0.994672
109,0.990869,0.994698
110,0.991224,0.994748
111,0.990941,0.994732
112,0.991507,0.994855
113,0.991291,0.994837
114,0.991376,0.994858
115,0.991249,0.994845
116,0.99157,0.994923
117,0.991339,0.994901
118,0.991561,0.994942
119,0.991583,0.994955
120,0.991266,0.994561
121,0.99065,0.994488
122,0.989987,0.994447
123,0.9896,0.994417
124,0.990854,0.994562
125,0.989969,0.99445
126,0.990345,0.99446
127,0.989473,0.994424
128,0.99065,0.994505
129,0.987516,0.994348
130,0.988948,0.994385
131,0.987629,0.994331
132,0.987681,0.994445
133,0.990305,0.994557
134,0.989292,0.994418
135,0.989839,0.994444
136,0.989514,0.99441
137,0.990267,0.994498
138,0.988792,0.994417
139,0.989734,0.99446
140,0.989871,0.994451
141,0.990502,0.994539
142,0.989907,0.99447
143,0.990077,0.994493
144,0.990274,0.994492
145,0.99069,0.994559
146,0.990361,0.994521
147,0.990402,0.994535
148,0.990401,0.994523
149,0.990721,0.994568
150,0.990358,0.994522
151,0.990492,0.994541
152,0.990208,0.994517
153,0.990796,0.994585
154,0.986619,0.994177
155,0.9882,0.994043
156,0.976838,0.992765
157,0.987978,0.993661
158,0.982573,0.992756
159,0.984496,0.993053
160,0.9859,0.993073
161,0.986379,0.993372
162,0.986394,0.993233
163,0.987126,0.993276
164,0.98659,0.993224
165,0.988476,0.993517
166,0.987635,0.993468
167,0.988587,0.99358
168,0.98837,0.99356
169,0.989077,0.993634
170,0.989564,0.993789
171,0.988839,0.993616
172,0.989091,0.993639
173,0.988828,0.993593
174,0.989183,0.993637
175,0.989163,0.993678
176,0.989284,0.993701
177,0.989204,0.993734
178,0.988704,0.993815
179,0.989878,0.993895
180,0.989682,0.993434
181,0.98904,0.993305
182,0.988721,0.993207
183,0.988602,0.993136
184,0.988707,0.993196
185,0.988583,0.993154
186,0.98597,0.992912
187,0.985734,0.992778
188,0.983662,0.992588
189,0.985227,0.992633
190,0.963414,0.991867
191,0.984433,0.992465
192,0.97246,0.991786
193,0.981535,0.992024
194,0.956795,0.990138
