Frame, eSSIM, SSIM
0,0.82345,0.917804
1,0.822247,0.917676
2,0.823077,0.917693
3,0.822388,0.917509
4,0.822059,0.917447
5,0.821238,0.917283
6,0.820721,0.917213
7,0.820433,0.917109
8,0.820075,0.91696
9,0.819311,0.916673
10,0.818559,0.9163
11,0.817386,0.915985
12,0.800522,0.913293
13,0.783017,0.910571
14,0.78091,0.910258
15,0.771243,0.908361
16,0.779462,0.908879
17,0.779754,0.908399
18,0.778961,0.9073
19,0.764275,0.905139
20,0.77432,0.906435
21,0.770894,0.905746
22,0.792725,0.909269
23,0.801892,0.911474
24,0.792973,0.910347
25,0.807158,0.912981
26,0.804663,0.912529
27,0.818464,0.917012
28,0.824647,0.918592
29,0.827346,0.919945
30,0.829352,0.9207
31,0.827735,0.920501
32,0.828482,0.920878
33,0.828209,0.921447
34,0.830116,0.922344
35,0.831588,0.923287
36,0.837401,0.926056
37,0.842476,0.927689
38,0.846743,0.929308
39,0.849803,0.930616
40,0.850429,0.931323
41,0.851276,0.932205
42,0.851999,0.932683
43,0.855708,0.933804
44,0.85721,0.93461
45,0.859796,0.935759
46,0.85865,0.936078
47,0.862969,0.937357
48,0.864194,0.937861
49,0.867548,0.938942
50,0.868909,0.939633
51,0.874023,0.940941
52,0.86241,0.939003
53,0.866062,0.939064
54,0.864739,0.938715
55,0.862649,0.93817
56,0.86699,0.938807
57,0.865713,0.938461
58,0.86737,0.938783
59,0.865874,0.938523
60,0.848718,0.929542
61,0.848084,0.929356
62,0.851164,0.930377
63,0.853467,0.93119
64,0.853564,0.931259
65,0.853882,0.931446
66,0.853648,0.931503
67,0.8547,0.931524
68,0.855203,0.931805
69,0.85585,0.932007
70,0.856418,0.932065
71,0.855995,0.931916
72,0.855424,0.932
73,0.855553,0.932112
74,0.855088,0.932016
75,0.853948,0.931868
76,0.855398,0.932482
77,0.857485,0.93304
78,0.857803,0.933196
79,0.858826,0.933356
80,0.858827,0.933647
81,0.859315,0.933337
82,0.858119,0.932857
83,0.854489,0.931699
84,0.858589,0.933215
85,0.860702,0.93424
86,0.86207,0.93471
87,0.863396,0.935098
88,0.867838,0.936782
89,0.870079,0.93812
90,0.872519,0.939216
91,0.873614,0.939844
92,0.876338,0.940976
93,0.877829,0.94185
94,0.878878,0.942355
95,0.879715,0.942861
96,0.881833,0.943902
97,0.883814,0.944755
98,0.884879,0.945349
99,0.885904,0.945831
100,0.888708,0.947018
101,0.891287,0.948065
102,0.892837,0.94875
103,0.89383,0.949234
104,0.901259,0.952642
105,0.903214,0.953583
106,0.904391,0.95442
107,0.905968,0.954941
108,0.90651,0.955347
109,0.908239,0.956173
110,0.909927,0.956888
111,0.91078,0.957312
112,0.911275,0.957679
113,0.90932,0.957308
114,0.904483,0.956822
115,0.900577,0.956423
116,0.899783,0.956199
117,0.899542,0.956062
118,0.900927,0.956023
119,0.899806,0.955848
120,0.857032,0.933963
121,0.855488,0.933673
122,0.854879,0.93359
123,0.851551,0.933064
124,0.854034,0.933232
125,0.853487,0.933384
126,0.854557,0.933878
127,0.856518,0.934226
128,0.858131,0.934504
129,0.856867,0.934428
130,0.857711,0.934624
131,0.858149,0.93472
132,0.858622,0.934878
133,0.861135,0.935709
134,0.860673,0.935934
135,0.861841,0.936315
136,0.862798,0.936584
137,0.864393,0.936901
138,0.866878,0.937753
139,0.868777,0.938545
140,0.870073,0.939087
141,0.871414,0.939691
142,0.872649,0.940402
143,0.87358,0.941029
144,0.874818,0.941496
145,0.875557,0.941816
146,0.877276,0.942581
147,0.878611,0.943219
148,0.879801,0.943694
149,0.880517,0.944021
150,0.882214,0.94471
151,0.883643,0.945333
152,0.884369,0.945743
153,0.885261,0.946052
154,0.883488,0.945351
155,0.882573,0.944493
156,0.871237,0.940838
157,0.883479,0.943596
158,0.874804,0.94091
159,0.877001,0.941014
160,0.873363,0.940353
161,0.880355,0.941915
162,0.878143,0.941519
163,0.877988,0.94115
164,0.875294,0.940736
165,0.882331,0.942243
166,0.881722,0.942296
167,0.883159,0.942619
168,0.881906,0.942517
169,0.881696,0.942407
170,0.885484,0.94403
171,0.882966,0.943547
172,0.881467,0.943247
173,0.881842,0.943006
174,0.882869,0.943367
175,0.884121,0.943892
176,0.886099,0.944555
177,0.888553,0.945524
178,0.888761,0.945719
179,0.888757,0.945608
180,0.850495,0.927999
181,0.851904,0.928555
182,0.852531,0.928817
183,0.853373,0.929123
184,0.854006,0.929425
185,0.855387,0.929877
186,0.851926,0.929382
187,0.840256,0.927271
188,0.834092,0.925908
189,0.828197,0.924692
190,0.842819,0.92733
191,0.843723,0.927476
192,0.832017,0.925488
193,0.829355,0.924007
194,0.832575,0.923946
195,0.827365,0.92285
196,0.82187,0.921809
197,0.820511,0.921219
198,0.821252,0.921204
199,0.825659,0.921571
200,0.827705,0.922074
201,0.808336,0.920522
202,0.769287,0.915189
203,0.792189,0.919029
204,0.776888,0.917026
205,0.818996,0.923137
206,0.773292,0.916719
207,0.798622,0.919993
208,0.785277,0.917805
209,0.824858,0.923929
210,0.784431,0.918133
211,0.807969,0.921575
212,0.792822,0.918719
213,0.83108,0.924741
214,0.800007,0.920048
215,0.814715,0.923341
216,0.82282,0.923536
217,0.841603,0.928005
218,0.834601,0.926355
219,0.835801,0.927647
220,0.845442,0.929254
221,0.853067,0.931525
222,0.854184,0.931749
223,0.855248,0.932371
224,0.858879,0.93362
225,0.861329,0.934709
226,0.863086,0.935468
227,0.864979,0.936244
228,0.866751,0.936924
229,0.867818,0.937443
230,0.866378,0.937472
231,0.871671,0.939089
232,0.867227,0.93818
233,0.875641,0.940559
234,0.830923,0.932984
235,0.860682,0.937064
236,0.836509,0.933208
237,0.857011,0.935817
238,0.824849,0.93053
239,0.849414,0.933914
240,0.788503,0.906863
241,0.791777,0.908538
242,0.797269,0.910498
243,0.765463,0.905767
244,0.764134,0.906508
245,0.778064,0.911295
246,0.828418,0.919899
247,0.829723,0.920344
248,0.830455,0.920686
249,0.830866,0.920901
250,0.831707,0.921126
251,0.832135,0.921374
252,0.83235,0.92157
253,0.832677,0.921643
254,0.832782,0.921633
255,0.833456,0.921871
