Frame, eSSIM, SSIM
0,0.860031,0.935009
1,0.857645,0.934877
2,0.859608,0.934906
3,0.859,0.934759
4,0.857599,0.934587
5,0.857128,0.934502
6,0.856297,0.93441
7,0.856797,0.934365
8,0.856397,0.934199
9,0.855857,0.934003
10,0.855498,0.933732
11,0.853888,0.933428
12,0.839732,0.931373
13,0.801186,0.927239
14,0.804794,0.927389
15,0.790931,0.92574
16,0.837538,0.930669
17,0.842005,0.931371
18,0.840006,0.931223
19,0.825004,0.928472
20,0.833971,0.929583
21,0.817369,0.927086
22,0.837882,0.930054
23,0.824589,0.927693
24,0.834453,0.930002
25,0.835041,0.930238
26,0.845399,0.932054
27,0.846792,0.933184
28,0.854595,0.934546
29,0.858618,0.935275
30,0.857158,0.935031
31,0.858202,0.935792
32,0.854799,0.93503
33,0.850234,0.934567
34,0.849985,0.934601
35,0.848766,0.93485
36,0.850406,0.935675
37,0.849726,0.935288
38,0.853264,0.936099
39,0.855726,0.936747
40,0.854466,0.93681
41,0.854586,0.937067
42,0.85042,0.936809
43,0.858275,0.937874
44,0.853968,0.93762
45,0.856646,0.93822
46,0.852334,0.937935
47,0.860785,0.938982
48,0.861279,0.939684
49,0.864969,0.940529
50,0.870045,0.941625
51,0.876198,0.94296
52,0.874857,0.942648
53,0.877179,0.943095
54,0.878167,0.943312
55,0.878087,0.943337
56,0.877966,0.943263
57,0.877993,0.943255
58,0.879208,0.944153
59,0.881651,0.945186
60,0.891034,0.948843
61,0.891521,0.948988
62,0.890457,0.94879
63,0.88944,0.948609
64,0.888659,0.948509
65,0.888339,0.94851
66,0.887666,0.948396
67,0.887118,0.948178
68,0.888842,0.948432
69,0.890444,0.948599
70,0.890922,0.948632
71,0.890443,0.948481
72,0.889635,0.948574
73,0.889896,0.948711
74,0.890201,0.94873
75,0.890909,0.948701
76,0.890116,0.94894
77,0.8915,0.949196
78,0.891155,0.949177
79,0.892897,0.949229
80,0.892249,0.94952
81,0.892845,0.949302
82,0.89305,0.949308
83,0.891879,0.948385
84,0.893342,0.949335
85,0.89577,0.950082
86,0.896064,0.950416
87,0.897203,0.950688
88,0.898027,0.951289
89,0.898618,0.951801
90,0.900814,0.952408
91,0.901566,0.952762
92,0.903092,0.953393
93,0.904033,0.953888
94,0.904525,0.954101
95,0.90524,0.954399
96,0.905319,0.954712
97,0.905819,0.954988
98,0.905935,0.95512
