Frame, eSSIM, SSIM
0,0.724424,0.869889
1,0.723898,0.86995
2,0.724171,0.870007
3,0.723454,0.869949
4,0.72418,0.870063
5,0.725309,0.870695
6,0.725421,0.870955
7,0.726251,0.871354
8,0.726232,0.871394
9,0.726146,0.871386
10,0.727432,0.872945
11,0.727248,0.873127
12,0.719173,0.871275
13,0.713974,0.87039
14,0.714653,0.871752
15,0.715819,0.87337
16,0.71192,0.872976
17,0.710459,0.872556
18,0.70136,0.871261
19,0.715137,0.873666
20,0.703536,0.872755
21,0.723899,0.877023
22,0.707899,0.874921
23,0.738911,0.881486
24,0.74918,0.886511
25,0.756231,0.888955
26,0.755493,0.888846
27,0.758043,0.890536
28,0.763801,0.892114
29,0.763733,0.892181
30,0.766582,0.893671
31,0.769347,0.895679
32,0.773882,0.897994
33,0.772211,0.897279
34,0.771858,0.897393
35,0.773982,0.898372
36,0.775039,0.899479
37,0.772446,0.898901
38,0.775306,0.899823
39,0.776548,0.900333
40,0.779032,0.900893
41,0.781419,0.902567
42,0.784943,0.904747
43,0.787929,0.907009
44,0.79203,0.909313
45,0.795541,0.911378
46,0.794783,0.911782
47,0.796368,0.912734
48,0.797386,0.913025
49,0.801181,0.913821
50,0.802273,0.914645
51,0.802967,0.915326
52,0.804344,0.915975
53,0.805107,0.91616
54,0.802681,0.91532
55,0.800124,0.914582
56,0.799842,0.914242
57,0.799007,0.913891
58,0.797636,0.913513
59,0.798293,0.913473
60,0.78674,0.904291
61,0.785603,0.903997
62,0.785008,0.903753
63,0.785382,0.903842
64,0.784784,0.903652
65,0.784301,0.903509
66,0.783786,0.903335
67,0.782963,0.902988
68,0.784154,0.903462
69,0.784282,0.903509
70,0.78469,0.903639
71,0.784636,0.903685
72,0.784795,0.903745
73,0.784151,0.903654
74,0.783877,0.903607
75,0.783963,0.903533
76,0.784063,0.903442
77,0.784637,0.903844
78,0.784973,0.904154
79,0.78568,0.904878
80,0.785688,0.905683
81,0.784402,0.904927
82,0.78375,0.904611
83,0.77947,0.90262
84,0.776585,0.901097
85,0.778438,0.902655
86,0.780281,0.90398
87,0.778889,0.904389
88,0.778086,0.904584
89,0.774846,0.905043
90,0.778015,0.906758
91,0.780138,0.908088
92,0.781263,0.908814
93,0.781335,0.9095
94,0.785277,0.912349
95,0.786398,0.913163
96,0.787731,0.913772
97,0.7884,0.914186
98,0.788762,0.914434
99,0.791788,0.916169
100,0.792354,0.916718
101,0.793651,0.917289
102,0.79414,0.917541
103,0.794461,0.917693
104,0.794893,0.917835
105,0.794655,0.917713
106,0.79571,0.918336
107,0.797804,0.919266
108,0.799289,0.920251
109,0.799418,0.920248
110,0.800875,0.921231
111,0.800024,0.920883
112,0.799142,0.920533
113,0.798383,0.920203
114,0.797736,0.919935
115,0.797043,0.919711
116,0.796591,0.919634
117,0.796972,0.919674
118,0.797634,0.919796
119,0.797921,0.919846
120,0.800892,0.913284
121,0.800858,0.913386
122,0.799143,0.913168
123,0.799788,0.913249
124,0.799924,0.913341
125,0.800294,0.913461
126,0.799016,0.913256
127,0.798819,0.913193
128,0.798923,0.913053
129,0.798339,0.912821
130,0.798073,0.912829
131,0.796273,0.9124
132,0.795966,0.912289
133,0.796831,0.912321
134,0.797049,0.912222
135,0.79637,0.912439
136,0.793971,0.912305
137,0.791915,0.912225
138,0.793286,0.9123
139,0.796265,0.912731
140,0.795761,0.912904
141,0.790516,0.91064
142,0.791479,0.910907
143,0.791802,0.911028
144,0.791738,0.911358
145,0.791165,0.911478
146,0.7917,0.911578
147,0.792141,0.911642
148,0.793055,0.912875
149,0.793542,0.913394
150,0.794374,0.913811
151,0.795593,0.9141
152,0.79607,0.914234
153,0.798589,0.915873
154,0.79748,0.915061
155,0.795355,0.913166
156,0.777215,0.906082
157,0.787723,0.90803
158,0.77999,0.905736
159,0.788425,0.907212
160,0.786965,0.907395
161,0.793031,0.909663
162,0.790607,0.909047
163,0.790137,0.908773
164,0.788242,0.908254
165,0.793639,0.90969
166,0.788344,0.908621
167,0.78516,0.907764
168,0.786034,0.907504
169,0.7876,0.907529
170,0.786541,0.907235
171,0.785141,0.906805
172,0.783239,0.906316
173,0.785931,0.907536
174,0.785503,0.907592
175,0.786168,0.907598
176,0.786232,0.907521
177,0.78881,0.90879
178,0.789489,0.908852
179,0.789364,0.908882
180,0.734761,0.870612
181,0.736881,0.871964
182,0.73598,0.872433
183,0.73704,0.873111
184,0.737548,0.873444
185,0.737651,0.873551
186,0.73513,0.872544
187,0.729062,0.870512
188,0.724756,0.869249
189,0.720528,0.868019
190,0.723301,0.869906
191,0.729549,0.871426
192,0.725325,0.869332
193,0.716418,0.866855
194,0.713248,0.865857
195,0.709418,0.864455
196,0.715667,0.865465
197,0.71164,0.865376
198,0.717554,0.867399
199,0.718831,0.868245
200,0.719203,0.869077
201,0.695671,0.867775
202,0.716867,0.874955
203,0.724952,0.877316
204,0.712989,0.875418
205,0.722397,0.87785
206,0.709554,0.875836
207,0.729564,0.88008
208,0.722991,0.879239
209,0.734092,0.882216
210,0.723541,0.88035
211,0.745455,0.885604
212,0.734673,0.883534
213,0.74785,0.887102
214,0.74649,0.886874
215,0.756159,0.889774
216,0.750438,0.888541
217,0.75045,0.889283
218,0.75523,0.890569
219,0.760844,0.892442
220,0.76095,0.892895
221,0.761931,0.893537
222,0.764332,0.894453
223,0.766737,0.895342
224,0.772194,0.898521
225,0.774374,0.900489
226,0.777499,0.902296
227,0.780206,0.90407
228,0.782206,0.905615
229,0.781737,0.905943
230,0.787993,0.909078
231,0.788584,0.909549
232,0.793448,0.910847
233,0.782096,0.907716
234,0.782058,0.907597
235,0.746055,0.900846
236,0.774324,0.905643
237,0.761279,0.90172
238,0.761683,0.901348
239,0.753305,0.899225
240,0.731534,0.877209
241,0.724305,0.875273
242,0.727011,0.876435
243,0.723906,0.876458
244,0.730634,0.880289
245,0.723224,0.882383
246,0.762896,0.891414
247,0.763912,0.891975
248,0.764311,0.89219
249,0.764487,0.892438
250,0.764792,0.892669
251,0.764986,0.892788
252,0.765076,0.892795
253,0.766651,0.89373
254,0.767693,0.894274
255,0.768649,0.894785
256,0.768868,0.895133
257,0.769794,0.895686
258,0.770537,0.896057
259,0.755517,0.88728
260,0.758143,0.88793
261,0.751662,0.885646
262,0.751054,0.885177
263,0.75258,0.885464
264,0.754323,0.886249
265,0.752987,0.885899
266,0.728772,0.883999
267,0.742026,0.887073
268,0.744099,0.891561
269,0.765935,0.896589
270,0.773521,0.897389
271,0.771378,0.896871
272,0.771609,0.897127
273,0.770063,0.896534
274,0.769179,0.896026
275,0.770006,0.896428
276,0.760587,0.894189
277,0.76533,0.895126
278,0.75954,0.8938
279,0.762315,0.89424
280,0.758768,0.89379
281,0.758255,0.894133
282,0.760094,0.894412
283,0.766446,0.895712
284,0.760448,0.895226
285,0.767741,0.896947
286,0.768355,0.897273
287,0.772278,0.898114
288,0.767721,0.898271
289,0.772118,0.900026
290,0.77179,0.900568
291,0.777823,0.90211
292,0.774017,0.901138
293,0.772801,0.900958
294,0.77458,0.901183
295,0.776131,0.901289
296,0.775782,0.901274
297,0.775404,0.901177
298,0.775644,0.901257
299,0.776057,0.901322
300,0.77192,0.896844
301,0.772095,0.897189
302,0.771981,0.897264
303,0.771791,0.897316
304,0.771741,0.897439
305,0.771387,0.897304
306,0.771908,0.897404
307,0.77182,0.897456
308,0.771353,0.897161
309,0.769839,0.896678
310,0.769191,0.896589
311,0.770166,0.896685
312,0.766687,0.895482
313,0.764693,0.895011
314,0.765101,0.895112
315,0.765908,0.895221
316,0.767408,0.896821
317,0.767629,0.897298
318,0.766933,0.897559
319,0.76942,0.898547
320,0.766142,0.897489
321,0.768769,0.897835
322,0.767551,0.897575
323,0.770585,0.898415
324,0.773879,0.900779
325,0.776229,0.902009
326,0.778847,0.903186
327,0.775928,0.902947
328,0.777933,0.903725
329,0.778265,0.904105
330,0.779073,0.904191
331,0.782557,0.906117
332,0.784917,0.907492
333,0.785908,0.908316
334,0.786554,0.908783
335,0.788242,0.909799
336,0.789741,0.910769
337,0.791709,0.911954
338,0.793621,0.913093
339,0.795179,0.91447
340,0.797164,0.915775
341,0.798355,0.91643
342,0.799739,0.916965
343,0.800012,0.917266
344,0.800427,0.917368
345,0.801779,0.918462
346,0.803328,0.919442
347,0.802616,0.91965
348,0.804384,0.920091
349,0.804026,0.920379
350,0.805241,0.920852
351,0.804293,0.920739
352,0.805299,0.921053
353,0.797817,0.919747
354,0.801677,0.919895
355,0.79856,0.919049
356,0.798499,0.917309
357,0.798139,0.916811
358,0.795109,0.91579
359,0.788314,0.913838
360,0.770733,0.897224
361,0.764402,0.895507
362,0.765024,0.895558
363,0.765973,0.896241
364,0.765986,0.897228
365,0.75742,0.894724
366,0.757127,0.894084
367,0.758861,0.895037
368,0.757494,0.895999
369,0.73412,0.890794
370,0.731159,0.889307
371,0.748934,0.892418
372,0.734816,0.885781
373,0.749253,0.891495
374,0.755788,0.892467
375,0.746894,0.888651
376,0.750611,0.891184
377,0.758323,0.892939
378,0.751998,0.891963
379,0.756329,0.892605
380,0.757644,0.892645
381,0.762009,0.893417
382,0.764967,0.894309
383,0.766933,0.895512
384,0.770527,0.89725
385,0.766104,0.89652
386,0.769883,0.897684
387,0.772936,0.898451
388,0.775921,0.899279
389,0.776199,0.899652
390,0.775315,0.899869
391,0.777129,0.900287
392,0.779026,0.900863
393,0.779376,0.901275
394,0.779433,0.901749
395,0.780132,0.90205
396,0.78052,0.902341
397,0.781427,0.90366
398,0.785615,0.905884
399,0.788921,0.907984
400,0.790644,0.909743
401,0.792217,0.910562
402,0.792809,0.911228
403,0.794002,0.911796
404,0.794282,0.912075
405,0.797574,0.914381
406,0.800472,0.9168
407,0.804035,0.919185
408,0.80781,0.921341
409,0.809186,0.922223
410,0.81007,0.922875
411,0.810791,0.923324
412,0.811349,0.923609
413,0.811134,0.923475
414,0.810543,0.92326
415,0.810031,0.923063
416,0.809675,0.92292
417,0.810008,0.922918
418,0.809258,0.922614
419,0.808289,0.922229
420,0.765235,0.89239
421,0.768573,0.894432
422,0.77129,0.895976
423,0.7714,0.89613
424,0.771181,0.896217
425,0.771486,0.896315
426,0.77169,0.896374
427,0.771868,0.896475
428,0.771574,0.896477
429,0.77184,0.896548
430,0.772071,0.896581
431,0.774256,0.897884
432,0.775112,0.898282
433,0.776047,0.899194
434,0.775054,0.899229
435,0.774938,0.899418
436,0.776366,0.89966
437,0.776851,0.899782
438,0.778654,0.901264
439,0.781354,0.902746
440,0.784234,0.904168
441,0.785642,0.905423
442,0.786515,0.906066
443,0.787485,0.9069
444,0.787822,0.907523
445,0.789964,0.908638
446,0.791652,0.910128
447,0.791866,0.910805
448,0.794065,0.911809
449,0.794942,0.912585
450,0.795659,0.913366
451,0.797421,0.914192
452,0.798423,0.91478
453,0.798735,0.914904
454,0.799017,0.915024
455,0.799143,0.915132
456,0.799371,0.915312
457,0.799994,0.915628
458,0.800588,0.915934
459,0.801902,0.91693
460,0.803051,0.917933
461,0.804062,0.918653
462,0.805856,0.919718
463,0.807253,0.9209
464,0.809425,0.922298
465,0.809901,0.922855
466,0.810271,0.923249
467,0.810676,0.923515
468,0.810949,0.92371
469,0.811441,0.924123
470,0.81174,0.924359
471,0.811975,0.924476
472,0.812108,0.924521
473,0.813027,0.925103
474,0.8134,0.925344
475,0.813398,0.925359
476,0.813462,0.925343
477,0.814051,0.926023
478,0.814828,0.926545
479,0.815351,0.926801
480,0.780941,0.90222
481,0.782781,0.90322
482,0.783915,0.903923
483,0.784609,0.904331
484,0.784913,0.904495
485,0.784828,0.904543
486,0.784853,0.904579
487,0.785033,0.904641
488,0.785124,0.904662
489,0.785103,0.904695
490,0.784901,0.904692
491,0.784846,0.904661
492,0.785147,0.904696
493,0.786955,0.905763
494,0.787663,0.906233
495,0.787456,0.906416
496,0.78792,0.906691
497,0.788182,0.906814
498,0.788612,0.906938
499,0.788254,0.906959
500,0.788202,0.907046
501,0.787955,0.907011
502,0.788485,0.907044
503,0.790121,0.908138
504,0.790082,0.908592
505,0.790408,0.909187
506,0.79109,0.910094
507,0.790647,0.91067
508,0.791543,0.911209
509,0.792975,0.911637
510,0.79474,0.912039
511,0.796534,0.913359
512,0.797178,0.914335
513,0.798691,0.915048
514,0.799814,0.915594
515,0.801621,0.916834
516,0.803357,0.917805
517,0.803714,0.918129
518,0.803843,0.918249
519,0.809198,0.921486
520,0.810172,0.92222
521,0.811343,0.923054
522,0.810966,0.923374
523,0.811877,0.923724
524,0.814453,0.925546
525,0.814441,0.925586
526,0.813615,0.925566
527,0.813637,0.925535
528,0.815477,0.925775
529,0.815854,0.926206
530,0.816487,0.926675
531,0.816293,0.926915
532,0.816139,0.927042
533,0.815449,0.926799
534,0.81464,0.926494
535,0.81382,0.926264
536,0.813458,0.926126
537,0.814015,0.926082
538,0.81424,0.926007
539,0.814024,0.925896
540,0.778075,0.899963
541,0.779753,0.901092
542,0.779718,0.901213
543,0.779767,0.901296
544,0.779749,0.90128
545,0.779893,0.901245
546,0.781783,0.90239
547,0.782638,0.903015
548,0.782246,0.902924
549,0.782042,0.9029
550,0.781914,0.902921
551,0.782652,0.903063
552,0.78248,0.903162
